시도,시군구,encoded_시도,encoded_시군구,index
서울특별시,종로구,0,0,0
서울특별시,중구,0,1,1
서울특별시,용산구,0,2,2
서울특별시,성동구,0,3,3
서울특별시,광진구,0,4,4
서울특별시,동대문구,0,5,5
서울특별시,중랑구,0,6,6
서울특별시,성북구,0,7,7
서울특별시,강북구,0,8,8
서울특별시,도봉구,0,9,9
서울특별시,노원구,0,10,10
서울특별시,은평구,0,11,11
서울특별시,서대문구,0,12,12
서울특별시,마포구,0,13,13
서울특별시,양천구,0,14,14
서울특별시,강서구,0,15,15
서울특별시,구로구,0,16,16
서울특별시,금천구,0,17,17
서울특별시,영등포구,0,18,18
서울특별시,동작구,0,19,19
서울특별시,관악구,0,20,20
서울특별시,서초구,0,21,21
서울특별시,강남구,0,22,22
서울특별시,송파구,0,23,23
서울특별시,강동구,0,24,24
부산광역시,서구,1,25,26
부산광역시,동구,1,26,27
부산광역시,영도구,1,27,28
부산광역시,부산진구,1,28,29
부산광역시,동래구,1,29,30
부산광역시,남구,1,30,31
부산광역시,북구,1,31,32
부산광역시,해운대구,1,32,33
부산광역시,사하구,1,33,34
부산광역시,금정구,1,34,35
부산광역시,연제구,1,35,36
부산광역시,수영구,1,36,37
부산광역시,사상구,1,37,38
부산광역시,기장군,1,38,39
대구광역시,수성구,2,39,41
대구광역시,달서구,2,40,42
대구광역시,달성군,2,41,43
인천광역시,미추홀구,3,42,45
인천광역시,연수구,3,43,46
인천광역시,남동구,3,44,47
인천광역시,부평구,3,45,48
인천광역시,계양구,3,46,49
인천광역시,강화군,3,47,50
인천광역시,옹진군,3,48,51
광주광역시,광산구,4,49,53
대전광역시,유성구,5,50,55
대전광역시,대덕구,5,51,56
울산광역시,울주군,6,52,58
세종특별자치시,세종시,7,53,60
경기도,수원시,8,54,62
경기도,성남시,8,55,63
경기도,의정부시,8,56,64
경기도,안양시,8,57,65
경기도,부천시,8,58,66
경기도,광명시,8,59,67
경기도,평택시,8,60,68
경기도,동두천시,8,61,69
경기도,안산시,8,62,70
경기도,고양시,8,63,71
경기도,과천시,8,64,72
경기도,구리시,8,65,73
경기도,남양주시,8,66,74
경기도,오산시,8,67,75
경기도,시흥시,8,68,76
경기도,군포시,8,69,77
경기도,의왕시,8,70,78
경기도,하남시,8,71,79
경기도,용인시,8,72,80
경기도,파주시,8,73,81
경기도,이천시,8,74,82
경기도,안성시,8,75,83
경기도,김포시,8,76,84
경기도,화성시,8,77,85
경기도,광주시,8,78,86
경기도,양주시,8,79,87
