지역,밀집도,계급값,계급별가중치,도수분포,가중치점수
강원도,205.556164,77.2426945,1.01,8,1.03
경기도,83.456695,154.485389,1.02,2,1.02
경상남도,113.36762,231.7280835,1.03,2,1.02
경상북도,387.526479,308.970778,1.04,1,1.06
광주광역시,8.372419,386.2134725,1.05,1,1.01
대구광역시,4.124152,463.456167,1.06,2,1.01
대전광역시,7.962109,540.6988615,1.07,0,1.01
부산광역시,5.596955,617.941556,1.08,0,1.01
서울특별시,0,695.1842505,1.09,0,1.01
세종특별자치시,6.659287,772.426945,1.1,1,1.01
울산광역시,28.471667,,,0,1.01
인천광역시,33.769785,,,,1.01
전라남도,376.02248,,,,1.05
전라북도,772.426945,,,,1.1
제주특별자치도,220.916845,,,,1.03
충청남도,417.623273,,,,1.06
충청북도,258.894769,,,,1.04
