year,month,day,시군구index,철새수,발생거리,평균온도,일강수량,위험도,code
2021,9,1,0,0,125.93,24.3,0.0,2.5,11110
2021,9,1,1,0,124.7,24.3,0.0,2.5,11140
2021,9,1,2,0,121.29,24.3,0.0,2.5,11170
2021,9,1,3,0,124.41,24.3,0.0,2.5,11200
2021,9,1,4,0,121.48,24.3,0.0,2.5,11215
2021,9,1,5,0,125.62,24.3,0.0,2.5,11230
2021,9,1,6,0,128.98,24.3,0.0,2.5,11260
2021,9,1,7,0,127.4,24.3,0.0,2.5,11290
2021,9,1,8,0,132.94,24.3,0.0,2.5,11305
2021,9,1,9,0,136.05,24.3,0.0,4.5,11320
2021,9,1,10,0,134.42,24.3,0.0,2.5,11350
2021,9,1,11,0,129.67,24.3,0.0,2.5,11380
2021,9,1,12,0,126.98,24.3,0.0,2.5,11410
2021,9,1,13,0,126.0,24.3,0.0,2.5,11440
2021,9,1,14,0,121.12,24.3,0.0,2.5,11470
2021,9,1,15,0,125.11,24.3,0.0,2.5,11500
2021,9,1,16,0,118.43,24.3,0.0,2.5,11530
2021,9,1,17,0,114.08,24.3,0.0,2.5,11545
2021,9,1,18,0,121.7,24.3,0.0,2.5,11560
2021,9,1,19,0,119.59,24.3,0.0,2.5,11590
2021,9,1,20,0,115.67,24.3,0.0,2.5,11620
2021,9,1,21,0,115.57,24.3,0.0,2.5,11650
2021,9,1,22,0,119.23,24.3,0.0,2.5,11680
2021,9,1,23,0,118.76,24.3,0.0,2.5,11710
2021,9,1,24,0,120.49,24.3,0.0,2.5,11740
2021,9,1,26,0,228.11,23.2,8.6,0.0,26110
2021,9,1,26,0,228.11,23.2,8.6,0.0,26140
2021,9,1,27,0,227.24,23.2,8.6,0.0,26170
2021,9,1,28,0,231.57,23.2,8.6,0.0,26200
2021,9,1,29,0,225.37,23.2,8.6,0.0,26230
2021,9,1,30,0,225.88,23.2,8.6,0.0,26260
2021,9,1,31,0,229.41,23.2,8.6,0.0,26290
2021,9,1,32,0,218.55,23.2,8.6,0.0,26320
2021,9,1,33,0,233.15,23.2,8.6,0.0,26350
2021,9,1,34,0,224.26,23.2,8.6,0.0,26380
2021,9,1,35,0,222.56,23.2,8.6,0.0,26410
2021,9,1,38,0,221.83,23.2,8.6,0.0,26440
2021,9,1,36,0,226.29,23.2,8.6,0.0,26470
2021,9,1,37,0,230.79,23.2,8.6,0.0,26500
2021,9,1,38,0,221.83,23.2,8.6,0.0,26530
2021,9,1,39,0,231.95,23.2,8.6,0.0,26710
2021,9,1,41,0,150.66,22.8,2.0,2.5,27110
2021,9,1,41,0,150.66,22.8,2.0,2.5,27140
2021,9,1,42,0,144.28,22.8,2.0,2.5,27170
2021,9,1,42,0,144.28,22.8,2.0,2.5,27200
2021,9,1,43,0,139.58,22.8,2.0,2.5,27230
2021,9,1,41,0,150.66,22.8,2.0,2.5,27260
2021,9,1,42,0,144.28,22.8,2.0,2.5,27290
2021,9,1,43,0,139.58,22.8,2.0,2.5,27710
2021,9,1,45,0,120.5,24.3,0.0,2.5,28110
2021,9,1,45,0,120.5,24.3,0.0,2.5,28140
2021,9,1,45,0,120.5,24.3,0.0,2.5,28177
2021,9,1,46,0,114.09,24.3,0.0,2.5,28185
2021,9,1,47,0,116.49,24.3,0.0,2.5,28200
2021,9,1,48,0,123.09,24.3,0.0,2.5,28237
2021,9,1,49,0,125.94,24.3,0.0,2.5,28245
2021,9,1,49,0,125.94,24.3,0.0,2.5,28260
2021,9,1,50,0,155.0,24.3,0.0,0.0,28710
2021,9,1,51,0,119.17,24.3,0.0,2.5,28720
2021,9,1,53,0,148.27,24.2,5.2,2.5,29110
2021,9,1,53,0,148.27,24.2,5.2,2.5,29140
2021,9,1,53,0,148.27,24.2,5.2,2.5,29155
2021,9,1,53,0,148.27,24.2,5.2,2.5,29170
2021,9,1,53,0,148.27,24.2,5.2,2.5,29200
2021,9,1,56,0,28.76,23.7,1.9,5.0,30110
2021,9,1,56,0,28.76,23.7,1.9,5.0,30140
2021,9,1,55,0,23.21,23.7,1.9,5.0,30170
2021,9,1,55,0,23.21,23.7,1.9,5.0,30200
2021,9,1,56,0,28.76,23.7,1.9,5.0,30230
2021,9,1,58,0,216.93,23.2,8.6,0.0,31110
2021,9,1,58,0,216.93,23.2,8.6,0.0,31140
2021,9,1,58,0,216.93,23.2,8.6,0.0,31170
2021,9,1,58,0,216.93,23.2,8.6,0.0,31200
2021,9,1,58,0,216.93,23.2,8.6,0.0,31710
2021,9,1,60,0,15.69,23.7,1.9,5.0,36110
2021,9,1,62,0,91.19,24.3,0.0,2.5,41111
2021,9,1,62,0,91.19,24.3,0.0,2.5,41113
2021,9,1,62,0,91.19,24.3,0.0,2.5,41115
2021,9,1,62,0,91.19,24.3,0.0,2.5,41117
2021,9,1,63,0,108.25,24.3,0.0,2.5,41131
2021,9,1,63,0,108.25,24.3,0.0,2.5,41133
2021,9,1,63,0,108.25,24.3,0.0,2.5,41135
2021,9,1,64,0,143.81,24.3,0.0,2.5,41150
2021,9,1,65,0,106.37,24.3,0.0,2.5,41171
2021,9,1,65,0,106.37,24.3,0.0,2.5,41173
2021,9,1,66,0,121.65,24.3,0.0,2.5,41190
2021,9,1,67,0,116.96,24.3,0.0,2.5,41210
2021,9,1,68,0,60.69,24.3,0.0,5.0,41220
2021,9,1,69,0,162.11,24.3,0.0,0.0,41250
2021,9,1,70,0,100.65,24.3,0.0,2.5,41271
2021,9,1,70,0,100.65,24.3,0.0,2.5,41273
2021,9,1,71,0,137.14,24.3,0.0,2.5,41281
2021,9,1,71,0,137.14,24.3,0.0,2.5,41285
2021,9,1,71,0,137.14,24.3,0.0,2.5,41287
2021,9,1,72,0,109.89,24.3,0.0,2.5,41290
2021,9,1,73,0,127.62,24.3,0.0,2.5,41310
