번호,주소,축종,"사육
두수",진단일,발생일
1,전라남도 장흥군 장평면 양촌리,오리-육용오리,9500,2021-04-07,2021-04-06
2,전라남도 장흥군 장평면 양촌리,오리-육용오리,15500,2021-04-07,2021-04-06
3,전라남도 나주시 산포면 등수리,오리-육용오리,19000,2021-03-24,2021-03-23
4,전라남도 장흥군 장평면 기동리,오리-육용오리,11800,2021-03-23,2021-03-22
5,전라남도 장흥군 장평면 기동리,오리-육용오리,20000,2021-03-22,2021-03-21
6,충청북도 충주시 소태면 주치리,닭-산란계,550000,2021-03-13,2021-03-11
7,충청북도 충주시 소태면 주치리,닭-토종닭,5500,2021-03-11,2021-03-10
8,전라남도 나주시 봉황면 옥산리,닭-산란계,214000,2021-03-11,2021-03-10
9,경기도 포천시 영중면 거사리,닭-산란계,189738,2021-02-27,2021-02-26
10,강원도 원주시 귀래면 주포리,닭-산란계,170000,2021-02-24,2021-02-23
11,경기도 이천시 장호원읍 어석리,닭-종계,87900,2021-02-23,2021-02-22
12,경상남도 통영시 도산면 오륜리,칠면조-비분류,4651,2021-02-19,2021-02-18
13,경기도 화성시 팔탄면 구장리,닭-산란계,150000,2021-02-18,2021-02-17
14,충청북도 괴산군 소수면 아성리,오리-종오리,7500,2021-02-18,2021-02-17
15,경상북도 영주시 장수면 호문리,오리-종오리,7200,2021-02-17,2021-02-15
16,경기도 평택시 고덕면 동고리,닭-산란계,370000,2021-02-16,2021-02-15
17,경기도 이천시 부발읍 가산리,닭-산란계,241000,2021-02-14,2021-02-13
18,경기도 이천시 백사면 도립리,닭-산란계,119000,2021-02-14,2021-02-13
19,제주특별자치도 제주시 한림읍 금악리,오리-육용오리,5500,2021-02-13,2021-02-12
20,전라남도 나주시 반남면 흥덕리,오리-종오리,12000,2021-02-12,2021-02-11
21,경기도 평택시 팽성읍 대사리,닭-산란계,239200,2021-02-11,2021-02-09
22,전라북도 부안군 주산면 사산리,오리-육용오리,14000,2021-02-10,2021-02-09
23,충청북도 음성군 원남면 보룡리,오리-종오리,9400,2021-02-10,2021-02-09
24,경기도 포천시 창수면 주원리,닭-산란계,160000,2021-02-08,2021-02-07
25,충청북도 괴산군 장연면 조곡리,오리-종오리,15500,2021-02-06,2021-02-05
26,전라남도 영암군 시종면 신흥리,오리-종오리,8000,2021-02-06,2021-02-04
27,충청북도 충주시 동량면 대전리,오리-종오리,7600,2021-02-03,2021-02-02
28,경기도 이천시 설성면 장천리,닭-산란계,146000,2021-02-02,2021-02-01
29,경기도 안성시 공도읍 용두리,닭-산란계,62500,2021-02-01,2021-01-30
30,경기도 용인시 처인구 백암면 장평리,닭-산란계,19000,2021-02-01,2021-01-29
31,경기도 안성시 일죽면 신흥리,닭-산란계,60000,2021-02-01,2021-01-31
32,경상북도 포항시 북구 청하면 신흥리,닭-산란계,240000,2021-01-31,2021-01-30
33,경기도 이천시 율면 신추리,닭-산란계,50000,2021-01-30,2021-01-29
34,전라북도 고창군 아산면 학전리,오리-육용오리,17800,2021-01-30,2021-01-28
35,경기도 안성시 공도읍 마정리,닭-산란계,78600,2021-01-29,2021-01-28
36,전라북도 고창군 아산면 성산리,오리-육용오리,36000,2021-01-28,2021-01-27
37,경기도 이천시 장호원읍 와현리,닭-종계,22200,2021-01-28,2021-01-27
38,경기도 안성시 보개면 동신리,닭-산란계,29000,2021-01-28,2021-01-27
39,경기도 안성시 일죽면 장암리,닭-종계,18780,2021-01-27,2021-01-26
40,경기도 이천시 장호원읍 와현리,닭-종계,24000,2021-01-27,2021-01-26
41,경기도 포천시 신북면 삼성당리,닭-산란계,39000,2021-01-27,2021-01-26
42,경기도 파주시 적성면 어유지리,닭-산란계,130000,2021-01-27,2021-01-26
43,전라남도 함평군 나산면 삼축리,오리-육용오리,12000,2021-01-25,2021-01-24
44,경기도 화성시 양감면 사창리,닭-산란계,602000,2021-01-24,2021-01-23
45,충청남도 천안시 서북구 직산읍 수헐리,닭-산란계,99000,2021-01-23,2021-01-22
46,전라남도 무안군 삼향읍 왕산리,닭-산란계,96500,2021-01-23,2021-01-22
47,경기도 이천시 장호원읍 나래리,닭-산란계,478000,2021-01-22,2021-01-21
48,충청남도 홍성군 구항면 태봉리,닭-종계,20000,2021-01-20,2021-01-14
49,충청북도 음성군 생극면 임곡리,닭-산란계,400000,2021-01-19,2021-01-18
50,경기도 용인시 처인구 백암면 옥산리,닭-산란계,188000,2021-01-19,2021-01-18
51,경상남도 하동군 옥종면 문암리,오리-육용오리,13100,2021-01-18,2021-01-16
52,경상남도 고성군 마암면 삼락리,오리-육용오리,14000,2021-01-15,2021-01-12
53,경상남도 고성군 마암면 삼락리,오리-육용오리,9800,2021-01-15,2021-01-12
54,경상남도 고성군 마암면 삼락리,오리-육용오리,18500,2021-01-15,2021-01-12
55,전라북도 김제시 만경읍 대동리,오리-육용오리,3100,2021-01-17,2021-01-16
56,경상남도 하동군 옥종면 문암리,오리-육용오리,15900,2021-01-16,2021-01-14
57,경기도 안성시 서운면 신촌리,닭-산란계,280000,2021-01-14,2021-01-13
58,충청남도 홍성군 구항면 태봉리,닭-종계,41200,2021-01-14,2021-01-13
59,충청북도 음성군 대소면 삼호리,닭-산란계,36000,2021-01-14,2021-01-13
