지역,month,밀집도,발생건수,예측발생건수,표준점수,위험도,,
강원도,1 ,206 ,2 ,5 ,0 ,1,,
강원도,2 ,206 ,0 ,5 ,0 ,1,,
강원도,3 ,206 ,0 ,5 ,0 ,1,,
강원도,4 ,206 ,0 ,5 ,0 ,1,,
강원도,5 ,206 ,0 ,5 ,0 ,1,,
강원도,6 ,206 ,1 ,5 ,0 ,1,,
강원도,7 ,206 ,0 ,5 ,0 ,1,,
강원도,8 ,206 ,0 ,5 ,0 ,1,,
강원도,9 ,206 ,0 ,5 ,0 ,1,,
강원도,10 ,206 ,0 ,5 ,0 ,1,,
강원도,11 ,206 ,1 ,5 ,0 ,1,,
강원도,12 ,206 ,1 ,5 ,0 ,1,,
경기도,1 ,83 ,36 ,3 ,12 ,8,,
경기도,2 ,83 ,23 ,3 ,8 ,7,,
경기도,3 ,83 ,12 ,3 ,4 ,5,,
경기도,4 ,83 ,8 ,3 ,3 ,3,,
경기도,5 ,83 ,2 ,3 ,1 ,1,,
경기도,6 ,83 ,2 ,3 ,1 ,1,,
경기도,7 ,83 ,0 ,3 ,0 ,1,,
경기도,8 ,83 ,0 ,3 ,0 ,1,,
경기도,9 ,83 ,0 ,3 ,0 ,1,,
경기도,10 ,83 ,0 ,3 ,0 ,1,,
경기도,11 ,83 ,10 ,3 ,3 ,4,,
경기도,12 ,83 ,111 ,3 ,37 ,10,,
경상남도,1 ,113 ,3 ,3 ,1 ,2,,
경상남도,2 ,113 ,1 ,3 ,0 ,1,,
경상남도,3 ,113 ,0 ,3 ,0 ,1,,
경상남도,4 ,113 ,1 ,3 ,0 ,1,,
경상남도,5 ,113 ,0 ,3 ,0 ,1,,
경상남도,6 ,113 ,3 ,3 ,1 ,2,,
경상남도,7 ,113 ,0 ,3 ,0 ,1,,
경상남도,8 ,113 ,0 ,3 ,0 ,1,,
경상남도,9 ,113 ,0 ,3 ,0 ,1,,
경상남도,10 ,113 ,0 ,3 ,0 ,1,,
경상남도,11 ,113 ,0 ,3 ,0 ,1,,
경상남도,12 ,113 ,4 ,3 ,1 ,2,,
경상북도,1 ,388 ,0 ,8 ,0 ,1,,
경상북도,2 ,388 ,0 ,8 ,0 ,1,,
경상북도,3 ,388 ,2 ,8 ,0 ,1,,
경상북도,4 ,388 ,0 ,8 ,0 ,1,,
경상북도,5 ,388 ,0 ,8 ,0 ,1,,
경상북도,6 ,388 ,0 ,8 ,0 ,1,,
경상북도,7 ,388 ,0 ,8 ,0 ,1,,
경상북도,8 ,388 ,0 ,8 ,0 ,1,,
경상북도,9 ,388 ,0 ,8 ,0 ,1,,
경상북도,10 ,388 ,0 ,8 ,0 ,1,,
경상북도,11 ,388 ,1 ,8 ,0 ,1,,
경상북도,12 ,388 ,4 ,8 ,1 ,1,,
광주광역시,1 ,8 ,0 ,2 ,0 ,1,,
광주광역시,2 ,8 ,0 ,2 ,0 ,1,,
광주광역시,3 ,8 ,0 ,2 ,0 ,1,,
광주광역시,4 ,8 ,0 ,2 ,0 ,1,,
광주광역시,5 ,8 ,0 ,2 ,0 ,1,,
광주광역시,6 ,8 ,0 ,2 ,0 ,1,,
광주광역시,7 ,8 ,0 ,2 ,0 ,1,,
광주광역시,8 ,8 ,0 ,2 ,0 ,1,,
광주광역시,9 ,8 ,2 ,2 ,1 ,2,,
광주광역시,10 ,8 ,0 ,2 ,0 ,1,,
광주광역시,11 ,8 ,0 ,2 ,0 ,1,,
광주광역시,12 ,8 ,0 ,2 ,0 ,1,,
대구광역시,1 ,4 ,0 ,1 ,0 ,1,,
대구광역시,2 ,4 ,0 ,1 ,0 ,1,,
대구광역시,3 ,4 ,0 ,1 ,0 ,1,,
대구광역시,4 ,4 ,0 ,1 ,0 ,1,,
대구광역시,5 ,4 ,0 ,1 ,0 ,1,,
대구광역시,6 ,4 ,2 ,1 ,2 ,3,,
대구광역시,7 ,4 ,0 ,1 ,0 ,1,,
대구광역시,8 ,4 ,0 ,1 ,0 ,1,,
대구광역시,9 ,4 ,0 ,1 ,0 ,1,,
대구광역시,10 ,4 ,0 ,1 ,0 ,1,,
대구광역시,11 ,4 ,0 ,1 ,0 ,1,,
대구광역시,12 ,4 ,0 ,1 ,0 ,1,,
대전광역시,1 ,8 ,0 ,2 ,0 ,1,,
대전광역시,2 ,8 ,0 ,2 ,0 ,1,,
대전광역시,3 ,8 ,0 ,2 ,0 ,1,,
대전광역시,4 ,8 ,0 ,2 ,0 ,1,,
대전광역시,5 ,8 ,0 ,2 ,0 ,1,,
대전광역시,6 ,8 ,0 ,2 ,0 ,1,,
대전광역시,7 ,8 ,0 ,2 ,0 ,1,,
대전광역시,8 ,8 ,0 ,2 ,0 ,1,,
대전광역시,9 ,8 ,0 ,2 ,0 ,1,,
대전광역시,10 ,8 ,0 ,2 ,0 ,1,,
대전광역시,11 ,8 ,0 ,2 ,0 ,1,,
대전광역시,12 ,8 ,0 ,2 ,0 ,1,,
부산광역시,1 ,6 ,2 ,2 ,1 ,2,,
부산광역시,2 ,6 ,0 ,2 ,0 ,1,,
부산광역시,3 ,6 ,0 ,2 ,0 ,1,,
부산광역시,4 ,6 ,0 ,2 ,0 ,1,,
부산광역시,5 ,6 ,0 ,2 ,0 ,1,,
부산광역시,6 ,6 ,2 ,2 ,1 ,2,,
부산광역시,7 ,6 ,0 ,2 ,0 ,1,,
부산광역시,8 ,6 ,0 ,2 ,0 ,1,,
부산광역시,9 ,6 ,0 ,2 ,0 ,1,,
부산광역시,10 ,6 ,0 ,2 ,0 ,1,,
부산광역시,11 ,6 ,0 ,2 ,0 ,1,,
