년도,주소,시도,시군,축종명,경영체수 합계(건),시설여부(경영체 수),,경영형태(시설 개수),,사육 규모,단위
,,,,,,시설 없음,시설 있음,자영,임차,,
2018,서울특별시서초구,서울특별시,서초구,육계,2,0,2,2,0,140,마리
2018,부산광역시해운대구,부산광역시,해운대구,육계,2,0,2,2,0,165,마리
2018,부산광역시금정구,부산광역시,금정구,육계,2,0,2,2,0,1030,마리
2018,부산광역시강서구,부산광역시,강서구,육계,9,0,9,6,3,102012,마리
2018,부산광역시강서구,부산광역시,강서구,오리,1,0,1,1,0,40,마리
2018,부산광역시강서구,부산광역시,강서구,꿩,1,0,1,1,0,10,마리
2018,부산광역시연제구,부산광역시,연제구,육계,1,0,1,1,0,80,마리
2018,부산광역시기장군,부산광역시,기장군,육계,13,0,15,14,1,20375,마리
2018,부산광역시기장군,부산광역시,기장군,오리,3,0,3,3,0,2035,마리
2018,대구광역시동구,대구광역시,동구,육계,3,0,3,3,0,388,마리
2018,대구광역시동구,대구광역시,동구,꿩,1,0,1,1,0,800,마리
2018,대구광역시북구,대구광역시,북구,육계,1,0,1,1,0,50,마리
2018,대구광역시수성구,대구광역시,수성구,육계,1,0,1,1,0,30,마리
2018,대구광역시달성군,대구광역시,달성군,육계,6,0,7,7,0,65890,마리
2018,대구광역시달성군,대구광역시,달성군,메추리,1,0,1,1,0,100000,마리
2018,대구광역시달성군,대구광역시,달성군,꿩,2,0,2,2,0,3500,마리
2018,인천광역시중구,인천광역시,중구,육계,5,0,5,5,0,11840,마리
2018,인천광역시연수구,인천광역시,연수구,육계,1,0,1,1,0,200,마리
2018,인천광역시남동구,인천광역시,남동구,육계,7,0,7,5,2,9880,마리
2018,인천광역시남동구,인천광역시,남동구,오리,1,0,1,0,1,6,마리
2018,인천광역시계양구,인천광역시,계양구,육계,1,0,1,1,0,500,마리
2018,인천광역시서구,인천광역시,서구,육계,2,0,2,2,0,45000,마리
2018,인천광역시서구,인천광역시,서구,메추리,1,0,1,0,1,100000,마리
2018,인천광역시강화군,인천광역시,강화군,육계,37,0,40,35,5,1162343,마리
2018,인천광역시강화군,인천광역시,강화군,오리,2,0,2,2,0,515,마리
2018,인천광역시강화군,인천광역시,강화군,메추리,4,0,4,4,0,358000,마리
2018,인천광역시옹진군,인천광역시,옹진군,육계,2,0,2,2,0,5500,마리
2018,광주광역시서구,광주광역시,서구,육계,1,0,1,1,0,200,마리
2018,광주광역시서구,광주광역시,서구,오리,1,0,3,0,3,20000,마리
2018,광주광역시남구,광주광역시,남구,육계,5,0,5,5,0,161,마리
2018,광주광역시남구,광주광역시,남구,오리,1,0,1,1,0,2000,마리
2018,광주광역시북구,광주광역시,북구,육계,8,0,8,7,1,6705,마리
2018,광주광역시광산구,광주광역시,광산구,육계,15,1,15,12,4,162160,마리
2018,광주광역시광산구,광주광역시,광산구,오리,7,0,9,6,3,22807,마리
2018,광주광역시광산구,광주광역시,광산구,메추리,2,0,3,3,0,135000,마리
2018,대전광역시동구,대전광역시,동구,육계,5,0,6,4,2,40700,마리
2018,대전광역시중구,대전광역시,중구,육계,3,0,3,2,1,200,마리
2018,대전광역시서구,대전광역시,서구,육계,10,0,10,9,1,30752,마리
2018,대전광역시서구,대전광역시,서구,오리,1,0,1,1,0,300,마리
2018,대전광역시유성구,대전광역시,유성구,육계,23,0,25,19,6,100964,마리
2018,대전광역시유성구,대전광역시,유성구,오리,1,0,1,1,0,4,마리
2018,대전광역시대덕구,대전광역시,대덕구,육계,5,0,5,5,0,200,마리
2018,대전광역시대덕구,대전광역시,대덕구,오리,1,0,1,1,0,50,마리
2018,울산광역시중구,울산광역시,중구,육계,3,0,3,3,0,1800,마리
2018,울산광역시남구,울산광역시,남구,육계,1,0,1,1,0,100,마리
2018,울산광역시북구,울산광역시,북구,육계,8,0,8,8,0,2520,마리
2018,울산광역시북구,울산광역시,북구,타조,1,0,1,1,0,6,마리
2018,울산광역시울주군,울산광역시,울주군,육계,19,0,22,20,2,148100,마리
2018,울산광역시울주군,울산광역시,울주군,오리,3,0,3,3,0,260,마리
2018,울산광역시울주군,울산광역시,울주군,꿩,6,0,7,3,4,9300,마리
2018,세종특별자치시세종시,세종특별자치시,세종시,육계,27,0,31,29,2,1205710,마리
2018,세종특별자치시세종시,세종특별자치시,세종시,칠면조,1,0,1,1,0,5,마리
2018,세종특별자치시세종시,세종특별자치시,세종시,오리,1,0,1,1,0,30,마리
2018,세종특별자치시세종시,세종특별자치시,세종시,메추리,2,0,3,3,0,122600,마리
2018,경기도수원시,경기도,수원시,육계,2,0,2,2,0,200,마리
2018,경기도수원시,경기도,수원시,오리,1,0,1,1,0,1500,마리
2018,경기도수원시,경기도,수원시,메추리,1,0,1,1,0,60000,마리
2018,경기도성남시,경기도,성남시,육계,2,0,3,3,0,2650,마리
2018,경기도성남시,경기도,성남시,오리,1,0,1,1,0,3000,마리
2018,경기도의정부시,경기도,의정부시,육계,3,0,3,3,0,1050,마리
2018,경기도광명시,경기도,광명시,육계,17,0,17,16,1,6630,마리
2018,경기도광명시,경기도,광명시,오리,2,0,2,2,0,80,마리
2018,경기도평택시,경기도,평택시,육계,53,0,66,58,8,1939565,마리
2018,경기도평택시,경기도,평택시,칠면조,1,0,1,1,0,30,마리
2018,경기도평택시,경기도,평택시,오리,2,0,3,3,0,20700,마리
2018,경기도평택시,경기도,평택시,꿩,1,0,1,1,0,15000,마리
2018,경기도동두천시,경기도,동두천시,육계,1,0,1,1,0,21000,마리
2018,경기도안산시,경기도,안산시,육계,19,0,19,18,1,3725,마리
2018,경기도안산시,경기도,안산시,칠면조,2,0,2,2,0,7,마리
2018,경기도안산시,경기도,안산시,꿩,3,0,3,3,0,3506,마리
2018,경기도안산시,경기도,안산시,오리,1,0,1,1,0,200,마리
2018,경기도고양시,경기도,고양시,육계,56,0,58,51,7,517906,마리
2018,경기도고양시,경기도,고양시,칠면조,1,0,1,1,0,6,마리
2018,경기도고양시,경기도,고양시,오리,5,0,5,4,1,6505,마리
2018,경기도고양시,경기도,고양시,메추리,2,0,2,2,0,130000,마리
2018,경기도고양시,경기도,고양시,꿩,1,0,1,1,0,200,마리
2018,경기도과천시,경기도,과천시,육계,2,0,2,2,0,500,마리
2018,경기도과천시,경기도,과천시,오리,2,0,2,2,0,47,마리
2018,경기도남양주시,경기도,남양주시,육계,28,0,33,21,12,184677,마리
2018,경기도남양주시,경기도,남양주시,칠면조,1,0,1,1,0,50,마리
2018,경기도남양주시,경기도,남양주시,꿩,1,0,1,1,0,15,마리
2018,경기도오산시,경기도,오산시,육계,4,0,4,4,0,20140,마리
2018,경기도시흥시,경기도,시흥시,육계,38,0,40,39,1,11178,마리
2018,경기도시흥시,경기도,시흥시,오리,8,0,8,8,0,420,마리
2018,경기도시흥시,경기도,시흥시,타조,3,0,3,3,0,32,마리
2018,경기도군포시,경기도,군포시,육계,4,0,4,4,0,230,마리
2018,경기도의왕시,경기도,의왕시,육계,7,0,7,7,0,895,마리
2018,경기도의왕시,경기도,의왕시,칠면조,1,0,1,1,0,2,마리
2018,경기도의왕시,경기도,의왕시,오리,3,0,3,3,0,95,마리
2018,경기도의왕시,경기도,의왕시,꿩,2,0,2,2,0,24,마리
2018,경기도하남시,경기도,하남시,육계,1,0,1,1,0,30,마리
2018,경기도용인시,경기도,용인시,육계,71,1,123,93,31,3092900,마리
2018,경기도용인시,경기도,용인시,오리,6,1,8,6,3,60030,마리
2018,경기도용인시,경기도,용인시,메추리,2,0,2,2,0,220000,마리
2018,경기도용인시,경기도,용인시,꿩,1,0,1,1,0,500,마리
2018,경기도파주시,경기도,파주시,육계,96,0,120,98,22,1889303,마리
2018,경기도파주시,경기도,파주시,오리,2,0,2,1,1,3300,마리
2018,경기도파주시,경기도,파주시,메추리,1,0,3,3,0,150000,마리
2018,경기도파주시,경기도,파주시,꿩,1,0,1,1,0,8000,마리
2018,경기도파주시,경기도,파주시,타조,1,0,1,0,1,4,마리
2018,경기도이천시,경기도,이천시,육계,62,0,80,49,31,2457620,마리
2018,경기도이천시,경기도,이천시,오리,10,0,16,15,1,108000,마리
2018,경기도이천시,경기도,이천시,메추리,3,0,5,5,0,1535000,마리
2018,경기도이천시,경기도,이천시,꿩,2,0,5,5,0,45000,마리
2018,경기도안성시,경기도,안성시,육계,71,0,103,86,17,3628205,마리
2018,경기도안성시,경기도,안성시,칠면조,1,0,1,1,0,1500,마리
2018,경기도안성시,경기도,안성시,오리,28,0,42,35,7,442750,마리
2018,경기도안성시,경기도,안성시,꿩,4,0,4,4,0,52000,마리
2018,경기도김포시,경기도,김포시,육계,38,0,45,43,2,1256590,마리
2018,경기도김포시,경기도,김포시,칠면조,2,0,2,2,0,5,마리
2018,경기도김포시,경기도,김포시,오리,3,0,3,3,0,90,마리
2018,경기도김포시,경기도,김포시,메추리,7,0,8,7,1,1225120,마리
2018,경기도김포시,경기도,김포시,꿩,1,0,1,1,0,50,마리
2018,경기도화성시,경기도,화성시,육계,88,0,117,101,16,3087950,마리
2018,경기도화성시,경기도,화성시,오리,1,0,2,0,2,4000,마리
2018,경기도화성시,경기도,화성시,꿩,7,0,7,5,2,18300,마리
2018,경기도광주시,경기도,광주시,육계,20,0,21,18,3,225122,마리
2018,경기도광주시,경기도,광주시,오리,2,0,2,2,0,84,마리
2018,경기도양주시,경기도,양주시,육계,25,0,35,33,2,835210,마리
2018,경기도양주시,경기도,양주시,오리,2,0,2,1,1,8500,마리
2018,경기도포천시,경기도,포천시,육계,100,0,157,133,24,3813330,마리
2018,경기도포천시,경기도,포천시,오리,2,0,2,2,0,100100,마리
2018,경기도포천시,경기도,포천시,메추리,2,0,3,3,0,402000,마리
2018,경기도여주시,경기도,여주시,육계,69,0,108,93,15,3312150,마리
2018,경기도여주시,경기도,여주시,오리,4,0,5,4,1,72000,마리
2018,경기도여주시,경기도,여주시,메추리,10,0,13,13,0,1605000,마리
2018,경기도연천군,경기도,연천군,육계,101,0,135,109,26,3896850,마리
2018,경기도연천군,경기도,연천군,칠면조,1,0,1,1,0,20,마리
2018,경기도연천군,경기도,연천군,오리,1,0,1,1,0,11000,마리
2018,경기도연천군,경기도,연천군,메추리,1,0,1,1,0,58000,마리
2018,경기도연천군,경기도,연천군,타조,1,0,1,1,0,5,마리
2018,경기도가평군,경기도,가평군,육계,45,0,64,61,3,2075660,마리
2018,경기도가평군,경기도,가평군,오리,1,0,1,0,1,500,마리
2018,경기도양평군,경기도,양평군,육계,71,0,100,76,24,3137164,마리
2018,경기도양평군,경기도,양평군,칠면조,1,0,1,1,0,1,마리
2018,경기도양평군,경기도,양평군,오리,4,1,9,10,0,24011,마리
2018,경기도양평군,경기도,양평군,메추리,9,0,10,10,0,817000,마리
2018,강원도춘천시,강원도,춘천시,육계,21,0,31,22,9,1021820,마리
2018,강원도춘천시,강원도,춘천시,칠면조,1,0,1,1,0,100,마리
2018,강원도춘천시,강원도,춘천시,오리,1,0,2,2,0,19000,마리
2018,강원도춘천시,강원도,춘천시,꿩,2,0,2,2,0,10000,마리
2018,강원도원주시,강원도,원주시,육계,26,0,37,34,3,472211,마리
2018,강원도원주시,강원도,원주시,칠면조,1,0,1,1,0,1,마리
2018,강원도원주시,강원도,원주시,오리,1,0,1,1,0,2000,마리
2018,강원도원주시,강원도,원주시,메추리,1,0,1,1,0,50000,마리
2018,강원도강릉시,강원도,강릉시,육계,39,1,40,38,3,327501,마리
2018,강원도강릉시,강원도,강릉시,오리,6,0,6,6,0,1093,마리
2018,강원도강릉시,강원도,강릉시,타조,2,0,2,2,0,11,마리
2018,강원도동해시,강원도,동해시,육계,4,0,4,4,0,6000,마리
2018,강원도태백시,강원도,태백시,육계,1,0,1,1,0,50,마리
2018,강원도속초시,강원도,속초시,육계,5,0,5,3,2,5910,마리
2018,강원도삼척시,강원도,삼척시,육계,3,0,3,3,0,13000,마리
2018,강원도삼척시,강원도,삼척시,오리,1,0,1,1,0,150,마리
2018,강원도홍천군,강원도,홍천군,육계,32,0,38,35,3,911634,마리
2018,강원도홍천군,강원도,홍천군,칠면조,2,0,2,2,0,12,마리
2018,강원도홍천군,강원도,홍천군,오리,2,0,2,2,0,56,마리
2018,강원도횡성군,강원도,횡성군,육계,13,0,17,13,4,367650,마리
2018,강원도횡성군,강원도,횡성군,메추리,5,0,5,5,0,990000,마리
2018,강원도횡성군,강원도,횡성군,꿩,1,0,2,2,0,1650,마리
2018,강원도영월군,강원도,영월군,육계,9,0,13,12,1,790120,마리
2018,강원도평창군,강원도,평창군,육계,13,0,15,15,0,17269,마리
2018,강원도평창군,강원도,평창군,칠면조,1,0,1,0,1,2,마리
2018,강원도평창군,강원도,평창군,타조,1,0,1,1,0,1,마리
2018,강원도정선군,강원도,정선군,육계,1,0,1,1,0,200,마리
2018,강원도철원군,강원도,철원군,육계,53,0,65,59,6,3047245,마리
2018,강원도화천군,강원도,화천군,육계,19,0,30,27,3,940320,마리
2018,강원도양구군,강원도,양구군,육계,4,0,8,8,0,146000,마리
2018,강원도인제군,강원도,인제군,육계,12,0,16,14,2,319650,마리
2018,강원도고성군,강원도,고성군,육계,14,0,14,12,2,90149,마리
2018,강원도고성군,강원도,고성군,오리,1,0,1,1,0,10,마리
2018,강원도양양군,강원도,양양군,육계,8,0,8,8,0,813,마리
2018,충청북도청주시,충청북도,청주시,육계,90,0,109,83,26,2872959,마리
2018,충청북도청주시,충청북도,청주시,오리,22,0,30,17,13,254000,마리
2018,충청북도청주시,충청북도,청주시,메추리,4,0,4,4,0,370000,마리
2018,충청북도청주시,충청북도,청주시,칠면조,1,0,1,1,0,6,마리
2018,충청북도청주시,충청북도,청주시,꿩,1,0,1,1,0,50,마리
2018,충청북도충주시,충청북도,충주시,육계,62,0,74,53,21,3062000,마리
2018,충청북도충주시,충청북도,충주시,오리,6,0,7,6,1,193100,마리
2018,충청북도충주시,충청북도,충주시,꿩,3,0,3,2,1,10200,마리
2018,충청북도충주시,충청북도,충주시,타조,1,0,1,1,0,2,마리
2018,충청북도제천시,충청북도,제천시,육계,45,0,56,54,2,1252845,마리
2018,충청북도제천시,충청북도,제천시,오리,2,0,2,2,0,50,마리
2018,충청북도보은군,충청북도,보은군,육계,24,0,35,25,10,1135380,마리
2018,충청북도보은군,충청북도,보은군,메추리,2,0,2,2,0,201000,마리
2018,충청북도보은군,충청북도,보은군,꿩,1,0,1,0,1,50,마리
2018,충청북도옥천군,충청북도,옥천군,육계,11,0,12,10,2,328134,마리
2018,충청북도옥천군,충청북도,옥천군,오리,1,0,1,1,0,50,마리
2018,충청북도옥천군,충청북도,옥천군,메추리,1,0,1,1,0,100000,마리
2018,충청북도영동군,충청북도,영동군,육계,25,0,42,38,4,1177647,마리
2018,충청북도영동군,충청북도,영동군,오리,5,0,14,9,5,43610,마리
2018,충청북도영동군,충청북도,영동군,메추리,3,0,3,2,1,1070000,마리
2018,충청북도증평군,충청북도,증평군,육계,9,0,13,12,1,290150,마리
2018,충청북도증평군,충청북도,증평군,꿩,1,0,1,1,0,10,마리
2018,충청북도진천군,충청북도,진천군,육계,53,0,73,32,41,2782040,마리
2018,충청북도진천군,충청북도,진천군,오리,43,0,79,40,39,490066,마리
2018,충청북도진천군,충청북도,진천군,메추리,1,0,1,1,0,200000,마리
2018,충청북도괴산군,충청북도,괴산군,육계,41,0,60,58,2,1611665,마리
2018,충청북도괴산군,충청북도,괴산군,오리,6,0,15,12,3,47000,마리
2018,충청북도음성군,충청북도,음성군,육계,68,0,113,85,28,4344857,마리
2018,충청북도음성군,충청북도,음성군,칠면조,1,0,1,1,0,16,마리
2018,충청북도음성군,충청북도,음성군,오리,59,0,117,84,33,2107970,마리
2018,충청북도음성군,충청북도,음성군,메추리,3,0,14,14,0,1014608,마리
2018,충청북도음성군,충청북도,음성군,타조,1,0,2,1,1,30,마리
2018,충청북도단양군,충청북도,단양군,육계,22,0,24,21,3,301679,마리
2018,충청북도단양군,충청북도,단양군,칠면조,1,0,1,1,0,3,마리
2018,충청북도단양군,충청북도,단양군,오리,1,0,1,1,0,4,마리
2018,충청남도천안시,충청남도,천안시,육계,59,0,110,79,31,2820100,마리
2018,충청남도천안시,충청남도,천안시,오리,20,0,45,31,14,213150,마리
2018,충청남도천안시,충청남도,천안시,메추리,5,0,5,4,1,355000,마리
2018,충청남도공주시,충청남도,공주시,육계,76,0,103,96,7,3611935,마리
2018,충청남도공주시,충청남도,공주시,칠면조,1,0,1,1,0,20,마리
2018,충청남도공주시,충청남도,공주시,오리,4,0,4,4,0,11249,마리
2018,충청남도공주시,충청남도,공주시,메추리,1,0,1,1,0,400000,마리
2018,충청남도공주시,충청남도,공주시,꿩,1,0,1,1,0,10000,마리
2018,충청남도공주시,충청남도,공주시,타조,1,0,1,1,0,13,마리
2018,충청남도보령시,충청남도,보령시,육계,66,0,87,79,8,3964350,마리
2018,충청남도아산시,충청남도,아산시,육계,57,0,86,66,20,2734893,마리
2018,충청남도아산시,충청남도,아산시,오리,4,0,4,1,3,432500,마리
2018,충청남도아산시,충청남도,아산시,메추리,2,0,2,1,1,550000,마리
2018,충청남도서산시,충청남도,서산시,육계,39,0,48,47,1,1665912,마리
2018,충청남도서산시,충청남도,서산시,메추리,1,0,1,1,0,50000,마리
2018,충청남도논산시,충청남도,논산시,육계,101,0,177,158,19,5954760,마리
2018,충청남도논산시,충청남도,논산시,오리,7,0,25,19,6,694000,마리
2018,충청남도논산시,충청남도,논산시,메추리,1,0,1,1,0,200000,마리
2018,충청남도계룡시,충청남도,계룡시,육계,4,0,4,3,1,80270,마리
2018,충청남도당진시,충청남도,당진시,육계,104,0,125,112,13,5010295,마리
2018,충청남도당진시,충청남도,당진시,메추리,1,0,1,1,0,80000,마리
2018,충청남도금산군,충청남도,금산군,육계,43,0,53,45,8,863684,마리
2018,충청남도금산군,충청남도,금산군,오리,4,0,5,5,0,17029,마리
2018,충청남도부여군,충청남도,부여군,육계,103,0,121,89,32,5681630,마리
2018,충청남도부여군,충청남도,부여군,오리,2,0,2,2,0,15000,마리
2018,충청남도서천군,충청남도,서천군,육계,48,0,84,58,26,2453939,마리
2018,충청남도서천군,충청남도,서천군,타조,1,0,1,1,0,7,마리
