구분,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,평균
관찰지역수,80,112,206,206,111,111,137.67
합계,575277,944700,1571494,1478060,858236,472276,983340.5
들꿩,0,0,3,1,2,4,1.67
멧닭,0,0,0,0,0,0,0
메추라기,0,2,2,4,3,3,2.33
꿩,169,274,366,334,212,358,285.5
개리,4,11,66,42,52,81,42.67
큰기러기,179777,180891,114599,83534,58232,10963,104666
회색기러기,0,0,0,0,3,0,0.5
쇠기러기,175182,195569,220264,118439,136408,60647,151084.83
흰이마기러기,13,0,0,0,0,13,4.33
줄기러기,1,1,4,0,0,0,1
흰머리기러기,0,0,0,0,0,0,0
흰기러기,11,7,9,7,1,0,5.83
붉은가슴기러기,0,0,0,0,0,0,0
캐나다기러기,0,0,0,2,5,0,1.17
흑기러기,0,0,8,1,0,1,1.67
흰얼굴기러기,0,0,0,0,0,0,0
혹고니,0,23,24,29,15,0,15.17
고니,0,11,6,2,0,0,3.17
큰고니,32,7445,8131,9152,7478,65,5383.83
혹부리오리,723,926,21124,40413,16336,10760,15047
황오리,145,1666,2220,2181,828,748,1298
원앙사촌,0,0,0,0,0,0,0
원앙,493,655,1382,2710,978,1057,1212.5
알락오리,583,16305,14827,11435,9549,4272,9495.17
청머리오리,18633,8196,3975,3983,1232,1534,6258.83
홍머리오리,10076,15750,11154,10830,7183,3025,9669.67
아메리카홍머리오리,0,0,0,0,0,0,0
미국오리,0,0,0,0,0,0,0
청둥오리,5602,114663,159104,133119,90041,38678,90201.17
흰뺨검둥오리,26395,59706,85463,68048,44146,32980,52789.67
넓적부리,212,8054,9967,5987,3969,7827,6002.67
고방오리,1837,6804,15449,10786,6088,1015,6996.5
발구지,0,0,0,0,0,4,0.67
가창오리,48,8110,352157,322697,165969,1684,141777.5
쇠오리,2648,12334,15760,12931,10645,7830,10358
미국쇠오리,0,0,0,0,0,0,0
붉은부리흰죽지,0,0,0,0,0,0,0
큰흰죽지,0,0,0,0,0,0,0
미국흰죽지,0,0,0,0,0,0,0
흰죽지,1505,19994,29423,25407,15037,21768,18855.67
붉은가슴흰죽지,0,0,0,0,0,0,0
적갈색흰죽지,2,0,0,0,0,0,0.33
북미댕기흰죽지,0,0,0,0,0,0,0
댕기흰죽지,164,8139,7204,12131,6919,6151,6784.67
검은머리흰죽지,9,446,11975,54197,5899,1233,12293.17
쇠검은머리흰죽지,0,0,0,0,0,0,0
호사북방오리,0,0,0,0,0,0,0
흰줄박이오리,0,0,18,51,0,0,11.5
검둥오리사촌,0,0,66,193,0,0,43.17
검둥오리,0,0,120,210,0,0,55
바다꿩,0,0,0,0,0,0,0
꼬마오리,0,0,0,0,0,0,0
흰뺨오리,5,220,2687,2645,2099,311,1327.83
북방흰뺨오리,0,0,0,0,0,0,0
흰비오리,0,139,1003,626,349,137,375.67
비오리,4,1794,8797,9388,3830,1338,4191.83
바다비오리,0,162,1062,2038,498,454,702.33
호사비오리,16,46,33,33,27,25,30
아비,0,0,1,14,2,2,3.17
큰회색머리아비,0,0,195,33,9,1,39.67
회색머리아비,0,0,41,6,0,0,7.83
흰부리아비,0,0,0,0,0,0,0
레이산알바트로스,0,0,0,0,0,0,0
알바트로스,0,0,0,0,0,0,0
흰배슴새,0,0,0,0,0,0,0
슴새,0,0,0,0,0,0,0
쇠부리슴새,0,0,0,0,0,0,0
붉은발슴새,0,0,0,0,0,0,0
검은슴새,0,0,0,0,0,0,0
바다제비,0,0,0,0,0,0,0
논병아리,572,1511,2437,1658,605,665,1241.33
큰논병아리,0,0,2,40,0,0,7
뿔논병아리,725,4650,14589,16879,5762,3379,7664
귀뿔논병아리,0,0,76,34,2,0,18.67
검은목논병아리,467,779,1245,414,83,412,566.67
큰홍학,0,0,0,0,0,0,0
먹황새,0,1,0,0,0,0,0.17
황새,7,35,37,110,90,18,49.5
검은머리흰따오기,0,0,0,0,0,0,0
따오기,0,2,3,6,2,0,2.17
적갈색따오기,0,0,0,0,0,0,0
노랑부리저어새,67,533,623,306,212,228,328.17
저어새,171,56,83,33,36,35,69
알락해오라기,0,1,2,7,2,0,2
덤불해오라기,0,0,0,0,0,0,0
큰덤불해오라기,0,0,0,0,0,0,0
열대붉은해오라기,0,0,0,0,0,0,0
검은해오라기,0,0,0,0,0,0,0
붉은해오라기,0,0,0,0,0,0,0
푸른눈테해오라기,0,0,0,0,0,0,0
해오라기,82,56,118,15,26,24,53.5
검은댕기해오라기,1,0,0,0,0,0,0.17
흰날개해오라기,0,2,1,0,0,0,0.5
황로,18,3,0,0,0,0,3.5
왜가리,2327,3016,5597,3497,4406,3963,3801
붉은왜가리,1,0,0,0,0,0,0.17
중대백로,2033,2796,4963,2196,1875,1573,2572.67
중백로,156,22,8,0,3,4,32.17
쇠백로,757,634,807,201,121,177,449.5
흑로,0,15,20,20,11,13,13.17
노랑부리백로,2,0,0,0,0,0,0.33
큰군함조,0,0,0,0,0,0,0
군함조,0,0,0,0,0,0,0
큰사다새,0,0,0,0,0,0,0
사다새,0,0,0,0,0,0,0
푸른얼굴얼가니새,0,0,0,0,0,0,0
붉은발얼가니새,0,0,0,0,0,0,0
갈색얼가니새,0,0,0,0,0,0,0
민물가마우지,13731,16595,20844,21196,11182,9480,15504.67
