지역명,일시,avg_temperature(C),daily_rain(mm),avg_wind(m/s),avg_r_humidity(%)
전국,20210727,27.8,0.0,1.6,72
전국,20210726,27.8,0.1,1.9,71
전국,20210725,27.8,0.0,1.8,72
전국,20210724,28.0,0.0,1.6,72
전국,20210723,27.7,0.0,1.5,74
전국,20210722,27.5,0.0,1.7,73
전국,20210721,27.6,0.0,1.5,74
전국,20210720,27.1,0.2,1.2,79
전국,20210719,26.3,4.1,1.3,81
전국,20210718,26.2,2.9,1.6,79
전국,20210717,25.8,2.3,1.7,80
전국,20210716,26.4,3.8,1.5,81
전국,20210715,27.1,2.3,1.4,81
전국,20210714,27.8,0.0,1.6,79
전국,20210713,27.6,0.0,1.7,79
전국,20210712,27.0,0.6,1.4,81
전국,20210711,25.6,1.7,1.5,85
전국,20210710,24.8,6.8,1.6,85
전국,20210709,24.7,6.6,1.3,86
전국,20210708,24.7,22.9,1.4,88
전국,20210707,24.6,30.6,1.4,92
전국,20210706,23.5,54.5,1.5,90
전국,20210705,22.5,29.2,1.3,86
전국,20210704,23.4,16.0,2.5,87
전국,20210703,22.5,41.4,2.6,86
전국,20210702,24.6,0.5,1.7,74
전국,20210701,24.6,0.5,1.4,75
전국,20210630,23.4,1.0,1.3,80
전국,20210629,23.1,1.2,1.4,79
전국,20210628,23.2,2.9,1.5,78
전국,20210627,23.4,1.1,1.5,75
전국,20210626,22.2,4.5,1.2,81
전국,20210625,22.9,2.2,1.4,76
전국,20210624,21.8,0.2,1.4,77
전국,20210623,20.5,2.8,1.7,81
전국,20210622,21.0,4.8,1.6,77
전국,20210621,22.7,0.4,1.8,69
전국,20210620,22.9,0.0,1.7,70
전국,20210619,22.2,0.0,1.4,74
전국,20210618,20.9,3.3,1.4,88
전국,20210617,20.5,0.5,1.5,80
전국,20210616,21.7,2.1,2.7,75
전국,20210615,21.2,7.9,1.9,85
전국,20210614,22.4,0.0,1.5,81
전국,20210613,22.9,0.0,1.4,81
전국,20210612,23.2,2.0,1.4,81
전국,20210611,21.9,20.2,1.8,87
전국,20210610,23.0,5.4,2.0,72
전국,20210609,23.8,0.0,1.5,67
전국,20210608,23.0,0.1,1.4,71
전국,20210607,22.0,0.0,1.4,68
전국,20210606,21.9,0.1,1.9,70
전국,20210605,20.5,0.0,2.4,69
전국,20210604,19.1,1.2,2.2,67
전국,20210603,18.5,20.0,1.3,91
전국,20210602,22.0,0.0,1.5,67
전국,20210601,20.6,0.3,1.4,69
전국,20210531,19.6,5.2,1.4,73
전국,20210530,18.9,4.1,1.5,66
전국,20210529,17.6,0.4,2.0,68
전국,20210528,15.9,15.6,2.3,80
전국,20210527,16.4,2.7,1.9,79
전국,20210526,17.0,0.2,1.8,61
전국,20210525,15.9,2.7,2.5,63
전국,20210524,19.5,0.3,1.8,64
전국,20210523,20.5,0.0,1.4,67
전국,20210522,18.7,0.0,1.9,71
전국,20210521,15.8,2.9,2.3,83
전국,20210520,16.5,11.1,1.7,84
전국,20210519,19.8,0.0,1.4,66
전국,20210518,17.0,0.2,1.3,82
전국,20210517,15.4,4.6,1.6,94
전국,20210516,19.0,42.8,2.0,96
전국,20210515,20.2,9.0,1.3,89
전국,20210514,20.8,0.0,1.5,72
전국,20210513,19.6,0.0,1.3,67
전국,20210512,18.3,0.0,2.1,57
전국,20210511,16.2,2.7,2.2,65
전국,20210510,13.5,5.6,1.6,71
전국,20210509,16.4,0.0,2.5,47
