주소,축종,진단일,발생일,지역코드,사육수,location,date,avg_temperature(C),daily_rain(mm),avg_wind(m/s),avg_r_humidity(%)
강원도 원주시 귀래면 주포리,닭-산란계,20210224,20210223,114,170000,원주,20210223,1.9,0.0,1.4,28.0
강원도 인제군 기린면 북리,닭-산란계,20170107,20170103,211,28500,인제,20170103,1.2,0.0,2.2,60.1
강원도 철원군 갈말읍 강포리,닭-산란계,20161203,20161130,95,30000,철원,20161130,3.2,1.2,0.9,72.1
강원도 철원군 갈말읍 강포리,닭-산란계,20161212,20161209,95,16000,철원,20161209,-0.1,1.7,1.6,68.9
강원도 춘천시 사북면 지촌리,닭-산란계,20080507,20080507,101,96,춘천,20080507,13.2,17.0,0.6,66.1
강원도 횡성군 횡성읍 학곡리,거위-비분류,20140617,20140613,114,1300,원주,20140613,20.7,0.5,1.5,76.6
강원도 횡성군 횡성읍 학곡리,닭-토종닭,20170109,20170106,114,13,원주,20170106,3.9,0.0,0.6,64.9
경기도 고양시 덕양구 관산동,닭-토종닭,20170307,20170303,99,3000,파주,20170303,1.2,0.0,1.8,68.6
경기도 고양시 덕양구 내유동,관상조류-비분류,20201229,20201228,99,900,파주,20201228,2.3,0.0,0.5,85.5
경기도 과천시 문원동,야생조류-큰기러기,20140314,20140309,116,0,,,,,,
경기도 광주시 남한산성면 불당리,오리-기타,20160405,20160405,203,12,이천,20160405,11.7,0.0,2.3,29.4
경기도 광주시 오포읍 양벌리,야생조류-왜가리,20150121,20150119,203,1,이천,20150119,0.5,0.0,2.1,62.1
경기도 광주시 초월읍 신월리,닭-산란계,20161222,20161218,203,46000,이천,20161218,1.9,0.0,0.7,76.3
경기도 김포시 대곶면 쇄암리,닭-산란계,20210109,20210108,112,95000,인천,20210108,-14.5,0.0,5.2,42.6
경기도 김포시 대곶면 초원지리,닭-토종닭,20161218,20161212,112,50,인천,20161212,3.0,0.0,2.3,43.6
경기도 김포시 월곶면 군하리,닭-산란계,20201230,20201229,112,212333,인천,20201229,-0.2,0.0,4.2,71.0
경기도 김포시 통진읍 가현리,닭-산란계,20150203,20150131,112,107000,인천,20150131,-4.5,0.0,3.5,59.1
경기도 김포시 통진읍 가현리,닭-산란계,20161224,20161218,112,105000,인천,20161218,6.7,0.0,3.7,68.5
경기도 김포시 통진읍 가현리,닭-산란계,20201213,20201212,112,40000,인천,20201212,3.0,0.0,2.5,46.4
경기도 김포시 통진읍 수참리,닭-산란계,20210101,20201231,112,80000,인천,20201231,-8.3,0.0,3.0,52.0
경기도 김포시 하성면 마조리,메추리-비분류,20170125,20170121,112,430000,인천,20170121,-3.4,4.2,2.9,71.5
경기도 남양주시 화도읍 차산리,닭-산란계,20210112,20210111,108,38400,서울,20210111,-6.7,0.0,1.9,62.1
경기도 동두천시 하봉암동,칠면조,20110211,20110211,98,465,동두천,20110211,-3.0,0.0,1.8,37.6
경기도 성남시 수정구 태평동,닭-토종닭,20141230,20141226,116,1,,,,,,
경기도 성남시 중원구 성남동,닭-토종닭,20141227,20141222,116,1,,,,,,
경기도 성남시 중원구 성남동,닭-토종닭,20141229,20141222,116,3,,,,,,
경기도 수원시 영통구 하동,야생조류-논병아리,20140304,20140227,119,0,수원,20140227,6.7,0.0,1.6,69.8
경기도 수원시 팔달구 인계동,야생조류-기러기,20140131,20140128,119,0,수원,20140128,1.1,0.4,1.7,62.3
경기도 수원시 팔달구 화서동,야생조류-큰기러기,20150202,20150124,119,3,수원,20150124,3.1,0.0,1.1,71.1
경기도 안성시 공도읍 건천리,거위-비분류,20140228,20140225,203,300,이천,20140225,4.2,0.0,1.0,63.8
경기도 안성시 공도읍 건천리,오리-육용오리,20140228,20140225,203,31000,이천,20140225,4.2,0.0,1.0,63.8
경기도 안성시 공도읍 마정리,닭-산란계,20170114,20170108,203,137178,이천,20170108,6.3,0.0,1.1,63.0
경기도 안성시 공도읍 마정리,닭-산란계,20210129,20210128,203,78600,이천,20210128,-2.9,1.3,2.6,59.6
경기도 안성시 공도읍 신두리,닭-산란계,20161220,20161216,203,33000,이천,20161216,-4.6,0.0,1.4,44.9
경기도 안성시 공도읍 용두리,닭-산란계,20170101,20161228,203,41500,이천,20161228,-3.5,0.0,1.2,54.5
경기도 안성시 공도읍 용두리,닭-산란계,20210201,20210130,203,62500,이천,20210130,-2.7,0.3,0.9,60.9
경기도 안성시 공도읍 중복리,닭-기타,20080508,20080508,203,30784,이천,20080508,16.7,0.0,1.1,67.5
경기도 안성시 공도읍 진사리,닭-종계,20161228,20161223,203,59788,이천,20161223,-0.5,0.5,2.6,66.1
경기도 안성시 금광면 개산리,오리-육용오리,20150310,20150305,203,9000,이천,20150305,-1.4,0.0,1.0,45.5
경기도 안성시 금광면 개산리,오리-육용오리,20161230,20161224,203,8600,이천,20161224,-2.1,0.0,0.9,64.5
경기도 안성시 금광면 내우리,오리-육용오리,20150308,20150304,203,9000,이천,20150304,-1.5,0.0,3.1,34.3
경기도 안성시 금광면 삼흥리,닭-산란계,20210113,20210112,203,390000,이천,20210112,-7.0,1.4,0.5,87.3
경기도 안성시 대덕면 명당리,닭-산란계,20170105,20170101,203,376000,이천,20170101,0.4,0.0,0.5,80.3
경기도 안성시 대덕면 보동리,닭-토종닭,20161129,20161125,203,27500,이천,20161125,-1.5,0.0,0.9,60.5
경기도 안성시 미양면 강덕리,닭-육계,20080503,20080503,203,55802,이천,20080503,20.9,0.0,0.9,61.9
경기도 안성시 미양면 강덕리,닭-육계,20080505,20080505,203,55802,이천,20080505,16.4,0.2,3.0,48.0
경기도 안성시 미양면 강덕리,오리-종오리,20110113,20110113,203,45000,이천,20110113,-10.3,0.0,0.6,63.4
경기도 안성시 미양면 강덕리,오리-종오리,20140213,20140211,203,22760,이천,20140211,-1.2,0.0,1.3,53.3
경기도 안성시 미양면 강덕리,오리-종오리,20140217,20140214,203,7,이천,20140214,1.3,0.0,1.0,55.8
경기도 안성시 미양면 강덕리,오리-종오리,20150129,20150126,203,16000,이천,20150126,3.0,2.2,0.7,86.9
경기도 안성시 미양면 강덕리,오리-종오리,20150130,20150129,203,6500,이천,20150129,-1.6,0.0,0.6,68.9
경기도 안성시 미양면 고지리,오리-육용오리,20110116,20110116,203,20200,이천,20110116,-14.2,0.0,1.8,47.8
경기도 안성시 미양면 고지리,오리-종오리,20140217,20140215,203,9000,이천,20140215,1.7,0.0,1.0,59.9
경기도 안성시 미양면 고지리,오리-종오리,20140219,20140217,203,1878,이천,20140217,3.4,0.0,1.1,53.0
경기도 안성시 미양면 고지리,오리-종오리,20150116,20150113,203,7441,이천,20150113,-2.7,0.0,0.6,58.5
경기도 안성시 미양면 법전리,닭-산란계,20150417,20150414,203,161400,이천,20150414,6.4,17.7,1.2,80.3
경기도 안성시 미양면 보체리,닭-육계,20170112,20170109,203,100000,이천,20170109,3.1,0.0,2.6,56.9
경기도 안성시 미양면 정동리,오리-육용오리,20140224,20140218,203,10000,이천,20140218,1.7,0.0,1.7,50.4
경기도 안성시 미양면 정동리,오리-육용오리,20150123,20150122,203,60,이천,20150122,2.2,0.7,0.7,71.4
경기도 안성시 미양면 정동리,오리-육용오리,20150126,20150120,203,17300,이천,20150120,-2.2,0.0,0.7,64.6
경기도 안성시 보개면 기좌리,닭-토종닭,20170118,20170114,203,108607,이천,20170114,-7.4,0.0,2.2,31.8
경기도 안성시 보개면 남풍리,닭-산란계,20161224,20161218,203,170500,이천,20161218,1.9,0.0,0.7,76.3
경기도 안성시 보개면 내방리,오리-육용오리,20150209,20150204,203,9000,이천,20150204,-1.1,0.0,1.1,66.5
경기도 안성시 보개면 동신리,닭-산란계,20170106,20161230,203,40000,이천,20161230,-4.4,0.0,0.8,56.5
경기도 안성시 보개면 동신리,닭-산란계,20210128,20210127,203,29000,이천,20210127,2.3,0.0,1.3,54.1
경기도 안성시 보개면 동평리,오리-육용오리,20161216,20161211,203,10500,이천,20161211,-2.9,0.0,0.8,57.8
경기도 안성시 보개면 복평리,오리-육용오리,20161218,20161209,203,6000,이천,20161209,2.1,1.4,1.7,64.5
경기도 안성시 보개면 양복리,오리-육용오리,20150209,20150205,203,16500,이천,20150205,-0.8,0.0,1.5,69.0
경기도 안성시 보개면 적가리,닭-일괄,20161226,20161220,203,241000,이천,20161220,5.5,0.0,0.6,76.0
경기도 안성시 삼죽면 덕산리,닭-산란계,20161218,20161213,203,43200,이천,20161213,2.2,0.0,1.0,64.1
경기도 안성시 삼죽면 마전리,오리-육용오리,20150225,20150212,203,9500,이천,20150212,-1.5,0.0,2.4,29.5
경기도 안성시 서운면 신촌리,닭-산란계,20161228,20161222,203,54000,이천,20161222,6.7,18.2,2.8,83.8
경기도 안성시 서운면 신촌리,닭-산란계,20161228,20161223,203,230000,이천,20161223,-0.5,0.5,2.6,66.1
경기도 안성시 서운면 신촌리,닭-산란계,20210114,20210113,203,280000,이천,20210113,1.5,0.0,1.0,87.1
경기도 안성시 서운면 신흥리,오리-육용오리,20110108,20110108,203,33000,이천,20110108,-8.9,0.1,0.6,85.3
경기도 안성시 서운면 신흥리,오리-육용오리,20150211,20150208,203,20000,이천,20150208,-8.3,0.0,3.6,26.3
경기도 안성시 서운면 신흥리,오리-종오리,20150205,20150202,203,6500,이천,20150202,-2.9,0.0,0.7,55.9
경기도 안성시 원곡면 외가천리,닭-토종닭,20161207,20161201,203,45500,이천,20161201,4.8,0.0,2.4,48.6
