주소,축종,"사육
두수",진단일,발생일,지역코드
강원도 원주시 귀래면 주포리,닭-산란계,170000,20210224,20210223,114
강원도 인제군 기린면 북리,닭-산란계,28500,20170107,20170103,211
강원도 철원군 갈말읍 강포리,닭-산란계,16000,20161212,20161209,95
강원도 철원군 갈말읍 강포리,닭-산란계,30000,20161203,20161130,95
강원도 춘천시 사북면 지촌리,닭-산란계,48,20080507,20080507,101
강원도 춘천시 사북면 지촌리,닭-산란계,48,20080507,20080507,101
강원도 횡성군 횡성읍 학곡리,닭-토종닭,13,20170109,20170106,114
강원도 횡성군 횡성읍 학곡리,거위-비분류,1300,20140617,20140613,114
경기도 고양시 덕양구 관산동,닭-토종닭,3000,20170307,20170303,99
경기도 고양시 덕양구 내유동,관상조류-비분류,900,20201229,20201228,99
경기도 과천시 문원동,야생조류-큰기러기,0,20140314,20140309,119
경기도 광주시 남한산성면 불당리,오리-기타,12,20160405,20160405,203
경기도 광주시 오포읍 양벌리,야생조류-왜가리,1,20150121,20150119,203
경기도 광주시 초월읍 신월리,닭-산란계,46000,20161222,20161218,203
경기도 김포시 대곶면 쇄암리,닭-산란계,95000,20210109,20210108,112
경기도 김포시 대곶면 초원지리,닭-토종닭,50,20161218,20161212,112
경기도 김포시 월곶면 군하리,닭-산란계,212333,20201230,20201229,112
경기도 김포시 통진읍 가현리,닭-산란계,40000,20201213,20201212,112
경기도 김포시 통진읍 가현리,닭-산란계,105000,20161224,20161218,112
경기도 김포시 통진읍 가현리,닭-산란계,107000,20150203,20150131,112
경기도 김포시 통진읍 수참리,닭-산란계,80000,20210101,20201231,112
경기도 김포시 하성면 마조리,메추리-비분류,430000,20170125,20170121,112
경기도 남양주시 화도읍 차산리,닭-산란계,38400,20210112,20210111,108
경기도 동두천시 하봉암동,칠면조,465,20110211,20110211,98
경기도 성남시 수정구 태평동,닭-토종닭,1,20141230,20141226,119
경기도 성남시 중원구 성남동,닭-토종닭,1,20141229,20141222,119
경기도 성남시 중원구 성남동,닭-토종닭,1,20141229,20141222,119
경기도 성남시 중원구 성남동,닭-토종닭,1,20141229,20141222,119
경기도 성남시 중원구 성남동,닭-토종닭,1,20141227,20141222,119
경기도 수원시 영통구 하동,야생조류-논병아리,0,20140304,20140227,119
경기도 수원시 팔달구 인계동,야생조류-기러기,0,20140131,20140128,119
경기도 수원시 팔달구 화서동,야생조류-큰기러기,3,20150202,20150124,119
경기도 안성시 공도읍 건천리,오리-육용오리,31000,20140228,20140225,203
경기도 안성시 공도읍 건천리,거위-비분류,300,20140228,20140225,203
경기도 안성시 공도읍 마정리,닭-산란계,78600,20210129,20210128,203
경기도 안성시 공도읍 마정리,닭-산란계,137178,20170114,20170108,203
경기도 안성시 공도읍 신두리,닭-산란계,33000,20161220,20161216,203
경기도 안성시 공도읍 용두리,닭-산란계,62500,20210201,20210130,203
경기도 안성시 공도읍 용두리,닭-산란계,41500,20170101,20161228,203
경기도 안성시 공도읍 중복리,닭-기타,15392,20080508,20080508,203
경기도 안성시 공도읍 중복리,닭-기타,15392,20080508,20080508,203
경기도 안성시 공도읍 진사리,닭-종계,59788,20161228,20161223,203
경기도 안성시 금광면 개산리,오리-육용오리,8600,20161230,20161224,203
경기도 안성시 금광면 개산리,오리-육용오리,9000,20150310,20150305,203
경기도 안성시 금광면 내우리,오리-육용오리,9000,20150308,20150304,203
경기도 안성시 금광면 삼흥리,닭-산란계,390000,20210113,20210112,203
경기도 안성시 대덕면 명당리,닭-산란계,376000,20170105,20170101,203
경기도 안성시 대덕면 보동리,닭-토종닭,27500,20161129,20161125,203
경기도 안성시 미양면 강덕리,오리-종오리,6500,20150130,20150129,203
경기도 안성시 미양면 강덕리,오리-종오리,16000,20150129,20150126,203
경기도 안성시 미양면 강덕리,오리-종오리,7,20140217,20140214,203
경기도 안성시 미양면 강덕리,오리-종오리,22760,20140213,20140211,203
경기도 안성시 미양면 강덕리,오리-종오리,45000,20110113,20110113,203
경기도 안성시 미양면 강덕리,닭-육계,55802,20080505,20080505,203
경기도 안성시 미양면 강덕리,닭-육계,55802,20080503,20080503,203
