주소,축종,사육수,진단일,발생일,지역코드,지역명,시도,시군구,location,date,avg_temperature(C),daily_rain(mm),avg_wind(m/s),avg_r_humidity(%)
강원도 원주시 귀래면 주포리,닭-산란계,170000,20210224,20210223,114,원주,강원도,원주시,원주,20210223,1.9,0.0,1.4,28.0
강원도 인제군 기린면 북리,닭-산란계,28500,20170107,20170103,211,인제,강원도,인제군,인제,20170103,1.2,0.0,2.2,60.1
강원도 철원군 갈말읍 강포리,닭-산란계,16000,20161212,20161209,95,철원,강원도,철원군,철원,20161209,-0.1,1.7,1.6,68.9
강원도 철원군 갈말읍 강포리,닭-산란계,30000,20161203,20161130,95,철원,강원도,철원군,철원,20161130,3.2,1.2,0.9,72.1
강원도 춘천시 사북면 지촌리,닭-산란계,48,20080507,20080507,101,춘천,강원도,춘천시,춘천,20080507,13.2,17.0,0.6,66.1
강원도 춘천시 사북면 지촌리,닭-산란계,48,20080507,20080507,101,춘천,강원도,춘천시,춘천,20080507,13.2,17.0,0.6,66.1
강원도 횡성군 횡성읍 학곡리,닭-토종닭,13,20170109,20170106,114,원주,강원도,횡성군,원주,20170106,3.9,0.0,0.6,64.9
강원도 횡성군 횡성읍 학곡리,거위-비분류,1300,20140617,20140613,114,원주,강원도,횡성군,원주,20140613,20.7,0.5,1.5,76.6
경기도 고양시 덕양구 관산동,닭-토종닭,3000,20170307,20170303,99,파주,경기도,고양시,파주,20170303,1.2,0.0,1.8,68.6
경기도 고양시 덕양구 내유동,관상조류-비분류,900,20201229,20201228,99,파주,경기도,고양시,파주,20201228,2.3,0.0,0.5,85.5
경기도 과천시 문원동,야생조류-큰기러기,0,20140314,20140309,119,수원,경기도,과천시,수원,20140309,1.8,5.6,2.9,58.4
경기도 광주시 남한산성면 불당리,오리-기타,12,20160405,20160405,203,이천,경기도,광주시,이천,20160405,11.7,0.0,2.3,29.4
경기도 광주시 오포읍 양벌리,야생조류-왜가리,1,20150121,20150119,203,이천,경기도,광주시,이천,20150119,0.5,0.0,2.1,62.1
경기도 광주시 초월읍 신월리,닭-산란계,46000,20161222,20161218,203,이천,경기도,광주시,이천,20161218,1.9,0.0,0.7,76.3
경기도 김포시 대곶면 쇄암리,닭-산란계,95000,20210109,20210108,112,인천,경기도,김포시,인천,20210108,-14.5,0.0,5.2,42.6
경기도 김포시 대곶면 초원지리,닭-토종닭,50,20161218,20161212,112,인천,경기도,김포시,인천,20161212,3.0,0.0,2.3,43.6
경기도 김포시 월곶면 군하리,닭-산란계,212333,20201230,20201229,112,인천,경기도,김포시,인천,20201229,-0.2,0.0,4.2,71.0
경기도 김포시 통진읍 가현리,닭-산란계,40000,20201213,20201212,112,인천,경기도,김포시,인천,20201212,3.0,0.0,2.5,46.4
경기도 김포시 통진읍 가현리,닭-산란계,105000,20161224,20161218,112,인천,경기도,김포시,인천,20161218,6.7,0.0,3.7,68.5
경기도 김포시 통진읍 가현리,닭-산란계,107000,20150203,20150131,112,인천,경기도,김포시,인천,20150131,-4.5,0.0,3.5,59.1
경기도 김포시 통진읍 수참리,닭-산란계,80000,20210101,20201231,112,인천,경기도,김포시,인천,20201231,-8.3,0.0,3.0,52.0
경기도 김포시 하성면 마조리,메추리-비분류,430000,20170125,20170121,112,인천,경기도,김포시,인천,20170121,-3.4,4.2,2.9,71.5
경기도 남양주시 화도읍 차산리,닭-산란계,38400,20210112,20210111,108,서울,경기도,남양주시,서울,20210111,-6.7,0.0,1.9,62.1
경기도 동두천시 하봉암동,칠면조,465,20110211,20110211,98,동두천,경기도,동두천시,동두천,20110211,-3.0,0.0,1.8,37.6
경기도 성남시 수정구 태평동,닭-토종닭,1,20141230,20141226,119,수원,경기도,성남시,수원,20141226,-2.4,0.0,1.1,48.0
경기도 성남시 중원구 성남동,닭-토종닭,1,20141229,20141222,119,수원,경기도,성남시,수원,20141222,-4.3,1.7,1.3,75.6
경기도 성남시 중원구 성남동,닭-토종닭,1,20141229,20141222,119,수원,경기도,성남시,수원,20141222,-4.3,1.7,1.3,75.6
경기도 성남시 중원구 성남동,닭-토종닭,1,20141229,20141222,119,수원,경기도,성남시,수원,20141222,-4.3,1.7,1.3,75.6
경기도 성남시 중원구 성남동,닭-토종닭,1,20141227,20141222,119,수원,경기도,성남시,수원,20141222,-4.3,1.7,1.3,75.6
경기도 수원시 영통구 하동,야생조류-논병아리,0,20140304,20140227,119,수원,경기도,수원시,수원,20140227,6.7,0.0,1.6,69.8
경기도 수원시 팔달구 인계동,야생조류-기러기,0,20140131,20140128,119,수원,경기도,수원시,수원,20140128,1.1,0.4,1.7,62.3
경기도 수원시 팔달구 화서동,야생조류-큰기러기,3,20150202,20150124,119,수원,경기도,수원시,수원,20150124,3.1,0.0,1.1,71.1
경기도 안성시 공도읍 건천리,오리-육용오리,31000,20140228,20140225,203,이천,경기도,안성시,이천,20140225,4.2,0.0,1.0,63.8
경기도 안성시 공도읍 건천리,거위-비분류,300,20140228,20140225,203,이천,경기도,안성시,이천,20140225,4.2,0.0,1.0,63.8
경기도 안성시 공도읍 마정리,닭-산란계,78600,20210129,20210128,203,이천,경기도,안성시,이천,20210128,-2.9,1.3,2.6,59.6
경기도 안성시 공도읍 마정리,닭-산란계,137178,20170114,20170108,203,이천,경기도,안성시,이천,20170108,6.3,0.0,1.1,63.0
경기도 안성시 공도읍 신두리,닭-산란계,33000,20161220,20161216,203,이천,경기도,안성시,이천,20161216,-4.6,0.0,1.4,44.9
경기도 안성시 공도읍 용두리,닭-산란계,62500,20210201,20210130,203,이천,경기도,안성시,이천,20210130,-2.7,0.3,0.9,60.9
경기도 안성시 공도읍 용두리,닭-산란계,41500,20170101,20161228,203,이천,경기도,안성시,이천,20161228,-3.5,0.0,1.2,54.5
경기도 안성시 공도읍 중복리,닭-기타,15392,20080508,20080508,203,이천,경기도,안성시,이천,20080508,16.7,0.0,1.1,67.5
경기도 안성시 공도읍 중복리,닭-기타,15392,20080508,20080508,203,이천,경기도,안성시,이천,20080508,16.7,0.0,1.1,67.5
경기도 안성시 공도읍 진사리,닭-종계,59788,20161228,20161223,203,이천,경기도,안성시,이천,20161223,-0.5,0.5,2.6,66.1
경기도 안성시 금광면 개산리,오리-육용오리,8600,20161230,20161224,203,이천,경기도,안성시,이천,20161224,-2.1,0.0,0.9,64.5
경기도 안성시 금광면 개산리,오리-육용오리,9000,20150310,20150305,203,이천,경기도,안성시,이천,20150305,-1.4,0.0,1.0,45.5
경기도 안성시 금광면 내우리,오리-육용오리,9000,20150308,20150304,203,이천,경기도,안성시,이천,20150304,-1.5,0.0,3.1,34.3
경기도 안성시 금광면 삼흥리,닭-산란계,390000,20210113,20210112,203,이천,경기도,안성시,이천,20210112,-7.0,1.4,0.5,87.3
경기도 안성시 대덕면 명당리,닭-산란계,376000,20170105,20170101,203,이천,경기도,안성시,이천,20170101,0.4,0.0,0.5,80.3
경기도 안성시 대덕면 보동리,닭-토종닭,27500,20161129,20161125,203,이천,경기도,안성시,이천,20161125,-1.5,0.0,0.9,60.5
경기도 안성시 미양면 강덕리,오리-종오리,6500,20150130,20150129,203,이천,경기도,안성시,이천,20150129,-1.6,0.0,0.6,68.9
경기도 안성시 미양면 강덕리,오리-종오리,16000,20150129,20150126,203,이천,경기도,안성시,이천,20150126,3.0,2.2,0.7,86.9
경기도 안성시 미양면 강덕리,오리-종오리,7,20140217,20140214,203,이천,경기도,안성시,이천,20140214,1.3,0.0,1.0,55.8
경기도 안성시 미양면 강덕리,오리-종오리,22760,20140213,20140211,203,이천,경기도,안성시,이천,20140211,-1.2,0.0,1.3,53.3
경기도 안성시 미양면 강덕리,오리-종오리,45000,20110113,20110113,203,이천,경기도,안성시,이천,20110113,-10.3,0.0,0.6,63.4
경기도 안성시 미양면 강덕리,닭-육계,55802,20080505,20080505,203,이천,경기도,안성시,이천,20080505,16.4,0.2,3.0,48.0
경기도 안성시 미양면 강덕리,닭-육계,55802,20080503,20080503,203,이천,경기도,안성시,이천,20080503,20.9,0.0,0.9,61.9
