시군구,month,avg_temp(C),daily_rain(mm),avg_wind(m/s),avg_r_humidity(%),other_avg_temp(C),other_daily_rain(mm),other_avg_wind(m/s),other_avg_r_humidity(%)
강진군,1,-0.5,3.8,3.6,68.3,0.0,1.0,2.5,67.2
강진군,2,3.7,0.0,2.0,64.0,2.8,1.0,3.1,65.7
강진군,3,5.2,0.0,3.9,51.1,6.8,0.9,2.5,62.9
강진군,4,16.4,46.0,3.1,87.9,12.6,4.9,2.5,71.6
강진군,5,12.9,0.4,2.6,66.9,17.8,5.0,2.7,65.1
강진군,9,19.8,0.0,1.6,77.4,20.8,3.5,1.8,80.2
거창군,1,-9.0,0.0,1.7,57.8,-0.8,0.4,1.5,64.9
경산시,5,12.6,8.5,1.8,72.8,17.9,2.5,2.1,59.8
경주시,3,2.3,0.0,3.4,27.2,8.1,3.3,2.8,62.5
경주시,11,9.2,24.0,1.9,91.8,8.5,0.5,2.1,69.1
경주시,12,3.7,0.0,3.1,45.6,3.2,0.2,3.3,48.4
고성군,1,2.2,0.0,2.3,60.7,3.6,1.4,2.7,59.7
고성군,6,21.2,0.0,2.2,77.0,21.0,2.4,2.1,79.2
고성군,12,7.2,11.0,2.8,82.8,6.8,3.3,2.6,59.2
고양시,3,1.2,0.0,1.8,68.6,3.9,0.3,1.4,58.1
고양시,12,2.3,0.0,0.5,85.5,-3.5,0.2,1.1,68.7
고창군,1,0.6,2.0,2.0,68.1,-1.1,0.3,1.6,69.1
고창군,2,2.6,0.0,1.2,62.5,2.3,1.4,2.0,66.9
고창군,3,3.7,1.5,2.2,66.1,6.4,0.8,1.5,62.3
고창군,4,13.7,0.5,1.4,73.2,13.3,2.9,1.7,60.8
고창군,11,6.9,0.3,0.9,59.5,6.9,0.1,1.7,67.1
고창군,12,-1.5,0.1,2.2,78.2,2.9,0.8,1.6,70.9
고흥군,1,0.6,0.0,1.3,62.6,-0.2,0.9,1.7,65.2
고흥군,2,9.2,63.5,1.4,89.4,3.4,0.8,1.7,61.3
고흥군,12,2.2,0.0,2.9,58.4,1.6,0.4,1.7,65.2
곡성군,3,6.8,0.0,1.2,57.9,5.8,1.2,2.0,50.2
곡성군,7,27.4,3.6,3.3,78.6,23.9,10.8,1.5,76.9
곡성군,9,20.0,0.0,1.2,81.4,20.2,7.2,1.2,79.2
곡성군,11,10.3,0.0,1.6,0.0,8.6,2.9,1.6,73.3
곡성군,12,2.8,1.9,2.5,84.5,1.1,0.3,2.5,64.6
공주시,3,8.9,0.3,1.5,61.4,5.4,0.3,1.3,58.4
공주시,5,14.5,1.5,2.6,76.3,18.0,2.0,1.6,68.2
과천시,3,1.8,5.6,2.9,58.4,7.8,0.2,2.1,61.5
광주광역시,9,21.4,0.0,1.7,68.2,22.0,2.4,1.4,73.1
광주시,1,0.5,0.0,2.1,62.1,-2.0,0.8,1.2,60.4
광주시,4,11.7,0.0,2.3,29.4,13.9,3.0,1.8,54.8
광주시,12,1.9,0.0,0.7,76.3,0.3,2.0,1.2,64.1
괴산군,2,-4.6,0.0,2.6,54.6,2.2,0.5,1.6,57.9
괴산군,11,4.9,0.9,0.8,71.6,5.9,0.8,1.3,68.7
괴산군,12,-0.9,0.0,1.1,59.0,0.7,1.4,1.3,70.0
구례군,1,-0.8,2.4,1.8,70.9,0.8,1.0,2.6,64.6
구례군,2,1.9,1.0,2.5,57.1,2.1,1.3,2.3,56.5
구례군,3,3.0,0.0,1.0,62.0,6.9,2.2,2.2,54.7
구례군,12,1.4,0.0,1.1,76.3,2.2,1.3,2.4,63.9
구미시,12,-3.2,0.0,2.1,35.1,1.0,0.1,1.0,56.1
군산시,1,-2.9,2.0,3.0,81.8,0.7,0.2,1.5,72.3
군산시,2,2.4,0.0,1.8,79.8,1.9,1.0,2.7,76.5
군산시,6,19.4,1.8,3.9,77.2,22.2,1.3,2.1,64.2
김제시,1,3.2,0.0,2.8,69.6,0.3,1.0,1.6,65.0
김제시,2,2.2,0.0,1.6,58.0,2.8,1.0,1.8,59.7
김제시,3,10.7,0.4,1.5,56.1,7.6,2.2,1.6,56.2
김제시,4,13.4,1.5,1.7,66.5,14.2,2.4,1.9,58.4
김제시,11,8.1,0.3,1.0,72.3,9.0,2.0,1.5,70.8
김제시,12,5.5,3.2,2.3,79.7,3.3,1.2,1.7,69.8
김포시,1,-7.5,1.4,3.9,57.7,-1.0,0.5,3.4,62.2
김포시,12,0.8,0.0,3.1,56.3,1.2,1.3,3.3,59.5
나주시,1,-0.2,0.5,2.1,61.5,0.4,0.8,1.7,63.5
나주시,2,1.6,0.0,1.6,57.6,4.2,1.0,1.7,59.8
나주시,3,7.8,6.6,1.7,73.6,8.9,2.7,1.6,61.0
나주시,4,11.9,0.0,1.8,43.3,14.6,2.2,1.9,56.1
나주시,6,24.2,0.0,1.5,68.3,22.8,2.5,1.9,66.6
나주시,9,20.8,0.0,1.0,61.4,22.0,2.3,1.4,73.2
나주시,10,15.7,0.0,1.7,57.1,16.8,3.4,1.5,68.6
나주시,11,6.0,0.0,1.8,58.9,9.7,1.1,1.5,69.1
나주시,12,2.4,0.7,1.7,63.9,2.7,1.1,1.6,66.2
남양주시,1,-6.7,0.0,1.9,62.1,-2.2,0.6,2.5,57.3
남원시,12,-0.4,0.0,0.7,85.0,0.3,0.5,1.8,70.4
논산시,2,0.0,0.0,1.1,72.4,2.7,0.6,1.4,63.5
논산시,3,6.1,0.8,1.3,63.5,5.4,0.2,1.4,57.9
논산시,4,12.5,0.8,1.8,50.7,13.1,2.0,1.6,61.5
논산시,12,0.6,0.9,1.2,87.3,-0.3,0.1,0.9,70.8
담양군,2,8.2,0.0,1.1,63.9,3.0,2.2,1.6,64.9
담양군,5,20.8,0.0,2.2,60.5,19.0,2.0,2.2,55.9
담양군,9,20.8,0.0,1.4,71.8,22.1,2.4,1.4,72.9
담양군,10,18.7,0.0,1.7,62.6,16.3,3.6,1.8,66.0
당진시,1,-1.3,0.0,1.0,86.3,-0.8,0.2,1.6,75.9
당진시,2,-6.9,0.0,4.4,49.0,-1.6,1.5,2.2,60.2
당진시,3,-0.3,0.0,2.0,58.6,6.9,1.1,2.3,77.1
대구광역시,5,23.3,0.0,1.5,49.1,19.6,2.8,2.3,53.2
대구광역시,6,25.4,0.5,1.8,54.7,23.3,1.7,2.3,61.7
동두천시,2,-3.0,0.0,1.8,37.6,0.0,1.1,0.9,55.9
무안군,1,2.7,0.5,4.8,79.6,2.3,1.1,3.8,78.1
무안군,3,5.7,0.0,3.2,69.8,6.6,1.0,3.5,74.7
무안군,6,21.8,0.0,1.5,91.3,21.7,2.4,2.4,91.0
무안군,9,21.6,0.0,2.1,89.4,22.2,2.6,2.1,87.4
무안군,10,13.8,0.0,1.0,79.5,17.0,3.3,2.6,83.4
무안군,11,15.1,3.5,1.9,98.0,9.8,2.0,3.4,78.9
문경시,1,-3.5,0.4,1.0,65.1,-2.2,0.4,2.3,57.2
밀양시,1,3.0,0.0,1.1,56.9,1.0,0.2,1.2,50.7
보성군,1,3.2,0.0,3.8,65.0,-0.1,0.4,4.1,61.3
보성군,11,10.3,0.0,2.1,60.1,10.6,2.4,2.6,64.1
부산광역시,1,6.1,0.0,1.1,58.0,4.6,1.7,3.2,53.2
부산광역시,5,14.5,1.3,4.9,65.4,17.5,6.5,3.2,69.0
