시도,month,day,avg_temp(C),daily_rain(mm),avg_r_humidity(%),temp_index,rain_index,humidity_index,risk
강원영동,1,1,1.2,0.0,33.2,0.0,0.0,0.0,0.0
강원영동,1,2,3.2,0.0,34.7,0.0,0.0,0.0,0.0
강원영동,1,3,3.4,0.0,35.5,0.0,0.0,0.0,0.0
강원영동,1,4,4.2,0.0,39.0,0.0,0.0,0.0,0.0
강원영동,1,5,3.2,1.8,43.8,0.0,0.0,0.0,0.0
강원영동,1,6,3.0,0.0,44.3,0.0,0.0,0.0,0.0
강원영동,1,7,2.8,9.1,45.2,0.0,0.0,0.0,0.0
강원영동,1,8,2.7,5.2,47.2,0.0,0.0,0.0,0.0
강원영동,1,9,1.4,0.1,36.0,0.0,0.0,0.0,0.0
강원영동,1,10,1.5,0.0,30.8,0.0,0.0,0.0,0.0
강원영동,1,11,-0.3,0.0,39.2,0.0,0.0,0.0,0.0
강원영동,1,12,-0.3,0.2,40.5,0.0,0.0,0.0,0.0
강원영동,1,13,0.4,0.0,38.7,0.0,0.0,0.0,0.0
강원영동,1,14,0.9,0.0,36.2,0.0,0.0,0.0,0.0
강원영동,1,15,2.0,0.3,44.5,0.0,0.0,0.0,0.0
강원영동,1,16,1.6,0.0,44.8,0.0,0.0,0.0,0.0
강원영동,1,17,2.7,1.4,50.3,0.0,0.0,0.0,0.0
강원영동,1,18,2.7,1.6,42.5,0.0,0.0,0.0,0.0
강원영동,1,19,1.5,0.0,37.5,0.0,0.0,0.0,0.0
강원영동,1,20,0.9,4.4,45.7,0.0,0.0,0.0,0.0
강원영동,1,21,0.5,0.0,45.2,0.0,0.0,0.0,0.0
강원영동,1,22,1.1,1.8,46.7,0.0,0.0,0.0,0.0
강원영동,1,23,-1.0,0.0,39.2,0.0,0.0,0.0,0.0
강원영동,1,24,-2.3,1.2,39.3,0.0,0.0,0.0,0.0
강원영동,1,25,-1.2,0.3,46.0,0.0,0.0,0.0,0.0
강원영동,1,26,0.4,1.3,48.0,0.0,0.0,0.0,0.0
강원영동,1,27,2.0,0.6,43.3,0.0,0.0,0.0,0.0
강원영동,1,28,1.7,0.6,46.0,0.0,0.0,0.0,0.0
강원영동,1,29,1.1,2.7,56.0,0.0,0.0,0.0,0.0
강원영동,1,30,1.4,5.9,57.5,0.0,0.0,0.0,0.0
강원영동,1,31,0.1,1.8,55.8,0.0,0.0,0.0,0.0
강원영동,2,1,0.1,0.0,39.5,0.0,0.0,0.0,0.0
강원영동,2,2,1.5,0.0,43.8,0.0,0.0,0.0,0.0
강원영동,2,3,1.6,1.9,48.8,0.0,0.0,0.0,0.0
강원영동,2,4,1.8,0.0,38.3,0.0,0.0,0.0,0.0
강원영동,2,5,0.4,0.8,39.0,0.0,0.0,0.0,0.0
강원영동,2,6,-0.4,1.4,49.8,0.0,0.0,0.0,0.0
강원영동,2,7,0.5,1.0,42.5,0.0,0.0,0.0,0.0
강원영동,2,8,-0.2,0.4,39.8,0.0,0.0,0.0,0.0
강원영동,2,9,0.4,0.1,38.0,0.0,0.0,0.0,0.0
강원영동,2,10,1.2,0.0,42.2,0.0,0.0,0.0,0.0
강원영동,2,11,1.6,0.0,40.3,0.0,0.0,0.0,0.0
강원영동,2,12,1.8,0.9,46.2,0.0,0.0,0.0,0.0
강원영동,2,13,3.2,2.0,46.8,0.0,0.0,0.0,0.0
강원영동,2,14,4.1,1.0,55.2,0.0,0.0,0.0,0.0
강원영동,2,15,3.9,0.1,51.8,0.0,0.0,0.0,0.0
강원영동,2,16,3.5,2.6,50.2,0.0,0.0,0.0,0.0
강원영동,2,17,2.1,0.4,45.0,0.0,0.0,0.0,0.0
강원영동,2,18,2.8,0.2,42.5,0.0,0.0,0.0,0.0
강원영동,2,19,3.9,1.2,53.0,0.0,0.0,0.0,0.0
강원영동,2,20,3.8,0.0,49.3,0.0,0.0,0.0,0.0
강원영동,2,21,3.3,0.2,48.2,0.0,0.0,0.0,0.0
강원영동,2,22,4.7,0.6,49.5,0.0,0.0,0.0,0.0
강원영동,2,23,4.6,0.2,45.2,0.0,0.0,0.0,0.0
강원영동,2,24,4.2,0.9,51.7,0.0,0.0,0.0,0.0
강원영동,2,25,4.3,5.6,56.7,0.0,0.0,0.0,0.0
강원영동,2,26,3.7,3.3,56.2,0.0,0.0,0.0,0.0
강원영동,2,27,3.5,0.2,63.7,0.0,0.0,0.0,0.0
강원영동,2,28,5.1,10.1,62.3,0.0,0.0,0.0,0.0
강원영동,2,29,2.7,0.0,59.0,0.0,0.0,0.0,0.0
강원영동,3,1,5.1,0.6,51.0,0.0,0.0,0.0,0.0
강원영동,3,2,5.2,2.1,50.2,0.0,0.0,0.0,0.0
강원영동,3,3,7.9,0.0,52.2,0.0,0.0,0.0,0.0
강원영동,3,4,6.1,2.5,58.0,0.0,0.0,0.0,0.0
강원영동,3,5,4.6,7.0,62.7,0.0,0.0,0.0,0.0
강원영동,3,6,4.8,1.3,60.8,0.0,0.0,0.0,0.0
강원영동,3,7,4.5,1.1,62.5,0.0,0.0,0.0,0.0
강원영동,3,8,5.6,2.1,57.5,0.0,0.0,0.0,0.0
강원영동,3,9,5.9,1.9,53.7,0.0,0.0,0.0,0.0
강원영동,3,10,4.4,3.3,51.8,0.0,0.0,0.0,0.0
강원영동,3,11,5.1,0.0,41.8,0.0,0.0,0.0,0.0
강원영동,3,12,7.8,0.0,37.5,0.0,0.0,0.0,0.0
강원영동,3,13,7.8,0.0,41.0,0.0,0.0,0.0,0.0
강원영동,3,14,6.7,1.5,49.3,0.0,0.0,0.0,0.0
강원영동,3,15,7.3,2.6,54.3,0.0,0.0,0.0,0.0
강원영동,3,16,6.9,0.7,50.7,0.0,0.0,0.0,0.0
강원영동,3,17,9.3,0.0,45.3,0.0,0.0,0.0,0.0
강원영동,3,18,11.2,1.8,47.5,0.0,0.0,0.0,0.0
강원영동,3,19,10.4,1.2,53.2,0.0,0.0,0.0,0.0
강원영동,3,20,9.5,1.8,53.2,0.0,0.0,0.0,0.0
강원영동,3,21,8.9,3.2,59.8,0.0,0.0,0.0,0.0
강원영동,3,22,8.0,0.0,47.5,0.0,0.0,0.0,0.0
강원영동,3,23,6.6,1.1,52.7,0.0,0.0,0.0,0.0
강원영동,3,24,7.3,0.1,49.3,0.0,0.0,0.0,0.0
강원영동,3,25,9.2,0.6,57.2,0.0,0.0,0.0,0.0
강원영동,3,26,12.2,0.1,46.7,0.0,0.0,0.0,0.0
강원영동,3,27,12.1,2.0,52.5,0.0,0.0,0.0,0.0
강원영동,3,28,11.6,1.8,43.2,0.0,0.0,0.0,0.0
강원영동,3,29,10.9,0.0,51.3,0.0,0.0,0.0,0.0
강원영동,3,30,11.1,0.3,55.7,0.0,0.0,0.0,0.0
강원영동,3,31,11.7,2.2,56.7,0.0,0.0,0.0,0.0
강원영동,4,1,9.4,4.2,64.5,0.0,0.0,0.0,0.0
강원영동,4,2,11.1,1.4,56.8,0.0,0.0,0.0,0.0
강원영동,4,3,12.6,2.1,51.8,0.0,0.0,0.0,0.0
강원영동,4,4,10.3,4.2,56.3,0.0,0.0,0.0,0.0
강원영동,4,5,10.4,2.1,54.2,0.0,0.0,0.0,0.0
