month,시도,발생건수(타겟),철새수,range,result,철새수/result,표준 risk,risk,,리스크 기준(이상/미만),점수
1,강원도,2,626130,"2,3",947733,66%,5,3,,0%이상~20% 미만,0
1,경기도,55,1242626,"55,56",1072138,116%,5,5,,20%이상~40% 미만,1
1,경상남도,11,347682,"11,12",968858,36%,5,1,,40%~59.99%,2
1,경상북도,2,554884,"2,3",947733,59%,5,2,,60%~79.99%,3
1,광주광역시,0,49915,"0,1",943038,5%,5,0,,80%~99.99%,4
1,대구광역시,0,17006,"0,1",943038,2%,5,0,,100%~119.99%,5
1,부산광역시,2,411231,"2,3",947733,43%,5,2,,120%~139.99%,6
1,서울특별시,0,126690,"0,1",943038,13%,5,0,,140%~159.99%,7
1,세종특별자치시,1,55283,"1,0",945386,6%,5,0,,160%~179.99%,8
1,울산광역시,0,693134,"0,1",943038,74%,5,3,,180%~199.99%,9
1,인천광역시,0,214373,"0,1",943038,23%,5,1,,200% 이상,10
1,전라남도,37,1041056,"37,38",1029887,101%,5,5,,,
1,전라북도,51,1773081,"51,52",1062749,167%,5,8,,,
1,제주특별자치도,0,256564,"0,1",943038,27%,5,1,,,
1,충청남도,17,3370301,"17,18",982942,343%,5,10,,,
1,충청북도,5,212624,"5,6",954775,22%,5,1,,,
2,강원도,1,411800,"1,2",945386,44%,5,2,,,
2,경기도,32,962652,"32,33",1018151,95%,5,4,,,
2,경상남도,2,134152,"2,3",947733,14%,5,0,,,
2,경상북도,1,325603,"1,2",945386,34%,5,1,,,
2,광주광역시,0,18287,"0,1",943038,2%,5,0,,,
2,대구광역시,0,2515,"0,1",943038,0%,5,0,,,
2,부산광역시,0,311381,"0,1",943038,33%,5,1,,,
2,서울특별시,0,69569,"0,1",943038,7%,5,0,,,
2,세종특별자치시,0,80093,"0,1",943038,8%,5,0,,,
2,울산광역시,2,369927,"2,3",947733,39%,5,1,,,
2,인천광역시,1,32003,"1,0",945386,3%,5,0,,,
2,전라남도,21,514334,"21,22",992331,52%,5,2,,,
2,전라북도,20,691757,"20,21",989984,70%,5,3,,,
2,제주특별자치도,1,134190,"1,2",945386,14%,5,0,,,
2,충청남도,15,2381390,"15,16",978247,243%,5,10,,,
2,충청북도,75,145929,"75,76",1119083,13%,5,0,,,
3,강원도,0,411756,"0,1",943038,44%,5,2,,,
3,경기도,12,1133953,"12,13",971205,117%,5,5,,,
3,경상남도,0,55363,"0,1",943038,6%,5,0,,,
3,경상북도,2,167645,"2,3",947733,18%,5,0,,,
3,광주광역시,0,5141,"0,1",943038,1%,5,0,,,
3,대구광역시,0,0,"0,1",943038,0%,5,0,,,
3,부산광역시,0,174620,"0,1",943038,19%,5,0,,,
3,서울특별시,0,117943,"0,1",943038,13%,5,0,,,
3,세종특별자치시,4,35141,"4,5",952427,4%,5,0,,,
3,울산광역시,0,137218,"0,1",943038,15%,5,0,,,
3,인천광역시,0,3568,"0,1",943038,0%,5,0,,,
