년도,주소,시도,시군,축종명,경영체수 합계(건),시설여부(경영체 수),,경영형태(시설 개수),,사육 규모,단위
,,,,,,시설 없음,시설 있음,자영,임차,,
2016,서울특별시마포구,서울특별시,마포구,육계,1,1,0,1,0,1,마리
2016,서울특별시서초구,서울특별시,서초구,육계,2,0,2,2,0,65,마리
2016,서울특별시송파구,서울특별시,송파구,육계,1,1,0,1,0,2,마리
2016,서울특별시강동구,서울특별시,강동구,육계,1,0,1,1,0,15,마리
2016,부산광역시북구,부산광역시,북구,육계,1,0,1,1,0,60,마리
2016,부산광역시북구,부산광역시,북구,오리,1,0,1,1,0,20,마리
2016,부산광역시해운대구,부산광역시,해운대구,육계,4,0,4,4,0,317,마리
2016,부산광역시금정구,부산광역시,금정구,육계,3,0,3,3,0,1050,마리
2016,부산광역시강서구,부산광역시,강서구,육계,20,0,20,13,7,87953,마리
2016,부산광역시강서구,부산광역시,강서구,오리,4,0,4,2,2,5079,마리
2016,부산광역시강서구,부산광역시,강서구,꿩,1,0,1,1,0,6,마리
2016,부산광역시연제구,부산광역시,연제구,육계,1,0,1,1,0,50,마리
2016,부산광역시기장군,부산광역시,기장군,육계,35,0,36,35,1,14032,마리
2016,부산광역시기장군,부산광역시,기장군,오리,10,0,10,10,0,2763,마리
2016,부산광역시기장군,부산광역시,기장군,꿩,1,0,1,0,1,2,마리
2016,대구광역시동구,대구광역시,동구,육계,12,5,7,11,1,111301,마리
2016,대구광역시동구,대구광역시,동구,오리,1,0,1,0,1,30,마리
2016,대구광역시북구,대구광역시,북구,육계,4,1,3,4,0,330,마리
2016,대구광역시수성구,대구광역시,수성구,육계,5,2,4,6,0,845,마리
2016,대구광역시달서구,대구광역시,달서구,육계,2,1,1,2,0,60,마리
2016,대구광역시달성군,대구광역시,달성군,육계,16,2,15,15,2,87075,마리
2016,대구광역시달성군,대구광역시,달성군,오리,2,0,2,2,0,250,마리
2016,대구광역시달성군,대구광역시,달성군,메추리,1,0,1,0,1,100000,마리
2016,대구광역시달성군,대구광역시,달성군,꿩,3,0,3,3,0,4150,마리
2016,인천광역시중구,인천광역시,중구,육계,10,0,10,8,2,17840,마리
2016,인천광역시중구,인천광역시,중구,칠면조,1,1,0,1,0,4,마리
2016,인천광역시중구,인천광역시,중구,오리,1,0,1,0,1,500,마리
2016,인천광역시남구,인천광역시,남구,육계,1,0,1,0,1,50,마리
2016,인천광역시남구,인천광역시,남구,오리,1,0,1,0,1,3,마리
2016,인천광역시연수구,인천광역시,연수구,육계,1,0,1,1,0,200,마리
2016,인천광역시남동구,인천광역시,남동구,육계,10,0,10,8,2,13330,마리
2016,인천광역시남동구,인천광역시,남동구,오리,3,0,3,2,1,106,마리
2016,인천광역시부평구,인천광역시,부평구,육계,1,0,2,2,0,300,마리
2016,인천광역시계양구,인천광역시,계양구,육계,4,0,4,4,0,700,마리
2016,인천광역시서구,인천광역시,서구,육계,8,0,8,6,2,65375,마리
2016,인천광역시서구,인천광역시,서구,메추리,1,0,1,0,1,100000,마리
2016,인천광역시강화군,인천광역시,강화군,육계,46,2,45,44,3,1281341,마리
2016,인천광역시강화군,인천광역시,강화군,오리,3,0,3,3,0,315,마리
2016,인천광역시강화군,인천광역시,강화군,메추리,4,0,5,5,0,370000,마리
2016,인천광역시옹진군,인천광역시,옹진군,육계,7,0,8,7,1,6690,마리
2016,인천광역시옹진군,인천광역시,옹진군,칠면조,1,0,1,1,0,10,마리
2016,광주광역시동구,광주광역시,동구,육계,1,1,0,1,0,50,마리
2016,광주광역시서구,광주광역시,서구,육계,5,1,4,5,0,1020,마리
2016,광주광역시서구,광주광역시,서구,오리,3,0,5,1,4,32100,마리
2016,광주광역시남구,광주광역시,남구,육계,9,1,8,9,0,10451,마리
2016,광주광역시남구,광주광역시,남구,오리,1,0,1,1,0,200,마리
2016,광주광역시북구,광주광역시,북구,육계,12,3,10,11,2,8315,마리
2016,광주광역시광산구,광주광역시,광산구,육계,43,15,28,37,6,288975,마리
2016,광주광역시광산구,광주광역시,광산구,칠면조,2,0,2,2,0,4,마리
2016,광주광역시광산구,광주광역시,광산구,오리,8,1,9,8,2,15272,마리
2016,광주광역시광산구,광주광역시,광산구,메추리,3,1,4,5,0,185000,마리
2016,광주광역시광산구,광주광역시,광산구,꿩,1,0,2,2,0,250,마리
2016,대전광역시동구,대전광역시,동구,육계,8,0,9,8,1,816,마리
2016,대전광역시동구,대전광역시,동구,오리,1,0,2,2,0,12,마리
2016,대전광역시중구,대전광역시,중구,육계,5,0,5,4,1,490,마리
2016,대전광역시중구,대전광역시,중구,오리,1,0,1,0,1,20,마리
2016,대전광역시서구,대전광역시,서구,육계,10,0,10,10,0,30842,마리
2016,대전광역시서구,대전광역시,서구,오리,1,0,1,1,0,300,마리
2016,대전광역시유성구,대전광역시,유성구,육계,36,2,35,33,4,85703,마리
2016,대전광역시유성구,대전광역시,유성구,오리,2,1,1,2,0,65,마리
2016,대전광역시대덕구,대전광역시,대덕구,육계,5,1,4,5,0,200,마리
2016,대전광역시대덕구,대전광역시,대덕구,오리,1,0,1,1,0,50,마리
2016,울산광역시중구,울산광역시,중구,육계,3,0,3,3,0,1800,마리
2016,울산광역시남구,울산광역시,남구,육계,2,0,2,2,0,200,마리
2016,울산광역시동구,울산광역시,동구,오리,1,1,0,1,0,20,마리
2016,울산광역시동구,울산광역시,동구,꿩,1,1,0,1,0,5,마리
2016,울산광역시북구,울산광역시,북구,육계,10,0,11,11,0,3691,마리
2016,울산광역시울주군,울산광역시,울주군,육계,28,2,29,31,0,218645,마리
2016,울산광역시울주군,울산광역시,울주군,오리,2,0,2,2,0,50,마리
2016,울산광역시울주군,울산광역시,울주군,꿩,7,0,8,7,1,10700,마리
2016,세종특별자치시세종시,세종특별자치시,세종시,육계,53,11,50,54,7,1163077,마리
2016,세종특별자치시세종시,세종특별자치시,세종시,칠면조,3,1,2,3,0,338,마리
2016,세종특별자치시세종시,세종특별자치시,세종시,오리,3,1,2,3,0,12047,마리
2016,세종특별자치시세종시,세종특별자치시,세종시,메추리,2,0,3,3,0,119600,마리
2016,경기도수원시,경기도,수원시,육계,5,0,5,3,2,1580,마리
2016,경기도수원시,경기도,수원시,오리,2,0,2,1,1,1540,마리
2016,경기도수원시,경기도,수원시,메추리,1,0,1,1,0,60000,마리
2016,경기도성남시,경기도,성남시,육계,4,0,5,5,0,26030,마리
2016,경기도성남시,경기도,성남시,오리,1,0,1,1,0,3000,마리
2016,경기도의정부시,경기도,의정부시,육계,3,0,3,3,0,750,마리
2016,경기도안양시,경기도,안양시,육계,2,1,1,2,0,50,마리
2016,경기도안양시,경기도,안양시,오리,1,1,0,1,0,10,마리
2016,경기도부천시,경기도,부천시,육계,6,1,5,6,0,304,마리
2016,경기도광명시,경기도,광명시,육계,23,0,24,22,2,6734,마리
2016,경기도광명시,경기도,광명시,칠면조,1,0,1,1,0,5,마리
2016,경기도광명시,경기도,광명시,오리,2,0,2,2,0,80,마리
2016,경기도평택시,경기도,평택시,육계,68,0,87,77,10,2843462,마리
2016,경기도평택시,경기도,평택시,칠면조,2,0,2,2,0,31,마리
2016,경기도평택시,경기도,평택시,오리,7,0,8,7,1,37355,마리
2016,경기도평택시,경기도,평택시,꿩,2,0,2,1,1,25000,마리
2016,경기도동두천시,경기도,동두천시,육계,2,0,2,2,0,21040,마리
2016,경기도안산시,경기도,안산시,육계,23,0,23,21,2,5735,마리
2016,경기도안산시,경기도,안산시,칠면조,2,0,3,3,0,11,마리
2016,경기도안산시,경기도,안산시,꿩,3,0,4,4,0,6512,마리
2016,경기도안산시,경기도,안산시,오리,1,0,1,1,0,200,마리
2016,경기도고양시,경기도,고양시,육계,74,0,79,71,8,657387,마리
2016,경기도고양시,경기도,고양시,오리,7,0,7,6,1,12555,마리
2016,경기도고양시,경기도,고양시,메추리,2,0,4,4,0,186666,마리
2016,경기도고양시,경기도,고양시,칠면조,1,0,1,1,0,10,마리
2016,경기도과천시,경기도,과천시,육계,2,0,2,2,0,500,마리
2016,경기도과천시,경기도,과천시,오리,3,0,3,3,0,77,마리
2016,경기도구리시,경기도,구리시,육계,1,0,1,1,0,160,마리
2016,경기도남양주시,경기도,남양주시,육계,39,1,45,34,12,204545,마리
2016,경기도남양주시,경기도,남양주시,칠면조,1,0,1,1,0,50,마리
2016,경기도남양주시,경기도,남양주시,오리,5,0,5,4,1,1246,마리
2016,경기도남양주시,경기도,남양주시,꿩,1,0,1,1,0,15,마리
2016,경기도오산시,경기도,오산시,육계,3,0,4,4,0,20800,마리
2016,경기도오산시,경기도,오산시,칠면조,1,1,0,1,0,5,마리
2016,경기도시흥시,경기도,시흥시,육계,50,0,55,54,1,16903,마리
2016,경기도시흥시,경기도,시흥시,오리,9,0,11,11,0,570,마리
2016,경기도시흥시,경기도,시흥시,타조,2,0,2,2,0,19,마리
2016,경기도군포시,경기도,군포시,육계,6,0,6,6,0,530,마리
2016,경기도의왕시,경기도,의왕시,육계,9,0,9,9,0,930,마리
2016,경기도의왕시,경기도,의왕시,칠면조,1,0,1,1,0,2,마리
2016,경기도의왕시,경기도,의왕시,오리,4,1,3,4,0,97,마리
2016,경기도의왕시,경기도,의왕시,꿩,2,0,2,2,0,24,마리
2016,경기도하남시,경기도,하남시,육계,2,0,2,2,0,40,마리
2016,경기도용인시,경기도,용인시,육계,77,1,127,99,29,2945316,마리
2016,경기도용인시,경기도,용인시,칠면조,1,0,1,1,0,35,마리
2016,경기도용인시,경기도,용인시,오리,8,1,10,8,3,68989,마리
2016,경기도용인시,경기도,용인시,메추리,2,0,2,2,0,220000,마리
2016,경기도용인시,경기도,용인시,꿩,1,0,1,1,0,500,마리
2016,경기도파주시,경기도,파주시,육계,116,1,143,134,10,1888318,마리
2016,경기도파주시,경기도,파주시,오리,4,1,3,4,0,3311,마리
2016,경기도파주시,경기도,파주시,메추리,1,0,3,3,0,120000,마리
2016,경기도파주시,경기도,파주시,꿩,1,0,1,1,0,8000,마리
2016,경기도파주시,경기도,파주시,타조,1,0,1,1,0,6,마리
2016,경기도이천시,경기도,이천시,육계,66,1,90,56,35,2299880,마리
2016,경기도이천시,경기도,이천시,칠면조,1,0,1,1,0,4,마리
2016,경기도이천시,경기도,이천시,오리,12,0,18,15,3,134000,마리
2016,경기도이천시,경기도,이천시,메추리,3,0,6,6,0,1010000,마리
2016,경기도이천시,경기도,이천시,꿩,2,0,5,5,0,38636,마리
2016,경기도안성시,경기도,안성시,육계,82,0,114,98,16,3815215,마리
2016,경기도안성시,경기도,안성시,칠면조,1,0,1,1,0,1060,마리
2016,경기도안성시,경기도,안성시,오리,33,0,49,42,7,430510,마리
2016,경기도안성시,경기도,안성시,꿩,4,0,5,5,0,47000,마리
2016,경기도김포시,경기도,김포시,육계,60,1,63,61,3,1155610,마리
2016,경기도김포시,경기도,김포시,칠면조,2,0,3,3,0,7,마리
2016,경기도김포시,경기도,김포시,오리,5,0,5,5,0,1895,마리
2016,경기도김포시,경기도,김포시,메추리,7,0,8,7,1,1225120,마리
2016,경기도김포시,경기도,김포시,꿩,1,0,1,1,0,50,마리
2016,경기도화성시,경기도,화성시,육계,99,0,136,124,12,3548820,마리
2016,경기도화성시,경기도,화성시,오리,3,0,6,4,2,12200,마리
2016,경기도화성시,경기도,화성시,꿩,7,0,7,5,2,18300,마리
2016,경기도광주시,경기도,광주시,육계,38,9,30,37,2,171758,마리
2016,경기도광주시,경기도,광주시,오리,6,1,5,5,1,618,마리
2016,경기도양주시,경기도,양주시,육계,33,0,45,44,1,1155090,마리
2016,경기도양주시,경기도,양주시,오리,2,0,2,2,0,5500,마리
2016,경기도양주시,경기도,양주시,타조,1,0,1,1,0,4,마리
2016,경기도포천시,경기도,포천시,육계,143,0,241,209,32,4987750,마리
2016,경기도포천시,경기도,포천시,오리,4,0,5,4,1,85320,마리
2016,경기도포천시,경기도,포천시,메추리,2,0,3,3,0,402000,마리
2016,경기도포천시,경기도,포천시,타조,1,0,1,1,0,40,마리
2016,경기도여주시,경기도,여주시,육계,70,0,91,76,15,3463920,마리
2016,경기도여주시,경기도,여주시,오리,7,0,8,7,1,75000,마리
2016,경기도여주시,경기도,여주시,메추리,12,0,17,17,0,1537000,마리
2016,경기도연천군,경기도,연천군,육계,97,0,144,105,39,4088821,마리
2016,경기도연천군,경기도,연천군,칠면조,1,0,1,1,0,20,마리
2016,경기도연천군,경기도,연천군,오리,4,0,4,3,1,24500,마리
2016,경기도연천군,경기도,연천군,메추리,1,0,2,2,0,60000,마리
2016,경기도연천군,경기도,연천군,타조,1,0,1,1,0,14,마리
2016,경기도가평군,경기도,가평군,육계,47,0,71,64,7,1977845,마리
2016,경기도가평군,경기도,가평군,오리,1,0,1,0,1,500,마리
2016,경기도양평군,경기도,양평군,육계,104,15,120,92,43,2942330,마리
2016,경기도양평군,경기도,양평군,칠면조,2,0,2,2,0,4,마리
2016,경기도양평군,경기도,양평군,오리,7,2,11,13,0,24068,마리
2016,경기도양평군,경기도,양평군,메추리,10,0,14,13,1,846042,마리
2016,강원도춘천시,강원도,춘천시,육계,45,15,41,48,8,927058,마리
2016,강원도춘천시,강원도,춘천시,칠면조,1,0,1,1,0,100,마리
2016,강원도춘천시,강원도,춘천시,오리,4,1,3,4,0,15098,마리
2016,강원도춘천시,강원도,춘천시,꿩,1,0,1,1,0,10000,마리
2016,강원도춘천시,강원도,춘천시,타조,1,0,1,1,0,10,마리
2016,강원도원주시,강원도,원주시,육계,36,1,47,44,4,523201,마리
