주소 ,하천
서울특별시 강서구,강서지구
서울특별시 중랑구,중랑천
경기도 군포시,안양천
경기도 용인시,탄천
경기도 수원시,원천리천
경기도 수원시,서호
경기도 안성시,안성천
경기도 용인시,경안천
경기도 양주시,상패천
경기도 의왕시,왕송호수
경기도 수원시,황구지천
경기도 파주시,문산천
경기도 포천시,포천천
경기도 용인시,진위천
경기도 양평군,남한강(양평-여주)
경기도 이천시,청미천
경기도 안산시,시화호
경기도 김포시,한강하구(장항습지 포함)
경기도 평택시,남양호
경기도 화성시,화성호
경기도 연천군,임진강
경기도 광주시,팔당호
경기도 고양시,공릉천 중하류
충청남도 태안군,천수만
충청남도 천안시,송정저수지
충청남도 서산시,도당천
충청남도 논산시,논산천
충청남도 천안시,풍서천
충청남도 천안시,곡교천
충청남도 서천군,금강호
충청남도 천안시,병천천
충청남도 서산시,간월호
충청남도 천안시,봉강천
충청남도 아산시,삽교호
충청남도 서산시,해미천
충청남도 서천군,봉선저수지
충청남도 아산시,아산호
충청남도 서산시,잠홍지
충청남도 당진시,석문간척지
충청남도 당진시,대호
충청남도 보령시,무한천
충청남도 태안군,부남호
전라북도 부안군,조류지
전라북도 군산시,금강하구둑
전라북도 익산시,만경강
전라북도 광주시 ,동림지
전라북도 정읍시,동진강
전라북도 김제시,원평천
전라북도 전주시,전주천
전라남도 여수시,산수저수지
전라남도 함평군,함평대동저수지
전라남도 장성군,사내간척지
전라남도 여수시,만덕간척지
전라남도 함평군,고막원천
전라남도 순천시,주암댐
전라남도 단양군,영산강
전라남도 영암군,영암호
전라남도 해남군,고천암
전라남도 순천시,순천암
전라남도 해남군,금호호
전라남도 강진군,강진만
전라남도 화순군,지석천
전라남도 나주시,우습제
전라남도 담양군,담양습지
전라남도 장성군,황룡강
강원도 철원군,한탄강(동송읍)
강원도 철원군,토교저수지
강원도 횡성군,섬강
강원도 철원군,철원평야
강원도 강릉시,남대천(강릉)
강원도 춘천시,소양강 하류
강원도 원주시,원주천
강원도 강릉시,남대천(양양)
충청북도 증평군,보강천
충청북도 진천군,백곡지
충청북도 음성군,미호천
충청북도 청주시,무심천
충청북도 충주시,충주호
경상북도 영천시,금호강(안심습지)
경상북도 경주시,형산강
경상북도 김천시,김천(감천)
경상북도 구미시,구미(해평)
경상북도 고령군,고령 낙동강
경상북도 영천시,금호강(경산-영천)
부산 사하구,낙동강하구
울산광역시 북구,태화강
경상남도 창녕군,장척저수지
경상남도 양산시,양산천
경상남도 양산시,양산발생지
경상남도 밀양시,낙동강(심량진-대동)
경상남도 창원시,주남저수지
경상남도 창녕군 ,창녕우포
대구광역시 수성구,사천만
경상남도 창년군,목포
경상남도 창녕군,사지포
경상남도 의령군 ,산남지
경상남도 창원시 ,동판
경상남도 김해시,화포천
경상남도 양산시,낙동강(원동)
제주특별자치도 제주시,하도리
제주특별자치도 제주시,용수저수지
제주특별자치도 서귀포시 ,오조리(성산포)
제주특별자치도 서귀포시 ,종달리
