시도,시군구,year,month,철새수
강원도 ,철원군,2014,10,51660
강원도 ,철원군,2014,11,43900
강원도 ,철원군,2014,12,9336
강원도 ,철원군,2015,1,10857
강원도 ,철원군,2015,2,14109
강원도 ,철원군,2015,3,40987
강원도 ,철원군,2015,10,70824
강원도 ,철원군,2015,11,52965
강원도 ,철원군,2015,12,48258
강원도 ,철원군,2016,1,17208
강원도 ,철원군,2016,2,25098
강원도 ,철원군,2016,3,18073
강원도 ,철원군,2016,10,30144
강원도 ,철원군,2016,11,42176
강원도 ,철원군,2016,12,28046
강원도 ,철원군,2017,1,29915
강원도 ,철원군,2017,2,22531
강원도 ,철원군,2017,3,8044
강원도 ,철원군,2017,10,49592
강원도 ,철원군,2017,11,57910
강원도 ,철원군,2017,12,57633
강원도 ,철원군,2018,1,39898
강원도 ,철원군,2018,2,36929
강원도 ,철원군,2018,3,74873
강원도 ,철원군,2018,10,77656
강원도 ,철원군,2018,11,82745
강원도 ,철원군,2018,12,58438
강원도 ,철원군,2019,1,56868
강원도 ,철원군,2019,2,41524
강원도 ,철원군,2019,3,65786
강원도 ,철원군,2019,10,80054
강원도 ,철원군,2019,11,87356
강원도 ,철원군,2019,12,70858
강원도 ,철원군,2020,1,62302
강원도 ,철원군,2020,2,99543
강원도 ,철원군,2020,3,60365
강원도 ,철원군,2020,10,39088
강원도 ,철원군,2020,11,36482
강원도 ,철원군,2020,12,53663
강원도 ,철원군,2021,1,21929
강원도 ,철원군,2021,2,54268
강원도 ,철원군,2021,3,40268
경기도 ,연천군,2014,10,595
경기도 ,연천군,2014,11,1150
경기도 ,연천군,2014,12,1227
경기도 ,연천군,2015,1,3530
경기도 ,연천군,2015,2,4674
경기도 ,연천군,2015,3,3297
경기도 ,연천군,2015,10,1349
경기도 ,연천군,2015,11,1986
경기도 ,연천군,2015,12,5171
경기도 ,연천군,2016,1,9172
경기도 ,연천군,2016,2,7180
경기도 ,연천군,2016,3,7458
경기도 ,연천군,2016,10,2053
경기도 ,연천군,2016,11,1933
경기도 ,연천군,2016,12,4445
경기도 ,연천군,2017,1,5690
경기도 ,연천군,2017,2,6966
경기도 ,연천군,2017,3,3038
경기도 ,연천군,2017,10,0
경기도 ,연천군,2017,11,0
경기도 ,연천군,2017,12,5196
경기도 ,연천군,2018,1,3060
경기도 ,연천군,2018,2,6200
경기도 ,연천군,2018,3,0
경기도 ,연천군,2018,10,0
경기도 ,연천군,2018,11,0
경기도 ,연천군,2018,12,4099
경기도 ,연천군,2019,1,5691
경기도 ,연천군,2019,2,0
경기도 ,연천군,2019,3,0
경기도 ,연천군,2019,10,0
경기도 ,연천군,2019,11,0
경기도 ,연천군,2019,12,5134
경기도 ,연천군,2020,1,7786
경기도 ,연천군,2020,2,0
경기도 ,연천군,2020,3,0
경기도 ,연천군,2020,10,0
경기도 ,연천군,2020,11,2493
경기도 ,연천군,2020,12,3639
경기도 ,연천군,2021,1,4452
경기도 ,연천군,2021,2,11186
경기도 ,연천군,2021,3,2471
서울특별시,성동구,2014,10,477
서울특별시,성동구,2014,11,4443
서울특별시,성동구,2014,12,7212
서울특별시,성동구,2015,1,6333
서울특별시,성동구,2015,2,5853
서울특별시,성동구,2015,3,21801
서울특별시,성동구,2015,10,1434
서울특별시,성동구,2015,11,4026
서울특별시,성동구,2015,12,5640
서울특별시,성동구,2016,1,2527
서울특별시,성동구,2016,2,5425
서울특별시,성동구,2016,3,1636
서울특별시,성동구,2016,10,668
서울특별시,성동구,2016,11,3875
서울특별시,성동구,2016,12,1352
서울특별시,성동구,2017,1,876
서울특별시,성동구,2017,2,0
서울특별시,성동구,2017,3,15014
서울특별시,성동구,2017,10,0
서울특별시,성동구,2017,11,0
서울특별시,성동구,2017,12,1966
서울특별시,성동구,2018,1,2208
서울특별시,성동구,2018,2,1640
서울특별시,성동구,2018,3,0
서울특별시,성동구,2018,10,0
서울특별시,성동구,2018,11,0
서울특별시,성동구,2018,12,870
서울특별시,성동구,2019,1,1647
서울특별시,성동구,2019,2,0
서울특별시,성동구,2019,3,0
서울특별시,성동구,2019,10,0
서울특별시,성동구,2019,11,0
서울특별시,성동구,2019,12,2088
서울특별시,성동구,2020,1,2925
서울특별시,성동구,2020,2,0
서울특별시,성동구,2020,3,0
서울특별시,성동구,2020,10,0
서울특별시,성동구,2020,11,0
서울특별시,성동구,2020,12,2312
서울특별시,성동구,2021,1,1979
서울특별시,성동구,2021,2,0
서울특별시,성동구,2021,3,0
서울특별시,마포구,2014,10,477
서울특별시,마포구,2014,11,4443
서울특별시,마포구,2014,12,7212
서울특별시,마포구,2015,1,6333
서울특별시,마포구,2015,2,5853
서울특별시,마포구,2015,3,21801
서울특별시,마포구,2015,10,1434
서울특별시,마포구,2015,11,4026
서울특별시,마포구,2015,12,5640
서울특별시,마포구,2016,1,2527
서울특별시,마포구,2016,2,5425
서울특별시,마포구,2016,3,1636
서울특별시,마포구,2016,10,668
서울특별시,마포구,2016,11,3875
서울특별시,마포구,2016,12,1352
서울특별시,마포구,2017,1,876
서울특별시,마포구,2017,2,0
서울특별시,마포구,2017,3,15014
서울특별시,마포구,2017,10,0
서울특별시,마포구,2017,11,0
서울특별시,마포구,2017,12,1966
서울특별시,마포구,2018,1,2208
서울특별시,마포구,2018,2,1640
서울특별시,마포구,2018,3,0
서울특별시,마포구,2018,10,0
서울특별시,마포구,2018,11,0
서울특별시,마포구,2018,12,870
서울특별시,마포구,2019,1,1647
서울특별시,마포구,2019,2,0
서울특별시,마포구,2019,3,0
서울특별시,마포구,2019,10,0
서울특별시,마포구,2019,11,0
서울특별시,마포구,2019,12,2088
서울특별시,마포구,2020,1,2925
서울특별시,마포구,2020,2,0
서울특별시,마포구,2020,3,0
서울특별시,마포구,2020,10,0
서울특별시,마포구,2020,11,0
서울특별시,마포구,2020,12,2312
서울특별시,마포구,2021,1,1979
서울특별시,마포구,2021,2,0
서울특별시,마포구,2021,3,0
서울특별시,성동구,2014,10,552
서울특별시,성동구,2014,11,1917
서울특별시,성동구,2014,12,2199
서울특별시,성동구,2015,1,3023
서울특별시,성동구,2015,2,6068
서울특별시,성동구,2015,3,5469
서울특별시,성동구,2015,10,616
서울특별시,성동구,2015,11,2945
서울특별시,성동구,2015,12,4621
서울특별시,성동구,2016,1,5880
서울특별시,성동구,2016,2,5863
서울특별시,성동구,2016,3,1454
서울특별시,성동구,2016,10,541
서울특별시,성동구,2016,11,1407
서울특별시,성동구,2016,12,2724
서울특별시,성동구,2017,1,2468
서울특별시,성동구,2017,2,4186
서울특별시,성동구,2017,3,10784
서울특별시,성동구,2017,10,0
서울특별시,성동구,2017,11,0
서울특별시,성동구,2017,12,2475
서울특별시,성동구,2018,1,3588
서울특별시,성동구,2018,2,2982
서울특별시,성동구,2018,3,0
서울특별시,성동구,2018,10,0
서울특별시,성동구,2018,11,0
서울특별시,성동구,2018,12,3423
서울특별시,성동구,2019,1,2084
서울특별시,성동구,2019,2,0
서울특별시,성동구,2019,3,0
서울특별시,성동구,2019,10,0
서울특별시,성동구,2019,11,0
서울특별시,성동구,2019,12,2890
서울특별시,성동구,2020,1,2368
서울특별시,성동구,2020,2,0
서울특별시,성동구,2020,3,0
서울특별시,성동구,2020,10,0
서울특별시,성동구,2020,11,0
서울특별시,성동구,2020,12,1918
서울특별시,성동구,2021,1,2602
서울특별시,성동구,2021,2,0
서울특별시,성동구,2021,3,0
경기도 ,남양주시,2014,10,552
경기도 ,남양주시,2014,11,1917
경기도 ,남양주시,2014,12,2199
경기도 ,남양주시,2015,1,3023
경기도 ,남양주시,2015,2,6068
경기도 ,남양주시,2015,3,5469
경기도 ,남양주시,2015,10,616
경기도 ,남양주시,2015,11,2945
경기도 ,남양주시,2015,12,4621
경기도 ,남양주시,2016,1,5880
경기도 ,남양주시,2016,2,5863
경기도 ,남양주시,2016,3,1454
경기도 ,남양주시,2016,10,541
경기도 ,남양주시,2016,11,1407
경기도 ,남양주시,2016,12,2724
경기도 ,남양주시,2017,1,2468
경기도 ,남양주시,2017,2,4186
경기도 ,남양주시,2017,3,10784
경기도 ,남양주시,2017,10,0
경기도 ,남양주시,2017,11,0
경기도 ,남양주시,2017,12,2475
경기도 ,남양주시,2018,1,3588
경기도 ,남양주시,2018,2,2982
경기도 ,남양주시,2018,3,0
경기도 ,남양주시,2018,10,0
경기도 ,남양주시,2018,11,0
경기도 ,남양주시,2018,12,3423
경기도 ,남양주시,2019,1,2084
경기도 ,남양주시,2019,2,0
경기도 ,남양주시,2019,3,0
경기도 ,남양주시,2019,10,0
경기도 ,남양주시,2019,11,0
경기도 ,남양주시,2019,12,2890
경기도 ,남양주시,2020,1,2368
경기도 ,남양주시,2020,2,0
경기도 ,남양주시,2020,3,0
경기도 ,남양주시,2020,10,0
경기도 ,남양주시,2020,11,0
경기도 ,남양주시,2020,12,1918
경기도 ,남양주시,2021,1,2602
경기도 ,남양주시,2021,2,0
경기도 ,남양주시,2021,3,0
서울특별시,중랑구,2014,10,0
서울특별시,중랑구,2014,11,0
서울특별시,중랑구,2014,12,3773
서울특별시,중랑구,2015,1,0
서울특별시,중랑구,2015,2,0
서울특별시,중랑구,2015,3,0
서울특별시,중랑구,2015,10,0
서울특별시,중랑구,2015,11,0
서울특별시,중랑구,2015,12,5957
서울특별시,중랑구,2016,1,5514
서울특별시,중랑구,2016,2,0
서울특별시,중랑구,2016,3,0
서울특별시,중랑구,2016,10,0
서울특별시,중랑구,2016,11,0
서울특별시,중랑구,2016,12,1997
서울특별시,중랑구,2017,1,1194
서울특별시,중랑구,2017,2,0
서울특별시,중랑구,2017,3,0
서울특별시,중랑구,2017,10,1203
서울특별시,중랑구,2017,11,1823
서울특별시,중랑구,2017,12,1545
서울특별시,중랑구,2018,1,1556
서울특별시,중랑구,2018,2,1471
서울특별시,중랑구,2018,3,1370
서울특별시,중랑구,2018,10,1016
서울특별시,중랑구,2018,11,1755
서울특별시,중랑구,2018,12,2141
서울특별시,중랑구,2019,1,1885
서울특별시,중랑구,2019,2,2585
서울특별시,중랑구,2019,3,5922
서울특별시,중랑구,2019,10,1559
서울특별시,중랑구,2019,11,2101
서울특별시,중랑구,2019,12,1119
서울특별시,중랑구,2020,1,1521
서울특별시,중랑구,2020,2,2370
서울특별시,중랑구,2020,3,2194
서울특별시,중랑구,2020,10,1198
서울특별시,중랑구,2020,11,1163
서울특별시,중랑구,2020,12,2129
서울특별시,중랑구,2021,1,2537
서울특별시,중랑구,2021,2,1746
서울특별시,중랑구,2021,3,1662
경기도 ,용인시,2014,10,0
경기도 ,용인시,2014,11,0
경기도 ,용인시,2014,12,1108
경기도 ,용인시,2015,1,0
경기도 ,용인시,2015,2,0
경기도 ,용인시,2015,3,0
경기도 ,용인시,2015,10,0
경기도 ,용인시,2015,11,0
경기도 ,용인시,2015,12,871
경기도 ,용인시,2016,1,1350
경기도 ,용인시,2016,2,0
경기도 ,용인시,2016,3,0
경기도 ,용인시,2016,10,0
경기도 ,용인시,2016,11,0
경기도 ,용인시,2016,12,1103
경기도 ,용인시,2017,1,859
경기도 ,용인시,2017,2,0
경기도 ,용인시,2017,3,0
경기도 ,용인시,2017,10,542
경기도 ,용인시,2017,11,934
경기도 ,용인시,2017,12,829
경기도 ,용인시,2018,1,827
경기도 ,용인시,2018,2,946
경기도 ,용인시,2018,3,609
경기도 ,용인시,2018,10,443
경기도 ,용인시,2018,11,862
경기도 ,용인시,2018,12,689
경기도 ,용인시,2019,1,1125
경기도 ,용인시,2019,2,1483
경기도 ,용인시,2019,3,1250
경기도 ,용인시,2019,10,621
경기도 ,용인시,2019,11,567
경기도 ,용인시,2019,12,647
경기도 ,용인시,2020,1,657
경기도 ,용인시,2020,2,917
경기도 ,용인시,2020,3,663
경기도 ,용인시,2020,10,545
경기도 ,용인시,2020,11,1078
경기도 ,용인시,2020,12,662
경기도 ,용인시,2021,1,738
경기도 ,용인시,2021,2,738
경기도 ,용인시,2021,3,609
서울특별시,강남구,2014,10,0
서울특별시,강남구,2014,11,0
서울특별시,강남구,2014,12,1108
서울특별시,강남구,2015,1,0
서울특별시,강남구,2015,2,0
서울특별시,강남구,2015,3,0
서울특별시,강남구,2015,10,0
서울특별시,강남구,2015,11,0
서울특별시,강남구,2015,12,871
서울특별시,강남구,2016,1,1350
서울특별시,강남구,2016,2,0
서울특별시,강남구,2016,3,0
서울특별시,강남구,2016,10,0
서울특별시,강남구,2016,11,0
서울특별시,강남구,2016,12,1103
서울특별시,강남구,2017,1,859
서울특별시,강남구,2017,2,0
서울특별시,강남구,2017,3,0
서울특별시,강남구,2017,10,542
서울특별시,강남구,2017,11,934
서울특별시,강남구,2017,12,829
서울특별시,강남구,2018,1,827
서울특별시,강남구,2018,2,946
서울특별시,강남구,2018,3,609
서울특별시,강남구,2018,10,443
서울특별시,강남구,2018,11,862
서울특별시,강남구,2018,12,689
서울특별시,강남구,2019,1,1125
서울특별시,강남구,2019,2,1483
서울특별시,강남구,2019,3,1250
서울특별시,강남구,2019,10,621
서울특별시,강남구,2019,11,567
서울특별시,강남구,2019,12,647
서울특별시,강남구,2020,1,657
서울특별시,강남구,2020,2,917
서울특별시,강남구,2020,3,663
서울특별시,강남구,2020,10,545
서울특별시,강남구,2020,11,1078
서울특별시,강남구,2020,12,662
서울특별시,강남구,2021,1,738
서울특별시,강남구,2021,2,738
서울특별시,강남구,2021,3,609
서울특별시,송파구,2014,10,0
서울특별시,송파구,2014,11,0
서울특별시,송파구,2014,12,1108
서울특별시,송파구,2015,1,0
서울특별시,송파구,2015,2,0
서울특별시,송파구,2015,3,0
서울특별시,송파구,2015,10,0
서울특별시,송파구,2015,11,0
서울특별시,송파구,2015,12,871
서울특별시,송파구,2016,1,1350
서울특별시,송파구,2016,2,0
서울특별시,송파구,2016,3,0
서울특별시,송파구,2016,10,0
서울특별시,송파구,2016,11,0
서울특별시,송파구,2016,12,1103
서울특별시,송파구,2017,1,859
서울특별시,송파구,2017,2,0
서울특별시,송파구,2017,3,0
서울특별시,송파구,2017,10,542
서울특별시,송파구,2017,11,934
서울특별시,송파구,2017,12,829
서울특별시,송파구,2018,1,827
서울특별시,송파구,2018,2,946
서울특별시,송파구,2018,3,609
서울특별시,송파구,2018,10,443
서울특별시,송파구,2018,11,862
서울특별시,송파구,2018,12,689
서울특별시,송파구,2019,1,1125
서울특별시,송파구,2019,2,1483
서울특별시,송파구,2019,3,1250
서울특별시,송파구,2019,10,621
서울특별시,송파구,2019,11,567
서울특별시,송파구,2019,12,647
서울특별시,송파구,2020,1,657
서울특별시,송파구,2020,2,917
서울특별시,송파구,2020,3,663
서울특별시,송파구,2020,10,545
서울특별시,송파구,2020,11,1078
서울특별시,송파구,2020,12,662
서울특별시,송파구,2021,1,738
서울특별시,송파구,2021,2,738
서울특별시,송파구,2021,3,609
경기도 ,광주시,2014,10,0
경기도 ,광주시,2014,11,0
경기도 ,광주시,2014,12,1412
경기도 ,광주시,2015,1,0
경기도 ,광주시,2015,2,0
경기도 ,광주시,2015,3,0
경기도 ,광주시,2015,10,0
경기도 ,광주시,2015,11,0
경기도 ,광주시,2015,12,1832
경기도 ,광주시,2016,1,2225
경기도 ,광주시,2016,2,0
경기도 ,광주시,2016,3,0
경기도 ,광주시,2016,10,0
경기도 ,광주시,2016,11,0
경기도 ,광주시,2016,12,1138
경기도 ,광주시,2017,1,2665
경기도 ,광주시,2017,2,0
경기도 ,광주시,2017,3,0
경기도 ,광주시,2017,10,4021
경기도 ,광주시,2017,11,4126
경기도 ,광주시,2017,12,1105
경기도 ,광주시,2018,1,1202
경기도 ,광주시,2018,2,546
경기도 ,광주시,2018,3,3687
경기도 ,광주시,2018,10,4663
경기도 ,광주시,2018,11,6858
경기도 ,광주시,2018,12,2315
경기도 ,광주시,2019,1,1230
경기도 ,광주시,2019,2,2531
경기도 ,광주시,2019,3,2589
경기도 ,광주시,2019,10,3478
경기도 ,광주시,2019,11,2570
경기도 ,광주시,2019,12,3480
경기도 ,광주시,2020,1,3049
경기도 ,광주시,2020,2,2555
경기도 ,광주시,2020,3,2504
경기도 ,광주시,2020,10,3353
경기도 ,광주시,2020,11,4859
경기도 ,광주시,2020,12,2999
경기도 ,광주시,2021,1,1795
경기도 ,광주시,2021,2,5475
경기도 ,광주시,2021,3,3784
경기도 ,여주시,2014,10,0
경기도 ,여주시,2014,11,0
경기도 ,여주시,2014,12,2499
경기도 ,여주시,2015,1,0
경기도 ,여주시,2015,2,0
경기도 ,여주시,2015,3,0
경기도 ,여주시,2015,10,0
경기도 ,여주시,2015,11,0
경기도 ,여주시,2015,12,4017
경기도 ,여주시,2016,1,5591
경기도 ,여주시,2016,2,0
경기도 ,여주시,2016,3,0
경기도 ,여주시,2016,10,0
경기도 ,여주시,2016,11,0
경기도 ,여주시,2016,12,3832
경기도 ,여주시,2017,1,3245
경기도 ,여주시,2017,2,15213
경기도 ,여주시,2017,3,13963
경기도 ,여주시,2017,10,0
경기도 ,여주시,2017,11,0
경기도 ,여주시,2017,12,4373
경기도 ,여주시,2018,1,6934
경기도 ,여주시,2018,2,3906
경기도 ,여주시,2018,3,0
경기도 ,여주시,2018,10,0
경기도 ,여주시,2018,11,0
경기도 ,여주시,2018,12,3294
경기도 ,여주시,2019,1,2621
경기도 ,여주시,2019,2,0
경기도 ,여주시,2019,3,0
경기도 ,여주시,2019,10,0
경기도 ,여주시,2019,11,0
경기도 ,여주시,2019,12,5223
경기도 ,여주시,2020,1,9554
경기도 ,여주시,2020,2,0
경기도 ,여주시,2020,3,0
경기도 ,여주시,2020,10,0
경기도 ,여주시,2020,11,4466
경기도 ,여주시,2020,12,7711
경기도 ,여주시,2021,1,5647
경기도 ,여주시,2021,2,5531
경기도 ,여주시,2021,3,3349
경기도 ,양평군,2014,10,0
경기도 ,양평군,2014,11,0
경기도 ,양평군,2014,12,2499
경기도 ,양평군,2015,1,0
경기도 ,양평군,2015,2,0
경기도 ,양평군,2015,3,0
경기도 ,양평군,2015,10,0
경기도 ,양평군,2015,11,0
경기도 ,양평군,2015,12,4017
경기도 ,양평군,2016,1,5591
경기도 ,양평군,2016,2,0
경기도 ,양평군,2016,3,0
경기도 ,양평군,2016,10,0
경기도 ,양평군,2016,11,0
경기도 ,양평군,2016,12,3832
경기도 ,양평군,2017,1,3245
경기도 ,양평군,2017,2,15213
경기도 ,양평군,2017,3,13963
경기도 ,양평군,2017,10,0
경기도 ,양평군,2017,11,0
경기도 ,양평군,2017,12,4373
경기도 ,양평군,2018,1,6934
경기도 ,양평군,2018,2,3906
경기도 ,양평군,2018,3,0
경기도 ,양평군,2018,10,0
경기도 ,양평군,2018,11,0
경기도 ,양평군,2018,12,3294
경기도 ,양평군,2019,1,2621
경기도 ,양평군,2019,2,0
경기도 ,양평군,2019,3,0
경기도 ,양평군,2019,10,0
경기도 ,양평군,2019,11,0
경기도 ,양평군,2019,12,5223
경기도 ,양평군,2020,1,9554
경기도 ,양평군,2020,2,0
경기도 ,양평군,2020,3,0
