month,시도,avg_temp(C),daily_rain(mm),avg_wind(m/s),avg_r_humidity(%),cnt
1,강원도,2.6,0.0,1.4,62.5,2
1,경기도,-3.4,0.6,1.6,63.2,66
1,경상남도,-1.0,0.0,1.8,54.0,12
1,경상북도,-0.9,0.1,1.7,50.2,3
1,부산광역시,6.1,0.0,1.1,58.0,2
1,전라남도,1.7,1.0,2.8,69.0,58
1,전라북도,1.0,1.0,1.8,72.9,52
1,충청남도,-1.3,0.1,1.3,72.6,25
1,충청북도,-0.5,0.6,1.2,58.4,5
2,강원도,1.9,0.0,1.4,28.0,1
2,경기도,0.9,0.2,2.0,57.5,38
2,경상남도,4.7,0.0,2.3,56.4,3
2,경상북도,2.5,0.3,6.9,65.8,1
2,울산광역시,5.1,0.0,1.9,48.5,2
2,인천광역시,4.2,13.6,2.9,80.6,1
2,전라남도,3.9,5.1,2.0,62.3,23
2,전라북도,1.8,0.0,1.8,64.5,20
2,제주특별자치도,12.2,0.0,1.6,57.0,1
2,충청남도,-0.8,2.0,1.7,64.8,16
2,충청북도,-0.9,0.3,2.3,52.8,75
3,경기도,4.0,0.6,2.1,55.0,15
3,경상북도,3.8,0.0,3.4,31.6,3
3,세종특별자치시,5.2,6.3,1.3,60.4,4
3,전라남도,6.0,0.7,2.7,59.3,38
3,전라북도,6.1,0.3,2.2,59.1,21
3,충청남도,3.7,0.1,2.5,53.9,23
3,충청북도,6.1,0.6,1.5,52.0,24
4,경기도,11.6,4.4,1.9,56.5,10
4,경상남도,12.0,0.0,0.9,53.9,1
4,경상북도,11.7,0.3,1.9,49.5,1
4,울산광역시,16.2,0.0,1.9,46.0,1
4,전라남도,12.8,11.5,2.2,68.8,7
4,전라북도,13.1,4.6,2.3,75.4,30
4,충청남도,11.9,0.5,1.9,50.8,4
4,충청북도,16.0,0.0,1.3,45.1,1
5,강원도,13.2,17.0,0.6,66.1,2
5,경기도,18.8,0.0,1.4,52.3,7
5,경상남도,13.2,5.0,1.4,72.6,2
5,경상북도,15.8,4.2,1.7,65.6,4
5,대구광역시,23.3,0.0,1.5,49.1,2
5,부산광역시,14.5,1.3,4.9,65.4,3
5,서울특별시,16.2,0.0,3.3,41.0,4
5,울산광역시,19.2,0.0,2.2,66.9,1
5,전라남도,17.4,1.0,2.2,65.8,7
5,충청남도,14.5,1.5,2.6,76.3,1
6,강원도,20.7,0.5,1.5,76.6,1
6,경기도,20.8,0.0,1.3,57.0,2
6,경상남도,21.2,0.0,2.3,66.8,3
6,대구광역시,25.4,0.5,1.8,54.7,2
6,부산광역시,19.6,9.2,3.3,67.6,2
6,울산광역시,18.0,0.0,2.6,69.6,3
6,전라남도,21.9,0.5,1.5,84.2,5
6,전라북도,19.2,1.2,2.8,75.8,20
6,제주특별자치도,20.3,0.0,2.4,58.3,6
7,전라남도,27.2,5.1,3.2,77.4,4
9,광주광역시,21.4,0.0,1.7,68.2,2
9,전라남도,20.7,12.2,1.5,79.1,16
10,전라남도,15.8,0.3,1.6,69.8,24
11,강원도,3.2,1.2,0.9,72.1,1
11,경기도,1.6,0.1,1.4,58.0,10
11,경상북도,9.2,24.0,1.9,91.8,1
11,세종특별자치시,0.2,3.0,0.7,87.5,1
11,전라남도,10.7,1.3,1.8,65.9,9
11,전라북도,8.2,0.2,1.2,69.6,10
11,충청남도,0.4,0.2,1.5,49.3,4
11,충청북도,5.1,0.4,1.1,60.7,46
12,강원도,-0.1,1.7,1.6,68.9,1
12,경기도,0.2,0.3,1.3,66.4,113
12,경상남도,6.9,3.6,2.1,69.5,4
12,경상북도,0.8,0.0,2.5,43.9,8
12,부산광역시,2.2,0.0,3.8,45.3,1
12,세종특별자치시,4.1,0.2,1.2,67.0,16
12,울산광역시,0.3,0.0,3.2,29.4,2
12,인천광역시,2.5,0.0,2.7,73.1,1
12,전라남도,3.0,0.7,2.0,67.8,33
12,전라북도,1.3,2.6,1.5,76.0,42
12,충청남도,-0.5,0.9,1.4,73.4,59
12,충청북도,2.0,2.5,1.4,67.4,47
