시도,시군구,year,cnt,강원도  강릉시,강원도  고성군,강원도  동해시,강원도  삼척시,강원도  속초시,강원도  양양군,강원도  원주시,강원도  철원군,강원도  춘천시,강원도  화천군,강원도  횡성군,경기도  가평군,경기도  광주시,경기도  김포시,경기도  남양주시,경기도  동두천시,경기도  수원시,경기도  시흥시,경기도  안산시,경기도  안성시,경기도  양평군,경기도  여주시,경기도  연천군,경기도  용인시,경기도  의왕시,경기도  이천시,경기도  처인구,경기도  파주시,경기도  평택시,경기도  포천시,경기도  화성시,경상남도 거제시,경상남도 고성군,경상남도 김해시,경상남도 남해군,경상남도 밀양시,경상남도 사천시,경상남도 양산시,경상남도 진주시,경상남도 창녕군,경상남도 창원시,경상남도 합천군,경상북도 경주시,경상북도 구미시,경상북도 김천시,경상북도 봉화군,경상북도 안동시,경상북도 영덕군,경상북도 영천시,경상북도 예천군,경상북도 울진군,경상북도 의성군,경상북도 포항시,광주광역시 광산구,광주광역시 남구,광주광역시 서구,대구광역시 달성군,부산광역시 강서구,부산광역시 남구,부산광역시 사하구,서울특별시 강남구,서울특별시 마포구,서울특별시 성동구,서울특별시 송파구,서울특별시 영등포구,서울특별시 중랑구,세종특별자치시 세종시,울산광역시 남구,울산광역시 북구,울산광역시 울주군,울산광역시 중구,인천광역시 강화군,인천광역시 서구,인천광역시 연수구,인천광역시 중구,전라남도 강진군,전라남도 고흥군,전라남도 광양시,전라남도 담양군,전라남도 보성군,전라남도 순천시,전라남도 여수시,전라남도 완도군,전라남도 장성군,전라남도 장흥군,전라남도 해남군,전라남도  나주시,전라남도  목포시,전라남도  무안군,전라남도  보성군,전라남도  순천시,전라남도  신안군,전라남도  영광군,전라남도  영암군,전라남도  진도군,전라남도  함평군,전라남도  해남군,전라남도  화순군,전라북도 고창군,전라북도 군산시,전라북도 김제시,전라북도 부안군,전라북도 완주군,전라북도 익산시,전라북도 임실군,전라북도 장수군,전라북도 전주시,전라북도 정읍시,전라북도  부안군,제주특별자치도 서귀포시,제주특별자치도 제주시,충청남도 논산시,충청남도 당진시,충청남도 보령시,충청남도 서산시,충청남도 서천군,충청남도 아산시,충청남도 예산군,충청남도 천안시,충청남도 태안군,충청북도 괴산군,충청북도 음성군,충청북도 증평군,충청북도 진천군,충청북도 청주시,충청북도 충주시
강원도,철원군,2016,2,143.85,104.08,172.61,180.2,111.94,114.51,104.18,0.0,46.94,34.82,93.73,39.05,79.94,79.04,57.44,34.95,101.37,96.34,101.07,126.66,74.43,98.55,21.61,101.41,94.2,97.83,101.95,63.54,129.59,29.72,113.56,381.53,364.22,353.6,371.58,320.37,355.89,348.34,337.38,307.78,346.74,296.75,306.06,243.23,234.17,187.34,215.56,264.63,281.43,194.1,224.24,234.09,297.31,337.6,337.13,335.15,281.86,358.56,370.12,369.33,73.8,74.0,69.27,72.63,78.12,63.15,185.32,340.54,338.33,338.58,338.22,84.97,87.21,99.13,96.41,392.77,393.88,358.15,315.54,375.91,355.74,377.84,429.45,319.83,387.03,402.44,352.29,379.86,358.74,375.91,355.74,378.32,326.99,376.2,417.7,349.89,402.44,343.98,306.33,247.66,263.38,273.45,249.68,246.5,281.22,278.55,258.69,289.42,273.45,548.3,521.54,218.73,151.65,210.96,169.52,236.31,153.35,168.18,149.12,179.76,153.83,138.22,153.23,144.01,167.99,139.39
경기도,광주시,2016,2,147.25,150.03,164.4,168.65,145.83,139.8,59.54,79.94,65.37,85.14,64.8,50.01,0.0,51.88,23.22,55.44,27.22,40.31,39.35,46.91,21.67,36.78,75.87,22.02,27.02,23.63,22.21,55.72,50.21,51.98,45.35,308.82,289.43,285.16,293.81,252.26,279.34,282.28,261.5,236.98,276.15,222.55,247.95,175.0,162.51,143.87,162.21,218.88,220.78,136.32,196.08,175.44,243.38,257.96,257.3,255.34,211.86,290.98,303.1,300.98,20.76,34.71,24.35,16.21,33.47,24.34,105.58,279.94,278.56,276.66,277.95,76.23,52.69,50.98,56.14,313.03,314.1,279.55,235.64,295.97,276.41,299.03,349.66,240.28,307.14,322.99,272.78,301.19,279.93,295.97,276.41,299.83,248.39,296.63,339.15,271.02,322.99,264.07,227.13,168.98,183.84,194.44,169.74,166.81,201.46,199.58,178.75,209.83,194.44,468.55,441.87,138.83,80.7,134.59,101.14,158.19,74.54,90.85,69.44,113.97,82.97,66.68,77.25,65.8,89.93,76.85
경기도,김포시,2016,2,190.71,175.55,211.64,216.78,177.27,174.8,110.54,79.04,93.97,102.82,112.75,73.85,51.88,0.0,44.18,44.14,47.91,27.26,34.18,83.96,69.43,88.65,62.13,58.26,37.44,74.09,60.29,17.07,77.67,52.74,47.35,348.81,327.18,329.01,326.4,296.69,314.54,327.68,298.04,279.61,318.46,262.02,297.06,220.57,205.87,195.74,213.21,270.47,269.29,186.8,247.33,225.14,293.62,275.39,276.53,274.36,255.53,335.36,347.73,344.75,31.22,17.27,28.89,36.19,18.73,33.23,136.09,327.94,326.88,324.15,326.08,24.77,8.52,23.05,17.79,330.64,338.52,310.12,256.26,317.91,304.26,328.62,367.44,257.31,326.67,338.39,289.06,313.08,292.62,317.91,304.26,311.04,260.63,313.04,350.24,284.04,338.39,284.68,242.35,183.23,202.0,209.45,194.33,186.62,227.94,230.34,202.87,227.79,209.45,485.17,457.96,162.41,80.89,142.83,95.28,170.7,95.23,104.54,95.72,103.55,130.04,114.35,120.0,105.85,128.08,127.6
경기도,안성시,2016,20,163.5,184.99,172.2,174.0,176.45,167.43,67.79,126.66,104.93,127.81,82.4,93.79,46.91,83.96,70.05,101.45,36.09,59.13,52.92,0.0,56.85,45.22,122.4,27.47,46.52,32.45,26.11,94.58,14.94,98.86,45.11,265.61,244.94,245.05,247.56,212.78,233.79,243.91,216.42,195.69,234.61,178.87,216.05,137.11,121.93,129.72,138.05,197.24,187.69,110.58,188.32,145.9,214.72,212.32,211.24,209.33,171.57,251.42,263.81,260.79,60.24,70.52,65.39,58.39,66.9,68.55,58.68,245.53,244.77,241.36,243.8,107.87,80.15,69.55,77.95,267.11,267.24,232.91,189.39,249.35,229.53,252.29,303.62,194.85,260.86,277.57,227.36,256.95,235.55,249.35,229.53,255.83,204.43,251.06,294.96,226.59,277.57,217.71,182.34,125.46,138.61,150.12,123.14,121.31,154.59,152.85,132.17,164.37,150.12,422.54,396.0,92.69,57.84,95.74,77.82,115.77,34.58,53.12,26.03,92.08,49.9,37.26,36.51,21.91,44.71,57.42
경기도,양주시,2016,3,160.89,140.96,184.38,190.35,143.36,141.71,91.47,46.55,61.03,68.16,88.9,41.06,43.65,34.67,22.38,13.22,58.05,49.88,54.91,88.87,50.78,75.16,34.72,61.6,49.45,66.57,62.78,23.54,88.37,18.23,67.83,352.47,332.92,328.57,336.42,295.6,322.46,325.36,304.82,280.57,319.75,266.15,289.17,218.21,206.11,179.1,201.39,255.97,262.55,176.65,225.89,216.42,283.37,295.06,295.2,293.15,255.37,334.29,346.35,344.4,29.8,27.47,24.68,30.57,31.67,20.32,146.7,321.9,320.32,318.92,319.82,49.22,42.09,52.81,50.95,350.4,354.27,321.62,274.05,335.14,317.66,340.86,387.21,277.12,345.34,359.37,309.41,335.78,314.85,335.14,317.66,334.06,282.94,333.41,373.44,306.07,359.37,302.59,263.05,203.98,220.85,230.04,209.37,204.42,241.99,241.48,218.26,246.93,230.04,505.78,478.82,177.76,105.65,165.95,123.09,192.19,110.74,124.09,108.05,133.22,126.2,109.89,120.87,108.99,133.0,117.67
경기도,양평군,2016,1,125.65,130.99,143.53,148.12,125.41,118.75,41.66,74.43,48.29,71.01,43.89,37.82,21.67,69.43,28.78,59.23,47.84,61.71,61.01,56.85,0.0,25.24,76.42,39.08,48.68,24.84,38.2,69.1,64.7,51.46,66.49,307.67,289.9,281.21,297.35,248.04,281.47,277.02,262.95,234.39,273.5,222.47,238.9,170.58,160.33,128.81,150.65,205.35,212.67,126.2,178.17,166.14,232.7,268.85,267.47,265.62,208.69,286.56,298.4,297.02,38.92,52.34,40.54,33.76,52.32,37.08,113.84,272.07,270.33,269.36,269.93,92.48,71.83,72.02,76.44,323.42,321.6,284.29,245.46,304.69,282.56,304.12,359.79,251.49,316.8,334.18,283.99,313.79,292.39,304.69,282.56,312.68,261.27,307.6,351.81,283.43,334.18,273.61,239.16,182.21,195.37,206.96,178.85,178.01,209.13,205.12,187.89,221.03,206.96,478.67,452.27,149.13,100.18,150.46,120.97,172.21,89.1,106.68,82.21,134.2,79.75,63.9,78.99,70.91,94.44,67.87
경기도,여주시,2016,10,120.33,140.73,132.87,136.07,131.37,122.21,25.48,98.55,65.35,90.05,37.52,60.34,36.78,88.65,52.8,84.32,53.97,74.3,71.35,45.22,25.24,0.0,101.63,41.16,59.37,18.11,39.21,91.38,57.6,76.69,72.15,283.02,265.77,256.07,274.57,222.88,258.04,251.78,239.26,209.48,248.55,198.28,214.03,145.44,135.65,107.09,126.55,182.45,187.6,101.5,159.93,141.28,208.32,251.69,249.63,247.89,183.69,261.37,273.18,271.86,57.49,71.46,60.65,52.72,70.19,59.02,96.07,246.99,245.31,244.21,244.87,112.92,89.21,85.65,91.82,305.56,301.28,262.22,227.41,285.4,261.39,282.21,341.56,234.76,298.28,317.06,267.08,298.26,276.79,285.4,261.39,297.43,246.32,290.36,336.21,267.82,317.06,255.16,223.38,168.36,179.41,192.01,160.66,161.9,189.44,183.88,169.64,204.5,192.01,460.22,434.13,132.54,98.95,140.8,119.81,159.53,79.79,98.32,71.01,133.83,55.32,40.1,57.26,52.39,74.1,42.7
경기도,용인시,2016,4,160.24,170.0,174.0,177.23,164.34,157.19,66.62,101.41,86.24,106.92,76.61,71.87,22.02,58.26,44.03,74.37,13.4,36.55,31.96,27.47,39.08,41.16,95.55,0.0,21.8,23.05,2.25,67.53,28.27,72.71,30.99,292.82,272.36,271.39,274.88,238.87,261.25,269.64,243.88,222.35,261.38,206.14,239.08,162.42,148.21,143.3,156.97,215.3,211.16,130.01,199.02,167.54,236.26,236.23,235.72,233.74,197.88,277.58,289.89,287.17,32.77,43.6,37.92,31.04,40.3,41.28,85.19,269.71,268.69,265.9,267.86,82.8,55.74,47.97,55.52,291.36,293.3,260.02,214.18,274.77,256.21,279.28,328.05,218.5,285.66,301.17,250.98,279.21,257.96,274.77,256.21,277.83,226.39,274.86,317.16,249.06,301.17,242.65,205.22,146.98,162.04,172.48,148.62,145.1,180.79,179.88,157.59,188.06,172.48,446.9,420.16,117.41,61.24,112.77,82.12,136.17,52.53,68.97,47.72,95.6,71.88,56.48,62.1,48.63,72.1,71.96
경기도,이천시,2016,23,137.83,153.02,150.97,154.18,145.44,137.24,43.58,97.83,72.54,95.78,54.38,62.52,23.63,74.09,44.8,77.56,35.97,57.16,53.73,32.45,24.84,18.11,97.0,23.05,42.06,0.0,21.11,79.26,42.26,72.25,54.05,286.53,267.79,262.01,273.82,229.03,258.53,258.87,240.32,214.15,253.33,200.62,224.37,151.66,139.71,122.58,139.17,196.44,197.15,113.0,176.97,151.92,220.01,244.04,242.64,240.79,188.84,267.73,279.8,277.83,43.75,57.35,47.8,39.63,55.37,47.89,89.01,256.32,254.94,253.05,254.32,98.78,73.6,68.63,75.29,298.58,296.98,260.33,220.62,279.91,258.2,280.06,334.95,226.72,291.97,309.38,259.2,289.2,267.78,279.91,258.2,288.14,236.77,282.79,327.22,258.82,309.38,248.78,214.5,157.89,170.66,182.43,154.02,153.27,184.44,180.86,163.06,196.27,182.43,453.83,427.43,124.33,81.9,127.51,102.86,148.2,65.96,84.11,58.28,116.73,59.63,43.32,55.69,46.36,70.2,53.59
경기도,평택시,2016,14,177.23,195.06,186.77,188.72,187.69,179.3,81.41,129.59,112.88,134.52,95.12,99.68,50.21,77.67,72.15,101.44,31.05,51.11,44.35,14.94,64.7,57.6,122.85,28.27,41.24,42.26,28.03,90.3,0.0,100.65,33.96,271.26,249.51,252.84,249.66,221.05,237.13,252.6,220.43,203.01,241.58,184.5,227.3,146.69,130.3,144.37,151.51,210.82,198.71,124.01,203.17,158.2,226.85,208.01,207.61,205.62,179.64,259.48,271.98,268.48,58.66,66.5,63.86,58.07,62.41,68.29,59.07,255.85,255.31,251.36,254.22,100.39,72.63,60.32,68.96,263.19,265.9,234.1,186.16,246.97,229.51,253.07,299.9,190.26,257.61,272.92,222.73,250.99,229.72,246.97,229.51,249.64,198.2,246.62,288.95,220.81,272.92,214.67,176.96,118.8,133.8,144.23,121.02,116.92,153.66,153.97,129.93,159.84,144.23,418.72,391.95,89.53,43.02,85.77,63.27,108.17,24.54,42.05,19.7,77.5,63.08,51.66,47.63,32.49,51.34,72.23
