시도,시군구,month,dist_range,cnt
경기도,안성시,1,0,0
경기도,안성시,1,10,2
경기도,안성시,1,20,4
경기도,안성시,1,30,8
경기도,안성시,1,40,7
경기도,안성시,1,50,7
경기도,안성시,1,60,5
경기도,안성시,1,70,12
경기도,안성시,1,80,3
경기도,안성시,1,90,5
경기도,안성시,1,100,5
경기도,안성시,1,110,4
경기도,안성시,1,120,5
경기도,안성시,1,130,4
경기도,안성시,1,140,4
경기도,안성시,1,150,6
경기도,안성시,1,160,7
경기도,안성시,1,170,2
경기도,안성시,1,180,2
경기도,안성시,1,190,3
경기도,안성시,1,200,1
경기도,안성시,1,210,0
경기도,안성시,1,220,3
경기도,안성시,1,230,2
경기도,안성시,1,240,4
경기도,안성시,1,250,0
경기도,안성시,1,260,0
경기도,안성시,1,270,0
경기도,안성시,1,280,0
경기도,안성시,1,290,1
충청북도,음성군,2,0,0
충청북도,음성군,2,10,2
충청북도,음성군,2,20,3
충청북도,음성군,2,30,4
충청북도,음성군,2,40,4
충청북도,음성군,2,50,2
충청북도,음성군,2,60,6
충청북도,음성군,2,70,7
충청북도,음성군,2,80,5
충청북도,음성군,2,90,12
충청북도,음성군,2,100,7
충청북도,음성군,2,110,7
충청북도,음성군,2,120,9
충청북도,음성군,2,130,6
충청북도,음성군,2,140,5
충청북도,음성군,2,150,4
충청북도,음성군,2,160,4
충청북도,음성군,2,170,2
충청북도,음성군,2,180,8
충청북도,음성군,2,190,2
충청북도,음성군,2,200,4
충청북도,음성군,2,210,0
충청북도,음성군,2,220,1
충청북도,음성군,2,230,0
충청북도,음성군,2,240,0
충청북도,음성군,2,250,0
충청북도,음성군,2,260,1
충청북도,음성군,2,270,0
충청북도,음성군,2,280,0
충청북도,음성군,2,290,0
충청북도,음성군,2,300,0
충청북도,음성군,2,310,0
충청북도,음성군,2,320,0
충청북도,음성군,2,330,0
충청북도,음성군,2,340,1
충청북도,음성군,3,0,0
충청북도,음성군,3,10,2
충청북도,음성군,3,20,3
충청북도,음성군,3,30,4
충청북도,음성군,3,40,4
충청북도,음성군,3,50,2
충청북도,음성군,3,60,6
충청북도,음성군,3,70,7
충청북도,음성군,3,80,5
충청북도,음성군,3,90,12
충청북도,음성군,3,100,7
충청북도,음성군,3,110,7
충청북도,음성군,3,120,9
충청북도,음성군,3,130,6
충청북도,음성군,3,140,5
충청북도,음성군,3,150,4
충청북도,음성군,3,160,4
충청북도,음성군,3,170,2
충청북도,음성군,3,180,8
충청북도,음성군,3,190,2
충청북도,음성군,3,200,4
충청북도,음성군,3,210,0
충청북도,음성군,3,220,1
충청북도,음성군,3,230,0
충청북도,음성군,3,240,0
충청북도,음성군,3,250,0
충청북도,음성군,3,260,1
충청북도,음성군,3,270,0
충청북도,음성군,3,280,0
충청북도,음성군,3,290,0
충청북도,음성군,3,300,0
충청북도,음성군,3,310,0
충청북도,음성군,3,320,0
충청북도,음성군,3,330,0
충청북도,음성군,3,340,1
전라북도,김제시,4,0,0
전라북도,김제시,4,10,4
전라북도,김제시,4,20,2
전라북도,김제시,4,30,6
전라북도,김제시,4,40,5
전라북도,김제시,4,50,7
전라북도,김제시,4,60,7
전라북도,김제시,4,70,6
전라북도,김제시,4,80,8
전라북도,김제시,4,90,5
전라북도,김제시,4,100,4
전라북도,김제시,4,110,10
전라북도,김제시,4,120,4
전라북도,김제시,4,130,5
전라북도,김제시,4,140,5
전라북도,김제시,4,150,5
전라북도,김제시,4,160,5
전라북도,김제시,4,170,1
전라북도,김제시,4,180,1
전라북도,김제시,4,190,2
전라북도,김제시,4,200,3
전라북도,김제시,4,210,1
전라북도,김제시,4,220,1
전라북도,김제시,4,230,1
전라북도,김제시,4,240,1
전라북도,김제시,4,250,2
전라북도,김제시,4,260,2
전라북도,김제시,4,270,2
전라북도,김제시,4,280,1
전라남도,영암군,5,0,0
전라남도,영암군,5,10,3
전라남도,영암군,5,20,4
전라남도,영암군,5,30,5
전라남도,영암군,5,40,3
전라남도,영암군,5,50,2
전라남도,영암군,5,60,4
전라남도,영암군,5,70,2
전라남도,영암군,5,80,8
전라남도,영암군,5,90,1
전라남도,영암군,5,100,4
전라남도,영암군,5,110,4
전라남도,영암군,5,120,1
전라남도,영암군,5,130,4
전라남도,영암군,5,140,3
전라남도,영암군,5,150,4
전라남도,영암군,5,160,5
전라남도,영암군,5,170,2
전라남도,영암군,5,180,10
전라남도,영암군,5,190,8
전라남도,영암군,5,200,6
전라남도,영암군,5,210,3
전라남도,영암군,5,220,3
전라남도,영암군,5,230,5
전라남도,영암군,5,240,0
전라남도,영암군,5,250,2
전라남도,영암군,5,260,2
전라남도,영암군,5,270,3
전라남도,영암군,5,280,1
전라남도,영암군,5,290,2
전라남도,영암군,5,300,2
제주특별자치도,제주시,6,0,0
제주특별자치도,제주시,6,10,0
제주특별자치도,제주시,6,20,0
제주특별자치도,제주시,6,30,0
제주특별자치도,제주시,6,40,0
제주특별자치도,제주시,6,50,0
제주특별자치도,제주시,6,60,0
제주특별자치도,제주시,6,70,2
제주특별자치도,제주시,6,80,3
제주특별자치도,제주시,6,90,2
제주특별자치도,제주시,6,100,3
제주특별자치도,제주시,6,110,5
제주특별자치도,제주시,6,120,2
제주특별자치도,제주시,6,130,1
제주특별자치도,제주시,6,140,5
제주특별자치도,제주시,6,150,4
제주특별자치도,제주시,6,160,4
제주특별자치도,제주시,6,170,3
제주특별자치도,제주시,6,180,3
제주특별자치도,제주시,6,190,1
제주특별자치도,제주시,6,200,3
제주특별자치도,제주시,6,210,4
제주특별자치도,제주시,6,220,4
제주특별자치도,제주시,6,230,4
제주특별자치도,제주시,6,240,5
제주특별자치도,제주시,6,250,3
제주특별자치도,제주시,6,260,8
제주특별자치도,제주시,6,270,7
제주특별자치도,제주시,6,280,9
제주특별자치도,제주시,6,290,4
제주특별자치도,제주시,6,300,3
제주특별자치도,제주시,6,310,4
제주특별자치도,제주시,6,320,5
제주특별자치도,제주시,6,330,0
제주특별자치도,제주시,6,340,2
제주특별자치도,제주시,6,350,3
전라남도,함평군,7,0,1
전라남도,함평군,7,10,1
