구분,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,평균
관찰지역수,75,75,200,200,75,75,116.67
합계,483382,778868,1764969,1568527,875838,438506,985015
들꿩,0,0,0,0,0,0,0
멧닭,0,0,0,0,0,0,0
메추라기,2,9,10,0,2,1,4
꿩,183,184,411,364,226,324,282
개리,54,128,78,57,9,306,105.33
큰기러기,95026,81674,94545,89352,45055,10314,69327.67
회색기러기,0,0,0,0,0,0,0
쇠기러기,138900,151216,152899,91928,70566,28281,105631.67
흰이마기러기,1,0,0,0,0,0,0.17
줄기러기,0,0,0,0,0,0,0
흰머리기러기,0,0,0,0,0,0,0
흰기러기,1,3,0,1,1,0,1
붉은가슴기러기,0,0,0,0,0,0,0
캐나다기러기,0,0,0,0,0,0,0
흑기러기,0,0,1,0,0,0,0.17
흰얼굴기러기,0,0,0,0,0,0,0
혹고니,0,0,0,0,0,0,0
고니,0,19,20,6,1,0,7.67
큰고니,3,2679,5639,5510,3577,464,2978.67
혹부리오리,1962,6327,15438,18440,12984,11750,11150.17
황오리,28,614,3793,1525,425,713,1183
원앙사촌,0,0,0,0,0,0,0
원앙,1196,825,2303,1741,481,289,1139.17
알락오리,306,12579,9648,4578,5041,4973,6187.5
청머리오리,19817,4552,3539,2610,1863,1576,5659.5
홍머리오리,8215,3859,7248,6478,5785,4445,6005
아메리카홍머리오리,0,1,2,0,0,0,0.5
미국오리,0,0,0,0,0,0,0
청둥오리,8570,184716,316943,221558,134505,52873,153194.17
흰뺨검둥오리,28655,57506,133935,109800,61568,35223,71114.5
넓적부리,965,2915,7189,7163,2645,7651,4754.67
고방오리,1911,5186,4703,7850,6197,1058,4484.17
발구지,0,4,0,0,0,20,4
가창오리,1388,1361,463243,466587,180836,28726,190356.83
쇠오리,9267,19202,19130,21534,11719,8237,14848.17
미국쇠오리,0,0,0,0,0,0,0
붉은부리흰죽지,0,0,0,0,0,0,0
큰흰죽지,0,0,0,0,0,0,0
미국흰죽지,0,0,0,0,0,0,0
흰죽지,4676,10768,26023,25953,12656,15951,16004.5
붉은가슴흰죽지,0,0,0,0,0,0,0
적갈색흰죽지,0,0,1,3,0,0,0.67
북미댕기흰죽지,0,0,0,0,0,0,0
댕기흰죽지,234,4778,8197,9551,8153,6137,6175
검은머리흰죽지,39,4595,8113,6347,504,497,3349.17
쇠검은머리흰죽지,0,0,0,0,0,0,0
호사북방오리,0,0,0,0,0,0,0
흰줄박이오리,0,0,33,34,55,33,25.83
검둥오리사촌,17,0,279,463,154,151,177.33
검둥오리,11,0,226,64,30,15,57.67
바다꿩,0,0,1,1,0,0,0.33
꼬마오리,0,0,0,0,0,0,0
흰뺨오리,1,483,3348,4652,2429,796,1951.5
북방흰뺨오리,0,0,0,0,0,0,0
흰비오리,1,13,845,1143,250,268,420
비오리,27,2117,13660,13448,3772,1924,5824.67
바다비오리,1,194,1667,2674,1118,785,1073.17
호사비오리,2,100,116,95,19,21,58.83
아비,0,0,11,17,6,6,6.67
큰회색머리아비,0,0,289,1042,665,874,478.33
회색머리아비,0,0,208,489,146,105,158
흰부리아비,0,0,0,0,0,1,0.17
레이산알바트로스,0,0,0,0,0,0,0
알바트로스,0,0,0,0,0,0,0
흰배슴새,0,0,0,0,0,0,0
슴새,0,0,0,0,0,0,0
쇠부리슴새,0,0,0,0,0,0,0
붉은발슴새,0,0,0,0,0,0,0
검은슴새,0,0,0,0,0,0,0
바다제비,0,0,0,0,0,0,0
논병아리,866,1058,2720,2294,467,446,1308.5
큰논병아리,0,1,6,76,52,1,22.67
뿔논병아리,417,3128,11957,13395,5817,5835,6758.17
귀뿔논병아리,0,0,18,286,226,13,90.5
검은목논병아리,171,574,1612,1227,455,247,714.33
큰홍학,0,0,0,0,0,0,0
먹황새,0,0,0,0,0,0,0
황새,2,11,17,13,15,1,9.83
검은머리흰따오기,0,0,0,0,0,0,0
따오기,0,0,0,0,0,0,0
적갈색따오기,0,0,0,0,0,0,0
노랑부리저어새,40,360,384,405,183,170,257
저어새,620,159,34,38,26,47,154
알락해오라기,2,4,4,10,3,0,3.83
덤불해오라기,0,0,0,0,0,0,0
큰덤불해오라기,0,0,0,0,0,0,0
열대붉은해오라기,0,0,0,0,0,0,0
검은해오라기,0,0,0,0,0,0,0
붉은해오라기,0,0,0,0,0,0,0
푸른눈테해오라기,0,0,0,0,0,0,0
해오라기,23,61,12,12,5,3,19.33
검은댕기해오라기,0,0,0,1,1,0,0.33
흰날개해오라기,0,2,1,0,0,0,0.5
황로,132,3,1,0,0,0,22.67
왜가리,2885,2364,3689,3906,2104,2442,2898.33
붉은왜가리,0,2,0,0,0,0,0.33
중대백로,2391,835,897,858,505,550,1006
중백로,45,16,42,19,5,10,22.83
쇠백로,931,436,600,646,129,138,480
흑로,12,17,17,18,8,6,13
노랑부리백로,2,0,0,1,0,0,0.5
큰군함조,0,0,0,0,0,0,0
군함조,0,0,0,0,0,0,0
큰사다새,0,0,0,0,0,0,0
사다새,0,0,0,0,0,0,0
푸른얼굴얼가니새,0,0,0,0,0,0,0
붉은발얼가니새,0,0,0,0,0,0,0
갈색얼가니새,0,0,0,0,0,0,0
민물가마우지,4292,8054,15421,10723,5945,5079,8252.33
가마우지,338,626,2100,2115,989,936,1184
쇠가마우지,0,43,146,1228,498,303,369.67
붉은뺨가마우지,0,0,0,0,0,0,0
황조롱이,126,174,425,310,154,142,221.83
비둘기조롱이,39,1,0,0,0,0,6.67
쇠황조롱이,1,2,5,8,0,3,3.17
새호리기,3,0,0,0,0,0,0.5
헨다손매,0,0,0,0,0,0,0
흰매,0,0,0,0,0,0,0
매,14,12,20,28,14,14,17
물수리,57,41,42,33,30,19,37
검은댕기수리,0,0,0,0,0,0,0
검은어깨매,0,0,0,0,0,0,0
벌매,12,0,0,0,0,0,2
솔개,9,41,4,6,7,6,12.17
흰꼬리수리,0,8,104,130,114,20,62.67
참수리,0,0,8,9,6,2,4.17
수염수리,0,0,0,0,0,0,0
고산대머리수리,0,0,0,0,0,0,0
독수리,0,2,138,310,230,276,159.33
관수리,0,0,0,0,0,0,0
개구리매,2,2,4,3,3,2,2.67
잿빛개구리매,4,15,42,31,34,23,24.83
알락개구리매,0,1,0,0,0,0,0.17
붉은배새매,0,0,0,0,0,0,0
조롱이,0,0,0,2,0,0,0.33
새매,14,11,54,34,21,19,25.5
참매,6,11,21,25,9,11,13.83
왕새매,0,0,0,0,0,0,0
말똥가리,64,133,425,432,176,165,232.5
큰말똥가리,2,1,15,10,7,3,6.33
털발말똥가리,0,1,5,4,9,3,3.67
항라머리검독수리,0,1,1,2,2,0,1
초원수리,0,0,1,0,1,0,0.33
흰죽지수리,1,0,1,0,0,0,0.33
검독수리,0,0,0,1,0,1,0.33
흰배줄무늬수리,0,0,0,0,0,0,0
흰점어깨수리,0,0,0,0,0,0,0
뿔매,0,0,0,0,0,0,0
느시,0,0,0,0,0,0,0
알락뜸부기,0,0,0,0,0,0,0
흰눈썹뜸부기,1,0,2,0,0,0,0.5
흰배뜸부기,0,0,0,0,0,0,0
쇠뜸부기,0,0,0,0,0,0,0
쇠뜸부기사촌,0,0,0,0,0,0,0
한국뜸부기,0,0,0,0,0,0,0
뜸부기,1,0,0,0,0,0,0.17
쇠물닭,355,72,51,65,24,43,101.67
물닭,17777,23093,31819,33409,14985,12963,22341
쇠재두루미,0,0,0,0,0,0,0
시베리아흰두루미,0,0,0,0,0,0,0
캐나다두루미,0,1,0,0,0,5,1
재두루미,1434,5515,4705,3278,4535,3209,3779.33
검은목두루미,0,5,7,6,5,14,6.17
흑두루미,1,1253,1375,1540,1394,4728,1715.17
두루미,1,253,948,998,894,6,516.67
세가락메추라기,0,0,0,0,0,0,0
검은머리물떼새,2901,2203,5035,6913,4062,3120,4039
장다리물떼새,5,2,0,0,0,0,1.17
뒷부리장다리물떼새,0,0,0,0,0,0,0
댕기물떼새,10,253,171,111,236,20,133.5
민댕기물떼새,0,0,0,0,0,0,0
검은가슴물떼새,1,0,0,0,0,15,2.67
개꿩,491,892,905,1934,489,587,883
흰죽지꼬마물떼새,0,0,0,0,0,0,0
흰목물떼새,13,34,81,74,14,21,39.5
꼬마물떼새,6,2,22,6,0,118,25.67
흰물떼새,4921,168,178,295,72,95,954.83
왕눈물떼새,1564,27,0,0,2,0,265.5
큰왕눈물떼새,0,0,0,0,0,0,0
큰물떼새,0,0,0,0,0,0,0
흰눈썹물떼새,0,0,0,0,0,0,0
호사도요,0,0,0,0,0,0,0
물꿩,0,0,0,0,0,0,0
멧도요,0,0,0,1,0,0,0.17
꼬마도요,0,0,0,0,0,0,0
청도요,0,0,0,0,0,0,0
큰꺅도요,0,0,0,0,0,0,0
바늘꼬리도요,0,0,0,0,0,0,0
꺅도요사촌,0,0,0,0,0,0,0
꺅도요,73,27,3,15,28,13,26.5
긴부리도요,0,0,0,0,0,0,0
