구분,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년,평균
관찰지역수,116,117,122,126,127,140,142,172,193,192,193,194,75,200,200,196,200,200,206,163.74
합계,971176,1109531,1175808,1184287,1577499,1459277,1914446,1445152,1248740,1102082,1106287,1256065,974685,1568527,1320000,1432843,1469859,1629083,1478060,1338074.05
들꿩,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,4,1,0.47
멧닭,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
메추라기,3,5,14,14,13,17,18,18,18,9,37,6,10,0,4,5,11,3,4,11
꿩,88,182,147,121,140,302,246,355,344,329,278,425,250,364,275,486,334,501,334,289.53
개리,3,36,58,55,40,27,55,88,60,9,61,38,60,57,11,136,12,43,42,46.89
큰기러기,30828,34856,86116,66283,68233,55305,74111,51516,57796,53541,57002,73098,67331,89352,62387,93268,108840,87771,83534,68482.53
회색기러기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
쇠기러기,33583,54481,84039,112821,87792,103563,87678,69147,78180,88362,73340,85594,63459,91928,113373,145761,178326,182608,118439,97498.63
흰이마기러기,0,2,6,15,2,0,3,2,1,5,0,0,1,0,1,1,0,0,0,2.05
줄기러기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
흰머리기러기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
흰기러기,5,2,3,3,1,2,3,1,1,1,2,3,2,1,4,1,3,5,7,2.63
붉은가슴기러기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
캐나다기러기,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0.26
흑기러기,12,87,17,67,18,1,18,26,1,12,2,3,0,0,10,0,1,0,1,14.53
흰얼굴기러기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
혹고니,0,0,1,0,0,0,6,7,0,0,3,3,7,0,0,1,17,1,29,3.95
고니,220,56,72,177,61,48,65,45,72,36,36,34,3,6,28,5,1,10,2,51.42
큰고니,4069,4867,4259,5014,4787,4191,4857,4794,5402,5378,4846,5857,4795,5510,4806,7229,7610,7371,9152,5515.47
혹부리오리,23025,30986,33830,25315,24081,25682,21573,23852,34830,29620,21037,17438,21020,18440,14836,17413,31184,28949,40413,25448.63
황오리,1718,1498,3533,2918,3937,2446,1184,1554,2070,2966,1433,2120,1753,1525,1689,1930,2793,3126,2181,2230.21
원앙사촌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
원앙,2288,1103,1174,777,508,634,640,1213,2655,448,805,1278,650,1741,1412,2070,1442,1946,2710,1341.79
알락오리,4754,5019,5137,7005,7406,4442,6046,4989,3375,5407,5235,6332,4125,4578,5999,7095,8543,12022,11435,6260.21
청머리오리,1260,1786,2479,2686,2688,4154,5224,4521,3354,3669,4142,4317,1498,2610,6023,2741,4240,3406,3983,3409.53
홍머리오리,5906,6813,10026,7904,12713,8860,14209,8429,10148,8099,6089,8399,2730,6478,10930,10579,8296,8554,10830,8736.42
아메리카홍머리오리,0,123,0,2,1,1,1,1,1,1,0,0,0,0,2,0,0,1,0,7.05
미국오리,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21
청둥오리,250048,240771,248148,242537,178004,172306,159664,161666,126213,127394,127424,154915,127726,221558,173052,191689,153351,171765,133119,176913.16
흰뺨검둥오리,54854,67806,80919,80006,74769,79268,73955,75240,60036,58850,59639,67630,58634,109800,94961,108646,85922,104319,68048,77015.89
넓적부리,3749,2935,3820,7729,11252,8506,5755,5258,3443,3646,3482,3764,3487,7163,4263,4544,7840,8798,5987,5548.47
고방오리,20167,18348,23376,26421,15500,15098,9104,12056,11304,7681,7296,7477,3541,7850,12484,7358,8726,8720,10786,12278.58
발구지,4,0,0,17,0,209,0,2,0,0,0,0,0,0,0,1,0,0,0,12.26
가창오리,303165,455168,337588,270834,819563,626610,1063280,642724,436183,318672,348319,365641,310940,466587,346757,333508,355116,406351,322697,448931.74
쇠오리,13860,18076,14059,15598,13919,19339,16158,17646,16031,18305,15410,14231,8266,21534,15364,16300,12855,21576,12931,15866.21
미국쇠오리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.05
붉은부리흰죽지,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.11
큰흰죽지,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.95
미국흰죽지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
흰죽지,25840,25014,17593,14482,19220,35285,36789,15839,15325,16965,11676,23568,9959,25953,18814,20461,19843,34308,25407,21702.16
붉은가슴흰죽지,0,0,2,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.53
적갈색흰죽지,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,7,0,0,1.16
북미댕기흰죽지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
댕기흰죽지,5854,7677,4506,5533,6834,6651,11131,8821,6952,8426,6311,7264,15530,9551,4093,9741,6381,12841,12131,8222.53
검은머리흰죽지,12867,4699,6897,13775,12380,21953,33821,10811,34538,4071,1952,2862,9430,6347,5687,33322,10157,8510,54197,15172.42
쇠검은머리흰죽지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
호사북방오리,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.11
흰줄박이오리,11,63,15,66,39,137,206,41,56,41,51,12,8,34,6,55,63,27,51,51.68
검둥오리사촌,139,242,526,1741,603,377,1089,1072,1478,380,724,674,185,463,256,125,216,43,193,554
검둥오리,196,123,61,32,3,0,7,21,457,339,369,133,33,64,416,346,114,24,210,155.16
바다꿩,0,6,0,0,0,0,2,0,0,13,1,5,0,1,0,0,0,1,0,1.53
꼬마오리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
흰뺨오리,3971,3519,3388,15036,3526,2788,6348,8038,6289,6433,3236,3854,1372,4652,2784,4088,4294,2876,2645,4691.42
북방흰뺨오리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
흰비오리,487,631,1207,792,925,1170,1265,931,1268,953,699,861,528,1143,1666,864,1614,882,626,974.32
비오리,8007,5718,13205,8954,11784,13439,14946,13211,13652,16479,10668,10901,6580,13448,11005,12090,9465,9893,9388,11201.74
바다비오리,1788,709,750,1243,2094,1890,2276,4898,3606,10136,3215,2475,713,2674,1995,3089,2648,2356,2038,2662.79
호사비오리,0,1,18,51,8,12,14,14,59,30,32,55,47,95,75,59,53,58,33,37.58
아비,8,49,18,33,13,106,69,347,145,66,46,28,5,17,11,66,8,9,14,55.68
큰회색머리아비,96,48,55,47,57,47,663,788,1133,324,1831,875,38,1042,176,2840,432,147,33,561.68
회색머리아비,26,13,12,22,17,32,48,360,105,321,1344,780,71,489,18,1697,210,34,6,295
흰부리아비,0,1,0,0,0,0,2,1,2,0,0,0,0,0,1,1,1,0,0,0.47
레이산알바트로스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
알바트로스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
흰배슴새,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
슴새,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
쇠부리슴새,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.05
붉은발슴새,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
검은슴새,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
바다제비,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.05
논병아리,698,848,1666,854,1361,1762,1489,1102,1043,977,884,1279,643,2294,1535,1305,1537,2825,1658,1355.79
큰논병아리,55,40,384,303,74,43,222,1627,42,355,140,17,42,76,11,24,57,2,40,187.05
뿔논병아리,1200,2249,1869,4040,2718,5370,6314,9660,10296,13152,9812,10272,8111,13395,12161,17332,13749,12155,16879,8986
귀뿔논병아리,33,218,38,10,15,17,70,29,92,69,116,52,3,286,82,68,88,23,34,70.68
검은목논병아리,828,2358,1195,2199,211,667,467,584,386,379,1027,741,457,1227,234,501,729,402,414,789.79
큰홍학,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
먹황새,0,2,0,2,4,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0.68
황새,1,9,8,5,4,20,9,5,6,4,9,11,5,13,24,34,26,88,110,20.58
검은머리흰따오기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
따오기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.32
적갈색따오기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
노랑부리저어새,24,146,139,191,147,182,209,137,115,120,143,147,144,405,363,226,295,402,306,202.16
저어새,25,23,16,22,20,20,27,15,18,17,29,16,14,38,31,25,32,37,33,24.11
알락해오라기,5,3,1,8,4,6,5,9,5,7,4,2,3,10,1,3,5,0,7,4.63
덤불해오라기,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.05
큰덤불해오라기,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.16
열대붉은해오라기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
검은해오라기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
붉은해오라기,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
푸른눈테해오라기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
해오라기,16,164,28,12,34,49,62,90,56,1,8,64,11,12,3,132,67,195,15,53.63
검은댕기해오라기,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.16
흰날개해오라기,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0.21
황로,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0.63
왜가리,981,1565,1306,1615,2278,2558,2235,2313,2525,2697,2304,3667,1195,3906,3470,4042,3733,4544,3497,2654.26
붉은왜가리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
중대백로,208,891,430,541,653,372,942,412,275,722,838,685,434,858,3717,3628,3437,3568,2196,1305.63
중백로,1,6,8,4,26,79,8,3,0,7,5,20,0,19,17,51,1,3,0,13.58
쇠백로,274,403,332,324,622,591,328,407,462,453,488,373,119,646,734,260,354,461,201,412.21
흑로,11,26,28,35,32,37,22,22,16,25,18,15,3,18,7,28,12,10,20,20.26
노랑부리백로,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,18,0,1.05
큰군함조,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
군함조,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
큰사다새,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
사다새,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
푸른얼굴얼가니새,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
붉은발얼가니새,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
갈색얼가니새,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
민물가마우지,920,593,2006,2474,2773,2669,4465,2911,1639,4336,5213,6115,7388,10723,16021,15672,12470,18328,21196,7258.53
가마우지,703,776,1089,1510,1170,2388,1685,1814,2496,3503,1933,2301,1395,2115,1898,2242,2572,2918,3275,1988.58
쇠가마우지,66,531,5,316,421,63,819,361,471,592,350,755,944,1228,782,1838,2312,1842,1350,791.89
붉은뺨가마우지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
황조롱이,84,117,162,136,147,200,199,215,227,258,257,240,174,310,244,266,268,278,294,214.53
비둘기조롱이,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.16
쇠황조롱이,3,4,3,7,2,5,8,7,11,15,13,9,0,8,3,8,8,5,7,6.63
새호리기,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0.32
헨다손매,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.05
흰매,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
매,11,12,18,17,25,10,21,24,22,27,29,20,23,28,13,21,31,24,47,22.26
물수리,17,19,13,25,37,36,61,45,39,36,41,44,29,33,33,42,39,53,49,36.37
검은댕기수리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
검은어깨매,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.11
벌매,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
솔개,32,18,40,9,29,45,12,14,10,12,15,22,5,6,5,35,20,3,37,19.42
흰꼬리수리,19,30,37,45,27,43,48,81,92,125,117,94,90,130,119,182,182,162,223,97.16
참수리,3,0,5,6,4,4,3,4,5,10,5,7,4,9,10,15,11,5,8,6.21
수염수리,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.05
고산대머리수리,0,0,0,0,0,0,0,0,0,0,1165,675,0,0,0,0,0,0,0,96.84
독수리,475,456,1545,1055,724,683,484,1084,959,1262,0,0,527,310,618,1280,1194,679,896,749
관수리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
개구리매,3,0,1,0,0,0,0,0,1,1,1,2,0,3,4,1,2,7,2,1.47
잿빛개구리매,39,22,30,28,23,65,45,58,43,43,33,28,31,31,44,32,35,43,68,39
알락개구리매,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.32
붉은배새매,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.11
조롱이,1,1,0,1,2,1,1,1,0,1,1,0,0,2,2,0,0,0,1,0.79
새매,9,8,5,17,9,14,26,34,30,30,28,32,23,34,35,33,33,39,53,25.89
참매,5,9,5,8,4,14,9,15,16,18,12,23,10,25,23,36,21,29,47,17.32
왕새매,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
말똥가리,61,90,116,113,153,197,195,342,361,332,392,321,204,432,358,505,450,676,594,310.11
큰말똥가리,4,1,1,6,2,12,17,27,23,18,10,10,9,10,7,5,9,9,37,11.42
털발말똥가리,5,0,5,4,3,22,2,23,21,9,12,5,3,4,5,2,1,3,4,7
항라머리검독수리,0,0,3,0,1,3,1,3,0,4,0,1,0,2,0,1,0,1,5,1.32
초원수리,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.11
흰죽지수리,0,0,2,2,0,2,1,2,0,2,1,0,0,0,0,0,3,2,4,1.11
검독수리,6,2,1,5,0,6,2,7,27,16,13,4,2,1,3,1,1,1,2,5.26
흰배줄무늬수리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
