구분,시도,시군,2014년-10월,2014년-11월,2014년-12월,2015년-01월,2015년-02월,2015년-03월,2015년-10월,2015년-11월,2015년-12월,2016년-01월,2016년-02월,2016년-03월,2016년-10월,2016년-11월,2016년-12월,2017년-01월,2017년-02월,2017년-03월,2017년-10월,2017년-11월,2017년-12월,2018년-01월,2018년-02월,2018년-03월,2018년-10월,2018년-11월,2018년-12월,2019년-01월,2019년-02월,2019년-03월,2019년-10월,2019년-11월,2019년-12월,2020년-01월,2020년-02월,2020년-03월,2020년-10월,2020년-11월,2020년-12월,2021년-01월,2021년-02월,2021년-03월,평균
조사종수,-,-,182,190,186,180,186,186,201,180,194,194,173,175,186,195,195,190,177,174,176,159,188,189,195,170,177,166,199,202,157,160,183,169,214,210,167,162,180,180,203,202,178,180,183.5714286
합계,-,-,617312,1038700,1111763,974685,675607,839772,483382,778868,1764969,1568527,875838,438506,500205,905642,1188443,1320000,890509,413302,382817,607613,1069951,1432843,968497,414952,454906,757778,1320063,1469859,713814,368329,611490,705740,1817155,1629083,923296,380384,575277,944700,1571494,1481717,858236,472276,912340.4762
철원평야,강원도 ,철원군,51660,43900,9336,10857,14109,40987,70824,52965,48258,17208,25098,18073,30144,42176,28046,29915,22531,8044,49592,57910,57633,39898,36929,74873,77656,82745,58438,56868,41524,65786,80054,87356,70858,62302,99543,60365,39088,36482,53663,21929,54268,40268,46908.54762
연천군,경기도 ,연천군,595,1150,1227,3530,4674,3297,1349,1986,5171,9172,7180,7458,2053,1933,4445,5690,6966,3038,0,0,5196,3060,6200,0,0,0,4099,5691,0,0,0,0,5134,7786,0,0,0,2493,3639,4452,11186,2471,3150.5
성산-성수,서울특별시,성동구,477,4443,7212,6333,5853,21801,1434,4026,5640,2527,5425,1636,668,3875,1352,876,0,15014,0,0,1966,2208,1640,0,0,0,870,1647,0,0,0,0,2088,2925,0,0,0,0,2312,1979,0,0,2529.214286
성산-성수,서울특별시,마포구,477,4443,7212,6333,5853,21801,1434,4026,5640,2527,5425,1636,668,3875,1352,876,0,15014,0,0,1966,2208,1640,0,0,0,870,1647,0,0,0,0,2088,2925,0,0,0,0,2312,1979,0,0,2529.214286
성수-팔당댐,서울특별시,성동구,552,1917,2199,3023,6068,5469,616,2945,4621,5880,5863,1454,541,1407,2724,2468,4186,10784,0,0,2475,3588,2982,0,0,0,3423,2084,0,0,0,0,2890,2368,0,0,0,0,1918,2602,0,0,2072.547619
성수-팔당댐,경기도 ,남양주시,552,1917,2199,3023,6068,5469,616,2945,4621,5880,5863,1454,541,1407,2724,2468,4186,10784,0,0,2475,3588,2982,0,0,0,3423,2084,0,0,0,0,2890,2368,0,0,0,0,1918,2602,0,0,2072.547619
중랑천,서울특별시,중랑구,0,0,3773,0,0,0,0,0,5957,5514,0,0,0,0,1997,1194,0,0,1203,1823,1545,1556,1471,1370,1016,1755,2141,1885,2585,5922,1559,2101,1119,1521,2370,2194,1198,1163,2129,2537,1746,1662,1523.952381
탄천,경기도 ,용인시,0,0,1108,0,0,0,0,0,871,1350,0,0,0,0,1103,859,0,0,542,934,829,827,946,609,443,862,689,1125,1483,1250,621,567,647,657,917,663,545,1078,662,738,738,609,577.9047619
탄천,서울특별시,강남구,0,0,1108,0,0,0,0,0,871,1350,0,0,0,0,1103,859,0,0,542,934,829,827,946,609,443,862,689,1125,1483,1250,621,567,647,657,917,663,545,1078,662,738,738,609,577.9047619
탄천,서울특별시,송파구,0,0,1108,0,0,0,0,0,871,1350,0,0,0,0,1103,859,0,0,542,934,829,827,946,609,443,862,689,1125,1483,1250,621,567,647,657,917,663,545,1078,662,738,738,609,577.9047619
팔당호(경안천 포함),경기도 ,광주시,0,0,1412,0,0,0,0,0,1832,2225,0,0,0,0,1138,2665,0,0,4021,4126,1105,1202,546,3687,4663,6858,2315,1230,2531,2589,3478,2570,3480,3049,2555,2504,3353,4859,2999,1795,5475,3784,2001.095238
남한강(양평-여주),경기도 ,여주시,0,0,2499,0,0,0,0,0,4017,5591,0,0,0,0,3832,3245,15213,13963,0,0,4373,6934,3906,0,0,0,3294,2621,0,0,0,0,5223,9554,0,0,0,4466,7711,5647,5531,3349,2642.119048
남한강(양평-여주),경기도 ,양평군,0,0,2499,0,0,0,0,0,4017,5591,0,0,0,0,3832,3245,15213,13963,0,0,4373,6934,3906,0,0,0,3294,2621,0,0,0,0,5223,9554,0,0,0,4466,7711,5647,5531,3349,2642.119048
횡성호,강원도 ,횡성군,0,0,899,0,0,0,0,0,412,639,0,0,0,0,532,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.52380952
남한강(여주-충주),충청북도,충주시,4786,7534,13632,11569,12602,10745,4192,11329,38957,21871,19116,15089,3367,14710,10565,16674,0,0,3794,8669,8796,10553,12337,13005,3776,12566,8162,13192,9748,12857,7065,16508,18631,17259,12660,12930,5703,22594,15999,16535,19991,13422,12225.95238
섬강,강원도 ,횡성군,988,1675,1632,1435,1561,1364,737,1226,1658,1911,1964,1582,816,1043,1099,1384,0,1684,1259,1246,2276,3361,3166,2764,1366,2058,747,777,1180,2571,1508,1998,2254,2281,2038,2437,1045,1767,1462,2910,3439,2421,1716.428571
북한강(청평댐-화천교),강원도 ,화천군,0,0,992,0,0,0,0,0,1171,1165,0,0,0,0,1126,1650,0,0,0,0,1100,1015,947,0,0,0,1376,1528,0,0,0,0,2341,3095,0,0,0,0,1606,1210,0,0,483.8571429
