구분,시도,시군,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년,평균
조사종수,-,-,188,176,171,185,188,194,197,192,194,198,206,206,180,194,190,189,202,210,202,192.7368421
합계,-,-,971176,1109531,1175808,1184287,1577499,1459277,1914446,1445152,1248740,1102082,1106287,1256065,974685,1568527,1320000,1432843,1469859,1629083,1481717,1338266.526
철원평야,강원도 ,철원군,2977,12994,4025,17521,5176,5759,21436,4376,6067,5602,4177,5489,10857,17208,29915,39898,56868,62302,21929,17609.26316
연천군,경기도 ,연천군,0,0,14809,13017,13534,15252,18588,12857,11178,12164,11580,9458,3530,9172,5690,3060,5691,7786,4452,9043.052632
성산-성수,서울특별시,성동구,0,0,0,0,6230,3540,5277,5706,5632,6822,7727,8706,6333,2527,876,2208,1647,2925,1979,3586.052632
성산-성수,서울특별시,마포구,0,0,0,0,6230,3540,5277,5706,5632,6822,7727,8706,6333,2527,876,2208,1647,2925,1979,3586.052632
성수-팔당댐,서울특별시,성동구,18340,4245,15486,9803,10422,7948,9094,2760,1539,2190,2051,1655,3023,5880,2468,3588,2084,2368,2602,5660.315789
성수-팔당댐,경기도 ,남양주시,18340,4245,15486,9803,10422,7948,9094,2760,1539,2190,2051,1655,3023,5880,2468,3588,2084,2368,2602,5660.315789
중랑천,서울특별시,중랑구,8222,3927,2841,4545,6624,2454,2871,2785,5029,4169,3249,3464,0,5514,1194,1556,1885,1521,2537,3388.789474
탄천,경기도 ,용인시,2613,3405,2445,2800,3229,3394,2463,1804,1038,1295,986,755,0,1350,859,827,1125,657,738,1672.789474
탄천,서울특별시,강남구,2613,3405,2445,2800,3229,3394,2463,1804,1038,1295,986,755,0,1350,859,827,1125,657,738,1672.789474
탄천,서울특별시,송파구,2613,3405,2445,2800,3229,3394,2463,1804,1038,1295,986,755,0,1350,859,827,1125,657,738,1672.789474
팔당호(경안천 포함),경기도 ,광주시,1080,870,430,391,1556,1637,623,802,766,726,565,930,0,2225,2665,1202,1230,3049,1795,1186.421053
남한강(양평-여주),경기도 ,여주시,704,437,534,4738,778,3352,2525,1601,2773,885,1009,703,0,5591,3245,6934,2621,9554,5647,2822.684211
남한강(양평-여주),경기도 ,양평군,704,437,534,4738,778,3352,2525,1601,2773,885,1009,703,0,5591,3245,6934,2621,9554,5647,2822.684211
횡성호,강원도 ,횡성군,0,0,0,0,0,0,0,301,331,291,320,25,0,639,522,0,0,0,0,127.8421053
