주소,월,x,y,xy
강원도 인제군,1,128.1703515,38.06970974,"128.170351505777,38.069709741838"
강원도 횡성군,1,127.98508,37.49178316,"127.985079956092,37.4917831601354"
경기도 광주시,1,127.2551387,37.42939419,"127.255138719721,37.4293941934866"
경기도 김포시,1,126.7156579,37.61526869,"126.715657922927,37.6152686898333"
경기도 남양주시,1,127.2164803,37.63602723,"127.21648030719,37.6360272346499"
경기도 수원시,1,127.0287159,37.26358468,"127.028715898311,37.2635846787744"
경기도 안성시,1,127.2797903,37.0080705,"127.27979032841,37.0080705033718"
경기도 양주시,1,127.0457861,37.7853137,"127.045786084702,37.7853136973154"
경기도 여주시,1,127.6370588,37.29842337,"127.637058787484,37.2984233734535"
경기도 연천군,1,127.0753512,38.09651865,"127.075351220883,38.0965186516052"
경기도 용인시,1,127.1774823,37.24102998,"127.177482330871,37.241029979227"
경기도 이천시,1,127.4350893,37.27226759,"127.435089282738,37.2722675901776"
경기도 파주시,1,126.7798768,37.76004138,"126.779876830607,37.7600413844134"
경기도 평택시,1,127.1126884,36.99226067,"127.112688386546,36.992260674533"
경기도 포천시,1,127.2003329,37.89499283,"127.200332890652,37.8949928340087"
경기도 화성시,1,126.8314774,37.1995372,"126.831477350333,37.199537203472"
경상남도 거창군,1,127.909503,35.68668463,"127.90950298922,35.6866846276583"
경상남도 고성군,1,128.3223613,34.97306184,"128.32236130677,34.9730618412556"
경상남도 밀양시,1,128.7466075,35.50381727,"128.74660754822,35.503817270728"
경상남도 양산시,1,129.0372728,35.33499206,"129.037272788806,35.3349920568258"
경상남도 진주시,1,128.1077063,35.18022283,"128.107706335688,35.1802228341544"
경상남도 하동군,1,127.751308,35.0673056,"127.751308023408,35.06730559523"
경상북도 문경시,1,128.1867719,36.58652737,"128.186771917242,36.5865273680414"
경상북도 성주군,1,128.2829346,35.9190934,"128.282934640557,35.9190934037265"
경상북도 포항시,1,129.3431646,36.01899543,"129.343164578825,36.0189954294771"
부산광역시 강서구,1,128.9805706,35.21219795,"128.980570557383,35.2121979518668"
세종특별자치시 세종특별자치시,1,127.2891953,36.48006491,"127.289195324698,36.4800649113762"
전라남도 강진군,1,126.7672135,34.64206153,"126.767213471898,34.6420615268858"
전라남도 고흥군,1,127.2849687,34.61108202,"127.284968746855,34.6110820210903"
전라남도 구례군,1,127.4627036,35.20249636,"127.46270363657,35.202496361707"
전라남도 나주시,1,126.7108293,35.01589769,"126.71082925505,35.0158976865702"
전라남도 무안군,1,126.4817048,34.99034062,"126.481704827288,34.9903406227336"
전라남도 보성군,1,127.079977,34.77146076,"127.079977043574,34.7714607621149"
전라남도 신안군,1,126.351408,34.83364292,"126.35140802381,34.8336429223321"
전라남도 여수시,1,127.6623313,34.76040106,"127.662331251572,34.7604010648257"
전라남도 영암군,1,126.6967626,34.80005911,"126.696762590551,34.8000591144742"
전라남도 장흥군,1,126.9070584,34.68161207,"126.907058431105,34.6816120675651"
전라남도 함평군,1,126.5166248,35.06591117,"126.516624840635,35.0659111691242"
전라남도 해남군,1,126.5992701,34.57351659,"126.599270065365,34.573516588485"
전라남도 화순군,1,126.9865024,35.06451198,"126.986502436773,35.0645119791204"
전라북도 고창군,1,126.7021204,35.43569822,"126.702120365321,35.4356982163483"
전라북도 군산시,1,126.7368405,35.96746656,"126.736840487468,35.9674665619218"
전라북도 김제시,1,126.8806551,35.80358528,"126.880655083014,35.8035852810186"
전라북도 부안군,1,126.7330202,35.73166142,"126.733020152545,35.7316614171428"
전라북도 임실군,1,127.2890875,35.61785451,"127.289087482791,35.6178545082349"
전라북도 정읍시,1,126.8560056,35.56987803,"126.856005647439,35.5698780259932"
충청남도 당진시,1,126.6458884,36.88967486,"126.645888436838,36.8896748628647"
충청남도 부여군,1,126.9097728,36.27576372,"126.909772812745,36.2757637166451"
충청남도 서산시,1,126.4503339,36.7848763,"126.450333937447,36.7848762954286"
충청남도 서천군,1,126.691852,36.08031555,"126.691852023308,36.080315550736"
충청남도 아산시,1,127.0025096,36.78997417,"127.002509638233,36.7899741676055"
충청남도 천안시,1,127.113912,36.81506788,"127.113911972591,36.8150678816283"
충청남도 홍성군,1,126.6608324,36.60135756,"126.66083238915,36.6013575607953"
충청북도 음성군,1,127.69048,36.94032188,"127.690480041094,36.9403218849121"
충청북도 진천군,1,127.4355406,36.85538618,"127.435540612059,36.8553861840184"
강원도 원주시,2,127.9200971,37.34204759,"127.92009712318,37.3420475880603"
경기도 동두천시,2,127.0604407,37.90359865,"127.060440729219,37.9035986489851"
경상남도 통영시,2,128.4330612,34.85441341,"128.433061196239,34.8544134146968"
경상북도 영주시,2,128.623937,36.80561928,"128.62393703546,36.8056192756897"
울산광역시 남구,2,129.3300918,35.5438097,"129.330091790832,35.5438097037164"
인천광역시 옹진군,2,124.6700861,37.953465,"124.670086072277,37.9534650042648"
전라남도 담양군,2,126.9882107,35.32121077,"126.988210711052,35.3212107735503"
전라남도 순천시,2,127.4873829,34.95060978,"127.487382934915,34.9506097806669"
전라남도 영광군,2,126.5120138,35.27719003,"126.512013797425,35.27719003326"
전라북도 익산시,2,126.9577445,35.94826286,"126.957744486694,35.9482628600199"
제주특별자치도 제주시,2,126.5311711,33.49953424,"126.531171087132,33.499534241198"
충청남도 논산시,2,127.0987347,36.1871836,"127.098734690891,36.1871836043033"
충청남도 청양군,2,126.8022002,36.4592147,"126.80220021685,36.4592146952303"
충청북도 괴산군,2,127.7866522,36.81535716,"127.786652163107,36.8153571576607"
충청북도 충주시,2,127.925961,36.99104902,"127.925961035784,36.9910490160221"
경기도 고양시,3,126.8319551,37.6584181,"126.831955109648,37.6584180954929"
경기도 과천시,3,126.987712,37.4292292,"126.987711960677,37.4292291986772"
경상북도 경주시,3,129.2247817,35.85621846,"129.22478171309,35.8562184605051"
경상북도 영천시,3,128.9385509,35.9732205,"128.938550862058,35.9732205043311"
전라남도 곡성군,3,127.2919296,35.28202584,"127.291929639637,35.2820258392354"
전라북도 순창군,3,127.1373649,35.37444523,"127.137364881069,35.3744452332964"
전라북도 전주시,3,127.1481438,35.82407315,"127.148143800621,35.8240731508775"
전라북도 진안군,3,127.4248655,35.7917723,"127.424865465441,35.7917723036092"
충청남도 공주시,3,127.119055,36.44655512,"127.11905504092,36.4465551158227"
충청북도 증평군,3,127.5815399,36.78540237,"127.581539888445,36.7854023677832"
충청북도 청주시,3,127.4890202,36.64248713,"127.489020156402,36.6424871337289"
경기도 의정부시,4,127.0338991,37.73805664,"127.033899090337,37.7380566430617"
울산광역시 울주군,4,129.1502671,35.60181577,"129.150267145781,35.6018157675291"
강원도 춘천시,5,127.730207,37.88124403,"127.730207024668,37.8812440340088"
경상북도 경산시,5,128.7413166,35.82508159,"128.741316589036,35.8250815854681"
대구광역시 수성구,5,128.6306355,35.8581745,"128.630635463648,35.8581745018633"
부산광역시 기장군,5,129.2224221,35.2444181,"129.222422056732,35.2444181044945"
