주소,x,y
서울특별시 종로구,126.97899,37.57350424
서울특별시 중구,126.9975552,37.56380777
서울특별시 용산구,126.9905823,37.53243104
서울특별시 성동구,127.0369301,37.56342721
서울특별시 광진구,127.0823852,37.53855831
서울특별시 동대문구,127.039657,37.57452298
서울특별시 중랑구,127.0928203,37.60654324
서울특별시 성북구,127.0167029,37.58935882
서울특별시 강북구,127.0255381,37.63975133
서울특별시 도봉구,127.0472105,37.66869141
서울특별시 노원구,127.0564305,37.65436176
서울특별시 은평구,126.928941,37.60281744
서울특별시 서대문구,126.9368157,37.57916186
서울특별시 마포구,126.9019551,37.56621419
서울특별시 양천구,126.8665014,37.51698848
서울특별시 강서구,126.8495338,37.55096462
서울특별시 구로구,126.8875053,37.49543309
서울특별시 금천구,126.8954568,37.45684115
서울특별시 영등포구,126.8962784,37.52636718
서울특별시 동작구,126.9393151,37.51248204
서울특별시 관악구,126.9515619,37.47836838
서울특별시 서초구,127.0326893,37.48358882
서울특별시 강남구,127.0473774,37.51733193
서울특별시 송파구,127.1059222,37.51459092
서울특별시 강동구,127.1237925,37.53019332
부산광역시 중구,129.0323731,35.10622698
부산광역시 서구,129.0242984,35.09792352
부산광역시 동구,129.0453058,35.1292668
부산광역시 영도구,129.0678888,35.09123989
부산광역시 부산진구,129.0531654,35.16285545
부산광역시 동래구,129.0938578,35.19630156
부산광역시 남구,129.0842428,35.13652979
부산광역시 북구,128.9900366,35.19729594
부산광역시 해운대구,129.1635961,35.16306667
부산광역시 사하구,128.974933,35.1044479
부산광역시 금정구,129.0921041,35.24277705
부산광역시 강서구,128.9805706,35.21219795
부산광역시 연제구,129.0797459,35.17621119
부산광역시 수영구,129.113134,35.14553823
부산광역시 사상구,128.9914565,35.15254918
부산광역시 기장군,129.2224221,35.2444181
대구광역시 중구,128.6062205,35.86938925
대구광역시 동구,128.6355241,35.88662362
대구광역시 서구,128.5591542,35.87166758
대구광역시 남구,128.5976786,35.84604099
대구광역시 북구,128.5829049,35.88567067
대구광역시 수성구,128.6306355,35.8581745
대구광역시 달서구,128.532774,35.8298872
대구광역시 달성군,128.4312201,35.77447387
인천광역시 중구,126.621704,37.47366053
인천광역시 동구,126.6432819,37.47386099
인천광역시 남구,126.6649719,37.45707564
인천광역시 연수구,126.6782748,37.41010498
인천광역시 남동구,126.7314877,37.44734879
인천광역시 부평구,126.7218642,37.50704166
인천광역시 계양구,126.7377092,37.53750289
인천광역시 서구,126.6760285,37.54543352
인천광역시 강화군,126.4880396,37.7465684
인천광역시 옹진군,124.6700861,37.953465
광주광역시 동구,126.9230951,35.14616667
광주광역시 서구,126.8901875,35.15207227
광주광역시 남구,126.9024493,35.13290539
광주광역시 북구,126.9120121,35.17417337
광주광역시 광산구,126.7936334,35.13954719
대전광역시 동구,127.4548071,36.31177684
대전광역시 중구,127.4213399,36.32578123
대전광역시 서구,127.3837897,36.35549872
대전광역시 유성구,127.3562576,36.36228511
대전광역시 대덕구,127.4155619,36.34670513
울산광역시 중구,129.3324941,35.56933523
울산광역시 남구,129.3300918,35.5438097
울산광역시 동구,129.4164878,35.50463588
울산광역시 북구,129.3611467,35.582747
울산광역시 울주군,129.1502671,35.60181577
세종특별자치시 세종시,127.2891953,36.48006491
경기도 수원시,127.0287159,37.26358468
경기도 성남시,127.1265163,37.41992491
경기도 의정부시,127.0338991,37.73805664
경기도 안양시,126.9568605,37.3942588
경기도 부천시,126.7660385,37.50351178
경기도 광명시,126.8646478,37.47856748
경기도 평택시,127.1126884,36.99226067
경기도 동두천시,127.0604407,37.90359865
경기도 안산시,126.8308344,37.32190855
경기도 고양시,126.8319551,37.6584181
경기도 과천시,126.987712,37.4292292
경기도 구리시,127.1296464,37.59435958
경기도 남양주시,127.2164803,37.63602723
경기도 오산시,127.0775265,37.14987902
경기도 시흥시,126.8029778,37.38011507
경기도 군포시,126.9352059,37.36163183
경기도 의왕시,126.9682738,37.34476005
경기도 하남시,127.2148606,37.53927457
경기도 용인시,127.1774823,37.24102998
경기도 파주시,126.7798768,37.76004138
경기도 이천시,127.4350893,37.27226759
경기도 안성시,127.2797903,37.0080705
경기도 김포시,126.7156579,37.61526869
경기도 화성시,126.8314774,37.1995372
경기도 광주시,127.2551387,37.42939419
경기도 양주시,127.0457861,37.7853137
