시도,시군,실제지목 구분,지급필지수(개),지급면적(ha)
서울특별시,중랑구,과수, 2 , 0.52 
서울특별시,도봉구,밭, 1 , 0.10 
서울특별시,노원구,기타, 1 , 0.60 
서울특별시,강서구,밭, 49 , 9.65 
서울특별시,강서구,논, 224 , 65.63 
서울특별시,강서구,과수, 7 , 2.10 
서울특별시,구로구,밭, 3 , 0.02 
서울특별시,구로구,과수, 1 , 0.19 
서울특별시,서초구,밭, 15 , 1.18 
서울특별시,서초구,과수, 2 , 0.34 
서울특별시,강남구,밭, 9 , 0.94 
서울특별시,강동구,밭, 16 , 1.92 
서울특별시,송파구,과수, 1 , 0.20 
부산광역시,영도구,밭, 4 , 0.10 
부산광역시,북구,밭, 13 , 1.15 
부산광역시,북구,과수, 6 , 0.92 
부산광역시,해운대구,밭, 15 , 1.69 
부산광역시,사하구,밭, 5 , 0.75 
부산광역시,사하구,과수, 3 , 0.28 
부산광역시,금정구,밭, 88 , 11.71 
부산광역시,금정구,논, 5 , 0.83 
부산광역시,금정구,과수, 11 , 1.44 
부산광역시,강서구,밭," 2,385 ", 410.23 
부산광역시,강서구,논," 4,385 ", 981.85 
부산광역시,강서구,과수, 452 , 55.80 
부산광역시,강서구,기타, 3 , 0.38 
부산광역시,사상구,밭, 2 , 0.28 
부산광역시,기장군,밭,2430, 254.55 
부산광역시,기장군,논,1797, 248.77 
부산광역시,기장군,과수, 522 , 91.69 
부산광역시,기장군,임야, 2 , 0.07 
부산광역시,기장군,기타, 1 , 0.86 
대구광역시,동구,밭,1035, 127.17 
대구광역시,동구,논, 699 , 97.92 
대구광역시,동구,과수,1687, 232.15 
대구광역시,동구,기타, 2 , 0.04 
대구광역시,서구,과수, 1 , 0.13 
대구광역시,북구,밭, 343 , 41.81 
대구광역시,북구,논, 140 , 19.62 
대구광역시,북구,과수, 86 , 13.62 
대구광역시,북구,기타, 1 , 0.06 
대구광역시,수성구,밭, 243 , 29.59 
대구광역시,수성구,논, 41 , 5.53 
대구광역시,수성구,과수, 779 , 96.43 
대구광역시,수성구,임야, 1 , 0.15 
대구광역시,수성구,기타, 1 , 0.13 
대구광역시,달서구,밭, 68 , 7.26 
대구광역시,달서구,논, 29 , 3.81 
대구광역시,달서구,과수, 34 , 3.61 
대구광역시,달성군,밭,5189, 600.67 
대구광역시,달성군,논,11450,1577.62
대구광역시,달성군,과수," 1,425 ", 173.95 
인천광역시,중구,밭, 490 , 49.55 
인천광역시,중구,논, 493 , 66.80 
인천광역시,중구,과수, 141 , 17.43 
인천광역시,중구,기타, 5 , 2.14 
인천광역시,연수구,밭, 13 , 2.64 
인천광역시,연수구,과수, 4 , 0.57 
인천광역시,부평구,밭, 1 , 0.21 
인천광역시,부평구,논, 63 , 14.57 
인천광역시,남동구,밭, 215 , 32.05 
인천광역시,남동구,논, 33 , 8.04 
인천광역시,남동구,과수, 60 , 20.43 
인천광역시,남동구,기타, 3 , 0.51 
인천광역시,계양구,밭, 599 , 116.16 
인천광역시,계양구,논, 883 , 206.97 
인천광역시,계양구,과수, 55 , 11.81 
인천광역시,계양구,기타, 3 , 0.90 
인천광역시,서구,밭, 497 , 75.66 
인천광역시,서구,논, 529 , 115.49 
인천광역시,서구,과수, 74 , 13.49 
인천광역시,서구,기타, 7 , 2.35 
인천광역시,강화군,밭," 15,977 "," 1,780.33 "
인천광역시,강화군,논," 32,967 "," 9,563.51 "
인천광역시,강화군,과수, 563 , 99.33 
인천광역시,강화군,초지, 1 , 0.05 
인천광역시,강화군,기타, 8 , 0.53 
인천광역시,옹진군,밭," 3,219 ", 419.84 
인천광역시,옹진군,논," 3,278 ", 821.72 
인천광역시,옹진군,과수, 547 , 72.37 
인천광역시,옹진군,임야, 1 , 0.27 
인천광역시,옹진군,기타, 17 , 3.67 
광주광역시,동구,밭, 183 , 23.89 
광주광역시,동구,논, 51 , 6.89 
광주광역시,동구,과수, 56 , 7.13 
광주광역시,동구,기타, 3 , 0.25 
광주광역시,서구,밭, 474 , 72.17 
광주광역시,서구,논," 1,261 ", 254.56 
광주광역시,서구,과수, 116 , 17.75 
광주광역시,서구,기타, 2 , 0.14 
광주광역시,남구,밭," 1,594 ", 275.52 
광주광역시,남구,논," 3,613 ", 701.75 
광주광역시,남구,과수, 179 , 27.79 
광주광역시,남구,기타, 4 , 3.02 
광주광역시,북구,밭," 1,273 ", 157.75 
광주광역시,북구,논," 3,845 ", 639.35 
광주광역시,북구,과수, 381 , 57.07 
광주광역시,광산구,밭," 4,773 ", 706.88 
광주광역시,광산구,논," 14,237 "," 2,434.34 "
광주광역시,광산구,과수," 1,065 ", 170.27 
광주광역시,광산구,임야, 5 , 0.35 
광주광역시,광산구,기타, 16 , 3.69 
대전광역시,동구,밭," 1,139 ", 145.17 
대전광역시,동구,논, 378 , 55.53 
대전광역시,동구,과수, 662 , 117.47 
대전광역시,동구,기타, 1 , 0.11 
대전광역시,중구,밭, 707 , 88.34 
대전광역시,중구,논, 250 , 35.50 
대전광역시,중구,과수, 135 , 22.65 
대전광역시,중구,기타, 2 , 0.66 
대전광역시,서구,밭," 1,137 ", 146.29 
대전광역시,서구,논," 1,770 ", 268.41 
대전광역시,서구,과수, 166 , 34.74 
대전광역시,유성구,밭," 1,370 ", 198.28 
대전광역시,유성구,논," 1,849 ", 330.56 
대전광역시,유성구,과수, 636 , 103.21 
대전광역시,유성구,기타, 1 , 0.03 
대전광역시,대덕구,밭, 321 , 37.16 
대전광역시,대덕구,논, 250 , 36.92 
대전광역시,대덕구,과수, 167 , 36.00 
울산광역시,중구,밭, 225 , 25.77 
울산광역시,중구,논, 116 , 23.72 
울산광역시,중구,과수, 133 , 26.59 
울산광역시,남구,밭, 55 , 6.06 
울산광역시,남구,논, 32 , 5.50 
울산광역시,남구,과수, 32 , 7.20 
울산광역시,동구,밭, 205 , 20.43 
울산광역시,동구,논, 25 , 2.55 
울산광역시,동구,과수, 47 , 4.80 
울산광역시,북구,밭," 1,192 ", 147.01 
울산광역시,북구,논," 1,836 ", 284.89 
울산광역시,북구,과수, 339 , 56.63 
울산광역시,북구,기타, 1 , 0.10 
울산광역시,울주군,밭," 6,670 ", 693.95 
울산광역시,울주군,논," 17,218 "," 2,563.08 "
울산광역시,울주군,과수," 3,114 ", 618.35 
울산광역시,울주군,임야, 1 , 0.06 
울산광역시,울주군,기타, 5 , 0.66 
경기도,수원시,밭, 638 , 92.37 
경기도,수원시,논," 1,032 ", 190.84 
경기도,수원시,과수, 63 , 10.54 
