지역,year,밀집도,발생건수
경기도,2012,98.01373109,0
경기도,2013,92.10335535,0
경기도,2014,90.24689117,32
경기도,2015,89.86802093,28
경기도,2016,83.73032304,106
경기도,2017,70.35620357,21
경기도,2018,75.16785562,5
경기도,2019,77.28952896,0
경기도,2020,74.33434109,12
광주광역시,2012,10.49201844,0
광주광역시,2013,7.153648933,0
광주광역시,2014,9.061288649,0
광주광역시,2015,10.01510851,2
광주광역시,2016,7.630558862,0
광주광역시,2017,9.538198578,0
광주광역시,2018,8.107468791,0
광주광역시,2019,7.630558862,0
광주광역시,2020,5.722919147,0
대구광역시,2012,5.262910057,0
대구광역시,2013,5.816900589,0
대구광역시,2014,5.262910057,1
대구광역시,2015,3.877933726,0
대구광역시,2016,4.154928992,0
대구광역시,2017,4.431924258,1
대구광역시,2018,3.60093846,0
대구광역시,2019,2.492957395,0
대구광역시,2020,2.215962129,0
대전광역시,2012,14.78677471,0
대전광역시,2013,11.37444208,0
대전광역시,2014,10.80571998,0
대전광역시,2015,6.82466525,0
대전광역시,2016,8.530831563,0
대전광역시,2017,7.962109459,0
대전광역시,2018,5.118498938,0
대전광역시,2019,2.843610521,0
대전광역시,2020,3.412332625,0
부산광역시,2012,6.868990043,0
부산광역시,2013,4.252231931,0
부산광역시,2014,4.579326695,0
부산광역시,2015,5.560610987,2
부산광역시,2016,5.233516223,1
부산광역시,2017,8.177369098,2
부산광역시,2018,8.177369098,0
부산광역시,2019,4.906421459,0
부산광역시,2020,2.616758111,0
서울특별시,2012,0,0
서울특별시,2013,0,0
서울특별시,2014,0,0
서울특별시,2015,0,0
서울특별시,2016,0,0
서울특별시,2017,0,0
서울특별시,2018,0,0
서울특별시,2019,0,0
서울특별시,2020,0,0
세종특별자치시,2012,0,0
세종특별자치시,2013,0,0
세종특별자치시,2014,0,4
세종특별자치시,2015,0,0
세종특별자치시,2016,0,17
세종특별자치시,2017,0,0
세종특별자치시,2018,16.59398825,0
세종특별자치시,2019,22.64591338,0
세종특별자치시,2020,20.69367947,0
울산광역시,2012,34.7669104,0
울산광역시,2013,27.04093031,0
울산광역시,2014,38.62990044,1
울산광역시,2015,34.7669104,2
울산광역시,2016,29.61625701,0
울산광역시,2017,27.68476199,3
울산광역시,2018,25.75326696,0
울산광역시,2019,18.67111855,0
울산광역시,2020,19.31495022,0
인천광역시,2012,46.4912789,0
인천광역시,2013,41.28703126,0
인천광역시,2014,39.89923189,1
인천광역시,2015,38.85838236,0
인천광역시,2016,34.69498425,1
인천광역시,2017,32.26633535,0
인천광역시,2018,28.44988709,0
인천광역시,2019,21.16394039,0
인천광역시,2020,20.81699055,0
