ZONE ID,시도,시군구,전체-평일,,,,,,,,,,,,,,,,,,,,,,,,,,,승용차-평일,,,,,,,,,,,,,,,,,,,,,,,,,,,버스-평일,,,,,,,,,,,,,,,,,,,,,,,,,,,트럭-평일,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,전일,7시-9시,18시-20시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,전일,7시-9시,18시-20시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,전일,7시-9시,18시-20시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,전일,7시-9시,18시-20시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
1101000,서울특별시, 종로구,14281,2337,2390,214,139,92,75,102,264,599,856,882,837,808,801,758,800,811,831,847,850,814,726,646,624,539,378,11650,1910,1954,175,113,75,61,83,214,488,700,722,685,661,655,619,654,663,679,692,695,665,594,528,510,441,309,75,11,11,0,0,0,0,0,1,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,1,2556,416,425,39,26,17,14,19,49,108,152,156,148,143,142,135,142,144,148,151,151,145,129,115,111,96,68
1102000,서울특별시, 중구,17152,2813,2830,240,149,99,77,101,268,676,1042,1095,1029,997,997,930,991,996,1014,1018,1014,964,852,770,756,645,447,13732,2261,2274,187,114,75,58,77,208,539,839,883,829,802,802,748,797,801,816,819,816,775,683,616,605,513,353,88,13,14,0,0,0,0,0,1,3,5,5,5,5,5,4,5,5,5,5,5,5,4,3,3,3,1,3332,539,542,53,35,24,19,24,59,134,198,207,195,190,190,178,189,190,193,194,193,184,165,151,148,129,93
1103000,서울특별시, 용산구,27944,4639,4621,440,283,192,152,196,521,1197,1703,1739,1633,1574,1549,1451,1543,1575,1613,1645,1663,1571,1387,1246,1237,1079,766,21818,3636,3619,337,215,146,115,148,401,934,1336,1366,1282,1234,1215,1136,1210,1235,1265,1290,1304,1231,1084,972,966,840,593,411,72,70,3,1,0,0,1,4,16,28,28,25,24,23,21,23,24,25,26,26,24,20,17,16,13,7,5715,931,932,100,67,46,37,47,116,247,339,345,326,316,311,294,310,316,323,329,333,316,283,257,255,226,166
1104000,서울특별시, 성동구,26240,4252,4304,442,292,203,163,209,527,1135,1536,1581,1506,1476,1442,1370,1442,1472,1509,1543,1540,1461,1303,1178,1154,1022,745,21078,3417,3456,358,237,164,133,170,426,913,1234,1270,1210,1187,1159,1101,1159,1183,1212,1239,1236,1173,1047,947,929,823,602,370,62,62,3,1,1,0,1,4,15,23,24,22,21,20,19,20,21,22,23,23,21,18,15,14,12,7,4792,773,786,81,54,38,30,38,97,207,279,287,274,268,263,250,263,268,275,281,281,267,238,216,211,187,136
1105000,서울특별시, 광진구,23642,3857,4039,357,239,170,139,179,453,1004,1396,1457,1390,1351,1297,1218,1291,1339,1381,1427,1439,1381,1219,1065,996,859,607,18968,3085,3228,293,197,142,116,149,369,807,1115,1163,1111,1081,1039,976,1034,1071,1103,1139,1148,1103,977,856,802,694,494,271,43,46,2,1,0,0,0,3,10,16,17,16,15,14,13,14,15,16,17,17,16,13,11,10,8,5,4403,729,765,62,41,28,23,30,81,187,265,277,263,255,244,229,243,253,262,271,274,262,229,198,184,157,108
1106000,서울특별시, 동대문구,17990,2932,2972,281,178,120,96,131,358,784,1053,1095,1046,1021,997,951,1000,1019,1049,1074,1064,1009,899,810,783,688,495,14733,2401,2435,233,149,101,81,110,296,643,862,896,856,836,817,779,819,835,859,879,871,827,737,665,643,565,408,152,25,24,1,0,0,0,0,2,6,9,10,9,9,8,8,8,8,9,9,9,8,7,6,6,5,3,3105,506,513,47,29,19,15,21,60,135,182,189,181,176,172,164,173,176,181,186,184,174,155,139,134,118,84
1107000,서울특별시, 중랑구,20003,3273,3410,279,180,126,109,156,428,902,1163,1208,1164,1141,1101,1046,1110,1158,1195,1234,1225,1158,1027,903,821,694,484,16346,2674,2779,237,154,109,94,133,357,740,949,985,950,931,899,855,906,943,973,1003,996,944,839,741,676,576,405,304,47,51,2,1,0,0,1,4,12,17,18,17,17,16,15,16,17,18,19,19,17,15,12,11,8,5,3353,552,580,40,25,17,15,22,67,150,197,205,197,193,186,176,188,198,204,212,210,197,173,150,134,110,74
1108000,서울특별시, 성북구,18541,3055,3115,264,167,113,97,145,405,842,1093,1120,1069,1038,1019,979,1035,1060,1090,1120,1109,1058,948,848,788,676,469,14974,2464,2505,221,141,96,83,123,333,680,881,903,863,837,823,792,835,853,877,899,891,850,764,687,642,553,388,151,24,26,1,0,0,0,0,2,6,9,9,8,8,8,7,8,9,9,10,9,9,8,6,5,4,2,3416,567,584,42,26,17,14,22,70,156,203,208,198,193,188,180,192,198,204,211,209,199,176,155,141,119,79
1109000,서울특별시, 강북구,14527,2424,2417,219,139,92,75,108,300,651,870,903,847,811,796,765,804,819,844,867,860,824,733,653,623,548,387,12328,2054,2050,190,122,81,66,95,260,555,736,763,717,688,675,650,682,694,714,733,728,699,623,556,531,468,333,32,5,4,0,0,0,0,0,0,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,0,2167,365,363,29,17,11,9,13,40,95,132,138,128,122,120,114,121,124,128,132,130,124,109,96,91,79,54
1110000,서울특별시, 도봉구,14844,2551,2519,215,140,97,85,125,335,687,914,950,874,820,793,766,810,838,870,911,907,864,748,640,589,510,365,12508,2148,2121,184,120,84,73,107,285,580,769,799,735,691,669,646,683,706,732,766,763,727,631,541,498,433,311,32,5,5,0,0,0,0,0,0,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,0,0,2304,398,393,31,20,13,12,18,50,106,143,149,137,128,123,119,126,131,136,143,142,135,116,98,90,77,54
1111000,서울특별시, 노원구,20741,3523,3525,263,167,116,105,172,507,1008,1239,1276,1221,1172,1128,1087,1162,1216,1264,1319,1288,1201,1036,892,793,662,458,16280,2778,2772,206,130,91,82,134,397,794,977,1007,962,923,889,857,915,958,995,1038,1013,945,814,701,625,521,361,234,38,39,1,1,0,0,1,4,10,14,14,14,13,12,11,13,13,14,15,15,13,11,9,7,6,3,4227,707,714,56,36,25,23,37,106,204,248,255,245,236,227,219,234,245,255,266,260,243,211,182,161,135,94
1112000,서울특별시, 은평구,14255,2408,2477,192,115,73,59,94,301,674,867,867,836,793,771,738,781,797,831,877,894,844,739,640,608,520,356,11691,1980,2036,157,94,60,48,77,247,554,713,713,687,652,634,607,642,656,683,721,735,694,607,526,499,426,291,65,11,11,0,0,0,0,0,0,3,4,4,4,3,3,3,3,3,4,4,4,4,3,2,2,2,1,2499,417,430,35,21,13,11,17,54,117,150,150,145,138,134,128,136,138,144,152,155,146,129,112,107,92,64
