주소 ,철새도래지,경도,위도
서울경기,강서지구,,
,중랑천,,
,안양천,,
,탄천,,
,원천리천,,
,서호,,
,안성천,,
,경안천,,
,상패천,,
,왕송호수,,
,황구지천,,
,문산천,,
,포천천,,
,진위천,,
,남한강(양평-여주),,
,청미천,,
,시화호,,
,한강하구(장항습지 포함),,
,남양호,,
,화성호,,
,임진강,,
,팔당호,,
,공릉천 하류,,
,공릉천 중류,,
충남,천수만,,
,송정저수지,,
,도당천,,
,논산천,,
,풍서천,,
,곡교천,,
,금강호,,
,병천천,,
,간월호,,
,봉강천,,
,삽교호,,
,해미천,,
,봉선저수지,,
,아산호,,
,잠흥지,,
,석문간척지,,
,대호,,
,무한천,,
,부남호,,
전북,조류지,,
,금강하구둑,,
,만경강,,
,동림지 ,,
,,,
,,,
,,,
,,,
,,,
,,,
,백곡지,"36.93165420625815, 127.3826752538724",
