시도,month,발생건수,시군구수,평균발생건수,평균철새수,평균예측발생건수,순위,risk
강원도,1,2,2,1,4259,1.8,7,3.5
강원도,2,0,0,0,2801,1.6,5,2.5
강원도,3,0,0,0,2801,1.6,5,2.5
강원도,10,0,0,0,3031,1.7,6,3
강원도,11,1,1,1,3381,1.7,6,3
강원도,12,1,1,1,5241,2,9,4.5
경기도,1,34,11,3.09,4931,1.9,8,4
경기도,2,7,3,2.33,3820,1.8,7,3.5
경기도,3,6,5,1.2,4500,1.9,8,4
경기도,4,6,4,1.5,0,1.2,1,0.5
경기도,5,2,1,2,0,1.2,1,0.5
경기도,6,1,1,1,0,1.2,1,0.5
경기도,10,0,0,0,4237,1.8,7,3.5
경기도,11,10,6,1.67,5136,2,9,4.5
경기도,12,106,11,9.64,5726,2,9,4.5
경상남도,1,2,1,2,2263,1.5,4,2
경상남도,2,1,1,1,879,1.3,2,1
경상남도,3,0,0,0,366,1.3,2,1
경상남도,6,3,2,1.5,0,1.2,1,0.5
경상남도,10,0,0,0,601,1.3,2,1
경상남도,11,0,0,0,1083,1.4,3,1.5
경상남도,12,3,2,1.5,2478,1.6,5,2.5
경상북도,1,0,0,0,3442,1.7,6,3
경상북도,2,0,0,0,2015,1.5,4,2
경상북도,3,0,0,0,1035,1.4,3,1.5
경상북도,10,0,0,0,539,1.3,2,1
경상북도,11,0,0,0,1074,1.4,3,1.5
경상북도,12,4,3,1.33,3453,1.7,6,3
광주광역시,1,0,0,0,2377,1.6,5,2.5
광주광역시,2,0,0,0,871,1.3,2,1
광주광역시,3,0,0,0,245,1.3,2,1
광주광역시,9,2,2,1,0,1.2,1,0.5
광주광역시,10,0,0,0,185,1.2,1,0.5
광주광역시,11,0,0,0,372,1.3,2,1
광주광역시,12,0,0,0,1950,1.5,4,2
대구광역시,1,0,0,0,2429,1.6,5,2.5
대구광역시,2,0,0,0,359,1.3,2,1
대구광역시,3,0,0,0,0,1.2,1,0.5
대구광역시,6,1,1,1,0,1.2,1,0.5
대구광역시,10,0,0,0,0,1.2,1,0.5
대구광역시,11,0,0,0,0,1.2,1,0.5
대구광역시,12,0,0,0,2555,1.6,5,2.5
부산광역시,1,2,1,2,14687,3.4,18,9
부산광역시,2,0,0,0,11121,2.8,14,7
부산광역시,3,0,0,0,6236,2.1,10,5
부산광역시,6,2,1,2,0,1.2,1,0.5
부산광역시,10,0,0,0,5932,2.1,10,5
부산광역시,11,0,0,0,14885,3.4,18,9
부산광역시,12,1,1,1,13240,3.1,16,8
서울특별시,1,0,0,0,2262,1.5,4,2
서울특별시,2,0,0,0,1242,1.4,3,1.5
서울특별시,3,0,0,0,2106,1.5,4,2
서울특별시,10,0,0,0,373,1.3,2,1
서울특별시,11,0,0,0,940,1.4,3,1.5
서울특별시,12,0,0,0,2429,1.6,5,2.5
세종특별자치시,1,0,0,0,3949,1.8,7,3.5
세종특별자치시,2,0,0,0,5721,2,9,4.5
세종특별자치시,3,0,0,0,2510,1.6,5,2.5
세종특별자치시,10,0,0,0,459,1.3,2,1
세종특별자치시,11,1,1,1,1078,1.4,3,1.5
세종특별자치시,12,16,1,16,3870,1.8,7,3.5
울산광역시,1,0,0,0,24755,4.8,20,10
울산광역시,2,2,1,2,13212,3.1,16,8
울산광역시,3,0,0,0,4901,1.9,8,4
울산광역시,6,3,2,1.5,0,1.2,1,0.5
울산광역시,10,0,0,0,254,1.3,2,1
울산광역시,11,0,0,0,6211,2.1,10,5
울산광역시,12,0,0,0,22589,4.5,19,9.5
인천광역시,1,0,0,0,4375,1.9,8,4
인천광역시,2,0,0,0,653,1.3,2,1
인천광역시,3,0,0,0,73,1.2,1,0.5
인천광역시,10,0,0,0,0,1.2,1,0.5
인천광역시,11,0,0,0,0,1.2,1,0.5
인천광역시,12,1,1,1,5737,2.1,10,5
전라남도,1,24,6,4,3459,1.7,6,3
전라남도,2,7,4,1.75,1709,1.5,4,2
전라남도,3,15,6,2.5,721,1.3,2,1
전라남도,4,1,1,1,0,1.2,1,0.5
전라남도,5,4,1,4,0,1.2,1,0.5
전라남도,6,2,1,2,0,1.2,1,0.5
전라남도,9,5,3,1.67,0,1.2,1,0.5
전라남도,10,7,2,3.5,464,1.3,2,1
전라남도,11,6,4,1.5,2679,1.6,5,2.5
전라남도,12,30,8,3.75,6975,2.2,11,5.5
전라북도,1,5,2,2.5,11514,2.9,15,7.5
전라북도,2,10,6,1.67,4492,1.9,8,4
전라북도,3,15,4,3.75,1147,1.4,3,1.5
전라북도,4,9,3,3,0,1.2,1,0.5
전라북도,6,20,6,3.33,0,1.2,1,0.5
전라북도,10,0,0,0,1376,1.4,3,1.5
전라북도,11,4,3,1.33,2932,1.6,5,2.5
전라북도,12,39,7,5.57,6272,2.1,10,5
제주특별자치도,1,0,0,0,5236,2,9,4.5
제주특별자치도,2,0,0,0,2739,1.6,5,2.5
제주특별자치도,3,0,0,0,1367,1.4,3,1.5
제주특별자치도,6,6,1,6,0,1.2,1,0.5
제주특별자치도,10,0,0,0,370,1.3,2,1
제주특별자치도,11,0,0,0,1581,1.4,3,1.5
제주특별자치도,12,0,0,0,4354,1.8,7,3.5
