month,dist_range,cnt,cumulative,risk
1,0,0,0,10
1,10,2,2,10
1,20,4,6,10
1,30,8,14,10
1,40,7,21,10
1,50,7,28,10
1,60,5,33,10
1,70,12,45,10
1,80,3,48,5
1,90,5,53,5
1,100,5,58,5
1,110,4,62,5
1,120,5,67,5
1,130,4,71,5
1,140,4,75,5
1,150,6,81,0
1,160,7,88,0
1,170,2,90,0
1,180,2,92,0
1,190,3,95,0
1,200,1,96,0
1,210,0,96,0
1,220,3,99,0
1,230,2,101,0
1,240,4,105,0
1,250,0,105,0
1,260,0,105,0
1,270,0,105,0
1,280,0,105,0
1,290,1,106,0
2,0,0,0,10
2,10,2,2,10
2,20,3,5,10
2,30,4,9,10
2,40,4,13,10
2,50,2,15,10
2,60,6,21,10
2,70,7,28,10
2,80,5,33,10
2,90,12,45,5
2,100,7,52,5
2,110,7,59,5
2,120,9,68,5
2,130,6,74,5
2,140,5,79,5
2,150,4,83,5
2,160,4,87,5
2,170,2,89,5
2,180,8,97,0
2,190,2,99,0
2,200,4,103,0
2,210,0,103,0
2,220,1,104,0
2,230,0,104,0
2,240,0,104,0
2,250,0,104,0
2,260,1,105,0
2,270,0,105,0
2,280,0,105,0
2,290,0,105,0
2,300,0,105,0
2,310,0,105,0
2,320,0,105,0
2,330,0,105,0
2,340,1,106,0
3,0,0,0,10
3,10,2,2,10
3,20,3,5,10
3,30,4,9,10
3,40,4,13,10
3,50,2,15,10
3,60,6,21,10
3,70,7,28,10
3,80,5,33,10
3,90,12,45,5
3,100,7,52,5
3,110,7,59,5
3,120,9,68,5
3,130,6,74,5
3,140,5,79,5
3,150,4,83,5
3,160,4,87,5
3,170,2,89,5
3,180,8,97,0
3,190,2,99,0
3,200,4,103,0
3,210,0,103,0
3,220,1,104,0
3,230,0,104,0
3,240,0,104,0
3,250,0,104,0
3,260,1,105,0
3,270,0,105,0
3,280,0,105,0
3,290,0,105,0
3,300,0,105,0
3,310,0,105,0
3,320,0,105,0
3,330,0,105,0
3,340,1,106,0
4,0,0,0,10
4,10,4,4,10
4,20,2,6,10
4,30,6,12,10
4,40,5,17,10
4,50,7,24,10
4,60,7,31,10
4,70,6,37,10
4,80,8,45,5
4,90,5,50,5
4,100,4,54,5
4,110,10,64,5
4,120,4,68,5
4,130,5,73,5
4,140,5,78,5
4,150,5,83,0
4,160,5,88,0
4,170,1,89,0
4,180,1,90,0
4,190,2,92,0
4,200,3,95,0
4,210,1,96,0
4,220,1,97,0
4,230,1,98,0
4,240,1,99,0
4,250,2,101,0
4,260,2,103,0
4,270,2,105,0
4,280,1,106,0
5,0,0,0,10
5,10,3,3,10
5,20,4,7,10
5,30,5,12,10
5,40,3,15,10
5,50,2,17,10
5,60,4,21,10
5,70,2,23,10
5,80,8,31,5
5,90,1,32,5
5,100,4,36,5
5,110,4,40,5
5,120,1,41,5
5,130,4,45,5
5,140,3,48,5
5,150,4,52,5
5,160,5,57,0
5,170,2,59,0
5,180,10,69,0
5,190,8,77,0
5,200,6,83,0
5,210,3,86,0
5,220,3,89,0
5,230,5,94,0
5,240,0,94,0
5,250,2,96,0
5,260,2,98,0
5,270,3,101,0
5,280,1,102,0
5,290,2,104,0
5,300,2,106,0
6,0,0,0,10
6,10,0,0,10
6,20,0,0,10
6,30,0,0,10
6,40,0,0,10
6,50,0,0,10
6,60,0,0,10
6,70,2,2,10
6,80,3,5,10
6,90,2,7,5
6,100,3,10,5
6,110,5,15,5
6,120,2,17,5
6,130,1,18,5
6,140,5,23,5
6,150,4,27,5
6,160,4,31,5
6,170,3,34,5
6,180,3,37,0
6,190,1,38,0
6,200,3,41,0
6,210,4,45,0
6,220,4,49,0
6,230,4,53,0
6,240,5,58,0
6,250,3,61,0
6,260,8,69,0
6,270,7,76,0
6,280,9,85,0
6,290,4,89,0
6,300,3,92,0
6,310,4,96,0
6,320,5,101,0
6,330,0,101,0
