시도,시군구,month,발생수,rank
강원도,인제군,1,1,1.0
강원도,철원군,11,1,1.0
강원도,철원군,12,1,1.0
강원도,춘천시,5,2,2.0
강원도,횡성군,1,1,1.0
강원도,횡성군,6,1,1.0
경기도,고양시,3,1,1.0
경기도,고양시,12,1,1.0
경기도,과천시,3,1,1.0
경기도,광주시,1,1,1.0
경기도,광주시,4,1,1.0
경기도,광주시,12,1,1.0
경기도,김포시,1,2,2.0
경기도,김포시,12,5,5.0
경기도,동두천시,2,1,1.0
경기도,성남시,12,5,5.0
경기도,수원시,1,2,2.0
경기도,수원시,2,1,1.0
경기도,안성시,1,14,13.0
경기도,안성시,2,13,12.0
경기도,안성시,3,6,6.0
경기도,안성시,4,1,1.0
경기도,안성시,5,4,4.0
경기도,안성시,6,1,1.0
경기도,안성시,11,1,1.0
경기도,안성시,12,19,18.0
경기도,양주시,1,4,4.0
경기도,양주시,2,1,1.0
경기도,양주시,3,3,3.0
경기도,양주시,5,2,2.0
경기도,양주시,11,3,3.0
경기도,양평군,12,1,1.0
경기도,여주시,1,3,3.0
경기도,여주시,2,1,1.0
경기도,여주시,12,14,13.0
경기도,연천군,1,1,1.0
경기도,연천군,5,1,1.0
경기도,용인시,3,1,1.0
경기도,용인시,12,5,5.0
경기도,의정부시,4,1,1.0
경기도,이천시,1,4,4.0
경기도,이천시,2,2,2.0
경기도,이천시,3,1,1.0
경기도,이천시,4,2,2.0
경기도,이천시,11,3,3.0
경기도,이천시,12,21,19.0
경기도,파주시,1,1,1.0
경기도,파주시,6,1,1.0
경기도,평택시,1,3,3.0
경기도,평택시,2,3,3.0
경기도,평택시,3,2,2.0
경기도,평택시,4,2,2.0
경기도,평택시,11,1,1.0
경기도,평택시,12,14,13.0
경기도,포천시,1,4,4.0
경기도,포천시,4,3,3.0
경기도,포천시,11,1,1.0
경기도,포천시,12,23,20.0
경기도,화성시,1,8,8.0
경기도,화성시,2,7,7.0
경기도,화성시,11,1,1.0
경기도,화성시,12,4,4.0
경상남도,고성군,1,2,2.0
경상남도,고성군,6,2,2.0
경상남도,고성군,12,2,2.0
경상남도,밀양시,1,1,1.0
경상남도,양산시,1,1,1.0
경상남도,양산시,2,1,1.0
경상남도,양산시,5,2,2.0
경상남도,양산시,6,1,1.0
경상남도,양산시,12,2,2.0
경상남도,하동군,2,1,1.0
경상남도,하동군,4,1,1.0
경상북도,경산시,5,2,2.0
경상북도,경주시,3,2,2.0
경상북도,경주시,11,1,1.0
경상북도,경주시,12,6,6.0
경상북도,구미시,12,1,1.0
경상북도,상주시,12,1,1.0
경상북도,성주군,1,1,1.0
경상북도,영천시,3,1,1.0
경상북도,영천시,4,1,1.0
경상북도,영천시,5,2,2.0
광주광역시,광산구,9,1,1.0
광주광역시,북구,9,1,1.0
대구광역시,달성군,6,1,1.0
대구광역시,동구,6,1,1.0
대구광역시,수성구,5,2,2.0
부산광역시,강서구,1,2,2.0
부산광역시,강서구,5,1,1.0
부산광역시,기장군,5,1,1.0
부산광역시,기장군,6,2,2.0
부산광역시,기장군,12,1,1.0
부산광역시,해운대구,5,1,1.0
서울특별시,광진구,5,2,2.0
서울특별시,송파구,5,2,2.0
세종특별자치시,세종시,3,4,4.0
세종특별자치시,세종시,11,1,1.0
세종특별자치시,세종시,12,16,15.0
울산광역시,남구,2,2,2.0
울산광역시,남구,6,1,1.0
울산광역시,울주군,4,1,1.0
울산광역시,울주군,5,1,1.0
울산광역시,울주군,6,2,2.0
울산광역시,울주군,12,2,2.0
인천광역시,서구,12,1,1.0
인천광역시,옹진군,2,1,1.0
전라남도,강진군,1,2,2.0
전라남도,강진군,2,1,1.0
전라남도,강진군,3,4,4.0
전라남도,강진군,4,1,1.0
전라남도,강진군,5,1,1.0
전라남도,강진군,9,2,2.0
전라남도,고흥군,1,1,1.0
전라남도,고흥군,2,1,1.0
전라남도,고흥군,12,1,1.0
전라남도,곡성군,3,1,1.0
전라남도,곡성군,7,1,1.0
전라남도,곡성군,9,2,2.0
전라남도,곡성군,11,1,1.0
전라남도,곡성군,12,1,1.0
전라남도,구례군,1,5,5.0
전라남도,구례군,2,3,3.0
전라남도,구례군,3,1,1.0
전라남도,구례군,12,3,3.0
전라남도,나주시,1,18,17.0
전라남도,나주시,2,1,1.0
전라남도,나주시,3,13,12.0
전라남도,나주시,4,2,2.0
전라남도,나주시,6,1,1.0
전라남도,나주시,9,1,1.0
전라남도,나주시,10,5,5.0
전라남도,나주시,11,1,1.0
전라남도,나주시,12,15,14.0
전라남도,담양군,2,1,1.0
전라남도,담양군,5,2,2.0
전라남도,담양군,9,2,2.0
전라남도,담양군,10,2,2.0
전라남도,무안군,1,6,6.0
전라남도,무안군,3,2,2.0
전라남도,무안군,6,1,1.0
전라남도,무안군,9,2,2.0
전라남도,무안군,10,1,1.0
전라남도,무안군,11,1,1.0
전라남도,보성군,1,1,1.0
전라남도,보성군,11,1,1.0
전라남도,순천시,2,1,1.0
전라남도,신안군,1,2,2.0
전라남도,여수시,1,1,1.0
전라남도,영광군,2,2,2.0
전라남도,영광군,3,1,1.0
전라남도,영암군,1,12,11.0
전라남도,영암군,2,7,7.0
전라남도,영암군,3,3,3.0
전라남도,영암군,4,2,2.0
전라남도,영암군,5,4,4.0
전라남도,영암군,6,3,3.0
전라남도,영암군,9,7,7.0
전라남도,영암군,10,13,12.0
전라남도,영암군,11,4,4.0
전라남도,영암군,12,9,9.0
전라남도,장성군,12,2,2.0
전라남도,장흥군,1,2,2.0
전라남도,장흥군,3,7,7.0
전라남도,장흥군,10,2,2.0
전라남도,진도군,12,1,1.0
전라남도,함평군,2,1,1.0
전라남도,함평군,3,2,2.0
전라남도,함평군,7,3,3.0
전라남도,해남군,1,1,1.0
전라남도,해남군,2,3,3.0
전라남도,해남군,11,1,1.0
전라남도,해남군,12,1,1.0
전라남도,화순군,1,1,1.0
전라남도,화순군,10,1,1.0
전라북도,고창군,1,17,16.0
전라북도,고창군,2,4,4.0
전라북도,고창군,3,3,3.0
전라북도,고창군,4,3,3.0
전라북도,고창군,11,1,1.0
전라북도,고창군,12,3,3.0
전라북도,군산시,1,1,1.0
전라북도,군산시,2,1,1.0
전라북도,군산시,6,6,6.0
전라북도,김제시,2,3,3.0
전라북도,김제시,3,5,5.0
전라북도,김제시,4,17,16.0
전라북도,김제시,11,4,4.0
전라북도,김제시,12,5,5.0
전라북도,남원시,12,2,2.0
전라북도,부안군,1,18,17.0
전라북도,부안군,2,1,1.0
전라북도,부안군,12,3,3.0
전라북도,순창군,3,2,2.0
전라북도,순창군,4,1,1.0
전라북도,순창군,6,1,1.0
전라북도,완주군,6,2,2.0
전라북도,익산시,2,3,3.0
전라북도,익산시,3,8,8.0
전라북도,익산시,4,3,3.0
전라북도,익산시,6,5,5.0
전라북도,익산시,11,3,3.0
전라북도,익산시,12,3,3.0
전라북도,임실군,1,1,1.0
전라북도,임실군,6,5,5.0
전라북도,임실군,12,1,1.0
전라북도,전주시,3,1,1.0
전라북도,전주시,6,1,1.0
전라북도,정읍시,1,9,9.0
전라북도,정읍시,2,7,7.0
전라북도,정읍시,3,1,1.0
전라북도,정읍시,4,6,6.0
전라북도,정읍시,11,2,2.0
전라북도,정읍시,12,25,22.0
전라북도,진안군,3,1,1.0
제주특별자치도,제주시,6,6,6.0
충청남도,공주시,3,1,1.0
충청남도,공주시,5,1,1.0
충청남도,논산시,2,1,1.0
충청남도,논산시,3,3,3.0
