시도,시군구,발생건수,위험도
서울특별시,종로구,0,6.43
서울특별시,중구,0,6.43
서울특별시,용산구,0,6.47
서울특별시,성동구,0,6.43
서울특별시,광진구,2,6.47
서울특별시,동대문구,0,6.43
서울특별시,중랑구,0,6.39
서울특별시,성북구,0,6.43
서울특별시,강북구,0,6.32
서울특별시,도봉구,0,6.21
서울특별시,노원구,0,6.33
서울특별시,은평구,0,6.36
서울특별시,서대문구,0,6.39
서울특별시,마포구,0,6.39
서울특별시,양천구,0,6.39
서울특별시,강서구,0,6.39
서울특별시,구로구,0,6.39
서울특별시,금천구,0,6.5
서울특별시,영등포구,0,6.39
서울특별시,동작구,0,6.43
서울특별시,관악구,0,6.47
서울특별시,서초구,0,6.47
서울특별시,강남구,0,6.47
서울특별시,송파구,2,6.47
서울특별시,강동구,0,6.47
부산광역시,중구,0,4.95
부산광역시,서구,0,4.97
부산광역시,동구,0,4.95
부산광역시,영도구,0,4.94
부산광역시,부산진구,0,4.95
부산광역시,동래구,0,4.88
부산광역시,남구,0,4.89
부산광역시,북구,0,5.17
부산광역시,해운대구,1,4.88
부산광역시,사하구,0,5.03
부산광역시,금정구,0,5.02
부산광역시,강서구,3,5.18
부산광역시,연제구,0,4.88
부산광역시,수영구,0,4.88
부산광역시,사상구,0,5.03
부산광역시,기장군,4,4.88
대구광역시,중구,0,6.05
대구광역시,동구,1,6.03
대구광역시,서구,0,6.17
대구광역시,남구,0,6.09
대구광역시,북구,0,6.12
대구광역시,수성구,2,6.02
대구광역시,달서구,0,6.17
대구광역시,달성군,1,6.28
인천광역시,중구,0,6.31
인천광역시,동구,0,6.31
인천광역시,남구,0,6.34
인천광역시,연수구,0,6.47
인천광역시,남동구,0,6.43
인천광역시,부평구,0,6.34
인천광역시,계양구,0,6.31
인천광역시,서구,1,6.27
인천광역시,강화군,0,5.83
인천광역시,옹진군,1,6.38
광주광역시,동구,0,6.03
광주광역시,서구,0,5.99
광주광역시,남구,0,5.98
광주광역시,북구,1,6.04
광주광역시,광산구,1,5.98
대전광역시,동구,0,7.04
대전광역시,중구,0,7.08
대전광역시,서구,0,7.11
대전광역시,유성구,0,7.11
대전광역시,대덕구,0,7.14
울산광역시,중구,0,5.18
울산광역시,남구,3,5.05
울산광역시,동구,0,4.81
울산광역시,북구,0,5.05
울산광역시,울주군,6,5.19
세종특별자치시,세종시,21,7.13
경기도,수원시,3,6.7
경기도,성남시,5,6.52
경기도,의정부시,1,6.07
경기도,안양시,0,6.51
경기도,부천시,0,6.39
경기도,광명시,0,6.39
경기도,평택시,25,6.9
경기도,동두천시,1,5.55
경기도,안산시,0,6.63
경기도,고양시,2,6.2
경기도,과천시,1,6.51
경기도,구리시,0,6.43
경기도,남양주시,0,6.34
경기도,오산시,0,6.78
경기도,시흥시,0,6.54
경기도,군포시,0,6.59
경기도,의왕시,0,6.63
경기도,하남시,0,6.48
경기도,용인시,6,6.77
경기도,파주시,2,5.92
경기도,이천시,33,6.77
경기도,안성시,59,6.88
경기도,김포시,7,6.27
경기도,화성시,20,6.68
경기도,광주시,3,6.52
경기도,양주시,13,5.99
경기도,포천시,31,5.64
경기도,여주시,18,6.6
경기도,연천군,2,5.11
경기도,가평군,0,5.91
경기도,양평군,1,6.45
강원도,춘천시,2,5.56
강원도,원주시,0,6.4
강원도,강릉시,0,4.54
강원도,동해시,0,4.59
강원도,태백시,0,5.02
강원도,속초시,0,4.27
강원도,삼척시,0,4.61
강원도,홍천군,0,6.06
강원도,횡성군,2,6.25
강원도,영월군,0,5.75
강원도,평창군,0,5.69
강원도,정선군,0,5.17
강원도,철원군,2,5.11
강원도,화천군,0,5.08
강원도,양구군,0,4.94
강원도,인제군,1,4.82
강원도,고성군,0,4.18
강원도,양양군,0,4.44
충청북도,충주시,1,6.54
충청북도,제천시,0,6.22
충청북도,청주시,9,7.13
충청북도,보은군,0,7.03
충청북도,옥천군,1,7.1
충청북도,영동군,0,6.86
충청북도,진천군,44,7.04
충청북도,괴산군,3,6.9
충청북도,음성군,130,6.94
충청북도,단양군,0,5.98
충청북도,증평군,1,6.94
충청남도,천안시,82,7.03
충청남도,공주시,2,7.02
충청남도,보령시,0,6.83
충청남도,아산시,19,7.05
충청남도,서산시,1,6.8
충청남도,논산시,7,6.88
충청남도,계룡시,0,7.08
충청남도,당진시,4,6.76
충청남도,금산군,0,7.08
충청남도,부여군,1,6.94
충청남도,서천군,3,6.83
충청남도,청양군,4,6.88
충청남도,홍성군,3,6.93
충청남도,예산군,1,7.05
충청남도,태안군,0,6.71
전라북도,전주시,2,6.93
전라북도,군산시,8,6.8
전라북도,익산시,25,6.84
전라북도,정읍시,50,6.43
전라북도,남원시,2,6.59
전라북도,김제시,34,6.69
전라북도,완주군,2,6.91
전라북도,진안군,1,6.82
전라북도,무주군,0,6.94
전라북도,장수군,0,6.81
전라북도,임실군,7,6.7
전라북도,순창군,4,6.32
전라북도,고창군,31,6.19
전라북도,부안군,22,6.58
전라남도,목포시,0,5.18
전라남도,여수시,1,5.6
전라남도,순천시,1,5.85
전라남도,나주시,57,5.58
전라남도,광양시,0,5.86
전라남도,담양군,7,6.15
전라남도,곡성군,6,6.34
전라남도,구례군,12,6.35
전라남도,고흥군,3,5.17
전라남도,보성군,2,5.4
전라남도,화순군,2,5.89
전라남도,장흥군,11,5.15
전라남도,강진군,11,4.98
전라남도,해남군,6,4.73
전라남도,영암군,64,5.28
전라남도,무안군,13,5.49
전라남도,함평군,6,5.7
전라남도,영광군,3,5.87
전라남도,장성군,2,6.05
전라남도,완도군,0,4.56
전라남도,진도군,1,4.48
전라남도,신안군,2,5.19
경상북도,포항시,0,5.4
경상북도,경주시,9,5.51
경상북도,김천시,0,6.7
경상북도,안동시,0,5.89
경상북도,구미시,1,6.53
경상북도,영주시,0,5.99
경상북도,영천시,4,5.73
경상북도,상주시,1,6.43
경상북도,문경시,0,6.38
경상북도,경산시,2,5.92
경상북도,군위군,0,6.23
경상북도,의성군,0,6.03
경상북도,청송군,0,5.54
경상북도,영양군,0,5.19
경상북도,영덕군,0,4.94
경상북도,청도군,0,5.86
경상북도,고령군,0,6.38
경상북도,성주군,1,6.54
경상북도,칠곡군,0,6.47
경상북도,예천군,0,6.01
경상북도,봉화군,0,5.71
경상북도,울진군,0,4.45
경상북도,울릉군,0,2.1
경상남도,진주시,0,6.08
경상남도,통영시,0,5.24
경상남도,사천시,0,5.62
경상남도,김해시,0,5.42
경상남도,밀양시,1,5.75
경상남도,거제시,0,5.15
경상남도,양산시,7,5.21
경상남도,창원시,0,5.58
경상남도,의령군,0,5.96
경상남도,함안군,0,5.79
경상남도,창녕군,0,5.94
경상남도,고성군,6,5.4
경상남도,남해군,0,5.62
경상남도,하동군,2,6.14
경상남도,산청군,0,6.46
경상남도,함양군,0,6.63
경상남도,거창군,0,6.72
경상남도,합천군,0,6.45
제주특별자치도,제주시,6,3.03
제주특별자치도,서귀포시,0,2.61
