시도,시군구,거리,위험분류,risk
서울특별시,종로구,8.85,2,9
서울특별시,종로구,11.35,3,8
서울특별시,종로구,13.9,2,9
서울특별시,종로구,14.68,3,8
서울특별시,종로구,19.39,1,10
서울특별시,종로구,22.32,1,10
서울특별시,종로구,29.06,2,9
서울특별시,종로구,29.71,3,8
서울특별시,종로구,32.6,3,8
서울특별시,종로구,34.89,3,8
서울특별시,종로구,36.56,2,9
서울특별시,종로구,36.78,2,9
서울특별시,종로구,37.05,2,9
서울특별시,종로구,39.01,2,9
서울특별시,종로구,40.18,1,10
서울특별시,종로구,40.77,2,9
서울특별시,종로구,40.86,2,9
서울특별시,종로구,47.35,2,9
서울특별시,종로구,53.69,2,9
서울특별시,종로구,57.19,2,9
서울특별시,종로구,62.25,1,10
서울특별시,종로구,64,2,9
서울특별시,종로구,67.76,1,10
서울특별시,종로구,74.55,2,9
서울특별시,종로구,74.89,2,9
서울특별시,종로구,75.76,2,9
서울특별시,종로구,76.04,2,9
서울특별시,종로구,76.41,2,9
서울특별시,종로구,78.97,2,9
서울특별시,종로구,82.63,2,9
서울특별시,종로구,84.13,2,9
서울특별시,종로구,86.99,2,9
서울특별시,종로구,87.56,2,9
서울특별시,종로구,89.71,1,10
서울특별시,종로구,89.88,2,9
서울특별시,종로구,90.51,1,10
서울특별시,종로구,94.23,2,9
서울특별시,종로구,94.29,1,10
서울특별시,종로구,95.39,2,9
서울특별시,종로구,95.92,2,9
서울특별시,종로구,96.27,1,10
서울특별시,종로구,99.54,2,9
서울특별시,종로구,102.38,2,9
서울특별시,종로구,103.67,2,9
서울특별시,종로구,103.78,2,9
서울특별시,종로구,112.72,2,9
서울특별시,종로구,114.55,2,9
서울특별시,종로구,117.93,3,8
서울특별시,종로구,118.37,1,10
서울특별시,종로구,119.78,2,9
서울특별시,종로구,121.39,1,10
서울특별시,종로구,155.27,2,6
서울특별시,종로구,157.8,3,4
서울특별시,종로구,162.36,2,6
서울특별시,종로구,170.39,3,4
서울특별시,종로구,174.01,1,7
서울특별시,종로구,175.92,2,6
서울특별시,종로구,186.96,1,7
서울특별시,종로구,193.67,2,6
서울특별시,종로구,197.62,3,4
서울특별시,종로구,197.73,2,6
서울특별시,종로구,201.38,2,6
서울특별시,종로구,203.19,3,4
서울특별시,종로구,210.4,1,7
서울특별시,종로구,226.22,1,7
서울특별시,종로구,233.7,2,5
서울특별시,종로구,236.78,1,7
서울특별시,종로구,246.84,3,3
서울특별시,종로구,250.32,2,5
서울특별시,종로구,257.38,3,3
