발생일,지역코드,시도,시군구,year,month,day
20210223,114,강원도,원주시,2021,2,23
20170103,211,강원도,인제군,2017,1,3
20161209,95,강원도,철원군,2016,12,9
20161130,95,강원도,철원군,2016,11,30
20080507,101,강원도,춘천시,2008,5,7
20080507,101,강원도,춘천시,2008,5,7
20170106,114,강원도,횡성군,2017,1,6
20140613,114,강원도,횡성군,2014,6,13
20170303,99,경기도,고양시,2017,3,3
20201228,99,경기도,고양시,2020,12,28
20140309,119,경기도,과천시,2014,3,9
20160405,203,경기도,광주시,2016,4,5
20150119,203,경기도,광주시,2015,1,19
20161218,203,경기도,광주시,2016,12,18
20210108,112,경기도,김포시,2021,1,8
20161212,112,경기도,김포시,2016,12,12
20201229,112,경기도,김포시,2020,12,29
20201212,112,경기도,김포시,2020,12,12
20161218,112,경기도,김포시,2016,12,18
20150131,112,경기도,김포시,2015,1,31
20201231,112,경기도,김포시,2020,12,31
20170121,112,경기도,김포시,2017,1,21
20210111,108,경기도,남양주시,2021,1,11
20110211,98,경기도,동두천시,2011,2,11
20141226,119,경기도,성남시,2014,12,26
20141222,119,경기도,성남시,2014,12,22
20141222,119,경기도,성남시,2014,12,22
20141222,119,경기도,성남시,2014,12,22
20141222,119,경기도,성남시,2014,12,22
20140227,119,경기도,수원시,2014,2,27
20140128,119,경기도,수원시,2014,1,28
20150124,119,경기도,수원시,2015,1,24
20140225,203,경기도,안성시,2014,2,25
20140225,203,경기도,안성시,2014,2,25
20210128,203,경기도,안성시,2021,1,28
20170108,203,경기도,안성시,2017,1,8
20161216,203,경기도,안성시,2016,12,16
20210130,203,경기도,안성시,2021,1,30
20161228,203,경기도,안성시,2016,12,28
20080508,203,경기도,안성시,2008,5,8
20080508,203,경기도,안성시,2008,5,8
20161223,203,경기도,안성시,2016,12,23
20161224,203,경기도,안성시,2016,12,24
20150305,203,경기도,안성시,2015,3,5
20150304,203,경기도,안성시,2015,3,4
20210112,203,경기도,안성시,2021,1,12
20170101,203,경기도,안성시,2017,1,1
20161125,203,경기도,안성시,2016,11,25
20150129,203,경기도,안성시,2015,1,29
20150126,203,경기도,안성시,2015,1,26
20140214,203,경기도,안성시,2014,2,14
20140211,203,경기도,안성시,2014,2,11
20110113,203,경기도,안성시,2011,1,13
20080505,203,경기도,안성시,2008,5,5
20080503,203,경기도,안성시,2008,5,3
20150113,203,경기도,안성시,2015,1,13
20140217,203,경기도,안성시,2014,2,17
20140215,203,경기도,안성시,2014,2,15
20110116,203,경기도,안성시,2011,1,16
20150414,203,경기도,안성시,2015,4,14
20170109,203,경기도,안성시,2017,1,9
20150122,203,경기도,안성시,2015,1,22
20150120,203,경기도,안성시,2015,1,20
20140218,203,경기도,안성시,2014,2,18
20170114,203,경기도,안성시,2017,1,14
20161218,203,경기도,안성시,2016,12,18
20150204,203,경기도,안성시,2015,2,4
20210127,203,경기도,안성시,2021,1,27
20161230,203,경기도,안성시,2016,12,30
20161211,203,경기도,안성시,2016,12,11
20161209,203,경기도,안성시,2016,12,9
20150205,203,경기도,안성시,2015,2,5
20161220,203,경기도,안성시,2016,12,20
20161213,203,경기도,안성시,2016,12,13
20150212,203,경기도,안성시,2015,2,12
20210113,203,경기도,안성시,2021,1,13
20161223,203,경기도,안성시,2016,12,23
20161222,203,경기도,안성시,2016,12,22
20150208,203,경기도,안성시,2015,2,8
20150202,203,경기도,안성시,2015,2,2
20110108,203,경기도,안성시,2011,1,8
20161201,203,경기도,안성시,2016,12,1
20161211,203,경기도,안성시,2016,12,11
20161207,203,경기도,안성시,2016,12,7
20140329,203,경기도,안성시,2014,3,29
20140318,203,경기도,안성시,2014,3,18
20170109,203,경기도,안성시,2017,1,9
20161214,203,경기도,안성시,2016,12,14
20161207,203,경기도,안성시,2016,12,7
20110111,203,경기도,안성시,2011,1,11
20210131,203,경기도,안성시,2021,1,31
20140313,203,경기도,안성시,2014,3,13
20210126,203,경기도,안성시,2021,1,26
20161220,203,경기도,안성시,2016,12,20
20070210,203,경기도,안성시,2007,2,10
20161208,203,경기도,안성시,2016,12,8
