month,시도,avg_temp(C),daily_rain(mm),avg_wind(m/s),avg_r_humidity(%),index_avg_temp(C),index_daily_rain(mm),index_avg_wind(m/s),index_avg_r_humidity(%),Risk
1,인천광역시,0,0,0,0,0,0,0,0,0.0
1,인천광역시,0,0,0,0,0,0,0,0,0.0
1,인천광역시,0,0,0,0,0,0,0,0,0.0
1,인천광역시,0,0,0,0,0,0,0,0,0.0
1,인천광역시,0,0,0,0,0,0,0,0,0.0
1,인천광역시,0,0,0,0,0,0,0,0,0.0
1,인천광역시,0,0,0,0,0,0,0,0,0.0
1,인천광역시,0,0,0,0,0,0,0,0,0.0
1,인천광역시,0,0,0,0,0,0,0,0,0.0
1,인천광역시,0,0,0,0,0,0,0,0,0.0
1,충청남도,-1.3,0.1,1.3,72.6,10,10,10,10,100.0
1,충청남도,-1.36,0.14,1.36,72.05,9,9,9,9,90.0
1,충청남도,-1.42,0.18,1.42,71.5,8,8,8,8,80.0
1,충청남도,-1.48,0.22,1.48,70.95,7,7,7,7,70.0
1,충청남도,-1.54,0.26,1.54,70.4,6,6,6,6,60.0
1,충청남도,-1.6,0.3,1.6,69.85,5,5,5,5,50.0
1,충청남도,-1.66,0.34,1.66,69.3,4,4,4,4,40.0
1,충청남도,-1.72,0.38,1.72,68.75,3,3,3,3,30.0
1,충청남도,-1.78,0.42,1.78,68.2,2,2,2,2,20.0
1,충청남도,-1.9,0.5,1.9,67.1,0,0,0,0,0.0
1,대구광역시,0,0,0,0,0,0,0,0,0.0
1,대구광역시,0,0,0,0,0,0,0,0,0.0
1,대구광역시,0,0,0,0,0,0,0,0,0.0
1,대구광역시,0,0,0,0,0,0,0,0,0.0
1,대구광역시,0,0,0,0,0,0,0,0,0.0
1,대구광역시,0,0,0,0,0,0,0,0,0.0
1,대구광역시,0,0,0,0,0,0,0,0,0.0
1,대구광역시,0,0,0,0,0,0,0,0,0.0
1,대구광역시,0,0,0,0,0,0,0,0,0.0
1,대구광역시,0,0,0,0,0,0,0,0,0.0
1,서울특별시,0,0,0,0,0,0,0,0,0.0
1,서울특별시,0,0,0,0,0,0,0,0,0.0
1,서울특별시,0,0,0,0,0,0,0,0,0.0
1,서울특별시,0,0,0,0,0,0,0,0,0.0
1,서울특별시,0,0,0,0,0,0,0,0,0.0
1,서울특별시,0,0,0,0,0,0,0,0,0.0
1,서울특별시,0,0,0,0,0,0,0,0,0.0
1,서울특별시,0,0,0,0,0,0,0,0,0.0
1,서울특별시,0,0,0,0,0,0,0,0,0.0
1,서울특별시,0,0,0,0,0,0,0,0,0.0
1,충청북도,-0.5,0.6,1.2,58.4,10,10,10,10,100.0
1,충청북도,-0.73,0.59,1.22,58.56,9,9,9,9,90.0
1,충청북도,-0.96,0.58,1.24,58.72,8,8,8,8,80.0
1,충청북도,-1.19,0.57,1.26,58.88,7,7,7,7,70.0
1,충청북도,-1.42,0.56,1.28,59.04,6,6,6,6,60.0
1,충청북도,-1.65,0.55,1.3,59.2,5,5,5,5,50.0
1,충청북도,-1.88,0.54,1.32,59.36,4,4,4,4,40.0
1,충청북도,-2.11,0.53,1.34,59.52,3,3,3,3,30.0
1,충청북도,-2.34,0.52,1.36,59.68,2,2,2,2,20.0
1,충청북도,-2.8,0.5,1.4,60.0,0,0,0,0,0.0
1,광주광역시,0,0,0,0,0,0,0,0,0.0
1,광주광역시,0,0,0,0,0,0,0,0,0.0
1,광주광역시,0,0,0,0,0,0,0,0,0.0
1,광주광역시,0,0,0,0,0,0,0,0,0.0
1,광주광역시,0,0,0,0,0,0,0,0,0.0
1,광주광역시,0,0,0,0,0,0,0,0,0.0
1,광주광역시,0,0,0,0,0,0,0,0,0.0
1,광주광역시,0,0,0,0,0,0,0,0,0.0
1,광주광역시,0,0,0,0,0,0,0,0,0.0
1,광주광역시,0,0,0,0,0,0,0,0,0.0
1,울산광역시,0,0,0,0,0,0,0,0,0.0
1,울산광역시,0,0,0,0,0,0,0,0,0.0
