시도,시군구,year,cnt,사육 규모,강원도  강릉시,강원도  고성군,강원도  동해시,강원도  삼척시,강원도  속초시,강원도  양양군,강원도  원주시,강원도  철원군,강원도  춘천시,강원도  화천군,강원도  횡성군,경기도  가평군,경기도  광주시,경기도  김포시,경기도  남양주시,경기도  동두천시,경기도  수원시,경기도  시흥시,경기도  안산시,경기도  안성시,경기도  양평군,경기도  여주시,경기도  연천군,경기도  용인시,경기도  의왕시,경기도  이천시,경기도  처인구,경기도  파주시,경기도  평택시,경기도  포천시,경기도  화성시,경상남도 거제시,경상남도 고성군,경상남도 김해시,경상남도 남해군,경상남도 밀양시,경상남도 사천시,경상남도 양산시,경상남도 진주시,경상남도 창녕군,경상남도 창원시,경상남도 합천군,경상북도 경주시,경상북도 구미시,경상북도 김천시,경상북도 봉화군,경상북도 안동시,경상북도 영덕군,경상북도 영천시,경상북도 예천군,경상북도 울진군,경상북도 의성군,경상북도 포항시,광주광역시 광산구,광주광역시 남구,광주광역시 서구,대구광역시 달성군,부산광역시 강서구,부산광역시 남구,부산광역시 사하구,서울특별시 강남구,서울특별시 마포구,서울특별시 성동구,서울특별시 송파구,서울특별시 영등포구,서울특별시 중랑구,세종특별자치시 세종시,울산광역시 남구,울산광역시 북구,울산광역시 울주군,울산광역시 중구,인천광역시 강화군,인천광역시 서구,인천광역시 연수구,인천광역시 중구,전라남도 강진군,전라남도 고흥군,전라남도 광양시,전라남도 담양군,전라남도 보성군,전라남도 순천시,전라남도 여수시,전라남도 완도군,전라남도 장성군,전라남도 장흥군,전라남도 해남군,전라남도  나주시,전라남도  목포시,전라남도  무안군,전라남도  보성군,전라남도  순천시,전라남도  신안군,전라남도  영광군,전라남도  영암군,전라남도  진도군,전라남도  함평군,전라남도  해남군,전라남도  화순군,전라북도 고창군,전라북도 군산시,전라북도 김제시,전라북도 부안군,전라북도 완주군,전라북도 익산시,전라북도 임실군,전라북도 장수군,전라북도 전주시,전라북도 정읍시,전라북도  부안군,제주특별자치도 서귀포시,제주특별자치도 제주시,충청남도 논산시,충청남도 당진시,충청남도 보령시,충청남도 서산시,충청남도 서천군,충청남도 아산시,충청남도 예산군,충청남도 천안시,충청남도 태안군,충청북도 괴산군,충청북도 음성군,충청북도 증평군,충청북도 진천군,충청북도 청주시,충청북도 충주시
강원도,강릉시,2016,85,132895.0,0.0,78.48,32.87,42.18,56.38,42.42,95.83,143.85,101.67,109.71,83.63,120.38,147.25,190.71,146.57,160.31,171.76,187.32,186.55,163.5,125.65,120.33,162.56,160.24,174.16,137.83,158.55,184.26,177.23,148.02,190.58,320.13,312.97,280.61,335.84,250.27,314.16,269.16,294.11,247.84,281.22,251.13,213.09,187.58,191.66,96.36,132.26,154.89,197.89,128.89,96.3,156.42,197.15,345.06,340.54,339.29,223.43,282.59,291.44,294.53,163.1,175.02,163.24,158.08,176.12,157.77,199.46,248.88,245.09,250.12,246.1,209.93,195.03,197.34,200.96,394.17,378.29,330.0,318.59,368.46,335.4,350.0,427.5,330.34,384.38,408.25,360.72,395.5,374.46,368.46,335.4,395.58,346.9,381.94,432.27,365.75,408.25,343.35,322.47,274.92,280.19,294.81,255.86,263.35,276.29,263.37,263.87,302.21,294.81,542.29,518.13,234.96,219.25,255.38,240.07,268.8,197.29,215.72,187.49,254.14,141.9,138.31,157.08,161.77,174.11,119.19
강원도,고성군,2016,26,97294.0,78.48,0.0,110.76,120.21,22.11,36.41,125.11,104.08,85.13,73.02,107.52,103.72,150.03,175.55,137.39,134.0,177.23,183.64,185.78,184.99,130.99,140.73,125.7,170.0,174.91,153.02,169.19,163.07,195.06,123.32,194.74,389.44,379.12,352.49,397.28,320.84,377.24,342.42,357.3,315.36,351.09,314.05,288.61,251.65,251.13,167.04,202.83,232.49,270.91,192.8,174.75,226.4,273.8,390.01,387.09,385.51,289.79,355.25,364.87,367.07,157.24,164.46,154.89,153.41,167.37,148.11,235.53,324.6,321.07,325.21,321.89,187.11,182.48,190.53,190.76,442.59,433.17,388.65,364.77,420.0,391.28,408.92,477.79,373.64,434.29,455.07,405.6,437.92,416.47,420.0,391.28,437.29,386.48,428.35,475.72,407.52,455.07,391.64,363.12,309.04,319.24,332.32,298.64,301.74,324.54,315.34,307.41,343.76,332.32,595.42,570.02,272.31,230.67,280.52,251.17,300.24,218.98,237.07,211.02,263.87,184.1,174.16,193.82,192.42,211.68,161.7
강원도,동해시,2016,13,42563.0,32.87,110.76,0.0,9.45,88.66,75.12,107.4,172.61,128.07,139.41,99.67,145.28,164.4,211.64,167.69,185.48,186.52,204.66,202.9,172.2,143.53,132.87,190.12,174.0,190.53,150.97,172.08,207.19,186.77,173.33,204.97,297.34,292.48,256.12,318.26,227.1,295.74,243.58,275.83,227.08,258.32,233.63,185.79,170.62,177.9,77.95,111.69,125.39,173.23,114.6,64.31,135.49,168.67,336.96,331.62,330.57,203.92,257.42,265.57,269.4,182.27,195.14,183.2,177.12,195.62,178.42,199.36,221.12,217.07,222.98,218.29,232.56,215.0,215.36,219.96,383.67,364.32,314.23,310.18,356.47,321.26,333.87,415.7,323.31,373.16,398.47,352.47,388.16,367.56,356.47,321.26,388.61,341.58,372.64,424.06,359.06,398.47,333.45,316.94,273.57,276.23,291.35,250.45,260.09,267.43,252.61,257.87,296.54,291.35,528.28,504.91,232.97,229.71,258.8,250.0,268.91,204.2,222.06,194.01,264.25,141.63,141.82,158.78,166.28,174.38,120.75
강원도,삼척시,2016,32,42201.0,42.18,120.21,9.45,0.0,98.11,84.51,110.66,180.2,135.12,147.38,104.25,151.82,168.65,216.78,173.05,191.95,189.97,208.76,206.73,174.0,148.12,136.07,197.3,177.23,194.41,154.18,175.25,212.93,188.72,179.87,208.22,289.85,285.6,248.24,312.13,219.6,289.41,235.44,269.56,220.23,250.84,227.66,177.29,165.0,173.18,72.82,105.37,116.44,165.44,110.21,54.9,128.91,159.9,333.4,327.85,326.86,197.46,249.37,257.34,261.35,187.0,200.09,188.16,181.84,200.38,183.59,198.48,212.47,208.36,214.48,209.64,238.14,219.84,219.63,224.51,379.39,359.1,308.59,306.58,351.81,316.05,328.11,411.03,320.07,368.68,394.37,348.85,384.74,364.3,351.81,316.05,385.3,338.8,368.7,420.37,355.87,394.37,329.39,314.15,272.06,273.97,289.19,247.85,258.07,263.8,248.48,255.08,293.74,289.19,522.93,499.78,231.4,231.73,258.7,251.81,267.82,205.31,222.93,195.06,266.07,141.1,142.38,158.67,166.93,173.75,121.0
강원도,속초시,2016,8,8140.0,56.38,22.11,88.66,98.11,0.0,14.84,112.89,111.94,83.71,78.07,95.74,103.6,145.83,177.27,136.34,138.24,172.93,182.11,183.44,176.45,125.41,131.37,133.22,164.34,171.91,145.44,163.27,166.4,187.69,126.7,191.15,369.92,360.42,332.26,379.84,300.91,359.34,321.82,339.33,296.2,331.38,296.05,267.38,233.16,233.76,146.64,182.63,210.69,250.3,174.03,152.64,206.42,252.27,376.9,373.55,372.05,270.86,334.82,344.24,346.68,155.77,164.57,154.1,151.48,167.0,147.53,223.88,303.34,299.74,304.12,300.61,191.38,183.54,190.03,191.26,428.69,417.52,371.92,351.25,405.22,375.29,392.16,463.45,360.92,419.97,441.62,392.55,425.61,404.22,405.22,375.29,425.18,374.79,414.96,463.23,395.31,441.62,377.65,351.06,298.46,307.42,320.96,285.73,289.99,310.34,300.13,294.34,331.39,320.96,580.47,555.39,260.64,225.56,272.15,246.37,290.32,210.92,229.32,202.36,259.58,170.27,161.72,181.49,181.62,199.38,147.39
강원도,양구군,2016,8,266150.0,87.29,51.45,118.27,126.7,53.72,55.19,85.62,59.32,34.14,24.66,68.74,52.27,99.5,124.67,85.95,84.59,126.55,132.21,134.44,137.6,81.69,95.44,80.1,120.19,123.74,105.17,119.58,113.03,146.37,73.22,143.7,363.51,350.07,330.28,363.97,297.51,345.49,322.36,325.93,288.74,326.36,283.24,273.55,223.54,219.35,150.33,183.46,224.34,252.07,167.42,175.73,205.18,261.68,347.12,344.95,343.24,262.63,334.1,344.74,345.55,105.82,113.1,103.44,102.05,115.95,96.66,191.51,309.26,306.36,308.59,306.72,137.79,131.37,139.11,139.51,400.84,394.98,353.39,322.7,380.04,354.16,373.61,436.7,330.2,393.34,412.48,362.52,393.56,372.1,380.04,354.16,392.66,341.43,385.77,431.54,363.13,412.48,350.29,318.71,262.9,274.74,287.07,256.0,257.24,284.04,277.0,264.95,299.93,287.07,555.18,529.25,227.93,180.17,232.14,200.46,253.36,170.71,188.38,163.43,212.93,145.07,132.72,151.64,147.83,169.08,124.54
강원도,양양군,2016,22,3478.0,42.42,36.41,75.12,84.51,14.84,0.0,102.16,114.51,80.87,79.79,85.54,101.0,139.8,174.8,132.49,137.91,166.58,177.45,178.26,167.43,118.75,122.21,135.18,157.19,166.4,137.24,155.97,165.1,179.3,125.96,185.11,355.27,345.99,317.48,365.84,286.18,345.17,306.99,325.15,281.65,316.69,281.87,252.57,218.85,219.86,131.85,167.86,196.09,235.47,159.66,138.68,191.69,237.53,364.85,361.28,359.83,256.39,320.01,329.42,331.87,151.4,161.14,150.2,146.86,163.24,143.84,212.84,288.54,284.94,289.29,285.8,190.5,180.59,186.0,187.88,416.21,404.25,358.21,339.02,392.33,361.88,378.42,450.75,349.07,407.3,429.36,380.52,413.93,392.58,392.33,361.88,413.6,363.47,402.73,451.42,383.7,429.36,365.16,339.57,287.84,296.1,309.88,273.87,278.75,297.8,287.12,282.4,319.75,309.88,567.45,542.51,249.5,218.38,262.85,239.3,280.09,202.0,220.51,193.12,252.77,158.22,150.48,170.22,171.22,188.06,135.18
강원도,영월군,2016,18,541108.0,73.0,133.08,69.01,68.88,114.37,100.12,51.08,147.26,100.9,122.16,54.32,110.65,110.17,161.55,120.94,147.2,127.21,148.38,145.17,106.65,92.69,74.11,158.81,113.92,133.38,91.44,111.77,161.68,121.55,136.47,144.43,256.52,246.14,220.76,265.85,188.53,245.06,211.94,225.03,182.29,218.38,181.76,162.6,118.79,120.17,40.27,72.45,117.38,141.17,59.74,85.91,94.76,151.54,272.2,267.57,266.34,156.72,224.11,234.39,235.74,130.4,144.29,132.81,125.37,143.55,129.77,130.4,198.24,195.39,197.54,195.7,185.1,162.87,159.76,165.88,321.18,306.04,258.75,245.67,295.64,263.3,278.9,354.62,257.68,311.45,335.25,287.84,322.81,301.87,295.64,263.3,322.99,274.81,308.96,359.42,293.21,335.25,270.34,250.28,204.97,208.62,223.53,183.6,192.13,203.31,190.46,191.42,229.93,223.53,469.87,445.5,164.48,164.46,189.93,184.09,200.0,136.81,154.23,126.53,198.33,72.61,73.6,89.87,98.15,105.37,52.14
강원도,원주시,2016,39,583967.0,95.83,125.11,107.4,110.66,112.89,102.16,0.0,104.18,62.27,86.99,17.63,65.35,59.54,110.54,70.15,98.12,79.31,98.81,96.32,67.79,41.66,25.48,112.12,66.62,84.13,43.58,64.69,110.74,81.41,88.31,97.61,280.86,265.87,250.54,278.47,217.36,260.35,244.57,240.95,206.31,244.79,198.62,202.14,141.08,134.79,87.65,112.13,164.77,177.25,89.92,136.8,129.93,194.29,264.91,262.02,260.43,180.17,255.18,266.52,266.17,79.46,93.3,81.75,74.4,92.7,78.71,111.0,236.4,234.26,234.39,234.11,134.01,112.12,109.98,115.61,317.61,309.84,267.77,239.7,295.62,268.72,287.98,353.0,248.58,309.52,329.97,280.49,313.03,291.6,295.62,268.72,312.5,261.96,303.25,350.76,282.67,329.97,266.72,238.34,185.71,194.6,208.08,173.54,177.15,199.84,191.78,182.3,218.81,208.08,471.01,445.38,147.78,123.64,161.57,144.36,177.95,101.94,120.48,92.43,158.49,59.73,49.08,68.79,69.08,86.68,39.02
강원도,인제군,2016,14,231800.0,71.26,43.25,102.72,111.34,39.9,39.29,83.87,75.46,43.91,40.65,66.29,63.71,107.45,137.37,96.64,98.99,134.67,142.63,144.24,141.78,87.92,97.77,95.94,126.99,132.96,109.77,126.12,126.74,151.82,87.22,152.52,356.91,344.6,322.36,360.24,289.89,341.09,313.75,321.34,282.24,319.28,278.33,263.35,217.39,214.66,139.92,174.11,212.23,242.89,159.96,161.54,196.54,250.66,348.22,345.6,343.96,256.26,325.85,336.19,337.44,116.22,124.72,114.38,112.07,127.22,107.76,193.15,299.24,296.16,298.92,296.64,151.9,143.64,150.31,151.4,401.3,393.54,350.51,323.28,379.5,352.15,370.77,436.81,331.62,393.34,413.44,363.74,395.61,374.15,379.5,352.15,394.89,343.92,386.7,433.49,365.19,413.44,350.48,320.75,266.14,276.81,289.67,256.85,259.3,283.69,275.48,265.7,301.58,289.67,554.88,529.23,229.87,187.89,237.28,208.51,257.18,175.73,193.82,167.81,221.42,143.53,132.53,151.99,149.79,169.74,121.86
