ZONE ID,시도,시군구,2017_트럭일평균수,2018_트럭일평균수,평균
1101000,서울특별시,종로구,3138,2556,2847
1102000,서울특별시,중구,3631,3332,3482
1103000,서울특별시,용산구,5896,5715,5806
1104000,서울특별시,성동구,5326,4792,5059
1105000,서울특별시,광진구,4709,4403,4556
1106000,서울특별시,동대문구,3482,3105,3294
1107000,서울특별시,중랑구,3580,3353,3466
1108000,서울특별시,성북구,3894,3416,3655
1109000,서울특별시,강북구,2095,2167,2131
1110000,서울특별시,도봉구,2214,2304,2259
1111000,서울특별시,노원구,4468,4227,4348
1112000,서울특별시,은평구,2424,2499,2462
1113000,서울특별시,서대문구,4513,4158,4336
1114000,서울특별시,마포구,5387,5120,5254
1115000,서울특별시,양천구,4752,4284,4518
1116000,서울특별시,강서구,4921,4888,4904
1117000,서울특별시,구로구,4295,4212,4254
1118000,서울특별시,금천구,4883,4464,4674
1119000,서울특별시,영등포구,5461,5131,5296
1120000,서울특별시,동작구,5489,5789,5639
1121000,서울특별시,관악구,3349,4420,3884
1122000,서울특별시,서초구,6384,6354,6369
1123000,서울특별시,강남구,5253,5424,5338
1124000,서울특별시,송파구,4219,4616,4418
1125000,서울특별시,강동구,4978,5175,5076
2101000,부산광역시,중구,2246,2000,2123
2102000,부산광역시,서구,2233,1798,2016
2103000,부산광역시,동구,3167,2881,3024
2104000,부산광역시,영도구,998,1257,1128
2105000,부산광역시,부산진구,3371,2772,3072
2106000,부산광역시,동래구,2949,2063,2506
2107000,부산광역시,남구,2550,1979,2264
2108000,부산광역시,북구,2963,2654,2808
2109000,부산광역시,해운대구,2858,2387,2622
2110000,부산광역시,사하구,2716,3331,3024
2111000,부산광역시,금정구,2899,2756,2828
2112000,부산광역시,강서구,3514,3122,3318
2113000,부산광역시,연제구,2253,1842,2048
2114000,부산광역시,수영구,2975,2497,2736
2115000,부산광역시,사상구,4652,4583,4618
2131000,부산광역시,기장군,1978,1680,1829
2201000,대구광역시,중구,1663,3845,2754
2202000,대구광역시,동구,3446,3859,3652
2203000,대구광역시,서구,3605,5415,4510
2204000,대구광역시,남구,1531,3477,2504
2205000,대구광역시,북구,4108,4775,4442
2206000,대구광역시,수성구,1527,2641,2084
2207000,대구광역시,달서구,1889,3629,2759
2231000,대구광역시,달성군,2246,2528,2387
2301000,인천광역시,중구,1254,1204,1229
2302000,인천광역시,동구,1444,1388,1416
2303000,인천광역시,남구,2789,2671,2730
2304000,인천광역시,연수구,2371,2179,2275
2305000,인천광역시,남동구,3410,3402,3406
2306000,인천광역시,부평구,2889,2928,2908
2307000,인천광역시,계양구,3870,3949,3910
