주소,"강서지구 3,37.5901984197481, 126.81362533492893","중랑천 2,37.6030830331226, 127.072105737988","안양천  3,37.513562487735406, 126.87461172643478","탄천 2,37.49508293706438, 127.10150560559426","원천리천 3,37.26481224039535, 127.04976224622416","서호 3,37.280408134249136, 126.98755251443214","안성천 1,36.99139105195746, 127.20539544460591","경안천 2,37.309938272435886, 127.23553552424399","상패천 2,37.91927602221171, 127.05389142205611","왕송호수 3,37.30748917786908, 126.94731063485848","황구지천 2,37.20796105720859, 127.02548060229643","문산천 2,37.854639694880476, 126.75854096959318","포천천 2,37.89531095584674, 127.20096778249416","진위천 2,37.09793604326866, 127.08393302456683","남한강 2,37.460459499061464, 127.49638603216884","청미천 1,37.12186508716677, 127.39487102679448","시화호 1,37.30574012802834, 126.67318900588819","한강하구 1,37.63900600625263, 126.7392737093319","남양호 2,37.014705010495824, 126.80548911195082","화성호 2,37.11569165016753, 126.68399070425345","임진강 2,37.78837469359229, 126.66443256564555","팔당호 2,37.517786765600256, 127.30085067928745","공릉천 1,37.71153311751638, 126.84431089180522","천수만 1,36.606686550264854, 126.42022590245743","송정저수지 2,36.776518685002266, 127.37727865534171","도당천 2,36.80714447844311, 126.52479040293552","논산천 2,36.18278993438778, 127.13602531594704","풍세천 1,36.73350817705159, 127.1244086501327","곡교천 1,36.71877449174619, 127.15174380564193","금강호 2,36.003067864761206, 126.7392621031086","병천천 2,36.725838913572076, 127.33975466921613","간월호 2,36.64982878482214, 126.45513048255029","봉강천 1,36.764423602867765, 127.09015473839389","삽교호 2,36.871878675924705, 126.8408688154442","해미천 2,36.702223625170994, 126.56263020795463","봉선저수지 2,36.122350318713586, 126.77672013431376","아산호 2,36.90267012782007, 126.90366071698058","잠홍지 2,36.86183091315654, 126.49751943843305","석문간척지 2,36.98373310641944, 126.54384726738202","대호 2,37.018417616519976, 126.48222083422783","무한천 2,36.71991194571029, 126.82242403818584","부남호 2,36.67319913351787, 126.35083023955421","조류지 2,35.7835057158404, 126.63542818010029","금강하구둑 1,36.019581075069965, 126.74774856012905","만경강 1,35.892198153374686, 126.99399821147692","동림저수지 1,35.549802869235755, 126.71940396468966","동진강 1,35.68373784028254, 126.86079504883465","원평천 3,35.74647979945319, 126.93850431156142","전주천 2,35.802060277740146, 127.1716072485318","산수저수지 2,36.6994319040145, 126.56852268525259","함평대동저수지 2,35.13211104219479, 126.50607906456341","사내간척지 2,34.46251975253601, 126.7333378843619","만덕간척지 2,34.56578321910065, 126.7615639132014","고막원천 2,35.06842526203833, 126.59162469994376","주암댐 2,35.06371924138319, 127.23767782670512","영산강 2,34.76893810284395, 126.35098968807019","영암호 1,34.69724570173779, 126.47537026437189","고천암 2,34.52161252340564, 126.47457655553478","순천만 1,34.88677475630541, 127.50729078209247","금호호 1,34.62057239836871, 126.39840653700985","강진만 2,34.490791668173664, 126.77354817448324","지석천 2,35.00917066621701, 126.9113644244127","우습제 2,34.94017348080215, 126.57951161334536","담양습지 3,35.24009556727233, 126.88387920926465","황룡강 2,35.32701483996603, 126.79783650573678","한탄강 2,38.20119540754313, 127.27737191150247","토교저수지 2,38.28934502892065, 127.28936308358267","섬강 1,37.500690845580344, 127.99213918049267","철원평야 2,38.29310283134329, 127.21422992889252","남대천 3,37.75220997167653, 128.90134105532326","소양강 하류 2,37.89698617983393, 127.7454239624107","원주천 2,37.382704055767405, 127.94147033377192","남대천 3,38.107964222902496, 128.64361106592784","보강천 2,36.786518139596225, 127.57854158748","백곡지 2,36.86662724997134, 127.39976155953663","미호천 1,36.5162887821276, 127.31976281396229","무심천 2,36.58091002074261, 127.50346917018088","충주호 3,36.96033958118106, 128.0662729272722","안심습지 3,35.86502982622569, 128.74718716576282","형산강 1,35.92345596127968, 129.23887659738637","김천 2,36.09212308013244, 128.12331495113736","구미 3,36.18780476544952, 128.3702147007899","낙동강 2,35.83992615966229, 128.46110345037778","금호강 1,35.8174026069283, 128.48104618415317","낙동강하구 2,35.104959005687974, 128.9459320237596","태화강 3,35.53764149997886, 129.36999476035592","장척저수지 3,35.43456283906837, 128.49224351135572","양산천 2,35.32377076603513, 129.02006984526182","양산발생지 3,35.470702520283716, 129.26921645925657","낙동강 2,35.349387768425835, 128.9331287407582","주남저수지 3,35.3148538085958, 128.67272531322178","창녕우포 3,35.551935684595, 128.4139408551069","사천만 3,35.03397029572857, 128.0309809363544","목포늪 3,35.56254130753707, 128.40618339231","사지포 3,35.561613790429384, 128.4333952070682","산남저수지 3,35.35126887288887, 128.17443850327453","동판저수지 2,35.30133784622012, 128.68634622602417","화포천 2,35.31163742899077, 128.7875952437551","낙동강 3,35.27987524642292, 129.009763931276","하도리 2,33.51695001412742, 126.8838772052322","용수저수지 2,33.31741751732376, 126.18752882294538","오조리 3,33.463866194337236, 126.91796178149626","종달리 3,33.49242412098807, 126.89071411147393"
서울특별시 종로구,14.68,8.85,11.35,13.9,34.89,32.6,67.76,37.05,39.01,29.71,40.86,36.78,40.77,53.69,47.35,62.25,40.18,22.32,64.0,57.19,36.56,29.06,19.39,118.37,95.39,94.23,155.27,94.29,96.27,175.92,99.54,112.72,90.51,78.97,103.67,162.36,74.89,89.88,76.04,75.76,95.92,114.55,201.38,174.01,186.96,226.22,210.4,203.19,197.73,103.78,274.75,346.63,335.01,280.71,280.04,316.9,323.01,342.37,302.49,332.47,343.28,285.21,295.0,259.6,250.32,74.55,84.13,89.71,82.63,170.39,76.41,87.56,157.8,102.38,86.99,121.39,119.78,117.93,246.84,272.4,193.67,197.62,233.7,236.78,326.15,311.21,273.61,309.68,310.72,302.82,293.3,258.75,297.7,257.38,258.68,269.24,295.23,299.04,313.13,451.15,478.65,457.01,453.87
서울특별시 중구,16.48,7.88,12.2,11.93,33.57,31.53,66.26,35.19,39.83,28.85,39.65,38.57,40.97,52.37,45.47,60.4,40.55,24.24,63.38,57.03,38.51,27.22,21.26,118.11,93.79,93.99,154.06,93.01,94.96,175.07,97.99,112.44,89.27,78.18,103.28,161.49,73.99,89.75,75.98,75.87,95.12,114.44,200.58,173.15,185.88,225.33,209.41,202.15,196.51,103.37,273.96,345.67,334.04,279.85,278.83,316.15,322.18,341.53,301.17,331.67,342.3,284.17,294.14,258.59,249.37,75.0,84.63,87.98,83.29,168.89,75.48,85.7,156.7,100.6,85.31,119.94,118.15,115.96,244.95,270.45,191.88,195.75,231.87,234.95,324.35,309.28,271.85,307.83,308.82,300.98,291.52,257.0,296.15,255.62,256.92,267.59,293.44,297.23,311.29,450.11,477.84,455.95,452.82
서울특별시 용산구,16.86,10.64,10.43,10.64,30.23,28.04,63.11,32.88,43.36,25.31,36.22,41.22,44.39,49.03,45.34,58.0,37.7,25.1,59.86,53.69,40.41,27.42,23.71,114.71,90.78,90.6,150.64,89.64,91.61,171.53,94.89,109.03,85.86,74.65,99.82,157.95,70.46,86.42,72.71,72.74,91.58,111.12,197.04,169.62,182.4,221.79,205.9,198.65,193.1,99.91,270.42,342.15,330.53,276.32,275.41,312.61,318.65,338.0,297.82,328.14,338.79,280.67,290.6,255.09,245.85,78.5,88.14,88.41,86.82,170.01,77.79,85.58,158.68,97.96,82.44,116.72,115.19,114.52,242.7,268.62,189.27,193.45,229.38,232.46,321.78,307.22,269.15,305.42,306.65,298.52,288.89,254.3,293.06,252.93,254.24,264.65,290.81,294.67,308.85,446.62,474.31,452.46,449.33
서울특별시 성동구,19.89,5.39,15.34,9.5,33.23,31.77,65.34,33.2,39.59,29.54,39.54,40.59,39.62,51.93,42.12,58.42,43.04,27.53,64.36,58.75,41.23,23.83,23.63,119.62,92.56,95.55,153.78,92.61,94.48,175.52,96.93,113.94,88.97,78.83,104.58,161.91,74.42,91.47,77.83,77.97,95.7,116.18,201.13,173.59,185.87,225.7,209.6,202.23,196.23,104.66,274.5,345.89,334.24,280.29,278.54,316.77,322.67,341.99,300.61,332.22,342.48,284.25,294.56,258.71,249.6,73.99,83.7,84.53,82.61,165.47,72.52,82.32,153.54,98.83,83.88,119.12,116.84,113.12,242.7,267.85,190.04,193.55,229.89,232.97,322.44,306.86,270.1,305.75,306.49,298.94,289.7,255.25,295.03,253.88,255.15,266.19,291.62,295.32,309.24,450.16,478.36,455.98,452.87
서울특별시 광진구,24.37,7.23,18.53,5.13,30.58,29.91,61.82,28.8,42.4,28.33,37.11,45.24,41.01,49.0,37.54,53.95,44.46,32.23,63.2,58.76,46.09,19.4,28.45,119.12,88.68,95.16,150.84,89.6,91.37,173.46,93.21,113.41,86.09,77.16,103.79,159.81,72.46,91.36,77.96,78.52,93.91,116.05,199.19,171.52,183.24,223.51,207.2,199.69,193.26,103.84,272.52,343.48,331.82,278.17,275.55,314.89,320.61,339.9,297.32,330.24,340.04,281.68,292.43,256.2,247.23,75.64,85.43,80.35,84.69,161.9,70.63,77.78,151.03,94.48,79.83,115.61,112.86,108.25,238.02,263.02,185.62,188.91,225.36,228.44,317.95,302.1,265.74,301.16,301.77,294.37,285.28,250.89,291.19,249.52,250.77,262.1,287.19,290.84,304.66,447.55,476.32,453.34,450.25
서울특별시 동대문구,19.99,4.27,16.05,10.38,34.45,33.03,66.48,34.13,38.36,30.79,40.78,39.77,38.39,53.14,42.23,59.32,44.05,27.41,65.6,59.93,40.69,23.88,22.98,120.83,93.64,96.75,154.99,93.82,95.67,176.77,98.05,115.15,90.19,80.09,105.81,163.16,75.67,92.65,78.99,79.09,96.96,117.36,202.39,174.84,187.11,226.95,210.85,203.47,197.44,105.89,275.75,347.13,335.49,281.54,279.75,318.03,323.93,343.25,301.79,333.48,343.73,285.49,295.82,259.95,250.85,72.74,82.45,84.38,81.36,165.06,71.68,82.39,152.83,99.78,84.93,120.27,117.9,113.65,243.5,268.5,190.97,194.37,230.77,233.85,323.34,307.59,271.06,306.6,307.25,299.8,290.63,256.21,296.13,254.84,256.1,267.23,292.55,296.23,310.1,451.4,479.61,457.22,454.11
서울특별시 중랑구,24.64,1.84,21.81,12.39,38.16,37.41,69.1,35.29,34.96,35.62,44.69,40.32,33.52,56.54,39.13,60.13,49.88,31.33,70.51,65.42,42.76,20.83,24.79,126.14,95.65,102.11,158.34,97.09,98.83,181.03,100.33,120.44,93.62,84.65,110.96,167.39,80.01,98.12,84.55,84.78,101.43,122.84,206.75,179.09,190.8,231.09,214.78,207.26,200.75,111.02,280.09,351.06,339.4,285.75,283.02,322.44,328.19,347.47,304.68,337.8,347.62,289.25,300.01,263.77,254.81,68.1,77.88,80.16,77.11,160.0,65.87,78.91,147.15,100.81,86.63,122.87,119.7,112.16,243.36,267.51,191.73,194.38,231.2,234.27,323.88,307.02,271.95,306.79,306.91,300.09,291.35,257.1,298.13,255.73,256.95,268.75,293.26,296.78,310.35,455.11,483.89,460.89,457.81
서울특별시 성북구,17.9,5.11,15.1,12.88,36.21,34.45,68.56,36.59,36.83,31.94,42.42,37.22,37.68,54.97,44.66,61.8,43.76,25.06,66.58,60.33,38.09,26.28,20.37,121.41,95.87,97.29,156.77,95.65,97.55,178.11,100.2,115.74,91.96,81.29,106.54,164.52,77.01,93.05,79.28,79.16,98.2,117.74,203.66,176.19,188.73,228.34,212.36,205.04,199.22,106.64,277.04,348.63,336.99,282.89,281.54,319.26,325.24,344.58,303.72,334.76,345.24,287.06,297.18,261.5,252.33,71.77,81.42,86.56,80.14,166.85,72.63,84.77,154.04,102.21,87.23,122.32,120.16,116.26,246.06,271.1,193.43,196.92,233.27,236.35,325.82,310.17,273.49,309.12,309.83,302.32,293.08,258.63,298.32,257.26,258.53,269.53,295.0,298.71,312.61,453.0,480.92,458.83,455.71
서울특별시 강북구,19.47,5.78,19.34,17.42,41.75,40.1,73.83,41.09,31.18,37.59,48.02,33.5,32.33,60.47,46.04,66.19,48.45,25.21,72.18,65.63,35.81,27.79,17.84,126.79,100.92,102.66,162.31,101.15,103.02,183.77,105.37,121.14,97.5,86.94,112.03,170.18,82.67,98.32,84.48,84.16,103.86,122.99,209.32,181.85,194.34,234.0,218.0,210.67,204.76,112.13,282.69,354.27,342.64,288.55,287.07,324.91,330.9,350.24,309.15,340.41,350.88,292.69,302.83,267.13,257.97,66.22,75.84,86.58,74.5,165.51,69.43,85.69,151.26,106.77,92.13,127.62,125.13,119.08,249.93,274.35,197.86,200.89,237.51,240.59,330.14,313.74,278.01,313.22,313.56,306.47,297.51,263.16,303.42,261.79,263.03,274.4,299.43,303.03,316.75,458.62,486.57,464.44,461.33
서울특별시 도봉구,22.34,7.63,23.0,19.9,44.92,43.5,76.61,43.22,27.86,41.13,51.28,32.72,28.59,63.56,45.87,68.13,52.14,27.31,75.8,69.37,36.19,27.95,18.47,130.52,103.43,106.38,165.42,104.22,106.04,187.23,108.0,124.86,100.63,90.47,115.73,173.63,86.13,102.06,88.22,87.88,107.37,126.73,212.82,185.31,197.6,237.43,221.35,213.97,207.86,115.83,286.19,357.63,345.99,292.01,290.17,328.44,334.38,353.71,312.08,343.91,354.23,295.98,306.29,270.45,261.34,62.55,72.2,85.34,70.95,163.37,66.4,85.04,148.36,108.8,94.49,130.41,127.55,119.7,251.3,275.21,199.74,202.35,239.2,242.28,331.89,314.85,279.96,314.77,314.8,308.08,299.36,265.11,305.93,263.74,264.96,276.68,301.27,304.79,318.34,461.9,490.06,467.71,464.6
