지역명,일시,평균기온(℃),평균일강수량(mm),평균습도(%rh)
서울경기,2020-12-31,-8.6,0,57
서울경기,2020-12-30,-10.6,0,54
서울경기,2020-12-29,-0.5,0.2,74
서울경기,2020-12-28,5.4,0.7,81
서울경기,2020-12-27,5.5,0.1,68
서울경기,2020-12-26,2,0,70
서울경기,2020-12-25,-1.1,0,57
서울경기,2020-12-24,2.4,0.1,63
서울경기,2020-12-23,4.3,0,81
서울경기,2020-12-22,1.9,0.2,73
서울경기,2020-12-21,-1.4,0,67
서울경기,2020-12-20,-3.8,0,54
서울경기,2020-12-19,-4.9,0,45
서울경기,2020-12-18,-1.8,0.9,61
서울경기,2020-12-17,-4.9,0.1,54
서울경기,2020-12-16,-7.5,0,43
서울경기,2020-12-15,-7.5,0,44
서울경기,2020-12-14,-7.2,0,49
서울경기,2020-12-13,-1,3.2,73
서울경기,2020-12-12,2.1,0,54
서울경기,2020-12-11,4.7,0,80
서울경기,2020-12-10,5.3,0.4,76
서울경기,2020-12-09,1.3,0,58
서울경기,2020-12-08,-0.9,0,53
서울경기,2020-12-07,3.4,0,58
서울경기,2020-12-06,4.3,0,70
서울경기,2020-12-05,2.2,0,66
서울경기,2020-12-04,-0.5,0,57
서울경기,2020-12-03,0.9,0,49
서울경기,2020-12-02,2.5,0,41
서울경기,2020-12-01,0.9,0,48
서울경기,2020-11-30,-0.4,0,61
서울경기,2020-11-29,-0.5,0,64
서울경기,2020-11-28,0,0,52
서울경기,2020-11-27,4,0,62
서울경기,2020-11-26,5.2,0,69
서울경기,2020-11-25,4.3,0,67
서울경기,2020-11-24,2.9,0,56
서울경기,2020-11-23,1.5,0,61
서울경기,2020-11-22,5.6,2.7,78
서울경기,2020-11-21,6.2,0.9,70
서울경기,2020-11-20,2.8,0,75
서울경기,2020-11-19,13.3,48.5,88
서울경기,2020-11-18,17.1,10.4,90
서울경기,2020-11-17,15.7,0.9,69
서울경기,2020-11-16,11.4,0,76
서울경기,2020-11-15,10.2,0,84
서울경기,2020-11-14,11.2,0,74
