ZONE ID,시도,시군구,전체-평일,7시-9시,18시-20시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,승용차-평일,7시-9시,18시-20시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,버스-평일,7시-9시,18시-20시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,트럭-평일,7시-9시,18시-20시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
1101000,서울특별시, 종로구,15994,2718,2731,227,148,99,79,102,268,657,1008,1053,980,933,902,836,887,905,943,968,984,934,813,687,654,551,387,12769,2171,2180,185,121,81,65,83,216,526,805,840,783,745,721,669,709,722,752,772,785,745,650,551,525,443,313,87,14,14,0,0,0,0,0,1,3,5,6,5,5,5,4,4,5,5,5,5,5,4,3,3,2,1,3138,533,537,42,27,18,14,19,51,128,198,207,192,183,176,163,174,178,186,191,194,184,159,133,126,106,73
1102000,서울특별시, 중구,17375,2990,2902,226,145,97,76,95,250,671,1130,1189,1102,1050,1024,931,994,999,1031,1039,1046,995,861,735,710,587,404,13649,2360,2285,172,109,72,56,71,192,525,894,941,871,830,809,733,784,788,813,820,825,784,676,576,556,458,312,95,16,14,0,0,0,0,0,0,3,6,7,6,6,5,5,5,5,5,5,5,5,4,3,3,2,1,3631,614,603,54,36,25,20,24,58,143,230,241,225,214,210,193,205,206,213,214,216,206,181,156,151,127,91
1103000,서울특별시, 용산구,28739,4860,4845,449,305,213,175,213,517,1214,1806,1840,1711,1642,1592,1469,1567,1604,1659,1702,1740,1656,1449,1243,1204,1035,746,22514,3813,3794,354,241,170,140,170,408,954,1417,1442,1343,1289,1250,1153,1229,1258,1300,1333,1363,1296,1135,974,945,812,587,329,58,55,3,2,1,0,1,4,13,22,23,20,19,18,16,18,18,19,20,20,19,16,13,12,10,6,5896,989,996,92,62,42,35,42,105,247,367,375,348,334,324,300,320,328,340,349,357,341,298,256,247,213,153
1104000,서울특별시, 성동구,27044,4553,4469,442,307,220,184,221,515,1162,1668,1723,1624,1559,1484,1380,1467,1509,1564,1602,1613,1520,1336,1155,1112,973,717,21451,3608,3533,358,251,180,152,181,417,925,1320,1363,1285,1235,1176,1095,1163,1194,1237,1265,1273,1202,1058,917,885,777,576,267,46,45,3,1,1,0,1,3,11,17,18,17,16,15,13,14,15,16,17,17,15,13,11,10,8,5,5326,899,891,81,55,39,32,39,95,226,331,342,322,308,293,272,290,300,311,320,323,303,265,227,217,188,136
1105000,서울특별시, 광진구,23897,3991,4098,361,256,190,162,194,439,1002,1457,1532,1449,1386,1298,1202,1284,1348,1409,1452,1470,1400,1228,1031,954,819,586,18979,3151,3232,302,217,164,140,167,365,803,1146,1202,1140,1093,1027,955,1016,1063,1109,1141,1155,1103,974,825,766,663,481,209,35,35,2,1,0,0,0,2,8,13,14,13,12,11,10,11,12,12,13,13,12,10,8,7,6,4,4709,805,831,57,38,26,22,27,72,191,298,316,296,281,260,237,257,273,288,298,302,285,244,198,181,150,101
1106000,서울특별시, 동대문구,17833,3041,3008,249,165,114,95,122,315,750,1113,1178,1112,1058,995,923,988,1019,1069,1097,1100,1020,888,750,703,597,425,14240,2434,2406,198,132,91,76,98,252,600,891,943,890,847,796,739,790,815,855,877,880,816,710,599,561,477,339,111,18,18,1,0,0,0,0,1,4,7,7,7,6,6,5,6,6,7,7,7,6,5,4,4,3,2,3482,589,584,50,33,23,19,24,62,146,215,228,215,205,193,179,192,198,207,213,213,198,173,147,138,117,84
1107000,서울특별시, 중랑구,18815,3179,3240,252,170,123,111,149,380,847,1137,1195,1144,1094,1022,963,1036,1101,1157,1189,1189,1093,958,800,716,589,412,15056,2537,2580,214,146,107,97,129,316,683,905,949,910,871,817,772,827,876,917,942,942,870,768,646,582,484,343,179,28,29,1,1,0,0,0,2,7,10,11,10,10,9,8,9,10,11,11,11,10,8,7,6,4,3,3580,614,631,37,23,16,14,20,62,157,222,235,224,213,196,183,200,215,229,236,236,213,182,147,128,101,66
1108000,서울특별시, 성북구,20050,3455,3406,272,174,118,100,139,394,897,1253,1305,1224,1167,1111,1040,1110,1152,1207,1242,1248,1152,1006,849,784,656,463,16033,2754,2715,225,146,100,85,117,323,719,997,1038,975,930,888,832,887,918,961,988,992,918,805,683,633,532,379,123,21,21,1,0,0,0,0,2,5,8,8,7,7,6,6,6,7,7,7,8,7,6,5,4,3,2,3894,680,670,46,28,18,15,22,69,173,248,259,242,230,217,202,217,227,239,247,248,227,195,161,147,121,82
1109000,서울특별시, 강북구,14114,2510,2406,163,98,62,52,78,253,638,920,952,886,830,785,737,796,830,875,912,901,815,690,577,535,442,300,11975,2114,2031,148,91,58,49,73,227,547,771,796,744,700,664,626,673,700,735,764,755,688,588,497,463,386,267,44,7,7,0,0,0,0,0,0,1,3,3,3,2,2,2,2,2,3,3,3,2,2,1,1,1,0,2095,389,368,15,7,4,3,5,26,90,146,153,139,128,119,109,121,128,137,145,143,125,100,79,71,55,33
1110000,서울특별시, 도봉구,14073,2556,2432,144,91,63,61,108,307,685,922,949,886,809,750,720,792,843,906,964,936,828,668,539,477,381,255,11812,2125,2030,131,84,59,57,99,271,578,763,784,735,676,630,606,663,702,750,795,774,691,565,462,411,333,227,47,8,7,0,0,0,0,0,0,2,3,3,3,2,2,2,2,3,3,3,3,2,2,1,1,0,0,2214,423,395,13,7,4,4,9,36,105,156,162,148,131,118,112,127,138,153,166,159,135,101,76,65,48,28
