시도,시군구,발생건수
서울특별시,종로구,0
서울특별시,중구,0
서울특별시,용산구,0
서울특별시,성동구,0
서울특별시,광진구,2
서울특별시,동대문구,0
서울특별시,중랑구,0
서울특별시,성북구,0
서울특별시,강북구,0
서울특별시,도봉구,0
서울특별시,노원구,0
서울특별시,은평구,0
서울특별시,서대문구,0
서울특별시,마포구,0
서울특별시,양천구,0
서울특별시,강서구,0
서울특별시,구로구,0
서울특별시,금천구,0
서울특별시,영등포구,0
서울특별시,동작구,0
서울특별시,관악구,0
서울특별시,서초구,0
서울특별시,강남구,0
서울특별시,송파구,2
서울특별시,강동구,0
부산광역시,중구,0
부산광역시,서구,0
부산광역시,동구,0
부산광역시,영도구,0
부산광역시,부산진구,0
부산광역시,동래구,0
부산광역시,남구,0
부산광역시,북구,0
부산광역시,해운대구,1
부산광역시,사하구,0
부산광역시,금정구,0
부산광역시,강서구,3
부산광역시,연제구,0
부산광역시,수영구,0
부산광역시,사상구,0
부산광역시,기장군,4
대구광역시,중구,0
대구광역시,동구,1
대구광역시,서구,0
대구광역시,남구,0
대구광역시,북구,0
대구광역시,수성구,2
대구광역시,달서구,0
대구광역시,달성군,1
인천광역시,중구,0
인천광역시,동구,0
인천광역시,남구,0
인천광역시,연수구,0
인천광역시,남동구,0
인천광역시,부평구,0
인천광역시,계양구,0
인천광역시,서구,1
인천광역시,강화군,0
인천광역시,옹진군,1
광주광역시,동구,0
광주광역시,서구,0
광주광역시,남구,0
광주광역시,북구,1
광주광역시,광산구,1
대전광역시,동구,0
대전광역시,중구,0
대전광역시,서구,0
대전광역시,유성구,0
대전광역시,대덕구,0
울산광역시,중구,0
울산광역시,남구,3
울산광역시,동구,0
울산광역시,북구,0
울산광역시,울주군,6
세종특별자치시,세종시,21
경기도,수원시,3
경기도,성남시,5
경기도,의정부시,1
경기도,안양시,0
경기도,부천시,0
경기도,광명시,0
경기도,평택시,25
경기도,동두천시,1
경기도,안산시,0
경기도,고양시,2
경기도,과천시,1
경기도,구리시,0
경기도,남양주시,0
경기도,오산시,0
경기도,시흥시,0
경기도,군포시,0
경기도,의왕시,0
경기도,하남시,0
경기도,용인시,6
경기도,파주시,2
경기도,이천시,33
경기도,안성시,59
경기도,김포시,7
경기도,화성시,20
경기도,광주시,3
경기도,양주시,13
경기도,포천시,31
경기도,여주시,18
경기도,연천군,2
경기도,가평군,0
경기도,양평군,1
강원도,춘천시,2
강원도,원주시,0
강원도,강릉시,0
강원도,동해시,0
강원도,태백시,0
강원도,속초시,0
강원도,삼척시,0
강원도,홍천군,0
강원도,횡성군,2
강원도,영월군,0
강원도,평창군,0
강원도,정선군,0
강원도,철원군,2
강원도,화천군,0
강원도,양구군,0
강원도,인제군,1
강원도,고성군,0
강원도,양양군,0
충청북도,충주시,1
충청북도,제천시,0
충청북도,청주시,9
충청북도,보은군,0
충청북도,옥천군,1
충청북도,영동군,0
충청북도,진천군,44
충청북도,괴산군,3
충청북도,음성군,130
충청북도,단양군,0
충청북도,증평군,1
충청남도,천안시,82
충청남도,공주시,2
충청남도,보령시,0
충청남도,아산시,19
충청남도,서산시,1
충청남도,논산시,7
충청남도,계룡시,0
충청남도,당진시,4
충청남도,금산군,0
충청남도,부여군,1
충청남도,서천군,3
충청남도,청양군,4
충청남도,홍성군,3
충청남도,예산군,1
충청남도,태안군,0
전라북도,전주시,2
전라북도,군산시,8
전라북도,익산시,25
전라북도,정읍시,50
전라북도,남원시,2
전라북도,김제시,34
전라북도,완주군,2
전라북도,진안군,1
전라북도,무주군,0
전라북도,장수군,0
전라북도,임실군,7
전라북도,순창군,4
전라북도,고창군,31
전라북도,부안군,22
전라남도,목포시,0
전라남도,여수시,1
전라남도,순천시,1
전라남도,나주시,57
전라남도,광양시,0
전라남도,담양군,7
전라남도,곡성군,6
전라남도,구례군,12
전라남도,고흥군,3
전라남도,보성군,2
전라남도,화순군,2
전라남도,장흥군,11
전라남도,강진군,11
전라남도,해남군,6
전라남도,영암군,64
전라남도,무안군,13
전라남도,함평군,6
전라남도,영광군,3
전라남도,장성군,2
전라남도,완도군,0
전라남도,진도군,1
전라남도,신안군,2
경상북도,포항시,0
경상북도,경주시,9
경상북도,김천시,0
경상북도,안동시,0
경상북도,구미시,1
경상북도,영주시,0
경상북도,영천시,4
경상북도,상주시,1
경상북도,문경시,0
경상북도,경산시,2
경상북도,군위군,0
경상북도,의성군,0
경상북도,청송군,0
경상북도,영양군,0
경상북도,영덕군,0
경상북도,청도군,0
경상북도,고령군,0
경상북도,성주군,1
경상북도,칠곡군,0
경상북도,예천군,0
경상북도,봉화군,0
경상북도,울진군,0
경상북도,울릉군,0
경상남도,진주시,0
경상남도,통영시,0
경상남도,사천시,0
경상남도,김해시,0
경상남도,밀양시,1
경상남도,거제시,0
경상남도,양산시,7
경상남도,창원시,0
경상남도,의령군,0
경상남도,함안군,0
경상남도,창녕군,0
경상남도,고성군,6
경상남도,남해군,0
경상남도,하동군,2
경상남도,산청군,0
경상남도,함양군,0
경상남도,거창군,0
경상남도,합천군,0
제주특별자치도,제주시,6
제주특별자치도,서귀포시,0
