주소,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
서울특별시 종로구,8.85 중랑천 2,11.35 안양천  3,13.9 탄천 2,14.68 강서지구 3,19.39 공릉천 1,22.32 한강하구 1,29.06 팔당호 2,29.71 왕송호수 3,32.6 서호 3,34.89 원천리천 3,36.56 임진강 2,36.78 문산천 2,37.05 경안천 2,39.01 상패천 2,40.18 시화호 1,40.77 포천천 2,40.86 황구지천 2,47.35 남한강 2,53.69 진위천 2,57.19 화성호 2,62.25 청미천 1,64.0 남양호 2,67.76 안성천 1,74.55 한탄강 2,74.89 아산호 2,75.76 대호 2,76.04 석문간척지 2,76.41 소양강 하류 2,78.97 삽교호 2,82.63 철원평야 2,84.13 토교저수지 2,86.99 백곡지 2,87.56 원주천 2,89.71 섬강 1,89.88 잠홍지 2,90.51 봉강천 1,94.23 도당천 2,94.29 풍세천 1,95.39 송정저수지 2,95.92 무한천 2,96.27 곡교천 1,99.54 병천천 2,102.38 보강천 2,103.67 해미천 2,103.78 산수저수지 2,112.72 간월호 2,114.55 부남호 2,117.93 충주호 3,118.37 천수만 1,119.78 무심천 2,121.39 미호천 1,155.27 논산천 2,157.8 남대천 3,162.36 봉선저수지 2,170.39 남대천 3,174.01 금강하구둑 1,175.92 금강호 2,186.96 만경강 1,193.67 김천 2,197.62 구미 3,197.73 전주천 2,201.38 조류지 2,203.19 원평천 3,210.4 동진강 1,226.22 동림저수지 1,233.7 낙동강 2,236.78 금호강 1,246.84 안심습지 3,250.32 황룡강 2,257.38 목포늪 3,258.68 사지포 3,258.75 창녕우포 3,259.6 담양습지 3,269.24 산남저수지 3,272.4 형산강 1,273.61 장척저수지 3,274.75 함평대동저수지 2,280.04 주암댐 2,280.71 고막원천 2,285.21 지석천 2,293.3 주남저수지 3,295.0 우습제 2,295.23 동판저수지 2,297.7 사천만 3,299.04 화포천 2,302.49 순천만 1,302.82 낙동강 2,309.68 양산천 2,310.72 양산발생지 3,311.21 태화강 3,313.13 낙동강 3,316.9 영산강 2,323.01 영암호 1,326.15 낙동강하구 2,332.47 금호호 1,335.01 만덕간척지 2,342.37 고천암 2,343.28 강진만 2,346.63 사내간척지 2,451.15 하도리 2,453.87 종달리 3,457.01 오조리 3,478.65 용수저수지 2
서울특별시 중구,7.88 중랑천 2,11.93 탄천 2,12.2 안양천  3,16.48 강서지구 3,21.26 공릉천 1,24.24 한강하구 1,27.22 팔당호 2,28.85 왕송호수 3,31.53 서호 3,33.57 원천리천 3,35.19 경안천 2,38.51 임진강 2,38.57 문산천 2,39.65 황구지천 2,39.83 상패천 2,40.55 시화호 1,40.97 포천천 2,45.47 남한강 2,52.37 진위천 2,57.03 화성호 2,60.4 청미천 1,63.38 남양호 2,66.26 안성천 1,73.99 아산호 2,75.0 한탄강 2,75.48 소양강 하류 2,75.87 대호 2,75.98 석문간척지 2,78.18 삽교호 2,83.29 철원평야 2,84.63 토교저수지 2,85.31 백곡지 2,85.7 원주천 2,87.98 섬강 1,89.27 봉강천 1,89.75 잠홍지 2,93.01 풍세천 1,93.79 송정저수지 2,93.99 도당천 2,94.96 곡교천 1,95.12 무한천 2,97.99 병천천 2,100.6 보강천 2,103.28 해미천 2,103.37 산수저수지 2,112.44 간월호 2,114.44 부남호 2,115.96 충주호 3,118.11 천수만 1,118.15 무심천 2,119.94 미호천 1,154.06 논산천 2,156.7 남대천 3,161.49 봉선저수지 2,168.89 남대천 3,173.15 금강하구둑 1,175.07 금강호 2,185.88 만경강 1,191.88 김천 2,195.75 구미 3,196.51 전주천 2,200.58 조류지 2,202.15 원평천 3,209.41 동진강 1,225.33 동림저수지 1,231.87 낙동강 2,234.95 금호강 1,244.95 안심습지 3,249.37 황룡강 2,255.62 목포늪 3,256.92 사지포 3,257.0 창녕우포 3,258.59 담양습지 3,267.59 산남저수지 3,270.45 형산강 1,271.85 장척저수지 3,273.96 함평대동저수지 2,278.83 주암댐 2,279.85 고막원천 2,284.17 지석천 2,291.52 주남저수지 3,293.44 동판저수지 2,294.14 우습제 2,296.15 사천만 3,297.23 화포천 2,300.98 낙동강 2,301.17 순천만 1,307.83 양산천 2,308.82 양산발생지 3,309.28 태화강 3,311.29 낙동강 3,316.15 영산강 2,322.18 영암호 1,324.35 낙동강하구 2,331.67 금호호 1,334.04 만덕간척지 2,341.53 고천암 2,342.3 강진만 2,345.67 사내간척지 2,450.11 하도리 2,452.82 종달리 3,455.95 오조리 3,477.84 용수저수지 2
서울특별시 용산구,10.43 안양천  3,10.64 중랑천 2,10.64 탄천 2,16.86 강서지구 3,23.71 공릉천 1,25.1 한강하구 1,25.31 왕송호수 3,27.42 팔당호 2,28.04 서호 3,30.23 원천리천 3,32.88 경안천 2,36.22 황구지천 2,37.7 시화호 1,40.41 임진강 2,41.22 문산천 2,43.36 상패천 2,44.39 포천천 2,45.34 남한강 2,49.03 진위천 2,53.69 화성호 2,58.0 청미천 1,59.86 남양호 2,63.11 안성천 1,70.46 아산호 2,72.71 석문간척지 2,72.74 대호 2,74.65 삽교호 2,77.79 소양강 하류 2,78.5 한탄강 2,82.44 백곡지 2,85.58 원주천 2,85.86 봉강천 1,86.42 잠홍지 2,86.82 철원평야 2,88.14 토교저수지 2,88.41 섬강 1,89.64 풍세천 1,90.6 도당천 2,90.78 송정저수지 2,91.58 무한천 2,91.61 곡교천 1,94.89 병천천 2,97.96 보강천 2,99.82 해미천 2,99.91 산수저수지 2,109.03 간월호 2,111.12 부남호 2,114.52 충주호 3,114.71 천수만 1,115.19 무심천 2,116.72 미호천 1,150.64 논산천 2,157.95 봉선저수지 2,158.68 남대천 3,169.62 금강하구둑 1,170.01 남대천 3,171.53 금강호 2,182.4 만경강 1,189.27 김천 2,193.1 전주천 2,193.45 구미 3,197.04 조류지 2,198.65 원평천 3,205.9 동진강 1,221.79 동림저수지 1,229.38 낙동강 2,232.46 금호강 1,242.7 안심습지 3,245.85 황룡강 2,252.93 목포늪 3,254.24 사지포 3,254.3 창녕우포 3,255.09 담양습지 3,264.65 산남저수지 3,268.62 형산강 1,269.15 장척저수지 3,270.42 함평대동저수지 2,275.41 주암댐 2,276.32 고막원천 2,280.67 지석천 2,288.89 주남저수지 3,290.6 우습제 2,290.81 동판저수지 2,293.06 사천만 3,294.67 화포천 2,297.82 순천만 1,298.52 낙동강 2,305.42 양산천 2,306.65 양산발생지 3,307.22 태화강 3,308.85 낙동강 3,312.61 영산강 2,318.65 영암호 1,321.78 낙동강하구 2,328.14 금호호 1,330.53 만덕간척지 2,338.0 고천암 2,338.79 강진만 2,342.15 사내간척지 2,446.62 하도리 2,449.33 종달리 3,452.46 오조리 3,474.31 용수저수지 2
서울특별시 성동구,5.39 중랑천 2,9.5 탄천 2,15.34 안양천  3,19.89 강서지구 3,23.63 공릉천 1,23.83 팔당호 2,27.53 한강하구 1,29.54 왕송호수 3,31.77 서호 3,33.2 경안천 2,33.23 원천리천 3,39.54 황구지천 2,39.59 상패천 2,39.62 포천천 2,40.59 문산천 2,41.23 임진강 2,42.12 남한강 2,43.04 시화호 1,51.93 진위천 2,58.42 청미천 1,58.75 화성호 2,64.36 남양호 2,65.34 안성천 1,72.52 소양강 하류 2,73.99 한탄강 2,74.42 아산호 2,77.83 석문간척지 2,77.97 대호 2,78.83 삽교호 2,82.32 원주천 2,82.61 철원평야 2,83.7 토교저수지 2,83.88 백곡지 2,84.53 섬강 1,88.97 봉강천 1,91.47 잠홍지 2,92.56 송정저수지 2,92.61 풍세천 1,94.48 곡교천 1,95.55 도당천 2,95.7 무한천 2,96.93 병천천 2,98.83 보강천 2,104.58 해미천 2,104.66 산수저수지 2,113.12 충주호 3,113.94 간월호 2,116.18 부남호 2,116.84 무심천 2,119.12 미호천 1,119.62 천수만 1,153.54 남대천 3,153.78 논산천 2,161.91 봉선저수지 2,165.47 남대천 3,173.59 금강하구둑 1,175.52 금강호 2,185.87 만경강 1,190.04 김천 2,193.55 구미 3,196.23 전주천 2,201.13 조류지 2,202.23 원평천 3,209.6 동진강 1,225.7 동림저수지 1,229.89 낙동강 2,232.97 금호강 1,242.7 안심습지 3,249.6 황룡강 2,253.88 목포늪 3,255.15 사지포 3,255.25 창녕우포 3,258.71 담양습지 3,266.19 산남저수지 3,267.85 형산강 1,270.1 장척저수지 3,274.5 함평대동저수지 2,278.54 주암댐 2,280.29 고막원천 2,284.25 지석천 2,289.7 주남저수지 3,291.62 동판저수지 2,294.56 우습제 2,295.03 사천만 3,295.32 화포천 2,298.94 낙동강 2,300.61 순천만 1,305.75 양산천 2,306.49 양산발생지 3,306.86 태화강 3,309.24 낙동강 3,316.77 영산강 2,322.44 낙동강하구 2,322.67 영암호 1,332.22 금호호 1,334.24 만덕간척지 2,341.99 고천암 2,342.48 강진만 2,345.89 사내간척지 2,450.16 하도리 2,452.87 종달리 3,455.98 오조리 3,478.36 용수저수지 2
서울특별시 광진구,5.13 탄천 2,7.23 중랑천 2,18.53 안양천  3,19.4 팔당호 2,24.37 강서지구 3,28.33 왕송호수 3,28.45 공릉천 1,28.8 경안천 2,29.91 서호 3,30.58 원천리천 3,32.23 한강하구 1,37.11 황구지천 2,37.54 남한강 2,41.01 포천천 2,42.4 상패천 2,44.46 시화호 1,45.24 문산천 2,46.09 임진강 2,49.0 진위천 2,53.95 청미천 1,58.76 화성호 2,61.82 안성천 1,63.2 남양호 2,70.63 소양강 하류 2,72.46 아산호 2,75.64 한탄강 2,77.16 삽교호 2,77.78 원주천 2,77.96 석문간척지 2,78.52 대호 2,79.83 백곡지 2,80.35 섬강 1,84.69 철원평야 2,85.43 토교저수지 2,86.09 봉강천 1,88.68 송정저수지 2,89.6 풍세천 1,91.36 잠홍지 2,91.37 곡교천 1,93.21 병천천 2,93.91 무한천 2,94.48 보강천 2,95.16 도당천 2,103.79 해미천 2,103.84 산수저수지 2,108.25 충주호 3,112.86 무심천 2,113.41 간월호 2,115.61 미호천 1,116.05 부남호 2,119.12 천수만 1,150.84 논산천 2,151.03 남대천 3,159.81 봉선저수지 2,161.9 남대천 3,171.52 금강하구둑 1,173.46 금강호 2,183.24 만경강 1,185.62 김천 2,188.91 구미 3,193.26 전주천 2,199.19 조류지 2,199.69 원평천 3,207.2 동진강 1,223.51 동림저수지 1,225.36 낙동강 2,228.44 금호강 1,238.02 안심습지 3,247.23 황룡강 2,249.52 목포늪 3,250.77 사지포 3,250.89 창녕우포 3,256.2 담양습지 3,262.1 산남저수지 3,263.02 형산강 1,265.74 장척저수지 3,272.52 함평대동저수지 2,275.55 주암댐 2,278.17 고막원천 2,281.68 지석천 2,285.28 주남저수지 3,287.19 동판저수지 2,290.84 화포천 2,291.19 사천만 3,292.43 우습제 2,294.37 낙동강 2,297.32 순천만 1,301.16 양산천 2,301.77 양산발생지 3,302.1 태화강 3,304.66 낙동강 3,314.89 영산강 2,317.95 낙동강하구 2,320.61 영암호 1,330.24 금호호 1,331.82 만덕간척지 2,339.9 고천암 2,340.04 강진만 2,343.48 사내간척지 2,447.55 하도리 2,450.25 종달리 3,453.34 오조리 3,476.32 용수저수지 2
서울특별시 동대문구,4.27 중랑천 2,10.38 탄천 2,16.05 안양천  3,19.99 강서지구 3,22.98 공릉천 1,23.88 팔당호 2,27.41 한강하구 1,30.79 왕송호수 3,33.03 서호 3,34.13 경안천 2,34.45 원천리천 3,38.36 상패천 2,38.39 포천천 2,39.77 문산천 2,40.69 임진강 2,40.78 황구지천 2,42.23 남한강 2,44.05 시화호 1,53.14 진위천 2,59.32 청미천 1,59.93 화성호 2,65.6 남양호 2,66.48 안성천 1,71.68 소양강 하류 2,72.74 한탄강 2,75.67 아산호 2,78.99 석문간척지 2,79.09 대호 2,80.09 삽교호 2,81.36 철원평야 2,82.39 원주천 2,82.45 토교저수지 2,84.38 섬강 1,84.93 백곡지 2,90.19 봉강천 1,92.65 잠홍지 2,93.64 송정저수지 2,93.82 풍세천 1,95.67 곡교천 1,96.75 도당천 2,96.96 무한천 2,98.05 병천천 2,99.78 보강천 2,105.81 해미천 2,105.89 산수저수지 2,113.65 충주호 3,115.15 간월호 2,117.36 부남호 2,117.9 무심천 2,120.27 미호천 1,120.83 천수만 1,152.83 남대천 3,154.99 논산천 2,163.16 봉선저수지 2,165.06 남대천 3,174.84 금강하구둑 1,176.77 금강호 2,187.11 만경강 1,190.97 김천 2,194.37 구미 3,197.44 전주천 2,202.39 조류지 2,203.47 원평천 3,210.85 동진강 1,226.95 동림저수지 1,230.77 낙동강 2,233.85 금호강 1,243.5 안심습지 3,250.85 황룡강 2,254.84 목포늪 3,256.1 사지포 3,256.21 창녕우포 3,259.95 담양습지 3,267.23 산남저수지 3,268.5 형산강 1,271.06 장척저수지 3,275.75 함평대동저수지 2,279.75 주암댐 2,281.54 고막원천 2,285.49 지석천 2,290.63 주남저수지 3,292.55 동판저수지 2,295.82 우습제 2,296.13 사천만 3,296.23 화포천 2,299.8 낙동강 2,301.79 순천만 1,306.6 양산천 2,307.25 양산발생지 3,307.59 태화강 3,310.1 낙동강 3,318.03 영산강 2,323.34 낙동강하구 2,323.93 영암호 1,333.48 금호호 1,335.49 만덕간척지 2,343.25 고천암 2,343.73 강진만 2,347.13 사내간척지 2,451.4 하도리 2,454.11 종달리 3,457.22 오조리 3,479.61 용수저수지 2
서울특별시 중랑구,1.84 중랑천 2,12.39 탄천 2,20.83 팔당호 2,21.81 안양천  3,24.64 강서지구 3,24.79 공릉천 1,31.33 한강하구 1,33.52 포천천 2,34.96 상패천 2,35.29 경안천 2,35.62 왕송호수 3,37.41 서호 3,38.16 원천리천 3,39.13 남한강 2,40.32 문산천 2,42.76 임진강 2,44.69 황구지천 2,49.88 시화호 1,56.54 진위천 2,60.13 청미천 1,65.42 화성호 2,65.87 소양강 하류 2,68.1 한탄강 2,69.1 안성천 1,70.51 남양호 2,77.11 철원평야 2,77.88 토교저수지 2,78.91 원주천 2,80.01 아산호 2,80.16 섬강 1,84.55 석문간척지 2,84.65 삽교호 2,84.78 대호 2,86.63 백곡지 2,93.62 봉강천 1,95.65 송정저수지 2,97.09 풍세천 1,98.12 잠홍지 2,98.83 곡교천 1,100.33 병천천 2,100.81 보강천 2,101.43 무한천 2,102.11 도당천 2,110.96 해미천 2,111.02 산수저수지 2,112.16 충주호 3,119.7 무심천 2,120.44 간월호 2,122.84 부남호 2,122.87 미호천 1,126.14 천수만 1,147.15 남대천 3,158.34 논산천 2,160.0 남대천 3,167.39 봉선저수지 2,179.09 금강하구둑 1,181.03 금강호 2,190.8 만경강 1,191.73 김천 2,194.38 구미 3,200.75 전주천 2,206.75 조류지 2,207.26 원평천 3,214.78 동진강 1,231.09 동림저수지 1,231.2 낙동강 2,234.27 금호강 1,243.36 안심습지 3,254.81 황룡강 2,255.73 목포늪 3,256.95 사지포 3,257.1 창녕우포 3,263.77 담양습지 3,267.51 형산강 1,268.75 산남저수지 3,271.95 장척저수지 3,280.09 함평대동저수지 2,283.02 주암댐 2,285.75 고막원천 2,289.25 지석천 2,291.35 주남저수지 3,293.26 동판저수지 2,296.78 화포천 2,298.13 사천만 3,300.01 우습제 2,300.09 낙동강 2,304.68 순천만 1,306.79 양산천 2,306.91 양산발생지 3,307.02 태화강 3,310.35 낙동강 3,322.44 영산강 2,323.88 낙동강하구 2,328.19 영암호 1,337.8 금호호 1,339.4 만덕간척지 2,347.47 고천암 2,347.62 강진만 2,351.06 사내간척지 2,455.11 하도리 2,457.81 종달리 3,460.89 오조리 3,483.89 용수저수지 2
서울특별시 성북구,5.11 중랑천 2,12.88 탄천 2,15.1 안양천  3,17.9 강서지구 3,20.37 공릉천 1,25.06 한강하구 1,26.28 팔당호 2,31.94 왕송호수 3,34.45 서호 3,36.21 원천리천 3,36.59 경안천 2,36.83 상패천 2,37.22 문산천 2,37.68 포천천 2,38.09 임진강 2,42.42 황구지천 2,43.76 시화호 1,44.66 남한강 2,54.97 진위천 2,60.33 화성호 2,61.8 청미천 1,66.58 남양호 2,68.56 안성천 1,71.77 한탄강 2,72.63 소양강 하류 2,77.01 아산호 2,79.16 대호 2,79.28 석문간척지 2,80.14 철원평야 2,81.29 삽교호 2,81.42 토교저수지 2,84.77 원주천 2,86.56 섬강 1,87.23 백곡지 2,91.96 봉강천 1,93.05 잠홍지 2,95.65 풍세천 1,95.87 송정저수지 2,97.29 도당천 2,97.55 곡교천 1,98.2 무한천 2,100.2 병천천 2,102.21 보강천 2,106.54 해미천 2,106.64 산수저수지 2,115.74 간월호 2,116.26 충주호 3,117.74 부남호 2,120.16 무심천 2,121.41 천수만 1,122.32 미호천 1,154.04 남대천 3,156.77 논산천 2,164.52 봉선저수지 2,166.85 남대천 3,176.19 금강하구둑 1,178.11 금강호 2,188.73 만경강 1,193.43 김천 2,196.92 구미 3,199.22 전주천 2,203.66 조류지 2,205.04 원평천 3,212.36 동진강 1,228.34 동림저수지 1,233.27 낙동강 2,236.35 금호강 1,246.06 안심습지 3,252.33 황룡강 2,257.26 목포늪 3,258.53 사지포 3,258.63 창녕우포 3,261.5 담양습지 3,269.53 산남저수지 3,271.1 형산강 1,273.49 장척저수지 3,277.04 함평대동저수지 2,281.54 주암댐 2,282.89 고막원천 2,287.06 지석천 2,293.08 주남저수지 3,295.0 동판저수지 2,297.18 우습제 2,298.32 사천만 3,298.71 화포천 2,302.32 낙동강 2,303.72 순천만 1,309.12 양산천 2,309.83 양산발생지 3,310.17 태화강 3,312.61 낙동강 3,319.26 영산강 2,325.24 영암호 1,325.82 낙동강하구 2,334.76 금호호 1,336.99 만덕간척지 2,344.58 고천암 2,345.24 강진만 2,348.63 사내간척지 2,453.0 하도리 2,455.71 종달리 3,458.83 오조리 3,480.92 용수저수지 2
서울특별시 강북구,5.78 중랑천 2,17.42 탄천 2,17.84 공릉천 1,19.34 안양천  3,19.47 강서지구 3,25.21 한강하구 1,27.79 팔당호 2,31.18 상패천 2,32.33 포천천 2,33.5 문산천 2,35.81 임진강 2,37.59 왕송호수 3,40.1 서호 3,41.09 경안천 2,41.75 원천리천 3,46.04 남한강 2,48.02 황구지천 2,48.45 시화호 1,60.47 진위천 2,65.63 화성호 2,66.19 청미천 1,66.22 한탄강 2,69.43 소양강 하류 2,72.18 남양호 2,73.83 안성천 1,74.5 철원평야 2,75.84 토교저수지 2,82.67 아산호 2,84.16 대호 2,84.48 석문간척지 2,85.69 원주천 2,86.58 섬강 1,86.94 삽교호 2,92.13 백곡지 2,97.5 봉강천 1,98.32 잠홍지 2,100.92 송정저수지 2,101.15 풍세천 1,102.66 도당천 2,103.02 곡교천 1,103.86 무한천 2,105.37 병천천 2,106.77 보강천 2,112.03 해미천 2,112.13 산수저수지 2,119.08 충주호 3,121.14 간월호 2,122.99 부남호 2,125.13 무심천 2,126.79 천수만 1,127.62 미호천 1,151.26 남대천 3,162.31 논산천 2,165.51 남대천 3,170.18 봉선저수지 2,181.85 금강하구둑 1,183.77 금강호 2,194.34 만경강 1,197.86 김천 2,200.89 구미 3,204.76 전주천 2,209.32 조류지 2,210.67 원평천 3,218.0 동진강 1,234.0 동림저수지 1,237.51 낙동강 2,240.59 금호강 1,249.93 안심습지 3,257.97 황룡강 2,261.79 목포늪 3,263.03 사지포 3,263.16 창녕우포 3,267.13 담양습지 3,274.35 형산강 1,274.4 산남저수지 3,278.01 장척저수지 3,282.69 함평대동저수지 2,287.07 주암댐 2,288.55 고막원천 2,292.69 지석천 2,297.51 주남저수지 3,299.43 동판저수지 2,302.83 우습제 2,303.03 화포천 2,303.42 사천만 3,306.47 낙동강 2,309.15 순천만 1,313.22 양산천 2,313.56 양산발생지 3,313.74 태화강 3,316.75 낙동강 3,324.91 영산강 2,330.14 낙동강하구 2,330.9 영암호 1,340.41 금호호 1,342.64 만덕간척지 2,350.24 고천암 2,350.88 강진만 2,354.27 사내간척지 2,458.62 하도리 2,461.33 종달리 3,464.44 오조리 3,486.57 용수저수지 2
서울특별시 도봉구,7.63 중랑천 2,18.47 공릉천 1,19.9 탄천 2,22.34 강서지구 3,23.0 안양천  3,27.31 한강하구 1,27.86 상패천 2,27.95 팔당호 2,28.59 포천천 2,32.72 문산천 2,36.19 임진강 2,41.13 왕송호수 3,43.22 경안천 2,43.5 서호 3,44.92 원천리천 3,45.87 남한강 2,51.28 황구지천 2,52.14 시화호 1,62.55 한탄강 2,63.56 진위천 2,66.4 소양강 하류 2,68.13 청미천 1,69.37 화성호 2,70.95 철원평야 2,72.2 토교저수지 2,75.8 남양호 2,76.61 안성천 1,85.04 원주천 2,85.34 섬강 1,86.13 아산호 2,87.88 대호 2,88.22 석문간척지 2,90.47 삽교호 2,94.49 백곡지 2,100.63 봉강천 1,102.06 잠홍지 2,103.43 송정저수지 2,104.22 풍세천 1,106.04 곡교천 1,106.38 도당천 2,107.37 무한천 2,108.0 병천천 2,108.8 보강천 2,115.73 해미천 2,115.83 산수저수지 2,119.7 충주호 3,124.86 간월호 2,126.73 부남호 2,127.55 무심천 2,130.41 미호천 1,130.52 천수만 1,148.36 남대천 3,163.37 남대천 3,165.42 논산천 2,173.63 봉선저수지 2,185.31 금강하구둑 1,187.23 금강호 2,197.6 만경강 1,199.74 김천 2,202.35 구미 3,207.86 전주천 2,212.82 조류지 2,213.97 원평천 3,221.35 동진강 1,237.43 동림저수지 1,239.2 낙동강 2,242.28 금호강 1,251.3 안심습지 3,261.34 황룡강 2,263.74 목포늪 3,264.96 사지포 3,265.11 창녕우포 3,270.45 담양습지 3,275.21 형산강 1,276.68 산남저수지 3,279.96 장척저수지 3,286.19 함평대동저수지 2,290.17 주암댐 2,292.01 고막원천 2,295.98 지석천 2,299.36 주남저수지 3,301.27 동판저수지 2,304.79 화포천 2,305.93 사천만 3,306.29 우습제 2,308.08 낙동강 2,312.08 순천만 1,314.77 양산천 2,314.8 양산발생지 3,314.85 태화강 3,318.34 낙동강 3,328.44 영산강 2,331.89 낙동강하구 2,334.38 영암호 1,343.91 금호호 1,345.99 만덕간척지 2,353.71 고천암 2,354.23 강진만 2,357.63 사내간척지 2,461.9 하도리 2,464.6 종달리 3,467.71 오조리 3,490.06 용수저수지 2
