,지역,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,면적
0,서울특별시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61724e-06
1,부산광역시,6.868990042581196,4.252231931121693,4.579326695054131,5.560610986851445,5.233516222919007,8.177369098310947,8.177369098310947,4.906421458986569,2.6167581114595033,3.057218
2,대구광역시,5.262909036406506,5.816899461291401,5.262909036406506,3.8779329741942674,4.154928186636715,4.431923399079163,3.60093776175182,2.492956911982029,2.2159616995395814,3.6101707
3,인천광역시,46.49126599117401,41.28701979813214,39.89922081332098,38.858371574712606,34.69497462027911,32.266326396859576,28.449879188628874,21.163934518370258,20.81698477216747,2.8822618
4,광주광역시,10.492016934306095,7.153647909754157,9.061287352355265,10.01510707365582,7.630557770404433,9.538197213005542,8.10746763105471,7.630557770404433,5.722918327803325,2.0968323
5,대전광역시,14.786769662962884,11.374438202279142,10.805716292165185,6.8246629213674845,8.530828651709356,7.962106741595399,5.118497191025614,2.8436095505697856,3.4123314606837423,1.7583286
6,울산광역시,34.76690368466728,27.040925088074545,38.62989298296364,34.76690368466728,29.616251286938788,27.684756637790606,25.753261988642425,18.671114941765758,19.31494649148182,1.5532013
7,세종특별자치시,0.0,0.0,0.0,0.0,0.0,0.0,16.593988251846763,22.64591337899088,20.693679467008906,5.122337
8,경기도,98.01372849159861,92.10335290416552,90.2468887773436,89.86801854737993,83.73032082196866,70.35620170425149,75.16785362478997,77.28952691258645,74.33433911886992,26.3942617
9,강원도,208.21646988001257,200.52058392962198,198.8103870517574,203.94097768535113,196.67264095442667,199.6654854906897,194.1073456376298,221.89804490292923,226.17353709759067,2.338912
10,충청북도,282.9916050525668,260.6578958272344,257.7192498765328,264.7720001582167,267.41678151384815,250.96036418991903,258.01311447160293,247.14012445400692,240.38123876739317,3.4029278
11,충청남도,462.2451138419992,436.12315409171424,449.7520026570803,440.2118086613241,420.22283076545386,397.9623781086893,395.4637558717055,387.7407416846647,368.88750116924166,4.4024262
12,전라북도,740.780212708298,712.467449301877,784.3058042136914,785.1509613303009,752.1898337825273,788.1090112384345,817.266931761465,799.0960537543591,772.4736045811572,2.3664239
13,전라남도,374.9826546319394,349.166292867262,364.33340540400997,373.04642749958856,368.52856419077,370.14208680106236,387.24542647016114,409.8347430142539,386.92272194810266,3.09881
14,경상북도,488.63195812332106,424.2235830684135,389.1137545610391,407.27401068554315,385.2395665878116,365.38435322502056,367.0793104633076,332.21161870425993,328.5795674793591,4.1298977
15,경상남도,129.84859896522823,122.06740951412843,113.31357138164113,111.04405779173702,109.42297665609122,105.85659815767048,107.1534630661871,113.79989572233487,107.80189552044543,6.1687227
16,제주도,241.81419156739184,220.91666883934565,208.9752272804621,228.87762987860134,221.9117889692526,210.96546754027602,214.94594805990386,224.89714935897348,214.94594805990386,1.0049038
