시도,month,발생건수,시군구수,평균발생건수,평균철새수
강원도,1,2.0,2.0,1.0,4259.0
강원도,2,0.0,0.0,0.0,2801.0
강원도,3,0.0,0.0,0.0,2801.0
강원도,10,0.0,0.0,0.0,3031.0
강원도,11,1.0,1.0,1.0,3381.0
강원도,12,1.0,1.0,1.0,5241.0
경기도,1,34.0,11.0,3.09,4931.0
경기도,2,7.0,3.0,2.33,3820.0
경기도,3,6.0,5.0,1.2,4500.0
경기도,4,6.0,4.0,1.5,0.0
경기도,5,2.0,1.0,2.0,0.0
경기도,6,1.0,1.0,1.0,0.0
경기도,10,0.0,0.0,0.0,4237.0
경기도,11,10.0,6.0,1.67,5136.0
경기도,12,106.0,11.0,9.64,5726.0
경상남도,1,2.0,1.0,2.0,2263.0
경상남도,2,1.0,1.0,1.0,879.0
경상남도,3,0.0,0.0,0.0,366.0
경상남도,6,3.0,2.0,1.5,0.0
경상남도,10,0.0,0.0,0.0,601.0
경상남도,11,0.0,0.0,0.0,1083.0
경상남도,12,3.0,2.0,1.5,2478.0
경상북도,1,0.0,0.0,0.0,3442.0
경상북도,2,0.0,0.0,0.0,2015.0
경상북도,3,0.0,0.0,0.0,1035.0
경상북도,10,0.0,0.0,0.0,539.0
경상북도,11,0.0,0.0,0.0,1074.0
경상북도,12,4.0,3.0,1.33,3453.0
광주광역시,1,0.0,0.0,0.0,2377.0
광주광역시,2,0.0,0.0,0.0,871.0
광주광역시,3,0.0,0.0,0.0,245.0
광주광역시,9,2.0,2.0,1.0,0.0
광주광역시,10,0.0,0.0,0.0,185.0
광주광역시,11,0.0,0.0,0.0,372.0
광주광역시,12,0.0,0.0,0.0,1950.0
대구광역시,1,0.0,0.0,0.0,2429.0
대구광역시,2,0.0,0.0,0.0,359.0
대구광역시,3,0.0,0.0,0.0,0.0
대구광역시,6,1.0,1.0,1.0,0.0
대구광역시,10,0.0,0.0,0.0,0.0
대구광역시,11,0.0,0.0,0.0,0.0
대구광역시,12,0.0,0.0,0.0,2555.0
부산광역시,1,2.0,1.0,2.0,14687.0
부산광역시,2,0.0,0.0,0.0,11121.0
부산광역시,3,0.0,0.0,0.0,6236.0
부산광역시,6,2.0,1.0,2.0,0.0
부산광역시,10,0.0,0.0,0.0,5932.0
부산광역시,11,0.0,0.0,0.0,14885.0
부산광역시,12,1.0,1.0,1.0,13240.0
서울특별시,1,0.0,0.0,0.0,2262.0
서울특별시,2,0.0,0.0,0.0,1242.0
서울특별시,3,0.0,0.0,0.0,2106.0
서울특별시,10,0.0,0.0,0.0,373.0
서울특별시,11,0.0,0.0,0.0,940.0
서울특별시,12,0.0,0.0,0.0,2429.0
세종특별자치시,1,0.0,0.0,0.0,3949.0
세종특별자치시,2,0.0,0.0,0.0,5721.0
세종특별자치시,3,0.0,0.0,0.0,2510.0
세종특별자치시,10,0.0,0.0,0.0,459.0
세종특별자치시,11,1.0,1.0,1.0,1078.0
세종특별자치시,12,16.0,1.0,16.0,3870.0
울산광역시,1,0.0,0.0,0.0,24755.0
울산광역시,2,2.0,1.0,2.0,13212.0
울산광역시,3,0.0,0.0,0.0,4901.0
울산광역시,6,3.0,2.0,1.5,0.0
울산광역시,10,0.0,0.0,0.0,254.0
울산광역시,11,0.0,0.0,0.0,6211.0
울산광역시,12,0.0,0.0,0.0,22589.0
인천광역시,1,0.0,0.0,0.0,4375.0
인천광역시,2,0.0,0.0,0.0,653.0
인천광역시,3,0.0,0.0,0.0,73.0
인천광역시,10,0.0,0.0,0.0,0.0
인천광역시,11,0.0,0.0,0.0,0.0
인천광역시,12,1.0,1.0,1.0,5737.0
전라남도,1,24.0,6.0,4.0,3459.0
전라남도,2,7.0,4.0,1.75,1709.0
전라남도,3,15.0,6.0,2.5,721.0
전라남도,4,1.0,1.0,1.0,0.0
전라남도,5,4.0,1.0,4.0,0.0
전라남도,6,2.0,1.0,2.0,0.0
전라남도,9,5.0,3.0,1.67,0.0
전라남도,10,7.0,2.0,3.5,464.0
전라남도,11,6.0,4.0,1.5,2679.0
전라남도,12,30.0,8.0,3.75,6975.0
전라북도,1,5.0,2.0,2.5,11514.0
전라북도,2,10.0,6.0,1.67,4492.0
전라북도,3,15.0,4.0,3.75,1147.0
전라북도,4,9.0,3.0,3.0,0.0
전라북도,6,20.0,6.0,3.33,0.0
전라북도,10,0.0,0.0,0.0,1376.0
전라북도,11,4.0,3.0,1.33,2932.0
전라북도,12,39.0,7.0,5.57,6272.0
제주특별자치도,1,0.0,0.0,0.0,5236.0
제주특별자치도,2,0.0,0.0,0.0,2739.0
제주특별자치도,3,0.0,0.0,0.0,1367.0
제주특별자치도,6,6.0,1.0,6.0,0.0
제주특별자치도,10,0.0,0.0,0.0,370.0
제주특별자치도,11,0.0,0.0,0.0,1581.0
제주특별자치도,12,0.0,0.0,0.0,4354.0
충청남도,1,6.0,3.0,2.0,13756.0
충청남도,2,5.0,4.0,1.25,9720.0
충청남도,3,9.0,6.0,1.5,4819.0
충청남도,4,1.0,1.0,1.0,0.0
충청남도,10,0.0,0.0,0.0,5978.0
충청남도,11,4.0,2.0,2.0,7708.0
충청남도,12,53.0,4.0,13.25,11175.0
충청북도,1,0.0,0.0,0.0,3375.0
충청북도,2,18.0,1.0,18.0,2316.0
충청북도,3,18.0,2.0,9.0,1696.0
충청북도,10,0.0,0.0,0.0,849.0
충청북도,11,46.0,4.0,11.5,2136.0
충청북도,12,41.0,6.0,6.83,3369.0
