,평균 기온,강수량,평균 풍속,평균 습도,발생 건수
충주,2.1951048951048957,0.5797202797202795,1.6615384615384632,60.930769230769194,143
이천,1.138970588235294,0.6308823529411763,1.258823529411764,63.79558823529415,136
천안,1.3416666666666666,1.3689393939393941,1.4757575757575754,67.77045454545457,132
장흥,9.064197530864199,7.133333333333333,2.2333333333333343,71.36790123456795,81
광주,6.971428571428573,1.7014285714285713,1.7457142857142853,64.26714285714287,70
청주,3.518518518518519,0.29444444444444445,1.3722222222222225,55.285185185185206,54
동두천,2.3903846153846158,0.42884615384615377,1.4519230769230769,55.753846153846176,52
정읍,5.315686274509805,1.3431372549019607,1.5803921568627448,69.61568627450983,51
전주,10.329999999999997,1.2349999999999999,1.7775000000000003,67.26499999999999,40
군산,8.391666666666666,0.9805555555555555,3.044444444444444,73.94722222222225,36
고창군,2.3000000000000003,1.3272727272727272,1.8606060606060606,68.36363636363636,33
수원,-0.29677419354838697,0.632258064516129,1.7774193548387094,63.93870967741933,31
부안,2.041666666666667,1.4583333333333333,1.5500000000000005,71.07499999999997,24
대전,3.959090909090909,3.3,1.0999999999999999,69.67727272727274,22
순천,5.5736842105263165,1.0789473684210527,1.821052631578948,66.57894736842105,19
목포,7.427777777777779,0.4222222222222222,3.4222222222222225,81.0111111111111,18
부여,5.792857142857144,1.7214285714285715,1.657142857142857,66.04999999999998,14
강진군,8.390909090909092,4.8999999999999995,3.0727272727272723,64.97272727272727,11
통영,6.254545454545454,1.9909090909090907,2.4909090909090907,66.53636363636363,11
인천,-1.15,1.78,3.29,60.84000000000001,10
울산,11.133333333333333,0.0,2.455555555555556,53.05555555555556,9
영광군,11.588888888888887,2.2444444444444445,2.5555555555555554,69.88888888888887,9
부산,12.15,2.7875,3.4250000000000003,61.575,8
임실,12.457142857142856,0.21428571428571427,1.3571428571428572,67.17142857142858,7
제주,19.12857142857143,0.0,2.3142857142857145,58.12857142857143,7
영천,13.366666666666667,2.8833333333333333,1.9833333333333334,58.0,6
해남,3.683333333333333,0.0,2.0,58.56666666666667,6
보성군,6.3,0.0,3.7399999999999998,58.48,5
순창군,4.42,0.2,1.8199999999999998,66.55999999999999,5
파주,2.5799999999999996,0.16,1.1,71.4,5
서울,11.66,0.02,3.02,45.26,5
서산,-0.7,0.08,2.18,69.28,5
포항,5.779999999999999,0.0,2.62,43.44,5
경주시,1.9,4.8,3.4,48.160000000000004,5
진주,2.74,0.0,0.9,56.1,5
밀양,7.2250000000000005,2.5,1.85,59.175,4
양산시,11.275,0.0,2.0999999999999996,60.8,4
대구,24.375,0.25,1.65,51.9,4
홍성,2.0,0.0,1.0666666666666667,70.16666666666667,3
원주,8.833333333333334,0.16666666666666666,1.1666666666666667,56.5,3
고흥,4.0,21.166666666666668,1.8666666666666665,70.13333333333334,3
철원,1.55,1.45,1.25,70.5,2
구미,-2.3,0.0,1.8,41.3,2
보령,3.3,0.0,1.75,53.5,2
춘천,13.2,17.0,0.6,66.1,2
성산,2.3,0.0,3.9,64.1,1
문경,-3.5,0.4,1.0,65.1,1
상주,1.9,0.0,1.0,48.4,1
장수,10.6,0.0,1.3,75.8,1
인제,1.2,0.0,2.2,60.1,1
세종,-3.4,0.0,0.7,60.9,1
거창,-9.0,0.0,1.7,57.8,1
진도군,9.0,5.0,4.3,79.3,1
여수,-2.0,0.0,6.4,40.4,1
영주,2.5,0.3,6.9,65.8,1
양평,1.5,0.0,0.7,67.6,1
