주소,강원도 인제군,강원도 횡성군,경기도 광주시,경기도 김포시,경기도 남양주시,경기도 수원시,경기도 안성시,경기도 양주시,경기도 여주시,경기도 연천군,경기도 용인시,경기도 이천시,경기도 파주시,경기도 평택시,경기도 포천시,경기도 화성시,경상남도 거창군,경상남도 고성군,경상남도 밀양시,경상남도 양산시,경상남도 진주시,경상남도 하동군,경상북도 문경시,경상북도 성주군,경상북도 포항시,부산광역시 강서구,세종특별자치시 세종특별자치시,전라남도 강진군,전라남도 고흥군,전라남도 구례군,전라남도 나주시,전라남도 무안군,전라남도 보성군,전라남도 신안군,전라남도 여수시,전라남도 영암군,전라남도 장흥군,전라남도 함평군,전라남도 해남군,전라남도 화순군,전라북도 고창군,전라북도 군산시,전라북도 김제시,전라북도 부안군,전라북도 임실군,전라북도 정읍시,충청남도 당진시,충청남도 부여군,충청남도 서산시,충청남도 서천군,충청남도 아산시,충청남도 천안시,충청남도 홍성군,충청북도 음성군,충청북도 진천군,강원도 원주시,경기도 동두천시,경상남도 통영시,경상북도 영주시,울산광역시 남구,인천광역시 옹진군,전라남도 담양군,전라남도 순천시,전라남도 영광군,전라북도 익산시,제주특별자치도 제주시,충청남도 논산시,충청남도 청양군,충청북도 괴산군,충청북도 충주시,경기도 고양시,경기도 과천시,경상북도 경주시,경상북도 영천시,전라남도 곡성군,전라북도 순창군,전라북도 전주시,전라북도 진안군,충청남도 공주시,충청북도 증평군,충청북도 청주시,경기도 의정부시,울산광역시 울주군,강원도 춘천시,경상북도 경산시,대구광역시 수성구,부산광역시 기장군,부산광역시 해운대구,서울특별시 광진구,서울특별시 송파구,대구광역시 달성군,대구광역시 동구,전라북도 완주군,광주광역시 광산구,광주광역시 북구,강원도 철원군,충청북도 청원군,경기도 성남시,경기도 양평군,경상북도 구미시,경상북도 상주시,인천광역시 서구,전라남도 장성군,전라남도 진도군,전라북도 남원시,충청남도 예산군,충청북도 옥천군
강원도 인제군,0.0,44.66703051465324,110.694095416405,164.64544299961227,110.0873384167404,138.2220331602912,122.56734438232529,126.52625472536204,79.32375381442752,121.77224222229883,123.9339394268328,98.17348204385259,156.02641346073207,138.506300202177,108.51309877503897,160.10259450933754,165.83201469822708,213.80947283342928,188.6526582744432,212.79491796297523,198.53296707606856,210.56322496741947,101.95559781929819,148.49541805523697,193.33707961781695,217.6276693945681,145.93931567224413,279.4174029559517,255.059258843092,210.70374990374904,262.55354623982925,279.8889363178801,254.583085258128,297.2179915662379,233.05261425354914,275.06626580066876,269.07497450223923,273.5690361536605,293.6017664557217,242.57652203656255,241.53318266395087,213.55992541794285,210.03746691312716,224.78097693545027,193.4695409746652,223.60780748383482,187.31256568636985,185.51685894174778,209.93972145322502,212.36391555857222,156.18942298548782,145.11190929828373,194.9654760690645,93.84089628884908,116.2983693299587,57.10357559903539,123.93036676177496,223.49322643603972,100.82315580778041,218.00807844647838,389.28778674063125,228.04878117042773,225.83933577068655,263.5477061260379,197.12079804500186,358.05745766428146,174.73682549136856,187.1290652746383,95.84761810098423,78.75870378406374,151.4042622374285,138.48904099319273,193.44552850614974,168.53344661035499,213.34286785270976,216.11063551431243,190.23295816213553,175.9726131151882,160.66889276510295,109.42359549826895,123.33895451966896,128.3553456941318,203.11033846665072,50.61026590983362,167.6967061500612,161.08804246999728,228.58570581981638,230.14076144023124,126.23478165805747,124.21576982862967,160.81258090839745,159.40955110526644,184.9367502836394,250.453483338917,240.94056692869597,95.43532783886748,123.79753335453724,124.17521905455213,85.54069333890713,135.65056223903326,113.97875577956431,169.89474097052496,242.4572962264106,320.9038420277162,200.46472935206353,174.40368797747445,137.55757704899614
강원도 횡성군,44.66703051465324,0.0,81.27626755722481,141.39903367288895,86.02294572047875,107.45921156771746,85.02311246033554,106.31908097847321,40.88146970680885,109.13566061577313,91.39664322589405,62.9522704940639,135.2305371375557,102.7416234446229,91.44578184379584,129.78479327383977,123.7113697925052,177.02766187792025,161.22094359018118,189.69237939067528,158.9889167867587,167.50786001953935,66.01697876452812,112.94825694328621,182.39988942924683,192.68553310338143,103.4721216787942,235.21646918269926,210.50079071311748,166.2222261698259,218.999049632097,237.18377286165972,209.95047213449527,254.69578704405308,189.66295436300624,231.23263499966072,224.62046610215063,230.89005860524952,249.7646492018704,198.24530806250772,198.94311329475653,172.7465334693532,167.62338858064115,182.98471232531702,148.92356545779535,180.6148092281853,154.34185696131345,145.1024477151248,177.1527064995422,172.44589555665166,119.13417552983434,107.17523056541789,159.0132070660999,49.87959570541257,74.88247628921906,12.532582008285141,106.53066778067209,188.0958218838642,85.33935540770437,201.66689769729302,369.8611522768549,184.00289815426473,181.5655840951303,221.4412067203846,154.75732569730198,313.5620345709702,132.38541212713093,148.8654257514608,51.188098055186735,34.87061330270882,128.71484316356143,110.98315876827245,178.53708158389415,149.22955964244773,168.6794671781799,171.70000990902437,146.4290289224868,131.32111276653504,119.54247935068594,65.79702928521866,79.89473836803658,107.07273217838411,184.25030641594256,38.8525640505276,142.47732513092058,133.53138513357794,207.9256083531717,207.92795982210757,100.42521754508786,97.77023637965249,128.10156172224023,132.1838559340257,141.24734943818407,206.80730567086158,196.93930168411737,86.9347745593214,80.32256122831954,95.59219620316763,55.31971920990745,102.39236589113337,76.5969858290243,145.6050228437481,199.15499155596808,278.01537660860606,155.80673551082037,137.68281758569992,92.92925188928982
경기도 광주시,110.694095416405,81.27626755722481,0.0,61.26269754775831,14.552419053544371,27.528381980797494,28.500939016134993,33.36385613396922,43.3809196520495,49.070558351728636,15.331209528276322,22.643198930837247,57.295243182091156,33.37510093244563,31.908725010252997,49.56137037228459,138.78361125935413,205.14658151264803,211.83760315728742,244.8470678105879,179.87251351974038,169.14521609391437,118.40202101072585,153.75004571959101,251.68979700656783,244.86399210356026,64.03938646887995,194.28725827223442,189.79266614742727,152.01325167307192,172.40634880331612,184.03620804449403,179.60403131760626,199.9743614963172,186.07802916863963,186.47966974290748,188.23292338470696,177.82588968741416,204.23536917775323,161.4766015114261,146.8384946106646,113.53311363484588,116.65021100748102,127.56655672588954,122.04401170570243,132.26049270017054,76.75197295365237,86.35453876331225,99.27671732540043,109.83038689513337,51.29263160897413,44.17107635471639,86.20507277800635,58.63383673902351,43.60622571621274,74.17704938023692,38.51042938857655,219.09803020502704,158.0633395777833,264.7698033772261,289.4728042385891,144.5487526610371,169.27287008409047,165.69695754564867,104.71594259189492,274.36249048258463,85.2590080207067,82.20109131919017,72.2648661130196,80.29936302329551,49.493584413154984,29.736535424306567,244.30186083753915,212.1676020963416,144.66069899371598,138.75366180484392,108.57875680190327,112.04710442730531,67.76557558749867,56.6611517667606,59.13652960463896,32.16666822570346,245.34196877525062,61.03836158126744,198.40961197991092,186.8953277854448,265.42623339609105,263.2777671816524,20.561640179553393,17.552081002456227,172.75492255895014,186.23549738829004,103.03395090042984,161.67199218194662,155.9407650296997,48.75474679752285,59.58552567792947,14.316333048962845,26.186979240330242,150.44249559516007,122.07139166211361,64.85994878527733,151.7245178193517,224.7025262473849,136.54094530091166,67.42628283597303,83.6150098369868
경기도 김포시,164.64544299961227,141.39903367288895,61.26269754775831,0.0,55.70628207212529,41.98032614919042,74.73734057052627,38.42255783980239,104.6434724998409,51.30097458996698,57.12003577140953,83.23583609806067,11.989740603483908,60.664721610294826,57.04564687975425,30.523969213998726,185.78318026959303,252.82149661718512,267.6351274515504,301.4215238057052,225.8520585931589,206.49693921126482,177.75107518993437,208.68151715075973,311.9382937245199,300.47274026280814,99.18837850188798,197.83889249938045,210.75066839519474,181.85861215766505,172.78081142359582,175.9434244453856,194.11345851954837,188.5147985389365,218.8346625267732,187.10595175101236,196.59928836828408,170.51239453628034,202.33093749322012,172.74004300840295,144.8712943844665,109.59153246335556,122.05163024732218,125.2538869674283,148.09384618230155,137.0816859738575,48.816338251682865,91.8203273868037,62.439770417026175,102.04354683887267,63.6201574669377,69.4052779235255,67.63359810952176,117.50949775296888,94.87982258582545,135.18793195807578,42.897118282386685,267.38106078351814,219.2038899629849,323.453145622654,228.51251438031778,155.95439137870875,198.2503780146496,156.69597586560587,114.34255541702689,273.7432516367219,104.43903884905835,77.5278539991144,130.6922295905039,141.0041498202105,13.246836953996402,32.69637709873749,303.8255759982648,271.33815176093026,168.77788760997555,156.86257559673203,128.97194002537825,145.45057253276534,90.02769714389198,111.24308540667583,107.94577372452866,36.32290425599102,303.6638767841051,114.22242515105675,256.05055898071583,244.1132937895519,322.451795634913,319.64011649299584,41.09860302130493,43.91319467535078,227.94900169714165,243.65325667109397,124.61103909918405,164.94922750702625,164.10069727565963,75.38800939542197,108.2162695607026,47.5122265418343,86.23242794934302,207.4946966116358,179.96595234117117,6.399256190877597,154.09980902470363,212.87234880064008,165.32300494638227,63.83212184345785,129.51580975575027
경기도 남양주시,110.0873384167404,86.02294572047875,14.552419053544371,55.70628207212529,0.0,32.567059838491126,42.84541400070198,21.4630323294022,52.034418759634974,34.67393662954201,26.90492853945984,34.53104946714633,49.25228478382797,44.7575801924329,17.505535178755487,51.83481427527174,152.96285403514221,219.0974120431376,224.11730637804726,256.7721695651786,194.0444567690105,183.6962182126863,129.35642670928092,166.49416715052206,261.38150457077205,257.132715135788,78.22605665198162,206.43302897255148,203.72681279949467,166.38660635623424,183.97740238198813,194.41106887459978,192.93599408198142,209.90712900508348,200.59345368608476,198.18542079878654,200.94090381588842,188.27674415312876,215.69053370584533,174.36264892336214,157.8238388231437,123.68317039856069,128.31235113225705,138.23840981141453,136.07844279073794,144.06271634527505,80.69653577901245,97.32903503068233,102.35473039503684,119.2365270202382,61.54481525150366,56.314301598372374,92.72279016170792,70.64665264446676,57.99604377542886,80.73724280206734,24.97433356461291,232.949941290242,166.46980398153693,275.65635982600037,283.90271280015907,157.32555741319467,183.64239640994978,175.7616160503596,116.76762616986268,286.27937312622066,98.18365115377944,91.24777768707507,84.2951847097762,90.19929252421373,42.78358542777157,28.97414433415685,254.65921151286804,222.8528371923875,158.66785826236767,152.21005421893886,121.9989148705888,126.46719390921255,80.6371211719033,70.34123731881854,73.56016906282474,21.425782886646374,256.4699678439372,59.48378203692486,209.99458856312543,198.70583894368812,277.1324764661915,275.2486759004131,16.283953731270636,14.75337221373114,185.34637834662632,197.96036244212524,116.51216920979556,173.56050830394977,168.4181085376921,36.037528417733014,74.01727178627618,17.631316665522167,31.676425679665332,162.46533366169734,133.8726048638216,60.39982395192621,163.39874692570197,234.72130418489817,150.8179868360335,75.82535471127463,98.07082139542013
경기도 수원시,138.2220331602912,107.45921156771746,27.528381980797494,41.98032614919042,32.567059838491126,0.0,32.77013398344637,34.99506868953834,67.68551853403474,56.0462411989386,16.61113392064334,45.19049856829864,43.17902264495465,20.443351756292973,46.46442168409983,22.34548180643918,144.80397310936593,211.93363975530636,225.65988559475895,259.474792511228,185.30991514987065,168.65450671249556,136.71892732984105,166.7012303111085,271.19295575210697,258.49249564633624,60.06877738696385,177.40304219059155,180.40011195316137,146.85764859015742,154.06106762926285,163.02128759290585,167.0688046512387,178.12995501254278,182.94477630416935,168.4169058694929,173.17379648761727,156.9734471682848,185.47899141187833,147.25444301711352,127.22722956873378,92.38571624458987,98.97596279034889,107.38631346863265,114.26114272077848,114.80433439877264,49.32981854188697,67.36721262892412,71.76339168591439,87.36257205913276,31.838512838428894,31.52098526268744,60.191905000156204,76.74942854319895,52.920340413023496,99.25922250172911,43.01795793291002,226.3822102204445,180.1078856218853,281.8622665060268,266.08451622231985,130.08095467873102,163.8364209585096,144.15648183944214,88.35790672381711,256.6014983442789,72.55605188799443,59.33307374434672,89.55192188028897,101.4585978284201,34.27151954930078,11.9877702953045,262.59813827723343,229.9819930315152,136.27079966001983,127.23319494269452,97.43516251381713,108.36287359032055,55.681489250219734,69.40551880889915,66.09028693063307,31.779314802243057,261.98470179432445,88.44621282575633,214.26182264455352,202.265363428507,280.53710606712326,277.6768211347141,19.366960672316267,18.88708914022039,185.96897103846567,201.8370415794483,92.32613356859598,144.22836718618464,140.3212948141603,67.25125935570021,66.37877598031315,15.103417213391685,53.28569265225556,165.66259765243603,138.3646669010038,43.488852971486715,133.76413736414463,202.9693367667757,130.55709498952424,43.68146357945962,88.3179489258977
경기도 안성시,122.56734438232529,85.02311246033554,28.500939016134993,74.73734057052627,42.84541400070198,32.77013398344637,0.0,58.332541627924165,44.31421746138748,76.58750485371816,19.365481074851388,24.81849896233721,75.0040006569713,18.611278269918067,60.33136555620016,51.474511648803,113.74235209724144,180.75121657165556,192.89805206368868,226.7051977226474,154.6500578719686,141.48623487617928,104.85171921280038,133.95785649576857,239.34702282836736,225.74618287221597,35.58121351143573,168.3481834968588,161.4444650945349,123.54556207315518,147.54400509697854,161.25501929166984,151.92118367847513,177.88972753395694,157.87780732144225,161.3085808697635,161.4234846112183,154.95322697422628,179.41386800881014,134.47111666984864,123.25534600401465,92.17198009012795,92.143339463697,104.85183297623253,93.64767587089138,107.2925281021547,70.9298627104,64.06885836641244,93.42541025139744,90.14247328680099,34.13247099933444,22.550939061617406,74.00390170265729,45.89620534528253,20.15105489599898,74.71730637626973,64.91905927378808,195.03113105956183,150.10216433686165,249.30936493408333,296.6765782452698,117.77988926649282,140.80292535609806,143.66010955655975,79.62204369334437,248.5905915231179,58.731288537264334,64.5888865435625,57.852694361730535,71.86028330108051,66.17109962999206,43.05831161411114,230.34473773481352,197.6400415975728,116.27331349325203,110.98099748172406,80.95729369287068,83.62552442713644,41.76649705036222,36.773289595624256,33.918374395047785,56.13549820471209,229.37054669506603,77.47649882254748,181.57780323020148,169.54317203290486,247.77611547013086,244.90764958695516,41.86425016309418,39.15306693824477,153.22129440811528,169.1359870860997,75.3498574605189,136.31684925030856,129.6108471721108,76.81443818033775,34.26441377796526,32.51498994945556,40.00370269215729,132.9572555053449,105.88134110259125,76.15019160786545,126.81875039262626,202.31010720102736,108.04016720647537,52.66968347225023,57.4375449667228
경기도 양주시,126.52625472536204,106.31908097847321,33.36385613396922,38.42255783980239,21.4630323294022,34.99506868953834,58.332541627924165,0.0,73.4912853072626,21.11219643909926,39.343664569553496,55.369048774931876,29.615936812403422,53.68519627320734,18.69480381597524,45.826702780172475,171.40694729039387,238.07203170172974,245.0233835459396,277.8642928621531,212.45997553496,199.60555976098183,150.7142265822024,187.0756566162625,282.8334961043973,278.0496405821377,91.76495118338023,212.1426005546739,214.86284643159757,179.918789103912,188.50640469809863,196.28611093577393,201.9981803365157,210.770870671221,215.26733569345544,202.90356523881266,208.13866493966106,190.3626598580643,219.70754752419776,182.24934541934078,161.3560809921308,126.10697151207661,133.76377639081207,141.4132419006381,148.09171535561816,149.5755676654969,74.45625011056718,102.08985022077431,93.87986522223959,120.36183239799426,66.81720811377636,65.48686397051368,89.81417620579464,91.6013691796084,76.1174134299029,101.74014386377172,8.091018184465401,252.1285059855112,187.76955425248232,297.05612116071467,264.3928896663537,165.0759393584587,197.06480205235604,177.20315066977625,123.32414136387209,291.0248615406706,107.28340421439185,92.6314532378736,105.26461401653677,111.65650573367783,25.24377284843674,24.69715574154626,276.11386829403733,244.27594534348202,170.37511715914223,161.98726849920567,132.02588019528375,140.59332036538623,90.12679315601322,89.95100793374598,91.37817641052227,3.430197744360866,277.82203284933286,76.37934610856277,231.21207784715185,219.83649809882027,298.3171716729077,296.322283107595,17.030473503513022,19.34096989604975,206.04531648137262,219.12466281645516,126.80145492424394,178.92187217699458,175.27160504043516,38.41058955886375,91.79027390569262,26.092895967783637,52.95151530888131,183.49188542407668,154.98405357561316,44.11892913736665,168.37235342912322,235.58087852964098,163.86186859257674,76.89072788417596,115.53636519997254
경기도 여주시,79.32375381442752,40.88146970680885,43.3809196520495,104.6434724998409,52.034418759634974,67.68551853403474,44.31421746138748,73.4912853072626,0.0,82.46509995646838,51.24948528600434,22.527811402083806,100.24070907909038,61.86112107868558,63.11029364617027,89.8234026442639,113.87816417518312,176.4131139443989,174.47425327723067,206.33639215066765,153.76729588035295,152.21830046105245,78.11515556557683,118.56447675100125,209.34785894945313,207.34118103921804,67.52515993223746,203.08340396377406,185.9051858996931,143.34867258852933,184.71902731590325,201.04500135705928,181.39408633231074,218.23197915772565,172.40041055577586,197.7202116499836,193.99706004623593,194.71668787156455,216.19330835895633,167.03389713755516,162.6804013564464,134.23957901754667,131.14748378395925,145.5689457529459,120.0660924641777,145.16858182531902,113.57789810944695,106.21846361868731,136.36732783099737,133.19405223875026,78.44312955509507,66.69577212515298,118.21188611935881,25.045150451965156,37.45628343933808,31.61244650964961,76.00990541536859,189.38479358080346,114.83300964759661,223.99682032854707,332.69529110803325,151.5379897921584,160.0119569645355,184.3992112194517,118.24076071250006,282.7934102069444,95.95303923259584,108.64331051483231,36.82726787374236,38.34633870960079,92.74195184216987,72.74042234639303,202.73312532577114,171.1074731903971,141.6733485396725,141.28064017470737,113.42999741491894,104.74872294438065,81.38937325554889,35.356365757471615,47.413796278832486,73.3287903129393,205.02316319909585,40.94793386985248,159.1667745425272,148.26954813833234,226.31879201219553,224.84729234476978,63.769724574976486,60.8351165865138,136.73867364224884,147.38663265196354,107.92081833523763,172.83377389025225,164.19900023360654,67.74553540736895,47.93285480085792,57.35930134504728,21.167984191230243,112.66378858443319,83.93137285866311,108.14168746483054,164.31915640634153,242.1412740737949,130.35285697912013,96.96798302516346,67.7028847799279
경기도 연천군,121.77224222229883,109.13566061577313,49.070558351728636,51.30097458996698,34.67393662954201,56.0462411989386,76.58750485371816,21.11219643909926,82.46509995646838,0.0,58.52778172858469,68.39887327168094,39.80909597649626,74.17206110560056,19.395019937755585,65.80658622097079,187.6123827455197,253.60796801129283,256.7033420908168,288.78534323319616,228.68718913944835,217.9923888348032,160.5634797816269,199.81405990876038,289.8096001734068,289.64154054295545,111.19684070466118,233.2528498186809,235.3469043404977,199.55751852518495,209.5797400866142,217.05310332545886,222.8898420792941,231.32587509172052,234.39630394009697,223.98241972094334,229.21819501235572,211.17102859527083,240.73080030223068,203.26877145156712,182.3725868719728,147.0560511651633,154.87590741004632,162.4171894852314,168.24683123559424,170.6876916065295,93.59652849439959,123.2018262214691,111.57539436692548,141.14772535641308,87.88408806456057,86.04682123562033,109.88015970837407,103.78192670258974,92.64816573259228,106.91501132278073,13.036139724856085,267.37919405365244,193.4050346238427,306.01993676488945,267.6158656664552,186.09787860229537,216.76750929585273,197.92063675239652,144.4017830661667,312.08381217742084,128.05061078269196,113.54579254245883,117.27020955416533,120.6031474591753,39.876391616999236,45.736906811794846,284.2273968146905,253.07300432511758,190.65710340973806,182.72566811796978,152.6710806741788,159.9095176764509,110.76632099723595,104.7992942974172,108.19827692550798,24.456460567468984,287.2705628518014,74.25412117629078,241.6308713072994,230.7039070569203,308.77805837887183,307.2949109956902,37.41432708497013,39.171315878418575,218.43185101685177,229.83944649770692,147.3797399956902,200.02966596820144,196.35927240443624,26.682483121220066,108.65027950072832,45.737712784108,61.31938009634626,194.88880072955274,166.15767863158817,57.65171488061618,189.47222325560355,256.10438829119306,183.67863243883565,97.83464041032215,132.68550889889303
