구분,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
강원도,6039,3037,3306,2977,12994,4025,17521,5176,5759,21436,4376,6067,5602,4177,5489,10857,17208,29915,39898,56868,62302,21929
경기도,0,0,0,0,0,14809,13017,13534,15252,18588,12857,11178,12164,11580,9458,3530,9172,5690,3060,5691,7786,4452
서울특별시,0,0,0,0,0,0,0,6230,3540,5277,5706,5632,6822,7727,8706,6333,2527,876,2208,1647,2925,1979
서울특별시,16661,7173,9452,18340,4245,15486,9803,10422,7948,9094,2760,1539,2190,2051,1655,3023,5880,2468,3588,2084,2368,2602
서울특별시,3052,5825,4624,8222,3927,2841,4545,6624,2454,2871,2785,5029,4169,3249,3464,0,5514,1194,1556,1885,1521,2537
서울특별시,4210,3892,3461,2613,3405,2445,2800,3229,3394,2463,1804,1038,1295,986,755,0,1350,859,827,1125,657,738
경기도,1263,169,1376,1080,870,430,391,1556,1637,623,802,766,726,565,930,0,2225,2665,1202,1230,3049,1795
경기도,1073,8785,392,704,437,534,4738,778,3352,2525,1601,2773,885,1009,703,0,5591,3245,6934,2621,9554,5647
강원도,0,0,0,0,0,0,0,0,0,0,301,331,291,320,25,0,639,522,0,0,0,0
경기도,0,0,0,0,0,0,0,0,0,0,14808,10145,7985,8564,10707,11569,21871,16674,10553,13192,17259,16535
강원도,0,0,0,0,0,0,0,0,0,0,2697,3492,2478,1157,2522,1435,1911,1384,3361,777,2281,2910
경기도,2926,1829,2860,2747,3416,3568,2775,0,2886,2924,1799,987,1044,877,1028,0,1165,1650,1015,1528,3095,1210
강원도,0,0,0,0,0,0,0,0,0,0,0,1303,815,901,838,0,468,779,712,1221,1697,1628
서울특별시,0,0,0,0,0,0,0,0,0,0,897,263,1909,1100,2253,0,4699,2142,2728,1323,5661,4207
서울특별시,0,0,0,0,0,0,0,0,0,0,2085,1336,3659,2782,2981,0,3762,2323,2648,2180,7228,3467
서울특별시,6515,4816,18280,5311,8942,54478,35770,56844,23431,45308,10316,2307,11610,8616,19911,14396,15851,13766,19160,18697,18966,9028
경기도,0,0,0,0,0,0,0,0,0,0,0,8131,9316,7142,9922,6273,20542,9920,13824,20593,16129,7411
경기도,6591,365,11774,3874,930,16190,12491,24646,20784,13434,8921,7315,5615,3751,9643,11752,10221,15484,28436,23082,27992,30288
