주소,x,y,xy,위험도
서울특별시 종로구,126.97899,37.57350424,"126.978989954189,37.5735042429813",7
서울특별시 중구,126.9975552,37.56380777,"126.997555182293,37.5638077703601",8
서울특별시 용산구,126.9905823,37.53243104,"126.990582345331,37.5324310391314",10
서울특별시 성동구,127.0369301,37.56342721,"127.036930141185,37.563427205337",2
서울특별시 광진구,127.0823852,37.53855831,"127.082385189457,37.5385583136667",4
서울특별시 동대문구,127.039657,37.57452298,"127.039657001091,37.5745229817122",4
서울특별시 중랑구,127.0928203,37.60654324,"127.092820287004,37.6065432383919",4
서울특별시 성북구,127.0167029,37.58935882,"127.016702905651,37.5893588153919",4
서울특별시 강북구,127.0255381,37.63975133,"127.025538071854,37.6397513275882",4
서울특별시 도봉구,127.0472105,37.66869141,"127.04721049936,37.6686914100284",4
서울특별시 노원구,127.0564305,37.65436176,"127.056430475216,37.6543617567057",4
서울특별시 은평구,126.928941,37.60281744,"126.928940981464,37.6028174370823",4
서울특별시 서대문구,126.9368157,37.57916186,"126.9368156604,37.579161863979",4
서울특별시 마포구,126.9019551,37.56621419,"126.901955141101,37.5662141900954",4
서울특별시 양천구,126.8665014,37.51698848,"126.866501409661,37.5169884752609",4
서울특별시 강서구,126.8495338,37.55096462,"126.849533759514,37.5509646154244",4
서울특별시 구로구,126.8875053,37.49543309,"126.88750531451,37.4954330863648",4
서울특별시 금천구,126.8954568,37.45684115,"126.895456780023,37.4568411485785",4
서울특별시 영등포구,126.8962784,37.52636718,"126.896278443882,37.5263671784802",4
서울특별시 동작구,126.9393151,37.51248204,"126.93931505634,37.5124820423519",4
서울특별시 관악구,126.9515619,37.47836838,"126.951561853868,37.4783683761333",4
서울특별시 서초구,127.0326893,37.48358882,"127.032689317952,37.4835888228545",4
서울특별시 강남구,127.0473774,37.51733193,"127.047377408384,37.5173319258532",5
서울특별시 송파구,127.1059222,37.51459092,"127.105922243305,37.5145909234015",5
서울특별시 강동구,127.1237925,37.53019332,"127.123792501252,37.5301933196159",5
부산광역시 서구,129.0242984,35.09792352,"129.024298440459,35.0979235209887",5
부산광역시 동구,129.0453058,35.1292668,"129.045305770374,35.129266800067",5
부산광역시 영도구,129.0678888,35.09123989,"129.067888802321,35.0912398945905",5
부산광역시 부산진구,129.0531654,35.16285545,"129.053165443787,35.1628554465167",5
부산광역시 동래구,129.0938578,35.19630156,"129.093857800257,35.1963015621029",5
부산광역시 남구,129.0842428,35.13652979,"129.084242837166,35.1365297909396",5
부산광역시 북구,128.9900366,35.19729594,"128.990036594502,35.197295941285",5
부산광역시 해운대구,129.1635961,35.16306667,"129.16359608401,35.1630666685425",5
부산광역시 사하구,128.974933,35.1044479,"128.974932970702,35.1044479031499",5
부산광역시 금정구,129.0921041,35.24277705,"129.092104076105,35.2427770500592",5
부산광역시 연제구,129.0797459,35.17621119,"129.079745921308,35.176211194352",5
부산광역시 수영구,129.113134,35.14553823,"129.113133962139,35.1455382251689",5
부산광역시 사상구,128.9914565,35.15254918,"128.991456532626,35.1525491845594",5
부산광역시 기장군,129.2224221,35.2444181,"129.222422056732,35.2444181044945",5
대구광역시 수성구,128.6306355,35.8581745,"128.630635463648,35.8581745018633",5
대구광역시 달서구,128.532774,35.8298872,"128.532774031817,35.8298871998368",5
대구광역시 달성군,128.4312201,35.77447387,"128.431220139822,35.7744738663997",5
인천광역시 미추홀구,126.6649719,37.45707564,"126.664971932721,37.4570756444157",5
