year,month,day,시군구index,철새수,발생거리,평균온도,일강수량,위험도,CODE
2021,3,5,0,117943,125.93,4.8,8.7,3.9,11110
2021,3,5,1,117943,124.7,4.8,8.7,3.9,11140
2021,3,5,2,117943,121.29,4.8,8.7,3.9,11170
2021,3,5,3,117943,124.41,4.8,8.7,3.9,11200
2021,3,5,4,117943,121.48,4.8,8.7,3.9,11215
2021,3,5,5,117943,125.62,4.8,8.7,3.9,11230
2021,3,5,6,117943,128.98,4.8,8.7,3.9,11260
2021,3,5,7,117943,127.4,4.8,8.7,3.9,11290
2021,3,5,8,117943,132.94,4.8,8.7,3.9,11305
2021,3,5,9,117943,136.05,4.8,8.7,3.9,11320
2021,3,5,10,117943,134.42,4.8,8.7,3.9,11350
2021,3,5,11,117943,129.67,4.8,8.7,3.9,11380
2021,3,5,12,117943,126.98,4.8,8.7,3.9,11410
2021,3,5,13,117943,126,4.8,8.7,3.9,11440
2021,3,5,14,117943,121.12,4.8,8.7,3.9,11470
2021,3,5,15,117943,125.11,4.8,8.7,3.9,11500
2021,3,5,16,117943,118.43,4.8,8.7,3.9,11530
2021,3,5,17,117943,114.08,4.8,8.7,3.9,11545
2021,3,5,18,117943,121.7,4.8,8.7,3.9,11560
2021,3,5,19,117943,119.59,4.8,8.7,3.9,11590
2021,3,5,20,117943,115.67,4.8,8.7,3.9,11620
2021,3,5,21,117943,115.57,4.8,8.7,3.9,11650
2021,3,5,22,117943,119.23,4.8,8.7,3.9,11680
2021,3,5,23,117943,118.76,4.8,8.7,3.9,11710
2021,3,5,24,117943,120.49,4.8,8.7,3.9,11740
2021,3,5,26,174620,228.11,7.1,5.2,0,26110
2021,3,5,26,174620,228.11,7.1,5.2,0,26140
2021,3,5,27,174620,227.24,7.1,5.2,0,26170
2021,3,5,28,174620,231.57,7.1,5.2,0,26200
2021,3,5,29,174620,225.37,7.1,5.2,0,26230
2021,3,5,30,174620,225.88,7.1,5.2,0,26260
2021,3,5,31,174620,229.41,7.1,5.2,0,26290
2021,3,5,32,174620,218.55,7.1,5.2,0,26320
2021,3,5,33,174620,233.15,7.1,5.2,0,26350
2021,3,5,34,174620,224.26,7.1,5.2,0,26380
2021,3,5,35,174620,222.56,7.1,5.2,0,26410
2021,3,5,38,174620,221.83,7.1,5.2,0,26440
2021,3,5,36,174620,226.29,7.1,5.2,0,26470
2021,3,5,37,174620,230.79,7.1,5.2,0,26500
2021,3,5,38,174620,221.83,7.1,5.2,0,26530
2021,3,5,39,174620,231.95,7.1,5.2,0,26710
2021,3,5,41,0,150.66,5.9,7.7,3.9,27110
2021,3,5,41,0,150.66,5.9,7.7,3.9,27140
2021,3,5,42,0,144.28,5.9,7.7,3.9,27170
2021,3,5,42,0,144.28,5.9,7.7,3.9,27200
2021,3,5,43,0,139.58,5.9,7.7,3.9,27230
2021,3,5,41,0,150.66,5.9,7.7,3.9,27260
2021,3,5,42,0,144.28,5.9,7.7,3.9,27290
2021,3,5,43,0,139.58,5.9,7.7,3.9,27710
2021,3,5,45,3568,120.5,4.8,8.7,3.9,28110
2021,3,5,45,3568,120.5,4.8,8.7,3.9,28140
2021,3,5,45,3568,120.5,4.8,8.7,3.9,28177
2021,3,5,46,3568,114.09,4.8,8.7,3.9,28185
2021,3,5,47,3568,116.49,4.8,8.7,3.9,28200
2021,3,5,48,3568,123.09,4.8,8.7,3.9,28237
2021,3,5,49,3568,125.94,4.8,8.7,3.9,28245
2021,3,5,49,3568,125.94,4.8,8.7,3.9,28260
2021,3,5,50,3568,155,4.8,8.7,3.9,28710
2021,3,5,51,3568,119.17,4.8,8.7,3.9,28720
2021,3,5,53,5141,148.27,7.4,4.6,1.4,29110
2021,3,5,53,5141,148.27,7.4,4.6,1.4,29140
2021,3,5,53,5141,148.27,7.4,4.6,1.4,29155
