주소,축종,사육두수,발생일,지역코드,location,avg_temperature(C),daily_rain(mm),avg_wind(m/s),avg_r_humidity(%)
강원도 춘천시 사북면 지촌리,닭-산란계,48,20080507,101,춘천,13.2,17.0,0.6,66.1
강원도 춘천시 사북면 지촌리,닭-산란계,48,20080507,101,춘천,13.2,17.0,0.6,66.1
경기도 남양주시 화도읍 차산리,닭-산란계,38400,20210111,108,서울,-6.7,0.0,1.9,62.1
서울특별시 송파구 장지동,오리-기타,9653,20080511,108,서울,16.0,0.0,2.8,42.4
서울특별시 송파구 장지동,오리-기타,9653,20080511,108,서울,16.0,0.0,2.8,42.4
서울특별시 광진구 자양동,닭-산란계,85,20080505,108,서울,15.8,0.1,3.6,49.3
서울특별시 광진구 자양동,닭-산란계,85,20080506,108,서울,17.2,0.0,4.0,30.1
경기도 김포시 대곶면 쇄암리,닭-산란계,95000,20210108,112,인천,-14.5,0.0,5.2,42.6
경기도 김포시 통진읍 가현리,닭-산란계,40000,20201212,112,인천,3.0,0.0,2.5,46.4
경기도 김포시 통진읍 가현리,닭-산란계,105000,20161218,112,인천,6.7,0.0,3.7,68.5
경기도 김포시 통진읍 가현리,닭-산란계,107000,20150131,112,인천,-4.5,0.0,3.5,59.1
경기도 김포시 통진읍 수참리,닭-산란계,80000,20201231,112,인천,-8.3,0.0,3.0,52.0
경기도 김포시 하성면 마조리,메추리-비분류,430000,20170121,112,인천,-3.4,4.2,2.9,71.5
경기도 김포시 대곶면 초원지리,닭-토종닭,50,20161212,112,인천,3.0,0.0,2.3,43.6
인천광역시 서구 공촌동,닭-토종닭,30,20161226,112,인천,2.5,0.0,2.7,73.1
인천광역시 옹진군 영흥면 내리,야생조류-큰기러기,1,20140201,112,인천,4.2,13.6,2.9,80.6
경기도 김포시 월곶면 군하리,닭-산란계,212333,20201229,112,인천,-0.2,0.0,4.2,71.0
강원도 원주시 귀래면 주포리,닭-산란계,170000,20210223,114,원주,1.9,0.0,1.4,28.0
강원도 횡성군 횡성읍 학곡리,닭-토종닭,13,20170106,114,원주,3.9,0.0,0.6,64.9
강원도 횡성군 횡성읍 학곡리,거위-비분류,1300,20140613,114,원주,20.7,0.5,1.5,76.6
경기도 화성시 양감면 사창리,닭-산란계,14000,20161207,119,수원,2.2,0.0,1.5,65.6
경기도 화성시 남양읍 온석리,닭-산란계,48000,20170101,119,수원,2.9,0.0,0.7,85.8
경기도 화성시 남양읍 온석리,닭-산란계,300000,20170101,119,수원,2.9,0.0,0.7,85.8
경기도 화성시 남양읍 온석리,닭-산란계,154800,20140227,119,수원,6.7,0.0,1.6,69.8
경기도 화성시 향남읍 상신리,닭-산란계,310000,20201222,119,수원,1.6,0.7,1.3,75.9
경기도 화성시 팔탄면 율암리,닭-산란계,26100,20140214,119,수원,2.6,0.0,2.0,54.5
경기도 화성시 팔탄면 율암리,오리-육용오리,9200,20140207,119,수원,3.3,0.0,3.2,50.5
경기도 화성시 팔탄면 율암리,닭-산란계,29835,20170120,119,수원,-3.7,3.9,2.6,74.9
경기도 화성시 양감면 사창리,닭-종계,23286,20161129,119,수원,1.4,0.0,0.8,51.5
경기도 화성시 팔탄면 서근리,오리-종오리,8000,20110210,119,수원,-2.2,0.0,1.2,52.9
경기도 화성시 팔탄면 구장리,닭-산란계,150000,20210217,119,수원,-7.9,0.0,5.3,53.5
경기도 화성시 우정읍 매향리,닭-산란계,46000,20161216,119,수원,-3.6,0.0,1.7,43.8
경기도 화성시 온석동,닭-육계,27000,20140206,119,수원,-0.9,0.0,0.8,38.8
경기도 화성시 온석동,닭-종계,17000,20140209,119,수원,-0.8,0.0,2.2,78.6
경기도 화성시 온석동,오리-육용오리,6452,20140211,119,수원,0.7,0.0,2.4,48.3
경기도 화성시 남양읍 장덕리,닭-육계,41268,20170108,119,수원,7.1,0.0,1.7,62.4
경기도 화성시 마도면 청원리,닭-토종닭,30000,20170121,119,수원,-4.9,1.8,1.3,87.6
경기도 화성시 서신면 전곡리,닭-종계,18000,20140128,119,수원,1.1,0.4,1.7,62.3
경기도 화성시 양감면 사창리,닭-산란계,602000,20210123,119,수원,7.9,0.0,2.3,71.9
경기도 화성시 팔탄면 구장리,닭-산란계,147700,20180126,119,수원,-13.5,0.0,2.7,36.6
경기도 화성시 남양읍 온석리,닭-육계,60000,20170103,119,수원,1.8,0.0,1.2,75.5
경기도 화성시 남양읍 신남리,닭-산란계,90000,20201216,119,수원,-7.0,0.0,2.6,43.6
경기도 성남시 수정구 태평동,닭-토종닭,1,20141226,119,수원,-2.4,0.0,1.1,48.0
경기도 수원시 팔달구 화서동,야생조류-큰기러기,3,20150124,119,수원,3.1,0.0,1.1,71.1
경기도 수원시 팔달구 인계동,야생조류-기러기,0,20140128,119,수원,1.1,0.4,1.7,62.3
경기도 과천시 문원동,야생조류-큰기러기,0,20140309,119,수원,1.8,5.6,2.9,58.4
경기도 수원시 영통구 하동,야생조류-논병아리,0,20140227,119,수원,6.7,0.0,1.6,69.8
경기도 성남시 중원구 성남동,닭-토종닭,1,20141222,119,수원,-4.3,1.7,1.3,75.6
경기도 성남시 중원구 성남동,닭-토종닭,1,20141222,119,수원,-4.3,1.7,1.3,75.6
경기도 성남시 중원구 성남동,닭-토종닭,1,20141222,119,수원,-4.3,1.7,1.3,75.6
경기도 성남시 중원구 성남동,닭-토종닭,1,20141222,119,수원,-4.3,1.7,1.3,75.6
충청북도 음성군 대소면 삼정리,오리-종오리,9100,20140202,127,충주,6.5,0.9,0.8,96.4
충청북도 음성군 대소면 부윤리,오리-육용오리,1650,20140219,127,충주,0.8,0.0,1.4,52.4
충청북도 음성군 대소면 부윤리,오리-육용오리,3070,20140219,127,충주,0.8,0.0,1.4,52.4
충청북도 음성군 삼성면 용대리,오리-육용오리,6700,20161125,127,충주,-1.9,0.0,0.9,62.6
충청북도 음성군 대소면 부윤리,오리-육용오리,2120,20140219,127,충주,0.8,0.0,1.4,52.4
충청북도 음성군 대소면 부윤리,오리-육용오리,4500,20150222,127,충주,4.4,2.3,2.3,76.9
충청북도 음성군 대소면 부윤리,오리-종오리,2200,20150222,127,충주,4.4,2.3,2.3,76.9
충청북도 음성군 대소면 부윤리,오리-종오리,1500,20161121,127,충주,7.0,0.0,0.6,84.9
충청북도 음성군 대소면 미곡리,오리-육용오리,35000,20140205,127,충주,-6.0,0.0,1.0,41.9
충청북도 음성군 대소면 미곡리,오리-육용오리,9300,20140205,127,충주,-6.0,0.0,1.0,41.9
충청북도 음성군 대소면 미곡리,오리-육용오리,6800,20140205,127,충주,-6.0,0.0,1.0,41.9
충청북도 음성군 대소면 미곡리,닭-산란계,24000,20140207,127,충주,2.5,0.0,2.2,53.4
충청북도 음성군 금왕읍 유포리,오리-육용오리,9200,20161203,127,충주,0.5,0.0,0.8,67.0
충청북도 음성군 대소면 삼호리,닭-산란계,36000,20210113,127,충주,1.5,0.0,1.2,77.0
충청북도 음성군 대소면 성본리,오리-육용오리,8000,20161207,127,충주,-1.3,0.4,0.7,74.1
충청북도 음성군 대소면 수태리,오리-육용오리,15231,20140219,127,충주,0.8,0.0,1.4,52.4
충청북도 음성군 대소면 수태리,오리-육용오리,10000,20161119,127,충주,11.6,0.6,0.7,94.0
충청북도 음성군 대소면 수태리,오리-육용오리,10108,20150302,127,충주,2.1,0.0,1.4,47.0
충청북도 음성군 대소면 수태리,오리-육용오리,34300,20150224,127,충주,1.4,0.0,1.3,60.3
충청북도 음성군 금왕읍 신평리,메추리-비분류,788000,20161229,127,충주,-3.8,0.1,2.0,56.8
충청북도 음성군 대소면 수태리,오리-육용오리,6900,20140219,127,충주,0.8,0.0,1.4,52.4
충청북도 음성군 대소면 오류리,오리-육용오리,20000,20140222,127,충주,0.0,0.0,1.1,56.9
충청북도 음성군 대소면 태생리,오리,6500,20031224,127,충주,2.7,0.0,0.8,81.4
충청북도 음성군 대소면 태생리,오리,8000,20031224,127,충주,2.7,0.0,0.8,81.4
충청북도 음성군 맹동면 마산리,오리-육용오리,28000,20161123,127,충주,0.7,0.0,1.3,44.1
충청북도 음성군 맹동면 마산리,오리-육용오리,9500,20161121,127,충주,7.0,0.0,0.6,84.9
충청북도 음성군 맹동면 마산리,오리-육용오리,7000,20161122,127,충주,4.5,0.9,2.1,63.4
충청북도 음성군 맹동면 마산리,오리-육용오리,6500,20161121,127,충주,7.0,0.0,0.6,84.9
충청북도 음성군 맹동면 마산리,오리-육용오리,5000,20161121,127,충주,7.0,0.0,0.6,84.9
충청북도 음성군 맹동면 마산리,오리-육용오리,8414,20150304,127,충주,-1.5,0.0,4.4,38.0
충청북도 음성군 대소면 성본리,오리-육용오리,7700,20140222,127,충주,0.0,0.0,1.1,56.9
충청북도 음성군 금왕읍 신평리,메추리-비분류,726000,20201207,127,충주,1.3,0.0,1.2,67.9
충청북도 음성군 금왕읍 본대리,오리-육용오리,16000,20161215,127,충주,-2.7,0.0,2.5,49.6
충청북도 음성군 금왕읍 삼봉리,오리-육용오리,5500,20161122,127,충주,4.5,0.9,2.1,63.4
충청북도 충주시 동량면 대전리,오리-종오리,7600,20210202,127,충주,-4.0,0.0,3.7,43.9
충청북도 충주시 대소원면 만정리,닭-토종닭,100,20161206,127,충주,-1.1,0.0,2.1,49.1
충청북도 음성군 원남면 하노리,닭-산란계,91000,20161209,127,충주,2.8,2.4,2.1,70.0
충청북도 음성군 원남면 보룡리,오리-종오리,9400,20210209,127,충주,-2.4,0.0,1.3,48.8
충청북도 음성군 원남면 덕정리,오리-종오리,10000,20161128,127,충주,1.8,0.0,1.5,67.5
충청북도 음성군 원남면 덕정리,메추리-비분류,71000,20161206,127,충주,-1.1,0.0,2.1,49.1
충청북도 음성군 소이면 비산리,오리-육용오리,11700,20180312,127,충주,7.3,0.0,1.1,53.6
충청북도 음성군 생극면 임곡리,닭-산란계,6500,20161212,127,충주,1.2,0.0,0.6,63.3
충청북도 음성군 생극면 임곡리,닭-산란계,420000,20161222,127,충주,8.2,11.3,3.2,79.0
충청북도 음성군 생극면 임곡리,닭-산란계,400000,20210118,127,충주,-3.7,3.1,1.9,72.3
충청북도 음성군 생극면 병암리,닭-산란계,135325,20150315,127,충주,4.8,0.0,1.4,43.9
충청북도 음성군 삼성면 청용리,오리-종오리,10000,20140221,127,충주,-0.7,0.0,1.1,59.6
충청북도 음성군 삼성면 청용리,오리-육용오리,12000,20140222,127,충주,0.0,0.0,1.1,56.9
충청북도 음성군 삼성면 청용리,오리-종오리,12500,20140221,127,충주,-0.7,0.0,1.1,59.6
충청북도 음성군 금왕읍 삼봉리,오리-육용오리,8300,20150222,127,충주,4.4,2.3,2.3,76.9
충청북도 음성군 삼성면 천평리,오리-육용오리,20936,20140224,127,충주,2.3,0.0,1.0,60.9
충청북도 음성군 삼성면 용성리,닭-육계,24000,20031212,127,충주,-1.2,0.0,1.4,74.5
충청북도 충주시 소태면 주치리,닭-산란계,550000,20210311,127,충주,8.7,0.0,0.8,51.6
충청북도 괴산군 소수면 수리,오리-종오리,6500,20161130,127,충주,4.9,0.9,0.8,71.6
충청북도 괴산군 소수면 아성리,오리-종오리,7500,20210217,127,충주,-8.0,0.0,4.6,45.4
충청북도 괴산군 소수면 아성리,오리-종오리,6400,20161202,127,충주,-0.9,0.0,1.1,59.0
충청북도 괴산군 소수면 아성리,오리-종오리,9600,20161202,127,충주,-0.9,0.0,1.1,59.0
충청북도 괴산군 장연면 조곡리,오리-종오리,15500,20210205,127,충주,-1.1,0.0,0.7,63.9
충청북도 음성군 감곡면 단평리,오리-육용오리,8800,20161128,127,충주,1.8,0.0,1.5,67.5
충청북도 음성군 감곡면 문촌리,오리-종오리,6000,20201222,127,충주,-2.8,0.1,0.6,81.9
충청북도 음성군 감곡면 문촌리,오리-종오리,7599,20161218,127,충주,1.7,0.0,0.8,77.1
충청북도 음성군 금왕읍 내송리,오리-종오리,8600,20150311,127,충주,0.4,0.0,3.5,37.9
충청북도 음성군 맹동면 마산리,오리-육용오리,14200,20150303,127,충주,3.4,0.5,1.8,57.5
충청북도 음성군 금왕읍 본대리,오리-육용오리,12000,20161214,127,충주,0.2,0.8,1.0,78.5
충청북도 음성군 금왕읍 본대리,오리-육용오리,16000,20150320,127,충주,12.2,0.0,1.1,50.6
충청북도 음성군 삼성면 천평리,오리-육용오리,10000,20161212,127,충주,1.2,0.0,0.6,63.3
충청북도 음성군 삼성면 용대리,오리-종오리,8442,20161125,127,충주,-1.9,0.0,0.9,62.6
