2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
30614,35998,17181,17918,32987,14467,39546,25521,36770,79172,39433,41194,39169,40770,64977,24594,82518,105217,97247,125132,110456,71303
191156,199359,74885,55923,114055,130975,149314,134945,130155,101569,115675,178347,140995,87717,120048,94281,170668,134876,142928,150650,195500,158879
17540,23776,27609,20787,24392,24033,31049,32237,54019,32228,56330,74985,35539,39823,44842,15721,44074,46232,69441,50843,59362,59177
5684,14136,29293,17533,18791,28766,47551,28348,54569,40194,40938,34527,51787,35789,39810,15788,38207,46879,38990,49168,39057,42594
0,0,0,0,0,0,0,0,0,0,0,288,2287,2275,6043,1303,5716,4005,11741,6713,3728,4323
8769,6239,12192,14470,14381,16991,25613,15213,23842,26758,14117,11874,11091,14727,18088,6630,11508,10466,28036,28935,26082,25024
6092,2630,3683,3311,2368,2092,1663,1236,7312,4488,6397,4143,3784,3955,4429,0,6532,3967,6006,5247,7846,4978
30688,48895,29309,41099,37530,78530,72204,66547,46947,77543,47909,59716,55185,72486,59330,41328,51312,56262,58330,50734,73951,63177
30438,21706,35817,34486,20519,75250,52918,83349,40767,65013,26353,17144,31654,26511,39725,23752,39583,23628,32715,28941,39326,24558
0,0,0,0,0,0,0,0,6306,4226,3788,4116,5366,3989,5780,5194,4238,3947,1969,2618,3202,4042
6112,17853,16691,20416,11397,28040,55529,51149,57062,37362,65940,65418,55980,69144,94448,102315,144764,119591,92414,101245,110729,106629
14562,3208,9445,7810,10768,10599,16187,13308,21657,20425,21698,21348,22841,13064,22267,0,39275,38318,26678,33534,49234,27334
223594,94356,48477,130748,221383,327781,101996,76462,214789,631821,650716,557917,98964,436547,133275,52467,125671,163584,141208,191983,160427,201058
271368,268275,235152,81052,316850,76686,121371,51246,303556,278186,178695,45515,122717,98121,122879,278820,482943,168422,405558,64277,74717,269305
24720,28789,37614,36823,23851,24797,43320,21025,20127,35359,29701,43009,34256,39307,33728,30194,28458,28663,34825,33442,41808,59174
297500,183383,334893,484221,257059,330257,417618,970090,432130,473763,140747,83433,382814,116451,440872,282298,280831,359951,232279,532542,621451,343971
11929,3244,3543,4579,3200,6544,8408,6823,9269,6339,6715,5766,7653,5611,5524,0,12229,5992,12478,13855,12207,12534
